cpdID,cpdName,HMDBClass,HMDBSubClass,Pathway (Kegg),rt,rt(minutes),cpdMonoisotopicMZ,ion,mz,mzMin,mzMax,rtMin,rtMax,chemspiderID,HMDBID,HMDBSubClass,HMDBDirectParent,LMapsID,LMapsSubclass,KEGGID,PubChemID,IUPAC,CAS,neutralFormula,InChI,InChIKey
HPOS-002.1,Octenoylcarnitine (C8:1),Fatty Acyls ,Fatty acid esters,,250.153589201576,4.2,285.1940084,M+H,286.20128486,286.196991840727,286.205577879273,235.153589201576,265.153589201576,30776708,HMDB0013324,,,,,NA,,(4S)-4-[(2E)-oct-2-enoyloxy]-4-(trimethylazaniumyl)butanoate,,,,
HPOS-002.2,Octenoylcarnitine (C8:1),,,,250.153589201576,4.2,,M+Na,308.182,308.17737727,308.18662273,235.153589201576,265.153589201576,,,,,,,,,,,,,
HPOS-002.3,Octenoylcarnitine (C8:1) ISF.1,,,,250.153589201576,4.2,,,227.128,227.12459308,227.13140692,235.153589201576,265.153589201576,,,,,,,,,,,,,
HPOS-002.4,Octenoylcarnitine (C8:1) ISF.2,,,,250.153589201576,4.2,,,144.102,144.09983847,144.10416153,235.153589201576,265.153589201576,,,,,,,,,,,,,
HPOS-004.1,L-Acetylcarnitine,Fatty Acyls ,Fatty acid esters,Fatty Acid Metabolism(Acyl Carnitine),304.310269355136,5.03,203.115758,M+H,204.12303446,204.119972614483,204.126096305517,289.310269355136,319.310269355136,21243783,HMDB0000201,,,,,C02571  ,,3-(acetyloxy)-4-(trimethylazaniumyl)butanoate,,,,
HPOS-004.2,L-Acetylcarnitine,,,,304.310269355136,5.03,,M+Na,226.104,226.10060844,226.10739156,289.310269355136,319.310269355136,,,,,,,,,,,,,
HPOS-004.3,L-Acetylcarnitine ISF.1,,,,304.310269355136,5.03,,,145.048,145.04582428,145.05017572,289.310269355136,319.310269355136,,,,,,,,,,,,,
HPOS-004.4,L-Acetylcarnitine ISF.2,,,,304.310269355136,5.03,,,85.028,85.02672458,85.02927542,289.310269355136,319.310269355136,,,,,,,,,,,,,
HPOS-006.1,Asymmetric Dimethylarginine,Carboxylic acids and derivatives ,"Amino acids, peptides, and analogues",Urea cycle; Arginine and Proline Metabolism,358.239482667992,5.913,202.1429758,M+H,203.15025226,203.147205006216,203.153299513784,343.239482667992,373.239482667992,110375,HMDB0001539,,,,,C03626  ,,(2S)-2-amino-5-[(E)-[amino(dimethylamino)methylidene]amino]pentanoic acid,,,,
HPOS-006.2,Asymmetric Dimethylarginine ISF.1,,,,358.239482667992,5.913,,,158.128,158.12562808,158.13037192,343.239482667992,373.239482667992,,,,,,,,,,,,,
HPOS-006.3,Asymmetric Dimethylarginine ISF.2,,,,358.239482667992,5.913,,,116.07,116.06825895,116.07174105,343.239482667992,373.239482667992,,,,,,,,,,,,,
HPOS-006.4,Asymmetric Dimethylarginine ISF.3,,,,358.239482667992,5.913,,,88.086,88.08467871,88.08732129,343.239482667992,373.239482667992,,,,,,,,,,,,,
HPOS-010.1,Hexanoylcarnitine (C6:0),Fatty Acyls  ,Fatty acid esters  ,,260.191095614,4.33651826023334,259.1783583,M+H,260.18563476,260.181731975479,260.189537544521,245.191095614,275.191095614,4932273,HMDB0000705,,,,,NA,,3-(hexanoyloxy)-4-(trimethylazaniumyl)butanoate,,,,
HPOS-010.2,Hexanoylcarnitine (C6:0) ISF.1,,,,260.191095614,4.33651826023334,,,201.113,201.109983305,201.116016695,245.191095614,275.191095614,,,,,,,,,,,,,
HPOS-011.1,Glutarylcarnitine,Hydroxy acids and derivatives  ,Beta hydroxy acids and derivatives ,,306.218385223382,5.10363975372303,275.1368874,M+H,276.14416386,276.140021697542,276.148306022458,291.218385223382,321.218385223382,34448634,HMDB0013130,,,,,NA,,(3R)-3-[(4-carboxybutanoyl)oxy]-4-(trimethylazaniumyl)butanoate,,,,
HPOS-011.2,Glutarylcarnitine,,,,306.218385223382,5.10363975372303,,M+Na,298.128,298.12352808,298.13247192,291.218385223382,321.218385223382,,,,,,,,,,,,,
HPOS-011.3,Glutarylcarnitine ISF.1,,,,306.218385223382,5.10363975372303,,,217.072,217.06874392,217.07525608,291.218385223382,321.218385223382,,,,,,,,,,,,,
HPOS-012.1,Isovalerylcarnitine,Fatty Acyls  ,Fatty acid esters  ,,263.266030192962,4.38776716988271,245.1627082,M+H,246.16998466,246.16629211023,246.17367720977,248.266030192962,278.266030192962,4932271,HMDB0000688,,,,,NA,,3-[(3-methylbutanoyl)oxy]-4-(trimethylazaniumyl)butanoate,,,,
HPOS-012.2,Isovalerylcarnitine,,,,263.266030192962,4.38776716988271,,M+Na,268.151,268.146977735,268.155022265,248.266030192962,278.266030192962,,,,,,,,,,,,,
HPOS-012.3,Isovalerylcarnitine ISF.1,,,,263.266030192962,4.38776716988271,,,187.097,187.094193545,187.099806455,248.266030192962,278.266030192962,,,,,,,,,,,,,
HPOS-014.1,Histidine,Carboxylic acids and derivatives ,"Amino acids, peptides, and analogues",Histidine Metabolism,369.035634371665,6.15059390619442,155.0694765,M+H,156.07675296,156.074411808706,156.079094111294,354.035634371665,384.035634371665,6038,HMDB0000177,,,,,C00135,,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,,,,
HPOS-014.2,Histidine,,,,369.035634371665,6.15059390619442,,M+Na,178.058,178.05532913,178.06067087,354.035634371665,384.035634371665,,,,,,,,,,,,,
HPOS-014.3,Histidine ISF.1,,,,369.035634371665,6.15059390619442,,,110.0711,110.0694489335,110.0727510665,354.035634371665,384.035634371665,,,,,,,,,,,,,
HPOS-016.1,"N6,N6,N6-Trimethyllysine",Carboxylic acids and derivatives ,"Amino acids, peptides, and analogues",Lysine Metabolism,369.772621681749,6.16287702802916,188.1524779,M+H,189.15975436,189.156916963685,189.162591756315,354.772621681749,384.772621681749,11312298,HMDB0001325,,,,,C03793 ,,(2S)-2-amino-6-(trimethylazaniumyl)hexanoate,,,,
HPOS-016.2,"N6,N6,N6-Trimethyllysine ISF.1",,,,369.772621681749,6.16287702802916,,,130.0852,130.083248722,130.087151278,354.772621681749,384.772621681749,,,,,,,,,,,,,
HPOS-016.3,"N6,N6,N6-Trimethyllysine ISF.2",,,,369.772621681749,6.16287702802916,,,84.08,84.0787388,84.0812612,354.772621681749,384.772621681749,,,,,,,,,,,,,
HPOS-020.1,Proline Betaine,Carboxylic acids and derivatives ,"Amino acids, peptides, and analogues",Food Component/Plant,294.789481713524,4.91315802855874,143.0946287,M+Na,166.08385012,166.081358862248,166.086341377752,279.789481713524,309.789481713524,103115,HMDB0004827,,,,,C10172  ,,"(2S)-1,1-dimethylpyrrolidin-1-ium-2-carboxylate",,,,
HPOS-020.2,Proline Betaine,,,,294.789481713524,4.91315802855874,143.0946287,M+H,144.10190516,144.099743631423,144.104066688577,279.789481713524,309.789481713524,103115,,,,,,,,"(2S)-1,1-dimethylpyrrolidin-1-ium-2-carboxylate",,,,
HPOS-020.3,Proline Betaine ISF.1,,,,294.789481713524,4.91315802855874,,,84.082,84.08073877,84.08326123,279.789481713524,309.789481713524,,,,,,,,,,,,,
