cpdID,cpdName,HMDBClass,HMDBSubClass,Pathway (Kegg),rt,rt(minutes),cpdMonoisotopicMZ,ion,mz,mzMin,mzMax,rtMin,rtMax,chemspiderID,HMDBID,HMDBSubClass,HMDBDirectParent,LMapsID,LMapsSubclass,KEGGID,PubChemID,IUPAC,CAS,neutralFormula,InChI,InChIKey
RNEG-002.1,"1,7-Dimethylurate",Imidazopyrimidines,Purines and purine derivatives,Xanthine Metabolism,154.14,2.569,196.0596401,M-H,195.0523637,195.049437914545,195.055289485456,149.14,159.14,82720,HMDB0011103,Purines and purine derivatives,,,,C16356 ,,"1,7-dimethyl-2,3,6,7,8,9-hexahydro-1H-purine-2,6,8-trione",,,,
RNEG-002.2,"1,7-Dimethylurate",,,,154.14,2.569,,2M-H,391.1122,391.106333317,391.118066683,149.14,159.14,,,,,,,,,,,,,
RNEG-002.3,"1,7-Dimethylurate ISF.1",,,,154.14,2.569,,,180.028,180.02529958,180.03070042,149.14,159.14,,,,,,,,,,,,,
RNEG-002.4,"1,7-Dimethylurate ISF.2",,,,154.14,2.569,,,137.023,137.020944655,137.025055345,149.14,159.14,,,,,,,,,,,,,
RNEG-003.1,"2,6-Dihydroxybenzoate",Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoate degradation,225.6,3.76,154.0266087,M-H,153.0193322,153.017036910017,153.021627489983,220.6,230.6,8974,HMDB0013676,Benzoic acids and derivatives,,,,C21298,,"2,6-dihydroxybenzoic acid",,,,
RNEG-003.2,"2,6-Dihydroxybenzoate ISF.1",,,,225.6,3.76,,,135.0078,135.005774883,135.009825117,220.6,230.6,,,,,,,,,,,,,
RNEG-003.3,"2,6-Dihydroxybenzoate ISF.2",,,,225.6,3.76,,,109.029,109.027364565,109.030635435,220.6,230.6,,,,,,,,,,,,,
RNEG-006.1,"3,5-Dihydroxybenzoate",Benzene and substituted derivatives,Benzoic acids and derivatives  ,,141,2.35,154.0266087,M-H,153.0193322,153.017036910017,153.021627489983,136,146,7146,HMDB0013677,Benzoic acids and derivatives  ,,,,,,"3,5-dihydroxybenzoic acid",,,,
RNEG-006.2,"3,5-Dihydroxybenzoate ISF.1",,,,141,2.35,,,109.029,109.027364565,109.030635435,136,146,,,,,,,,,,,,,
RNEG-009.1,Azelaic Acid,Fatty Acyls  ,Fatty acids and conjugates,"Fatty Acid, Dicarboxylate",328.86,5.481,188.104859,M-H,187.0975825,187.094776036262,187.100388963737,323.86,333.86,2179,HMDB0000784,Fatty acids and conjugates,,,,C08261 ,,nonanedioic acid,,,,
RNEG-009.2,Azelaic Acid,,,,328.86,5.481,,M+Na-2H,209.079,209.075863815,209.082136185,323.86,333.86,,,,,,,,,,,,,
RNEG-009.3,Azelaic Acid ISF.1,,,,328.86,5.481,,,125.097,125.095123545,125.098876455,323.86,333.86,,,,,,,,,,,,,
