"cpdID","cpdName","Retention Time","m/z"
"HPOS-002.1","Octenoylcarnitine (C8:1)",252.456054724781,286.201590009809
"HPOS-002.2","Octenoylcarnitine (C8:1)",252.349557998026,308.183535695745
"HPOS-002.3","Octenoylcarnitine (C8:1) ISF.1",252.251763142,227.127587934517
"HPOS-002.4","Octenoylcarnitine (C8:1) ISF.2",255.382408555583,144.102168647564
"HPOS-004.1","L-Acetylcarnitine",300.334048177891,204.122799847856
"HPOS-004.2","L-Acetylcarnitine",300.723277129026,226.104865099982
"HPOS-004.3","L-Acetylcarnitine ISF.1",300.12394899076,145.048724254707
"HPOS-004.4","L-Acetylcarnitine ISF.2",300.107997402492,85.0279064723545
"HPOS-006.1","Asymmetric Dimethylarginine",355.817485854018,203.149930287497
"HPOS-006.2","Asymmetric Dimethylarginine ISF.1",355.837683170701,158.128206470881
"HPOS-006.3","Asymmetric Dimethylarginine ISF.2",355.431870173561,116.070095490677
"HPOS-006.4","Asymmetric Dimethylarginine ISF.3",355.61388757565,88.0861334826396
"HPOS-010.1","Hexanoylcarnitine (C6:0)",257.771920179685,260.18568417865
"HPOS-010.2","Hexanoylcarnitine (C6:0) ISF.1",257.958844876021,201.112192501253
"HPOS-011.1","Glutarylcarnitine",306.801966916549,276.144579763253
"HPOS-011.2","Glutarylcarnitine",306.73453411506,298.126702577718
"HPOS-011.3","Glutarylcarnitine ISF.1",306.619011377681,217.071130021123
"HPOS-012.1","Isovalerylcarnitine",265.105223435207,246.170044819532
"HPOS-012.2","Isovalerylcarnitine",264.813145998933,268.150400267206
"HPOS-012.3","Isovalerylcarnitine ISF.1",264.898908703694,187.096113157204
"HPOS-014.1","Histidine",357.898842824864,156.076186866837
"HPOS-014.2","Histidine",358.149370194236,178.057956750719
"HPOS-014.3","Histidine ISF.1",358.115033565272,110.070800230324
"HPOS-016.1","N6,N6,N6-Trimethyllysine",367.381855820811,189.159417781711
"HPOS-016.2","N6,N6,N6-Trimethyllysine ISF.1",367.289857702573,130.085795893193
"HPOS-016.3","N6,N6,N6-Trimethyllysine ISF.2",367.143265694388,84.0800921138499
"HPOS-020.1","Proline Betaine",297.437558356684,166.083464777407
"HPOS-020.2","Proline Betaine",297.583898129722,144.101564642272
"HPOS-020.3","Proline Betaine ISF.1",297.323643280993,84.0815664019233
"HPOS-025.1","Trigonelline",293.306952926283,138.054581883046
"HPOS-025.2","Trigonelline ISF.1",293.19483644578,94.0647556197873
"HPOS-025.3","Trigonelline ISF.2",293.051057383594,92.0451188503247
"HPOS-028.1","N-Acetylputrescine",264.13040104824,131.117483743667
"HPOS-028.2","N-Acetylputrescine",264.14755672653,153.099185220367
"HPOS-028.3","N-Acetylputrescine ISF.1",264.093524586669,114.090839614831
"HPOS-029.1","4-Trimethylammoniobutanoate",289.931689847064,146.11711294196
"HPOS-029.2","4-Trimethylammoniobutanoate ISF.1",289.645525614649,87.0478231182954
"HPOS-036.1","Creatinine",152.11461881319,136.047979676698
"HPOS-036.2","Creatinine",153.071129051933,227.124984065056
"HPOS-038.1","1,1-Dimethylbiguanide (Metformin)",207.00110245864,130.108360105614
"HPOS-038.2","1,1-Dimethylbiguanide (Metformin) ISF.1",207.069745266317,113.081439570634
"HPOS-038.3","1,1-Dimethylbiguanide (Metformin) ISF.2",206.980484574411,88.0866619736249
"HPOS-038.4","1,1-Dimethylbiguanide (Metformin) ISF.3",206.820664783162,85.0496401180849
"HPOS-040.1","Phenylalanine",221.89667228576,166.085769888042
"HPOS-040.2","Phenylalanine ISF.1",221.973678063133,120.080257262147
"HPOS-040.3","Phenylalanine ISF.2",221.949967815881,103.054543552166
"HPOS-042.1","Trimethylamine N-oxide",250.182610574952,76.0751430556894
"HPOS-042.2","Trimethylamine N-oxide",250.1163730009,151.143699638888
"HPOS-043.1","Proline",268.109910567639,116.070287206378
"HPOS-043.2","Proline",267.871153748238,160.034637351501
"HPOS-043.3","Proline",269.200096684156,365.067471898954
"HPOS-043.4","Proline ISF.1",267.241927250383,70.0658767527811
"HPOS-044.1","Alanine",271.371044341079,134.018499601331
"HPOS-044.2","Alanine",271.90393421329,313.035779271602
"HPOS-044.3","Alanine",271.323217842486,356.078400567802
"HPOS-045.1","Creatine",304.267029104377,132.076499550488
"HPOS-045.2","Creatine",304.294890761329,154.058284449363
"HPOS-045.3","Creatine",304.322671335485,176.040308428722
"HPOS-045.4","Creatine ISF.1",304.183492447741,90.054546311549
"HPOS-051.1","3-methylhistidine",358.602543603898,170.091698678106
"HPOS-051.2","3-methylhistidine ISF.1",358.444089279518,126.101515793219
"HPOS-051.3","3-methylhistidine ISF.2",358.558585123724,96.0671554836255
"HPOS-055.1","Hypoxanthine ",97.0130403281138,137.0455533766
"HPOS-055.2","Hypoxanthine ",97.0558753475897,159.027393842865
"HPOS-055.3","Hypoxanthine ISF.1",97.0088433932394,119.035193002648
"HPOS-055.4","Hypoxanthine ISF.2",96.9844638837755,110.034724725043
"HPOS-056.1","Pantothenate",67.2413150599594,220.117744106266
"HPOS-056.2","Pantothenate",67.0987100147849,242.100003535934
"HPOS-056.3","Pantothenate ISF.1",67.2083376955057,202.107074863104
"HPOS-056.4","Pantothenate ISF.2",67.189692610766,90.0547466120919
"HPOS-057.1","Urocanate",78.3244715239748,139.049929496314
"HPOS-057.2","Urocanate ISF.1",79.2025520351119,121.032892858688
"HPOS-057.3","Urocanate ISF.2",78.3336597333963,93.0432892530795
"HPOS-057.4","Urocanate ISF.3",78.3083124208495,95.0599761560849
"HPOS-059.1","Cytosine",145.467893586384,112.050160987339
"HPOS-059.2","Cytosine",145.455126416996,134.031976827918
"HPOS-059.3","Cytosine",145.402530028395,156.012855057445
"HPOS-062.1","Tiglylcarnitine (C5:1)",269.27008815609,244.154478162717
"HPOS-062.2","Tiglylcarnitine (C5:1) ISF.1",269.191769807384,185.080707967974
"HPOS-064.1","Decadienoylcarnitine (C10:2)",244.504576729695,312.217007755136
"HPOS-064.2","Decadienoylcarnitine (C10:2)",244.716545276834,334.199923073916
"HPOS-064.3","Decadienoylcarnitine (C10:2) ISF.1",244.306751330028,253.14399859081
"HPOS-072.1","Thiamine",328.555165030018,265.113917684793
"HPOS-072.2","Thiamine ISF.1",328.577405419901,122.071077985736
"HPOS-072.3","Thiamine ISF.2",328.485193038891,144.046982116518
"HPOS-074.1","N,N-Dimethylglycine",279.940981139051,104.07046523914
"HPOS-074.2","N,N-Dimethylglycine",279.972040632557,148.03364034314
"HPOS-075.1","Pseudouridine",76.9204250081128,245.077354841754
"HPOS-075.2","Pseudouridine ISF.1",76.9581163781066,209.055598746515
"HPOS-075.3","Pseudouridine ISF.2",76.9322300944712,191.044819889659
"HPOS-075.4","Pseudouridine ISF.3",76.9280381577765,179.044894957523
"HPOS-075.5","Pseudouridine ISF.4",76.9535504365187,155.044879688779
"HPOS-078.1","N2,N2-Dimethylguanosine",117.637137815527,312.13074533885
"HPOS-078.2","N2,N2-Dimethylguanosine ISF.1",117.6617696926,180.087617111195
"HPOS-078.3","N2,N2-Dimethylguanosine ISF.2",117.604199609308,110.03531351637
"HPOS-080.1","Butyrylcarnitine",273.489156010348,232.154200889998
"HPOS-080.2","Butyrylcarnitine ISF.1",273.38427027128,173.080403583982
"HPOS-080.3","Butyrylcarnitine ISF.2",273.374694720192,85.027936039349
"HPOS-082.1","7-Methylguanine",135.943289854638,166.072034020404
"HPOS-082.2","7-Methylguanine ISF.1",135.873043730806,149.04528214332
"HPOS-082.3","7-Methylguanine ISF.2",135.899695105158,124.050036600768
"HPOS-085.1","N1-methyl-4-pyridone-3-carboxamide",94.15598237308,153.065524105562
"HPOS-085.2","N1-methyl-4-pyridone-3-carboxamide",94.1349218977625,175.047420282448
"HPOS-085.3","N1-methyl-4-pyridone-3-carboxamide ISF.1",94.1511320793546,136.038851426819
