"","HPOS-002.1","HPOS-002.2","HPOS-002.3","HPOS-002.4","HPOS-004.1","HPOS-004.2","HPOS-004.3","HPOS-004.4","HPOS-006.1","HPOS-006.2","HPOS-006.3","HPOS-006.4","HPOS-010.1","HPOS-010.2","HPOS-011.1","HPOS-011.2","HPOS-011.3","HPOS-012.1","HPOS-012.2","HPOS-012.3","HPOS-014.1","HPOS-014.2","HPOS-014.3","HPOS-016.1","HPOS-016.2","HPOS-016.3","HPOS-020.1","HPOS-020.2","HPOS-020.3","HPOS-025.1","HPOS-025.2","HPOS-025.3","HPOS-028.1","HPOS-028.2","HPOS-028.3","HPOS-029.1","HPOS-029.2","HPOS-036.1","HPOS-036.2","HPOS-038.1","HPOS-038.2","HPOS-038.3","HPOS-038.4","HPOS-040.1","HPOS-040.2","HPOS-040.3","HPOS-042.1","HPOS-042.2","HPOS-043.1","HPOS-043.2","HPOS-043.3","HPOS-043.4","HPOS-044.1","HPOS-044.2","HPOS-044.3","HPOS-045.1","HPOS-045.2","HPOS-045.3","HPOS-045.4","HPOS-051.1","HPOS-051.2","HPOS-051.3","HPOS-055.1","HPOS-055.2","HPOS-055.3","HPOS-055.4","HPOS-056.1","HPOS-056.2","HPOS-056.3","HPOS-056.4","HPOS-057.1","HPOS-057.2","HPOS-057.3","HPOS-057.4","HPOS-059.1","HPOS-059.2","HPOS-059.3","HPOS-062.1","HPOS-062.2","HPOS-064.1","HPOS-064.2","HPOS-064.3","HPOS-072.1","HPOS-072.2","HPOS-072.3","HPOS-074.1","HPOS-074.2","HPOS-075.1","HPOS-075.2","HPOS-075.3","HPOS-075.4","HPOS-075.5","HPOS-078.1","HPOS-078.2","HPOS-078.3","HPOS-080.1","HPOS-080.2","HPOS-080.3","HPOS-082.1","HPOS-082.2","HPOS-082.3","HPOS-085.1","HPOS-085.2","HPOS-085.3"
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD01.mzML",48657.40625,3045.673828125,608.34716796875,857.99365234375,161431.125,1510.4375,329,119,268761.25,3718.890625,583.142578125,103,5282.37109375,348.607666015625,4789.8515625,233,138.631103515625,30987.0625,708.8291015625,421.876220703125,177,0,106,147338.375,4410.46875,198,113074.6875,1453585,138,1394126,1585.6875,0,10342.9375,4116.8828125,2795.005859375,1220.9599609375,0,488942.5,237916.5,903864,11638.4609375,1249.5830078125,650,347.303955078125,285.33203125,0,2694.12890625,43744.3125,522.46533203125,169,0,0,0,0,227.790405273438,46357.25,15362.9453125,1217,783.3671875,617.64208984375,202,0,15247.1484375,24737.5625,162.505981445312,199,6395.71484375,2853.52734375,476.251708984375,0,12327.9765625,771.349609375,143.504272460938,159,680,1604.458984375,0,8195,194,19510.546875,513.0751953125,562.548828125,9460.9375,676.4541015625,627.3134765625,1279.4794921875,341.06396484375,17717.90625,9643.4453125,1271.736328125,3555.19921875,2922.802734375,5968.484375,3496.26953125,0,32455.90625,1406.111328125,0,21111.890625,222.84765625,348,12393.375,50150.4375,3259.95703125
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD02.mzML",54135,3225.75,998.908203125,1055.40234375,185568.75,1471,880,133.161499023438,281270.75,3645.658203125,955.8154296875,198.53466796875,6237.28515625,317.459228515625,5171.05859375,147,108,34732.46875,975.8984375,502.36962890625,256,127.148864746094,117.055419921875,157340.625,2596.8125,197.166137695312,126750.4375,1603624,256,1597838,2013.3818359375,133.922485351562,12863.625,2890.4296875,3795.783203125,1190.3935546875,0,500821,249445.625,1015932.5,13551.6953125,1608.263671875,0,318.752685546875,217.856323242188,126,4256.17578125,51778.4375,543.6171875,183,0,0,193.48828125,0,130.291625976562,52256.71875,16563.78125,1472.904296875,915,904.208984375,177,0,14397.2421875,25274.296875,499.822509765625,0,6988.1953125,4140.09375,575,0,9148.5859375,168.180297851562,0,113,607.77001953125,967.34521484375,0,8890.5078125,309,22389.96875,480.772216796875,434.1904296875,10839.0078125,1473.9228515625,889.349609375,1503.9189453125,433,22708.859375,11402.5234375,1678.255859375,3130.91015625,4372.94140625,6503.9765625,3367.248046875,0,35707.5,1479.5302734375,0,23706.625,256.491943359375,334,14544.5859375,56621.625,3311.970703125
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD03.mzML",54124.3125,3652,616.66552734375,1220.1025390625,185200.25,1602.2255859375,363.072998046875,264,283051.25,3111.150390625,772.5341796875,0,6152.59765625,417.8037109375,5429.41015625,162.434326171875,162,34495.9375,662.8720703125,729.92529296875,201.057006835938,106.372924804688,139.449951171875,157254,3906.947265625,235.402221679688,124003.9375,1704334,130.012329101562,1555672,2098.4296875,103,11959.671875,4210,5250.078125,1011.9375,0,513574.25,253860.25,1008778,12183.171875,1466.7587890625,1217.4150390625,354.7978515625,271.925048828125,0,3940.599609375,53001.375,326.805419921875,219,0,147,0,204,159.424072265625,51944.09375,17028.140625,1285,1100.90625,836.42138671875,121.99365234375,0,14317.15625,25435.0625,149.3740234375,198.358276367188,7161.70703125,4176,550.484375,0,9012.25,245.517456054688,137,135,848.14208984375,1108.09375,0,8508.234375,402.276123046875,20615.609375,480.603515625,516.94970703125,11357.875,1681.125,583.10498046875,1640.7880859375,332.513427734375,23530.0625,11581.453125,1368.396484375,3121.751953125,4844.609375,6117.73046875,3511.212890625,0,33380.28125,1373.6884765625,0,23516.84375,292.310791015625,299.709716796875,15265.8203125,55457.25,2353.01953125
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD04.mzML",57487.4375,4350,672.72412109375,1185,193000.625,1802.94140625,375.275634765625,177,281074.75,3432.162109375,640,0,5899.015625,664.19091796875,5025.8203125,138,134.563232421875,35898.21875,799.24951171875,646,198.870239257812,143,159,158320.625,3556.388671875,166,134032.5,1670249,341.86865234375,1525673,1867.673828125,0,11510.2265625,4261.76953125,4685.45703125,754,123,510424.25,263693.75,983604,14515.890625,1867.26171875,1497.46484375,438.786865234375,349.9921875,0,4097.38671875,54251.3125,619.171875,174,0,0,0,0,0,54813.4375,16746.734375,1113,1023.7509765625,700.2255859375,0,0,14989.921875,26621.40625,304,116,7255.6953125,4591.9453125,723.125,0,8665.625,581.35107421875,0,132,924,1516,0,9474.5859375,178,21705.921875,605.76171875,475.075439453125,12157.6796875,0,1123,1684.5341796875,328.632568359375,26510.28125,14182.59375,2000,4007.5078125,4307.1953125,6497.67578125,4027.54296875,0,33705.03125,1391.0234375,162,24417.453125,608.2421875,349,14504.5546875,57968.9375,3609.67578125
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD05.mzML",59874.9375,4388.1640625,593.56494140625,1340.0556640625,194217.125,2554.6953125,364,281,284472,3314.138671875,851.091796875,103,5484.12890625,311,5071.6015625,203.34912109375,136.406860351562,35470.84375,854.99169921875,564.44775390625,253,119.529296875,143.8603515625,164596.125,4102.1484375,240,125573.125,1609562,215.901245117188,1462048,2323,375.244140625,12068.5703125,3536.544921875,4739.78125,1000.58984375,0,514472.5,267140.25,1049893,15010.34375,1234.8115234375,991.4091796875,331.3505859375,302.135009765625,105,3569.955078125,51918.71875,607.91552734375,283.02392578125,0,0,0,0,143.562744140625,52751.375,17954.96875,1254.4091796875,1125.7626953125,712.775390625,197.01318359375,0,15845.8359375,27380.28125,295.34326171875,113,7676.76953125,5547.9609375,600.91064453125,0,9298.2578125,326.499267578125,199.42236328125,156,678,1100.455078125,172.350952148438,9223.140625,286,18824.3125,462,604.20458984375,10881.203125,1332.2197265625,640.0947265625,1748,279,23296.125,11751.2890625,1714.8203125,3097.728515625,4326.9921875,6388.03125,3668.068359375,0,34025.65625,1497.2001953125,104,24462.40625,489.82763671875,203,16021.4609375,60876.03125,4320.46484375
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD06.mzML",55887.84375,4393.421875,635.748046875,793.3232421875,191182,1663.7060546875,840,281,270182.5,3221.17578125,657.6689453125,0,6080.32421875,291.740234375,5024.765625,168,129.231201171875,36413.8125,790.2744140625,494.96240234375,184,185,113.948486328125,156437.875,3705.376953125,178,123130,1707661,163.197021484375,1618496,1963.3408203125,145,10799.25,3913.11328125,4366.18359375,770.025390625,0,516628.75,264153.75,1045773.5,9345.5546875,1735.57421875,829.04443359375,302.183837890625,197,0,3519.375,55400.1875,699.84326171875,282,0,0,0,0,203.591552734375,53913.6875,17177.453125,1188.0625,1103.0380859375,804.8017578125,312,0,14205.421875,26322.59375,244.430053710938,0,7156.80859375,4422.68359375,542.00439453125,0,8950.28125,285.348876953125,150,0,885.07958984375,1741.1416015625,0,8701.078125,196.397216796875,21506.28125,602.0556640625,619.27490234375,10693.1875,1374.8349609375,746.724609375,1642.8095703125,290.45068359375,23319.75,11638.640625,1452.8232421875,3694.29296875,3860.60546875,6300.7578125,3177.876953125,0,34368.8125,1298,123,24181.140625,360.71142578125,121,14520.765625,54256,4098.34375
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD07.mzML",59159.53125,4821.40234375,930.9267578125,1168.654296875,206653.375,1709.828125,659,297,285282,3635.607421875,657,0,6094.5,265.20556640625,4523.46484375,150.868408203125,143,37137.75,838.05078125,449.73876953125,208,132.103881835938,117,162543,3915.216796875,248,132665.625,1873628,191,1685826,2128.505859375,114.66162109375,11974.640625,3915.359375,2646.880859375,1143.7763671875,0,521748.25,263917.25,1019602,15002.015625,1617.990234375,619,319.453857421875,214,212,3620,54086.78125,688,145,0,0,133.836791992188,0,145,57174.5625,17630.25,1374.5986328125,1165.658203125,714.498046875,147,0,15049.0078125,27724.3125,308,131.830444335938,9064.015625,5228.7109375,422.3271484375,0,10090.1171875,295.343017578125,121.307312011719,138,875,1612.5185546875,0,8902.1953125,296,21348.828125,419.91064453125,421.037353515625,13169.28125,1279.9013671875,1414.8876953125,1687.7314453125,331,24910.203125,13695.3359375,1718,3451.8203125,3844.8515625,6551.515625,3842.248046875,0,33799.625,1558.755859375,103,24926.71875,312.416748046875,164.851440429688,15047.65625,55872.875,3860.111328125
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD08.mzML",60401.71875,5507.21484375,737.36865234375,874,208858.375,1910.60546875,1040,145,281940.25,3572.626953125,563,0,6978.453125,283.326171875,4439,181,116.403259277344,37910.375,958.21875,486.9755859375,235.760498046875,233,186,163257.25,4361.94921875,0,130651.6875,1799049,180,1651701,2188.904296875,261.84326171875,11900.0546875,4083.431640625,5084.23046875,815,0,521423.5,268264.75,1075037,15281.3671875,1916.7236328125,1073.982421875,376.0263671875,268,108,4163.8828125,57199.1875,675.2744140625,167,0,117,119,0,131.159057617188,58737.1875,18275.5,1485.861328125,775.81689453125,744,193,0,14689.7578125,29365.515625,199.350830078125,128,7309.90625,5337.64453125,610.1796875,0,8744.8203125,670.6591796875,171,104,685.724609375,1653,0,9319.6328125,431.87255859375,21641.078125,706,589.05908203125,11895.78125,1659.138671875,1216.79296875,1723.7880859375,266.480224609375,24658.03125,11520.4296875,1745.7353515625,3095.962890625,4318.54296875,7278.828125,3995.45703125,0,35263.25,1393,0,25697.75,617,138,14870.7578125,54842.9375,3603.642578125
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD09.mzML",62572.96875,4229.48828125,726.20068359375,1219,209840,1807.888671875,408.12646484375,138,291983.75,3830.41015625,775.01416015625,112,6002.6953125,397.458984375,5080.85546875,169,135.12744140625,37997.34375,938.8759765625,539.9130859375,142,110.60009765625,122,165540,4913.890625,228,129880.375,1769301,207.479736328125,1563766,2219.943359375,117.1533203125,13094.8125,3668,4578.859375,805.4560546875,150,521495.75,260098.625,1107941,15748.3671875,1722.6396484375,807.5498046875,187.375,215.410766601562,112,3667.568359375,56796.28125,736,221.275512695312,0,125,0,0,112,57071.65625,16949.171875,1310.73046875,1473.1728515625,843.7841796875,176,0,15123.734375,27454.984375,235,125,11034.53125,7880.9453125,808.21630859375,0,8546.09375,1198.818359375,240.452392578125,199,1036.9677734375,1737.77734375,120,9725.875,279,21333.734375,354.24951171875,354.79931640625,12448.859375,1746.1689453125,1598.123046875,1668.12890625,345,26027.546875,12375.5234375,1740.6865234375,3226.60546875,4447.6875,6391.8125,4024.673828125,0,32202.34375,1190,0,24601.46875,467,243.844116210938,16246.703125,59194.0625,4074.037109375
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD10.mzML",66586.5,4990.55859375,1447.173828125,1110,222157.125,1912.791015625,294,271,282274.25,3625.583984375,682.5615234375,137,7065.30078125,215.88623046875,4567.1171875,176.966796875,217.480590820312,39486.40625,905.07275390625,481.589111328125,160,115,168,167775.75,3716.099609375,214.255126953125,137863.875,1914770,444.531005859375,1563348,1807.4677734375,111.920837402344,12816.546875,4538,4416.6953125,545.94775390625,0,538323.5,272638,1096496,15743.6796875,1892.927734375,1188.23828125,458,258.809814453125,156,3870.57421875,57811.1875,427.89697265625,306,0,130.27880859375,117,0,183,61174.90625,19863.765625,1550.2880859375,1065.515625,553.19970703125,171,0,15638.9921875,27221.1875,325,159,11225.8203125,7679.60546875,1078,0,9945.4609375,309.115234375,216.369873046875,0,883.1962890625,1665.388671875,0,10592.1484375,273.291748046875,23311.453125,563.2822265625,592.42138671875,13208.5078125,2424.0078125,1135.0380859375,1856.76953125,265,25297.4375,11681.890625,1839.5859375,3703.646484375,3861.642578125,7107.421875,4015.353515625,0,37037.875,1222.2021484375,0,27489.0625,398.45263671875,324.778564453125,16120.1640625,56434.5625,4475.94921875
