"","HPOS-002.1","HPOS-002.2","HPOS-002.3","HPOS-002.4","HPOS-004.1","HPOS-004.2","HPOS-004.3","HPOS-004.4","HPOS-006.1","HPOS-006.2","HPOS-006.3","HPOS-006.4","HPOS-010.1","HPOS-010.2","HPOS-011.1","HPOS-011.2","HPOS-011.3","HPOS-012.1","HPOS-012.2","HPOS-012.3","HPOS-014.1","HPOS-014.2","HPOS-014.3","HPOS-016.1","HPOS-016.2","HPOS-016.3","HPOS-020.1","HPOS-020.2","HPOS-020.3","HPOS-025.1","HPOS-025.2","HPOS-025.3","HPOS-028.1","HPOS-028.2","HPOS-028.3","HPOS-029.1","HPOS-029.2","HPOS-036.1","HPOS-036.2","HPOS-038.1","HPOS-038.2","HPOS-038.3","HPOS-038.4","HPOS-040.1","HPOS-040.2","HPOS-040.3","HPOS-042.1","HPOS-042.2","HPOS-043.1","HPOS-043.2","HPOS-043.3","HPOS-043.4","HPOS-044.1","HPOS-044.2","HPOS-044.3","HPOS-045.1","HPOS-045.2","HPOS-045.3","HPOS-045.4","HPOS-051.1","HPOS-051.2","HPOS-051.3","HPOS-055.1","HPOS-055.2","HPOS-055.3","HPOS-055.4","HPOS-056.1","HPOS-056.2","HPOS-056.3","HPOS-056.4","HPOS-057.1","HPOS-057.2","HPOS-057.3","HPOS-057.4","HPOS-059.1","HPOS-059.2","HPOS-059.3","HPOS-062.1","HPOS-062.2","HPOS-064.1","HPOS-064.2","HPOS-064.3","HPOS-072.1","HPOS-072.2","HPOS-072.3","HPOS-074.1","HPOS-074.2","HPOS-075.1","HPOS-075.2","HPOS-075.3","HPOS-075.4","HPOS-075.5","HPOS-078.1","HPOS-078.2","HPOS-078.3","HPOS-080.1","HPOS-080.2","HPOS-080.3","HPOS-082.1","HPOS-082.2","HPOS-082.3","HPOS-085.1","HPOS-085.2","HPOS-085.3"
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD01.mzML",42505.0025360762,NA,NA,NA,NA,NA,NA,NA,250474.994492224,3186.06344550867,NA,NA,NA,NA,NA,NA,NA,27876.4376684365,NA,NA,NA,0,NA,135882.825288956,NA,NA,113308.454983264,1409837.02470166,NA,1341858.11658998,1445.12309581343,0,10093.1369884331,3707.04143935319,NA,NA,0,504759.091225913,257407.479874687,915778.393118753,12860.6612746035,NA,NA,326.073903078525,NA,0,2602.96454396652,44316.3885924247,NA,NA,0,0,0,0,NA,46247.7568096941,14623.4726396358,NA,718.465775589857,NA,NA,0,13398.6065035898,23418.7641118566,NA,NA,5597.23684260114,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,9482.8188067999,NA,NA,NA,NA,18257.424580646,9432.21343970415,1272.75309380067,NA,3308.1470129956,5664.93364783988,3114.26636814354,0,NA,NA,0,20349.763945343,NA,NA,12265.0597564466,49723.4946897301,3274.08343962847
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD02.mzML",49115.6786291309,2779.60991133992,NA,NA,156372.034370926,NA,NA,NA,269065.724050157,3175.42082470327,NA,NA,5369.96857431192,NA,4537.74840216882,NA,NA,30466.6492919973,NA,NA,NA,NA,NA,144189.109977147,2484.39938991685,NA,122842.921665049,1585014.19285207,NA,1579261.04181248,NA,NA,11745.806309399,NA,NA,NA,0,515334.137616871,269571.769498429,989647.733751164,13576.095712109,1451.66202179896,0,NA,NA,NA,NA,48629.4370074253,NA,NA,0,0,NA,0,NA,50708.1132997447,15734.7595811555,NA,NA,NA,NA,0,13971.8818068133,24696.409650823,NA,0,NA,NA,NA,0,8193.08097225256,NA,0,NA,NA,808.61875648023,0,NA,NA,NA,NA,NA,10256.1124102842,NA,819.998768128857,NA,NA,22512.6600279831,11415.5963735143,NA,2829.96507592375,4342.45636601867,6160.01716454904,3127.85738002802,0,NA,NA,0,23536.6784937269,NA,NA,14081.7232055274,52320.0622904436,3477.0286513448
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD03.mzML",48778.9601819874,NA,NA,NA,155271.857159383,1340.30261166603,NA,NA,266641.008366993,2768.98130422404,NA,0,NA,NA,NA,145.05838582267,NA,31452.5123219548,NA,NA,NA,NA,NA,142082.724363184,3498.32435922382,NA,121394.916066094,1657150.73690069,NA,1517501.32567981,1851.4711924332,NA,11412.1943190027,NA,5242.97108602208,NA,0,519584.724073159,272648.021526197,998916.01714811,NA,1480.53151773991,1269.13161727056,NA,NA,0,3547.38949972507,52625.2692265734,308.730409527585,NA,0,NA,0,NA,NA,50500.1288610409,16455.4323063805,1151.36093293873,NA,NA,NA,0,14363.6633649665,25988.0160517718,NA,NA,NA,NA,NA,0,8051.79649215879,NA,NA,NA,859.83481881224,1143.19074719744,0,NA,NA,NA,NA,NA,10446.3927511559,NA,NA,NA,NA,23890.0572345217,11756.0430144954,NA,2936.02456483596,4534.59288657524,5853.21681937184,3409.28430387629,0,NA,NA,0,23249.7605848342,NA,NA,14574.2182369659,54662.1625880657,NA
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD04.mzML",50509.1373004684,NA,NA,NA,NA,NA,NA,NA,242746.08792155,2998.01602783236,NA,0,NA,NA,NA,NA,NA,32892.0936244264,NA,NA,NA,NA,NA,145360.558201344,3319.68870459115,NA,129602.961488994,1635627.63494601,NA,1507964.16527274,1565.80876576832,0,11593.7088870411,4154.32115023145,4466.0886141099,NA,NA,530810.069250781,277257.01875537,972722.47291694,14368.1822052257,1679.4954327028,NA,NA,NA,0,3649.98453568345,54645.749887072,NA,NA,0,0,0,0,0,52915.8525979719,16235.0185426828,1064.75048471369,NA,NA,0,0,14888.1207720261,26960.0272490088,NA,NA,6294.30333812658,NA,NA,0,7583.55666949018,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,11282.5738423903,0,NA,NA,NA,25533.3384405827,12830.4112288423,NA,3566.38996673003,4543.50096851685,6167.59490838086,3639.33109259429,0,NA,NA,NA,23915.8272937949,NA,NA,15006.4271650054,56583.0724094957,3892.92928480639
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD05.mzML",NA,NA,NA,NA,NA,NA,NA,NA,268655.880364518,2930.84232507503,NA,NA,NA,NA,NA,NA,138.347276204549,31933.3119379477,NA,NA,NA,NA,NA,148896.43100397,3573.60602209136,NA,126495.967174263,1601124.48493876,217.219907725132,1478828.11691174,2069.18847006029,NA,11790.6470260678,3545.55269590317,NA,NA,0,528489.944938482,282799.10996979,1038840.12120365,14454.3026861954,1256.31973547442,NA,NA,NA,NA,3140.47147306462,52021.4071490379,NA,NA,0,0,0,0,NA,52061.8480090421,15727.021300892,1126.10869481341,964.380513962004,NA,NA,0,14776.4484502891,27332.3228417624,NA,NA,NA,NA,NA,0,8842.51275778203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10903.0016548418,1228.40311272478,591.665057624781,NA,NA,23583.5055388548,11517.8731161437,1534.23809031426,2997.52415760692,4140.22198311583,6123.68777991791,3418.47433573961,0,NA,NA,NA,24123.8231761311,NA,186.042766077062,15568.1566519831,61076.9935194306,NA
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD06.mzML",50857.4437478185,NA,NA,NA,162207.156471241,NA,NA,NA,258629.128338321,3092.06199858097,665.743705578586,0,5350.2486591424,NA,NA,NA,NA,32144.4155149069,NA,NA,NA,NA,NA,143364.296336122,3482.22899841239,NA,121310.385593861,1702477.50326393,NA,1512283.87054288,1876.71442210131,NA,10952.026873096,3820.57072573554,4010.96396321476,743.011692276937,0,526417.337859709,279864.286927643,1054927.45480822,NA,1535.57166370154,NA,NA,NA,0,3219.41222684672,52579.9120014503,NA,NA,0,0,0,0,NA,52861.9341267784,16639.6746959057,1070.10588154716,972.737195113407,NA,NA,0,14579.407918304,26511.2712372903,NA,0,6352.58503888298,NA,NA,0,8199.44079574461,NA,NA,0,NA,1682.48296190993,0,NA,NA,NA,NA,NA,10200.462413298,1314.16961106683,NA,NA,NA,23799.5888420847,11400.0072805367,1290.94027935443,3314.47756787989,3986.36065439676,6114.00684439378,3088.06627167776,0,NA,NA,NA,23385.2390371344,NA,NA,14420.3065422742,53204.1279046887,NA
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD07.mzML",52451.5418457465,NA,NA,NA,NA,NA,NA,NA,275611.400142593,3140.85668913502,NA,0,NA,NA,NA,NA,NA,31549.4421786853,NA,NA,NA,NA,NA,148243.889706065,3512.14375825886,NA,131427.445545792,1735530.77559178,NA,1584701.34153619,1907.22515066092,NA,12120.597940228,4151.78900357553,NA,NA,0,539614.98804412,286337.613325339,1015035.0516077,15268.2442424969,NA,NA,NA,NA,NA,3318.72542229354,54397.2150701565,NA,NA,0,0,NA,0,NA,53754.5042984723,16344.7897694934,1240.94876347983,998.369931287408,NA,NA,0,14380.6220917253,27314.0411324832,NA,NA,NA,NA,NA,0,9039.89005739407,NA,NA,NA,795.934478823785,1441.31296244091,0,NA,NA,NA,NA,NA,11958.2632287546,NA,NA,NA,NA,24967.8911137574,12756.5134654038,1619.56916891658,3304.53344011391,3940.53387656636,6166.00963410362,3682.16064872563,0,NA,NA,NA,24806.4985071749,264.922928035097,NA,14678.8201736573,56690.1854212356,3754.36779833067
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD08.mzML",52597.9119484168,NA,NA,876.898349822333,177789.940312243,NA,NA,NA,275663.817294371,2996.7260378492,NA,0,NA,NA,NA,181.647639833204,NA,33606.2574534098,NA,NA,NA,NA,NA,149412.08839086,3880.22365846038,0,132929.07646408,1710877.73618946,NA,1637931.05984276,2065.85773554355,262.044660627357,11269.140718455,3684.23013413283,4466.45942369471,NA,0,539499.608663045,286514.496930112,1015650.307934,15295.8908252712,1721.96180468967,NA,364.501753020084,NA,NA,3524.81183640772,56382.6778445487,NA,NA,0,NA,NA,0,NA,55381.4888500344,17163.9027722181,1265.71387090008,NA,NA,NA,0,14795.9586766557,28382.8725798063,200.117326928225,NA,6517.9917001763,NA,NA,0,8464.0386546646,NA,NA,NA,711.877138546655,1532.8639166526,0,NA,NA,NA,NA,NA,11140.4535588988,NA,1172.55379374139,NA,NA,23647.8785139644,11534.591237273,1524.18403081815,2903.73180952615,4053.59174720872,6423.39388108715,3817.95978820937,0,NA,NA,0,25073.3467245828,587.604557642179,NA,15034.5413955402,56705.1099466167,4127.94757498905
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD09.mzML",53742.8183916165,NA,616.776794042547,NA,NA,NA,NA,NA,282891.330076882,NA,NA,NA,NA,NA,NA,154.255137279525,NA,34014.8288519754,NA,NA,NA,NA,NA,155201.422799643,4562.19346767304,NA,130015.978132293,1707087.75668215,NA,1531558.16692704,NA,NA,11675.1913025846,3660.82902105081,4594.0114084891,NA,NA,534447.046313225,283082.619671588,1051827.89288337,14557.7304358538,1628.29233711915,NA,157.089109804925,NA,NA,3576.18047397936,56519.0406809888,NA,NA,0,NA,0,0,NA,54643.9566464308,16567.408832059,1115.3946333494,NA,NA,NA,0,15274.9890857367,27043.9407397263,NA,NA,NA,7199.92479313644,NA,0,8170.21517928451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10897.0152949747,NA,NA,NA,NA,24539.9373194182,12278.0681154112,NA,3073.69043182472,3980.73182595272,6385.01061122334,3705.68560487972,0,NA,993.363119020392,0,23860.221215898,NA,NA,15943.0860592274,60140.9203317303,4171.44762633823
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD10.mzML",55998.6475917702,NA,NA,1004.87404526841,NA,NA,NA,NA,274692.106274754,3286.46706270289,NA,NA,NA,NA,3988.51972200742,166.321871139856,NA,35783.1403678712,NA,NA,NA,NA,NA,152481.663807285,3643.17596638851,NA,135444.620472485,1803761.72045229,NA,1566799.97518122,NA,NA,13031.302715863,3982.29795962081,3968.87088515911,NA,0,551143.805210689,288717.515120151,1102061.07316713,15467.6714239487,1789.80532069667,NA,NA,NA,NA,3656.5154006426,57624.4659702634,NA,NA,0,NA,NA,0,NA,59196.6745270114,17588.9838185803,1301.6908176223,992.203620601421,NA,NA,0,15287.0001502379,27919.3501386744,NA,NA,NA,6503.32259700199,NA,0,9287.66587097725,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,12374.111839079,NA,1231.87663403509,NA,NA,26152.986399605,12253.6899951561,1783.20135801081,3321.51650023891,4011.40380560417,6528.98309074896,3659.00118680704,0,NA,NA,0,26999.8454080244,404.609197595518,NA,16248.3699291471,57149.7908593457,4479.22189811024
