"","HPOS-002.1","HPOS-002.2","HPOS-002.3","HPOS-002.4","HPOS-004.1","HPOS-004.2","HPOS-004.3","HPOS-004.4","HPOS-006.1","HPOS-006.2","HPOS-006.3","HPOS-006.4","HPOS-010.1","HPOS-010.2","HPOS-011.1","HPOS-011.2","HPOS-011.3","HPOS-012.1","HPOS-012.2","HPOS-012.3","HPOS-014.1","HPOS-014.2","HPOS-014.3","HPOS-016.1","HPOS-016.2","HPOS-016.3","HPOS-020.1","HPOS-020.2","HPOS-020.3","HPOS-025.1","HPOS-025.2","HPOS-025.3","HPOS-028.1","HPOS-028.2","HPOS-028.3","HPOS-029.1","HPOS-029.2","HPOS-036.1","HPOS-036.2","HPOS-038.1","HPOS-038.2","HPOS-038.3","HPOS-038.4","HPOS-040.1","HPOS-040.2","HPOS-040.3","HPOS-042.1","HPOS-042.2","HPOS-043.1","HPOS-043.2","HPOS-043.3","HPOS-043.4","HPOS-044.1","HPOS-044.2","HPOS-044.3","HPOS-045.1","HPOS-045.2","HPOS-045.3","HPOS-045.4","HPOS-051.1","HPOS-051.2","HPOS-051.3","HPOS-055.1","HPOS-055.2","HPOS-055.3","HPOS-055.4","HPOS-056.1","HPOS-056.2","HPOS-056.3","HPOS-056.4","HPOS-057.1","HPOS-057.2","HPOS-057.3","HPOS-057.4","HPOS-059.1","HPOS-059.2","HPOS-059.3","HPOS-062.1","HPOS-062.2","HPOS-064.1","HPOS-064.2","HPOS-064.3","HPOS-072.1","HPOS-072.2","HPOS-072.3","HPOS-074.1","HPOS-074.2","HPOS-075.1","HPOS-075.2","HPOS-075.3","HPOS-075.4","HPOS-075.5","HPOS-078.1","HPOS-078.2","HPOS-078.3","HPOS-080.1","HPOS-080.2","HPOS-080.3","HPOS-082.1","HPOS-082.2","HPOS-082.3","HPOS-085.1","HPOS-085.2","HPOS-085.3"
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD01.mzML",262.611256966078,261,261,261,312.5,312.5,312.5,312.5,363.54640863434,364.074670328793,362.5,362.5,265,265,320,320,320,276.462982746592,272.5,272.5,360,360,360,375.879027971217,377,377,303.00930534576,302.474306543397,307.5,297.674215351651,298.096338760591,298,267.577748693209,267.22539095168,268,295,295,157.641287401211,156.15117589396,209.836857196399,210.008067177708,213,213,235.41329121085,232.5,232.5,255.614360136111,255.135765559841,275,275,275,275,280,280,280,310.388717634942,310.907169689679,310,311.155909958506,360,360,360,99.6328036318603,99.9042081132126,101,101,73.0265133478112,71,71,71,82,82,82,82,149,149,149,277,277,250,250,250,331.584789392047,335,335,287,287,79.5941442907047,79.5687559103647,79.8351734682676,80,79.4070745843444,120.419788214906,121.062344948923,121,280,280,280,139.077669352483,139,139,96.9873310787998,96.776699263702,96.5654056821904
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD02.mzML",262.004880447183,258.949953106699,261,261,314.470968335701,312.5,312.5,312.5,363.643562936869,363.330651192308,362.5,362.5,270.264932428889,265,332.786286732275,320,320,276.595161396808,272.5,272.5,360,360,360,376.021025658853,377.703909815277,377,303.031169308622,302.412390298289,307.5,297.458977103242,298,298,267.4358672493,268,268,295,295,157.683471442963,156.113638170478,209.8288579358,209.709148848902,209.662092195287,213,232.5,232.5,232.5,260,255.210474032148,275,275,275,275,280,280,280,310.650574007168,310.707585498479,310,310,360,360,360,99.5044403274697,99.8561402429998,101,101,71,71,71,71,83.2390239323867,82,82,82,149,150.585564173024,149,277,277,250,250,250,331.967941882757,335,335.18840190023,287,287,79.1852921598487,79.0247302790915,80,79.2408416221607,79.0676694889503,120.583837142758,120.631343838322,121,280,280,280,139.108544472583,139,139,96.616678220156,96.7267289999144,96.4655760454151
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD03.mzML",262.547189927718,261,261,261,314.577989834766,314.415448032727,312.5,312.5,363.63501748719,364.208686603249,362.5,362.5,265,265,320,347.293152440354,320,276.486205818956,272.5,272.5,360,360,360,376.109893008697,376.563522760554,377,303.210716909563,302.403000026276,307.5,297.532484088666,298.161381542187,298,267.485714979126,268,267.309337632818,295,295,157.708372916907,156.179101302312,209.931656003994,213,209.487032570288,210.16618386059,232.5,232.5,232.5,255.474102315014,255.248300725583,279.010077954173,275,275,275,280,280,280,310.696735267757,310.60856641845,310.793590907651,310,360,360,360,99.5564138815366,99.6736854884789,101,101,71,71,71,71,83.3689179542244,82,82,82,148.988628558671,149.282205690455,149,277,277,250,250,250,331.970508707123,335,335,287,287,79.1758980038806,79.1163578678657,80,79.1641904282218,79.2118688268917,120.87871660743,120.723222271769,121,280,280,280,138.987648704997,139,139,96.6532482413194,96.892422494506,97.5
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD04.mzML",262.515556104204,261,261,261,312.5,312.5,312.5,312.5,364.088374215949,363.35388022213,362.5,362.5,265,265,320,320,320,276.077293468674,272.5,272.5,360,360,360,376.134252478139,376.552686692719,377,303.137016432742,302.66127806606,307.5,297.615771789182,297.846951403757,298,267.512987371412,267.457907880181,267.829448560125,295,295,157.678466466703,156.140820831771,209.901104341031,210.125193780804,210.88994510548,213,232.5,232.5,232.5,255.490267227972,255.205834281433,275,275,275,275,280,280,280,310.512204284736,310.907747283102,311.126748272818,310,360,360,360,99.4526982118304,99.8013167827232,101,101,75.0169683764402,71,71,71,83.7222783969842,82,82,82,149,149,149,277,277,250,250,250,332.158974547667,335,335,287,287,79.0790971129026,79.1413138206263,80,79.0888323007173,79.204783659842,120.331359489864,120.186687988134,121,280,280,280,138.936441158733,139,139,96.7008611143589,96.5640197527643,96.2788544541334
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD05.mzML",261,261,261,261,312.5,312.5,312.5,312.5,363.742774550396,364.009866724002,362.5,362.5,265,265,320,320,315.533705451027,276.28958602124,272.5,272.5,360,360,360,376.167921744859,376.121572647402,377,303.121703220943,302.564156431046,310.584107652354,297.662713431017,297.555750918007,298,267.558673166488,267.94297906526,268,295,295,157.67401306558,156.145195375701,209.881987166904,209.813625181735,210.454695987757,213,232.5,232.5,232.5,255.433352651904,255.258885705168,275,275,275,275,280,280,280,310.558257530397,311.076082616447,311.71802214456,310.587726394471,360,360,360,99.6233991767979,99.6175255616585,101,101,71,71,71,71,83.0925780007278,82,82,82,149,149,149,277,277,250,250,250,332.188396952303,333.751837775167,333.350372839088,287,287,79.1308477006415,79.1544806748797,78.9008426905424,79.069188684228,79.1609675830075,120.668604778347,120.447229421371,121,280,280,280,138.980854130617,139,140.390471493338,96.6884839842389,96.6007686607308,97.5
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD06.mzML",262.110057612094,261,261,261,314.434411687332,312.5,312.5,312.5,363.749471293622,364.020793038378,362.633323785079,362.5,270.66302465345,265,320,320,320,276.466014998305,272.5,272.5,360,360,360,376.083563778304,376.746054280081,377,303.15494135825,302.560134378004,307.5,297.653675900683,298.229077750595,298,267.602470257775,267.597647011765,267.868794000455,295.189020271673,295,157.686032764904,156.184947495187,209.813588855554,213,210.512798437239,213,232.5,232.5,232.5,255.264823035645,255.305114144723,275,275,275,275,280,280,280,310.637935256195,310.796433156379,310.853202667723,310.527638500172,360,360,360,99.6083920648136,99.7367802263924,101,101,76.1597144431845,71,71,71,83.3244935560654,82,82,82,149,148.077982110746,149,277,277,250,250,250,332.146800182584,333.502806367347,335,287,287,79.1810505469034,79.1872319639622,79.2393745796738,79.3371288684179,79.5360077104926,120.383233490506,120.685652514621,121,280,280,280,139.063546335037,139,139,96.6372423957787,96.7854139320957,97.5
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD07.mzML",262.450914712608,261,261,261,312.5,312.5,312.5,312.5,363.807771856685,363.888006203463,362.5,362.5,265,265,320,320,320,277.014617857687,272.5,272.5,360,360,360,376.202684608027,376.375122044227,377,303.171434294985,302.500158501464,307.5,297.710165436886,297.653113312113,298,267.5695396465,268.245794388518,268,295,295,157.734238682006,156.201522172322,209.892214377253,209.716823622142,213,213,232.5,232.5,232.5,256.052755199787,255.288204506963,275,275,275,275,280,280,280,310.588254425519,310.842124622537,310.426511698061,311.114645620575,360,360,360,99.5556278922378,99.7330773101058,101,101,71,71,71,71,83.0072856292593,82,82,82,148.190408664054,148.230943224158,149,277,277,250,250,250,332.164216525826,335,335,287,287,79.2152245403792,79.0604892714088,79.1818262984963,79.1852392662274,79.5678608025009,120.521945576388,120.508121433097,121,280,280,280,138.984590390269,139.776613404109,139,96.6332241868213,96.5945318290679,96.7691237958118
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD08.mzML",262.508474139616,261,261,259.540045927347,314.426804098112,312.5,312.5,312.5,363.85832195767,364.380037767569,362.5,362.5,265,265,320,315.414319618888,320,276.82030101197,272.5,272.5,360,360,360,376.233850137124,376.108646909566,377,303.11229972849,302.509965218015,307.5,297.519910205208,297.71579969169,294.111797134764,267.569317721031,267.716124031065,267.798144979265,295,295,157.808807674835,156.284831621039,209.894307879208,209.684062596925,210.270873708087,213,235.539165121812,232.5,232.5,255.352660213784,255.20606941744,275,275,275,275,280,280,280,310.546591723549,310.868725887915,310.245239359727,310,360,360,360,99.7659528687361,99.9176757139522,104.032942004109,101,78.1855434847342,71,71,71,83.769220388147,82,82,82,149.228841226743,148.150073025632,149,277,277,250,250,250,332.274357973448,335,332.850460359127,287,287,79.3052798075369,79.3404948040314,79.5008866991001,79.7878796468877,79.1214814816013,120.524603798451,120.750534922012,121,280,280,280,139.025923233019,137.8736992113,139,96.7490727943331,96.8216821166502,96.4456716424852
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD09.mzML",262.646191494564,261,262.714920463056,261,312.5,312.5,312.5,312.5,363.865641376069,362.5,362.5,362.5,265,265,320,363.135333597665,320,276.577804985961,272.5,272.5,360,360,360,376.337010400988,375.359443067477,377,303.373093694962,302.81573183673,307.5,297.764436139229,298,298,267.879845438052,267.906473925308,267.710133307853,295,295,157.147615073372,156.380781399216,210.010358258616,209.997807845822,210.827974988877,213,261.854082508744,232.5,232.5,255.55252862448,255.421339693228,275,275,275,275,280,280,280,310.683876377572,310.907601968453,311.525949152891,310,360,360,360,99.6320163687205,99.7566126992615,101,101,71,70.3253810895436,71,71,83.3793207315674,82,82,82,149,149,149,277,277,250,250,250,332.552300723102,335,335,287,287,79.1376643977349,79.1911302808562,80,79.1719535774395,79.3034924929821,120.525226996146,120.375208229014,121,280,295.893437487106,280,139.127124145341,139,139,96.5962227835939,96.6054010670123,96.3754232105776
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD10.mzML",262.466652608989,261,261,258.645624536739,312.5,312.5,312.5,312.5,363.860822535122,364.042884477434,362.5,362.5,265,265,342.690760439845,342.418778497897,320,275.887145114226,272.5,272.5,360,360,360,376.204819711244,376.678842016808,377,303.177047138885,302.679143826365,307.5,297.688639993163,298,298,267.67226849872,267.576958117793,267.863237093227,295,295,157.74539950671,156.173903708026,209.828360104311,210.094479062007,209.506632504951,213,232.5,232.5,232.5,255.985033695019,255.338832337226,275,275,275,275,280,280,280,310.47161195014,310.808125975486,310.629688473096,310.429038750694,360,360,360,99.7166314700541,99.6221541651608,101,101,71,70.4751290889284,71,71,83.0278773986072,82,82,82,149,149,149,277,277,250,250,250,331.983025688765,335,332.505972653186,287,287,79.1640528863514,79.1377778829683,78.8644731962184,79.1805562937428,79.1790023653175,120.56095724146,120.548255307111,121,280,280,280,138.954509012864,139.212380157464,139,96.4336422646807,96.9056538600772,96.4990569038568
