"","HPOS-002.1","HPOS-002.2","HPOS-002.3","HPOS-002.4","HPOS-004.1","HPOS-004.2","HPOS-004.3","HPOS-004.4","HPOS-006.1","HPOS-006.2","HPOS-006.3","HPOS-006.4","HPOS-010.1","HPOS-010.2","HPOS-011.1","HPOS-011.2","HPOS-011.3","HPOS-012.1","HPOS-012.2","HPOS-012.3","HPOS-014.1","HPOS-014.2","HPOS-014.3","HPOS-016.1","HPOS-016.2","HPOS-016.3","HPOS-020.1","HPOS-020.2","HPOS-020.3","HPOS-025.1","HPOS-025.2","HPOS-025.3","HPOS-028.1","HPOS-028.2","HPOS-028.3","HPOS-029.1","HPOS-029.2","HPOS-036.1","HPOS-036.2","HPOS-038.1","HPOS-038.2","HPOS-038.3","HPOS-038.4","HPOS-040.1","HPOS-040.2","HPOS-040.3","HPOS-042.1","HPOS-042.2","HPOS-043.1","HPOS-043.2","HPOS-043.3","HPOS-043.4","HPOS-044.1","HPOS-044.2","HPOS-044.3","HPOS-045.1","HPOS-045.2","HPOS-045.3","HPOS-045.4","HPOS-051.1","HPOS-051.2","HPOS-051.3","HPOS-055.1","HPOS-055.2","HPOS-055.3","HPOS-055.4","HPOS-056.1","HPOS-056.2","HPOS-056.3","HPOS-056.4","HPOS-057.1","HPOS-057.2","HPOS-057.3","HPOS-057.4","HPOS-059.1","HPOS-059.2","HPOS-059.3","HPOS-062.1","HPOS-062.2","HPOS-064.1","HPOS-064.2","HPOS-064.3","HPOS-072.1","HPOS-072.2","HPOS-072.3","HPOS-074.1","HPOS-074.2","HPOS-075.1","HPOS-075.2","HPOS-075.3","HPOS-075.4","HPOS-075.5","HPOS-078.1","HPOS-078.2","HPOS-078.3","HPOS-080.1","HPOS-080.2","HPOS-080.3","HPOS-082.1","HPOS-082.2","HPOS-082.3","HPOS-085.1","HPOS-085.2","HPOS-085.3"
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD01.mzML",253.388612974595,251,251,251,295,295,295,295,357.264341646715,357.551700547881,352.5,352.5,255,255,303,303,303,264.786633439597,260,260,356,356,356,369.155658383075,365,365,296.881366264914,297.001331925951,292.5,292.367692956918,292.482872116767,288,263.363363841799,263.566524442436,261,285,285,150.598600336754,151.087304241842,205.801647386295,206.02520110553,203,203,228.665074945879,218,218,250.210159462207,250.630230173052,264,264,264,264,267,267,267,304.691061564342,304.520993869753,300,305.047296562533,355,355,355,95.3317260116819,95.2419452387811,93,93,67.1538802128689,64,64,64,76,76,76,76,142,142,142,266,266,241,241,241,327.443277034153,325,325,275,275,75.4297268122972,75.5004338076587,75.7837379093212,74,75.7556929516767,115.760637014009,116.242765287878,114,270,270,270,134.38381130376,133,133,92.4553093618966,92.3192014769816,92.7987164145974
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD02.mzML",253.498293933013,250.270219225371,251,251,302.99465115627,295,295,295,357.340639772326,357.211026511081,352.5,352.5,258.677759845446,255,310.391601242774,303,303,264.166624766892,260,260,356,356,356,369.195538624706,368.627071337183,365,296.882594109159,296.925132962673,292.5,292.389391989169,288,288,263.542806080351,261,261,285,285,150.534441579802,150.972755843208,205.823858008781,205.881318921594,206.084260322176,203,218,218,218,245,250.744582392388,264,264,264,264,267,267,267,304.845424392989,304.506845466726,300,300,355,355,355,95.0048020147974,95.0460680902556,93,93,64,64,64,64,76.7137606735043,76,76,76,142,144.896113641534,142,266,266,241,241,241,327.538529543464,325,327.824890025827,275,275,75.2686287265946,75.4601785743012,74,75.2281859079527,76.547954074026,115.934003419809,115.487079136126,114,270,270,270,134.430338116717,133,133,92.2882722351738,92.176262987132,92.0530087623314
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD03.mzML",253.436379262651,251,251,251,302.78102045049,302.304470684223,295,295,357.39745721506,357.084356774892,352.5,352.5,255,255,303,290.082596968647,303,264.952695105075,260,260,356,356,356,369.226004004599,369.444458785537,365,296.968726212348,297.103035507154,292.5,292.410859370716,292.570278168216,288,263.522167459388,261,264.124841122377,285,285,150.605483460487,151.071594996279,205.88548269843,203,206.106529690214,205.792746739835,218,218,218,250.948382617344,250.92718845101,265.066634722129,264,264,264,267,267,267,304.820063953328,304.554760360832,304.896008876084,300,355,355,355,95.0332981889858,95.0732474934335,93,93,64,64,64,64,76.6735724552524,76,76,76,145.013724676893,144.357114874399,142,266,266,241,241,241,327.570871500169,325,325,275,275,75.3657686857408,75.4150337725138,74,75.4565154494853,75.3582085479586,115.793496661593,115.798227130416,114,270,270,270,134.347775207981,133,133,92.310848932255,92.2939834151836,91
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD04.mzML",253.410583592237,251,251,251,295,295,295,295,356.839382932216,357.11455457191,352.5,352.5,255,255,303,303,303,265.302794418182,260,260,356,356,356,369.216106004635,369.24066385135,365,296.953169008668,297.10215085513,292.5,292.396550086358,291.946608061373,288,263.547187176254,263.731290330529,263.690102281456,285,285,150.532213377123,150.99806026728,205.76525567714,206.161509362028,206.990082807582,203,218,218,218,250.884423708195,250.886313530172,264,264,264,264,267,267,267,304.783453201628,304.619446219691,304.161558331675,300,355,355,355,94.9410008469147,95.1044205358012,93,93,66.9158867973609,64,64,64,76.3367570475184,76,76,76,142,142,142,266,266,241,241,241,327.549948931019,325,325,275,275,75.3968831827638,75.3766287258573,74,75.4787006548046,75.5096087934364,115.584997906976,115.689030642341,114,270,270,270,134.332752402337,133,133,92.2504345598586,92.2404589090987,92.1682352098785
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD05.mzML",251,251,251,251,295,295,295,295,357.39976577248,356.934686792564,352.5,352.5,255,255,303,303,310.224961767992,265.139570322493,260,260,356,356,356,369.359366340891,369.304589129478,365,296.978407615059,297.059845662831,283.697061871362,292.371318544078,292.342998883129,288,263.552680578148,263.181054385094,261,285,285,150.521376222076,151.058523540063,205.874222192452,205.897395581108,205.7219293933,203,218,218,218,250.795724248396,250.868414317365,264,264,264,264,267,267,267,304.828857244918,304.608776328784,305.011567172162,304.741294837158,355,355,355,95.0723832659722,94.9456977762078,93,93,64,64,64,64,77.0167621162242,76,76,76,142,142,142,266,266,241,241,241,327.681116907004,327.716546990183,326.620734962578,275,275,75.3345970855623,75.3070192375726,75.5018284577682,75.5450944574075,75.387551312278,115.845849164011,115.67352870815,114,270,270,270,134.273215871579,133,133.348038712611,92.2829245188245,92.3794568126183,91
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD06.mzML",253.485018641749,251,251,251,303.3579820593,295,295,295,357.384117293747,357.88085037162,357.726334209078,352.5,257.907697291315,255,303,303,303,265.045028701607,260,260,356,356,356,369.246358054712,369.336862765356,365,296.986317471309,297.098143103416,292.5,292.409801706436,292.496107179221,288,263.478030648443,263.574450589092,263.731792671517,293.883835761123,285,150.584001073529,151.092300696623,205.880023634475,203,206.104886095093,203,218,218,218,250.796407425739,250.983684541404,264,264,264,264,267,267,267,304.887863974498,304.694616487456,304.844160804123,306.328734822792,355,355,355,95.0372523525945,95.1567185600095,93,93,66.9905979814279,64,64,64,76.81296610971,76,76,76,142,144.775305459622,142,266,266,241,241,241,327.474423132638,328.30252953545,325,275,275,75.5122153286678,75.5176366957089,75.5047250424501,75.3917453650503,75.6447143012178,115.693707571328,115.476013176774,114,270,270,270,134.419638310131,133,133,92.2844864417932,92.1887481819056,91
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD07.mzML",253.593213645132,251,251,251,295,295,295,295,357.485176507372,357.399855905621,352.5,352.5,255,255,303,303,303,263.265563868448,260,260,356,356,356,369.357675665652,369.208129863325,365,296.96788990908,297.092792294144,292.5,292.492933133456,292.358426752956,288,263.545470870048,264.110490706786,261,285,285,150.582859574005,151.062992812864,205.849526537382,206.050862252072,203,203,218,218,218,251.264890454815,251.008886421583,264,264,264,264,267,267,267,304.833456928163,304.551504301729,304.854245531252,305.754184163194,355,355,355,95.0211463424656,95.0769356984703,93,93,64,64,64,64,77.2088287511319,76,76,76,144.134706550276,144.05142281587,142,266,266,241,241,241,327.776237505072,325,325,275,275,75.3688806855253,75.5225452666406,75.5383658655819,75.5470936163925,75.9031410663575,115.67707325016,115.74927835211,114,270,270,270,134.393324774029,132.920292151193,133,92.189005081198,92.1300676412977,91.5835295844146
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD08.mzML",253.45407393861,251,251,254.111878960064,303.459428376952,295,295,295,357.495294218514,357.595308941197,352.5,352.5,255,255,303,308.963968359241,303,264.697237916031,260,260,356,356,356,369.287699953448,368.942287583148,365,296.951164355649,296.984808492319,292.5,292.370385338714,292.224349795741,287.600440237999,263.495486110729,263.364549976732,263.304277466969,285,285,150.575355534455,151.087535188354,205.833210699731,205.966119953844,206.526788389954,203,228.419100213074,218,218,251.004880645791,250.927015448832,264,264,264,264,267,267,267,304.801103541339,304.683369993717,305.12825623961,300,355,355,355,95.0755248078792,95.2837027889177,94.1069128545453,93,67.1125704140791,64,64,64,76.5161908994925,76,76,76,144.365277500638,144.645822930051,142,266,266,241,241,241,327.61128104164,325,327.923986568192,275,275,75.4735612764374,75.3825223404453,75.3070107275315,75.3097805084208,75.4246672468847,115.913005912034,116.06469336644,114,270,270,270,134.430884292009,135.357911712272,133,92.3515616916778,92.2809789877524,92.3063500168047
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD09.mzML",253.822323838987,251,253.758212336681,251,295,295,295,295,357.634353915108,352.5,352.5,352.5,255,255,303,258.44703589583,303,265.263281763669,260,260,356,356,356,369.542901248565,369.607928566955,365,297.112662150445,297.228028162266,292.5,292.493136255371,288,288,263.64574555483,263.443972695563,263.708968521427,285,285,150.263445492934,151.134419837129,206.01054250529,206.017299637733,206.384349871805,203,188.579365777563,218,218,250.848477682994,251.082172480375,264,264,264,264,267,267,267,305.02666515292,304.81757658001,305.161282655,300,355,355,355,94.9912281689586,95.0397289420979,93,93,64,67.9657766693937,64,64,76.6751922396597,76,76,76,142,142,142,266,266,241,241,241,327.442937702734,325,325,275,275,75.291189112702,75.3182660663322,74,75.3639678558599,75.1736241554111,115.754004309245,115.799065155192,114,270,257.765592210913,270,134.344908240543,133,133,92.2184508994878,92.2055507577047,92.33487010727
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_B1SRD10.mzML",253.660957384762,251,251,254.047879163322,295,295,295,295,357.525820849408,357.43164472156,352.5,352.5,255,255,311.677553830697,286.316569672609,303,265.647686239567,260,260,356,356,356,369.361889766865,370.023126161911,365,296.980318789946,297.129097626243,292.5,292.362134504451,288,288,263.632447873073,263.590757572574,263.515917889506,285,285,150.574870778141,150.934710246329,205.874888533288,206.016708524552,206.106483074721,203,218,218,218,251.18003178314,251.040230610504,264,264,264,264,267,267,267,304.915411024759,304.749442970987,304.713115665037,305.085900081446,355,355,355,95.0097794145988,94.8779707508214,93,93,64,67.7507557513426,64,64,76.9484604424931,76,76,76,142,142,142,266,266,241,241,241,327.641895213893,325,328.26013273222,275,275,75.2703007052428,75.268616317418,75.6454624641071,75.3781334185342,75.1716740969663,115.735904050851,115.563222862759,114,270,270,270,134.398069562086,135.344605080376,133,92.1272040819214,92.1798334905519,92.4217808093003
