"","ratio_peaks_found","ratio_peaks_filled","ppm_error","rt_dev_sec"
"HPOS-002.1 - Octenoylcarnitine (C8:1)",0.995454545454545,0.00454545454545455,2.20511305651217,2.30246552478132
"HPOS-002.2 - Octenoylcarnitine (C8:1)",0.704545454545455,0.295454545454545,5.06752651348771,2.19596879802565
"HPOS-002.3 - Octenoylcarnitine (C8:1) ISF.1",0.877272727272727,0.122727272727273,2.84491527111166,2.09817394200013
"HPOS-002.4 - Octenoylcarnitine (C8:1) ISF.2",0.807954545454545,0.192045454545455,3.34665582568291,5.22881935558267
"HPOS-004.1 - L-Acetylcarnitine",0.973863636363636,0.0261363636363636,2.84147668688253,-3.97622122210849
"HPOS-004.2 - L-Acetylcarnitine",0.957954545454546,0.0420454545454545,4.23387968545091,-3.58699227097427
"HPOS-004.3 - L-Acetylcarnitine ISF.1",0.577272727272727,0.422727272727273,5.37658173892117,-4.18632040924009
"HPOS-004.4 - L-Acetylcarnitine ISF.2",0.894318181818182,0.105681818181818,4.57399206347257,-4.20227199750768
"HPOS-006.1 - Asymmetric Dimethylarginine",0.998863636363636,0.00113636363636364,2.88804962801696,-2.42199684598188
"HPOS-006.2 - Asymmetric Dimethylarginine ISF.1",0.993181818181818,0.00681818181818182,3.41612586229232,-2.40179952929889
"HPOS-006.3 - Asymmetric Dimethylarginine ISF.2",0.897727272727273,0.102272727272727,3.51538133535266,-2.80761252643892
"HPOS-006.4 - Asymmetric Dimethylarginine ISF.3",0.594318181818182,0.405681818181818,2.99252106738124,-2.62559512434978
"HPOS-010.1 - Hexanoylcarnitine (C6:0)",0.970454545454545,0.0295454545454545,2.05220731573087,-2.41917542031544
"HPOS-010.2 - Hexanoylcarnitine (C6:0) ISF.1",0.523863636363636,0.476136363636364,4.61591140029916,-2.23225072397876
"HPOS-011.1 - Glutarylcarnitine",0.963636363636364,0.0363636363636364,2.27826475016006,0.583581716549214
"HPOS-011.2 - Glutarylcarnitine",0.918181818181818,0.0818181818181818,4.44304300286331,0.516148915060241
"HPOS-011.3 - Glutarylcarnitine ISF.1",0.528409090909091,0.471590909090909,4.2351121961834,0.400626177681048
"HPOS-012.1 - Isovalerylcarnitine",0.993181818181818,0.00681818181818182,2.24437663065352,1.8391932352072
"HPOS-012.2 - Isovalerylcarnitine",0.875,0.125,2.78109660677476,1.54711579893289
"HPOS-012.3 - Isovalerylcarnitine ISF.1",0.894318181818182,0.105681818181818,4.93809357535772,1.63287850369407
"HPOS-014.1 - Histidine",0.363636363636364,0.636363636363636,4.01547971457547,-11.1367915751355
"HPOS-014.2 - Histidine",0.168181818181818,0.831818181818182,1.88434226788246,-10.8862642057636
"HPOS-014.3 - Histidine ISF.1",0.361363636363636,0.638636363636364,3.97668203894813,-10.9206008347276
"HPOS-016.1 - N6,N6,N6-Trimethyllysine",1,0,3.19832296643578,-2.39076587918949
"HPOS-016.2 - N6,N6,N6-Trimethyllysine ISF.1",0.994318181818182,0.00568181818181818,5.27582094022862,-2.48276399742651
"HPOS-016.3 - N6,N6,N6-Trimethyllysine ISF.2",0.744318181818182,0.255681818181818,3.51667855180727,-2.62935600561207
"HPOS-020.1 - Proline Betaine",0.993181818181818,0.00681818181818182,3.78890259418603,2.64807665668439
"HPOS-020.2 - Proline Betaine",0.996590909090909,0.00340909090909091,4.27745744915046,2.79441642972207
"HPOS-020.3 - Proline Betaine ISF.1",0.319318181818182,0.680681818181818,5.38149052879729,2.534161580993
"HPOS-025.1 - Trigonelline",0.995454545454545,0.00454545454545455,4.54106893373515,2.30859702628324
"HPOS-025.2 - Trigonelline ISF.1",0.905681818181818,0.0943181818181818,4.63504442142267,2.19648054578013
"HPOS-025.3 - Trigonelline ISF.2",0.130681818181818,0.869318181818182,4.08913151580465,2.05270148359353
"HPOS-028.1 - N-Acetylputrescine",0.990909090909091,0.00909090909090909,4.79140064288615,0.057670748239756
"HPOS-028.2 - N-Acetylputrescine",0.964772727272727,0.0352272727272727,5.47394032881335,0.0748264265301578
"HPOS-028.3 - N-Acetylputrescine ISF.1",0.947727272727273,0.0522727272727273,6.21002174182387,0.0207942866689867
"HPOS-029.1 - 4-Trimethylammoniobutanoate",0.936363636363636,0.0636363636363636,6.90754430678553,-4.57775905293601
"HPOS-029.2 - 4-Trimethylammoniobutanoate ISF.1",0.071590909090909,0.928409090909091,3.585812829585,-4.86392328535092
"HPOS-036.1 - Creatinine",0.993181818181818,0.00681818181818182,4.27354179658378,1.70940921318959
"HPOS-036.2 - Creatinine",0.817045454545455,0.182954545454545,2.40976958768688,2.6659194519329
"HPOS-038.1 - 1,1-Dimethylbiguanide (Metformin)",0.975,0.025,4.67243585199523,1.59526905864015
"HPOS-038.2 - 1,1-Dimethylbiguanide (Metformin) ISF.1",0.318181818181818,0.681818181818182,5.30524980699977,1.66391186631669
"HPOS-038.3 - 1,1-Dimethylbiguanide (Metformin) ISF.2",0.271590909090909,0.728409090909091,5.93663717724743,1.57465117441145
"HPOS-038.4 - 1,1-Dimethylbiguanide (Metformin) ISF.3",0.188636363636364,0.811363636363636,7.84283919261963,1.41483138316156
"HPOS-040.1 - Phenylalanine",0.821590909090909,0.178409090909091,3.75947463055544,-4.88052181423953
"HPOS-040.2 - Phenylalanine ISF.1",0.930681818181818,0.0693181818181818,4.41681190076764,-4.80351603686688
"HPOS-040.3 - Phenylalanine ISF.2",0.582954545454546,0.417045454545455,4.72068121835726,-4.82722628411893
"HPOS-042.1 - Trimethylamine N-oxide",0.869318181818182,0.130681818181818,7.56843860488529,-0.541115625047628
"HPOS-042.2 - Trimethylamine N-oxide",0.985227272727273,0.0147727272727273,4.33796128636863,-0.6073531990995
"HPOS-043.1 - Proline",0.888636363636364,0.111363636363636,4.33477019854072,0.66224116763936
"HPOS-043.2 - Proline",0.573863636363636,0.426136363636364,3.17529501838577,0.423484348238105
"HPOS-043.3 - Proline",0.105681818181818,0.894318181818182,3.85634477149444,1.75242728415598
"HPOS-043.4 - Proline ISF.1",0.0875,0.9125,3.62388683210298,-0.205742149616648
"HPOS-044.1 - Alanine",0.572727272727273,0.427272727272727,3.42756878408234,-2.57318055892139
"HPOS-044.2 - Alanine",0.405681818181818,0.594318181818182,2.25355882231772,-2.04029068670986
"HPOS-044.3 - Alanine",0.194318181818182,0.805681818181818,3.01192785857036,-2.62100705751426
"HPOS-045.1 - Creatine",0.994318181818182,0.00568181818181818,4.36362688931005,0.683162204377306
"HPOS-045.2 - Creatine",0.984090909090909,0.0159090909090909,4.00343512649119,0.711023861328943
"HPOS-045.3 - Creatine",0.948863636363636,0.0511363636363636,6.79908480521561,0.738804435485199
"HPOS-045.4 - Creatine ISF.1",0.956818181818182,0.0431818181818182,6.29550053571441,0.599625547740631
"HPOS-051.1 - 3-methylhistidine",0.535227272727273,0.464772727272727,4.40629718362617,-6.89952419610162
"HPOS-051.2 - 3-methylhistidine ISF.1",0.551136363636364,0.448863636363636,4.76391253969334,-7.05797852048195
"HPOS-051.3 - 3-methylhistidine ISF.2",0.348863636363636,0.651136363636364,3.07032911732079,-6.94348267627646
"HPOS-055.1 - Hypoxanthine ",0.985227272727273,0.0147727272727273,4.25602420984515,1.49272156811384
"HPOS-055.2 - Hypoxanthine ",0.992045454545455,0.00795454545454545,3.94998080071252,1.53555658758968
"HPOS-055.3 - Hypoxanthine ISF.1",0.847727272727273,0.152272727272727,6.90552922383974,1.48852463323945
"HPOS-055.4 - Hypoxanthine ISF.2",0.657954545454545,0.342045454545455,3.80417503850968,1.46414512377552
"HPOS-056.1 - Pantothenate",0.992045454545455,0.00795454545454545,2.59556284953922,-0.729519860040575
"HPOS-056.2 - Pantothenate",0.979545454545454,0.0204545454545455,4.40119650580147,-0.872124905215107
"HPOS-056.3 - Pantothenate ISF.1",0.977272727272727,0.0227272727272727,2.83484638419406,-0.762497224494256
"HPOS-056.4 - Pantothenate ISF.2",0.689772727272727,0.310227272727273,4.1662687386419,-0.781142309234037
"HPOS-057.1 - Urocanate",0.990909090909091,0.00909090909090909,4.32305788289032,0.0988236039747985
"HPOS-057.2 - Urocanate ISF.1",0.0159090909090909,0.984090909090909,4.72764701485104,0.976904115111875
"HPOS-057.3 - Urocanate ISF.2",0.420454545454545,0.579545454545455,4.03134248356799,0.108011813396288
"HPOS-057.4 - Urocanate ISF.3",0.402272727272727,0.597727272727273,2.97563240334399,0.0826645008494999
"HPOS-059.1 - Cytosine",0.959090909090909,0.0409090909090909,5.2623169487796,1.93579178638441
"HPOS-059.2 - Cytosine",0.936363636363636,0.0636363636363636,7.49165990408258,1.92302461699615
"HPOS-059.3 - Cytosine",0.615909090909091,0.384090909090909,5.71480471733628,1.87042822839551
"HPOS-062.1 - Tiglylcarnitine (C5:1)",0.980681818181818,0.0193181818181818,2.29181797125619,-3.29123424390959
"HPOS-062.2 - Tiglylcarnitine (C5:1) ISF.1",0.951136363636364,0.0488636363636364,5.03974257714622,-3.36955259261562
"HPOS-064.1 - Decadienoylcarnitine (C10:2)",0.926136363636364,0.0738636363636364,1.74949004052004,-1.94488097030528
"HPOS-064.2 - Decadienoylcarnitine (C10:2)",0.827272727272727,0.172727272727273,1.94379939032204,-1.7329124231663
"HPOS-064.3 - Decadienoylcarnitine (C10:2) ISF.1",0.623863636363636,0.376136363636364,8.20725230465014,-2.1427063699717
"HPOS-072.1 - Thiamine",0.360227272727273,0.639772727272727,6.65158964162545,-0.995783269982153
"HPOS-072.2 - Thiamine ISF.1",0.763636363636364,0.236363636363636,3.87437247661499,-0.973542880098982
"HPOS-072.3 - Thiamine ISF.2",0.788636363636364,0.211363636363636,6.96166073701663,-1.065755261109
"HPOS-074.1 - N,N-Dimethylglycine",0.877272727272727,0.122727272727273,6.91728533111052,1.6253794390505
"HPOS-074.2 - N,N-Dimethylglycine",0.602272727272727,0.397727272727273,4.80825739465041,1.6564389325574
"HPOS-075.1 - Pseudouridine",0.972727272727273,0.0272727272727273,2.92949769000631,0.725393588112819
"HPOS-075.2 - Pseudouridine ISF.1",0.980681818181818,0.0193181818181818,3.07644087215152,0.763084958106626
"HPOS-075.3 - Pseudouridine ISF.2",0.939772727272727,0.0602272727272727,2.94918454455395,0.737198674471228
"HPOS-075.4 - Pseudouridine ISF.3",0.973863636363636,0.0261363636363636,3.25558059137248,0.73300673777649
"HPOS-075.5 - Pseudouridine ISF.4",0.980681818181818,0.0193181818181818,5.96367025796887,0.758519016518722
"HPOS-078.1 - N2,N2-Dimethylguanosine",0.998863636363636,0.00113636363636364,2.45643421312898,1.46992521552696
"HPOS-078.2 - N2,N2-Dimethylguanosine ISF.1",0.977272727272727,0.0227272727272727,7.69725943233486,1.49455709260017
"HPOS-078.3 - N2,N2-Dimethylguanosine ISF.2",0.264772727272727,0.735227272727273,3.85585939467337,1.43698700930762
"HPOS-080.1 - Butyrylcarnitine",0.964772727272727,0.0352272727272727,2.30053364889833,-3.53453768965192
"HPOS-080.2 - Butyrylcarnitine ISF.1",0.938636363636364,0.0613636363636364,6.99189549909187,-3.63942342872023
"HPOS-080.3 - Butyrylcarnitine ISF.2",0.755681818181818,0.244318181818182,4.08889313799504,-3.64899897980798
"HPOS-082.1 - 7-Methylguanine",0.995454545454545,0.00454545454545455,3.65553107132039,1.52769935463772
"HPOS-082.2 - 7-Methylguanine ISF.1",0.975,0.025,3.73488761353095,1.45745323080573
"HPOS-082.3 - 7-Methylguanine ISF.2",0.954545454545455,0.0454545454545455,3.81251645238519,1.48410460515777
"HPOS-085.1 - N1-methyl-4-pyridone-3-carboxamide",0.992045454545455,0.00795454545454545,4.16488390661562,1.58233442307995
"HPOS-085.2 - N1-methyl-4-pyridone-3-carboxamide",0.978409090909091,0.0215909090909091,3.6468515243705,1.56127394776248
"HPOS-085.3 - N1-methyl-4-pyridone-3-carboxamide ISF.1",0.971590909090909,0.0284090909090909,6.61050395038906,1.57748412935462
