"","HPOS-002.1","HPOS-002.2","HPOS-002.3","HPOS-002.4","HPOS-004.1","HPOS-004.2","HPOS-004.3","HPOS-004.4","HPOS-006.1","HPOS-006.2","HPOS-006.3","HPOS-006.4","HPOS-010.1","HPOS-010.2","HPOS-011.1","HPOS-011.2","HPOS-011.3","HPOS-012.1","HPOS-012.2","HPOS-012.3","HPOS-014.1","HPOS-014.2","HPOS-014.3","HPOS-016.1","HPOS-016.2","HPOS-016.3","HPOS-020.1","HPOS-020.2","HPOS-020.3","HPOS-025.1","HPOS-025.2","HPOS-025.3","HPOS-028.1","HPOS-028.2","HPOS-028.3","HPOS-029.1","HPOS-029.2","HPOS-036.1","HPOS-036.2","HPOS-038.1","HPOS-038.2","HPOS-038.3","HPOS-038.4","HPOS-040.1","HPOS-040.2","HPOS-040.3","HPOS-042.1","HPOS-042.2","HPOS-043.1","HPOS-043.2","HPOS-043.3","HPOS-043.4","HPOS-044.1","HPOS-044.2","HPOS-044.3","HPOS-045.1","HPOS-045.2","HPOS-045.3","HPOS-045.4","HPOS-051.1","HPOS-051.2","HPOS-051.3","HPOS-055.1","HPOS-055.2","HPOS-055.3","HPOS-055.4","HPOS-056.1","HPOS-056.2","HPOS-056.3","HPOS-056.4","HPOS-057.1","HPOS-057.2","HPOS-057.3","HPOS-057.4","HPOS-059.1","HPOS-059.2","HPOS-059.3","HPOS-062.1","HPOS-062.2","HPOS-064.1","HPOS-064.2","HPOS-064.3","HPOS-072.1","HPOS-072.2","HPOS-072.3","HPOS-074.1","HPOS-074.2","HPOS-075.1","HPOS-075.2","HPOS-075.3","HPOS-075.4","HPOS-075.5","HPOS-078.1","HPOS-078.2","HPOS-078.3","HPOS-080.1","HPOS-080.2","HPOS-080.3","HPOS-082.1","HPOS-082.2","HPOS-082.3","HPOS-085.1","HPOS-085.2","HPOS-085.3"
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W11_LTR.mzML",3661138.84909449,64626.9623528824,22027.5511477549,56362.4263008675,9780150.40391029,20800.7600292279,21371.1340300974,NA,6003549.3298526,73719.7065750436,5338.53514394397,NA,225127.391372468,2787.98034663253,813255.186177105,12033.3894269126,NA,1908379.02593897,29735.5705430968,11286.8201983985,NA,NA,NA,4602510.74997998,112730.824216119,3275.45170952599,520389.948161924,13172415.9521233,NA,8949382.63832409,4353.88612009998,NA,132785.074541474,11254.4354390369,NA,297517.537629685,267.415427302643,1048323.55462284,282392.836381158,103864.807009813,NA,NA,NA,23544.7735434742,20162.8260303262,NA,26438.6768134996,390136.646576543,4733.28707294626,1201.5262893483,NA,NA,NA,712.133155834768,NA,1014683.50013052,94731.7328465215,17286.6808520916,31904.5340794056,2509305.57202603,35968.8611569509,1837.19762356064,539632.807316733,376834.665418582,5563.28973712571,2249.0805131059,661651.770865162,592387.762564562,37858.2488373488,NA,777389.996113982,NA,NA,877.150766163718,36985.6465722094,NA,NA,877203.831722548,13280.9318386639,NA,36217.5145192886,NA,NA,8084.62472099166,NA,11229.4797096164,NA,1433210.30612915,1382273.41402379,185998.311435194,374385.050097274,497045.746150581,370146.517432793,215332.556061649,NA,5707097.83954031,23749.2304069861,4399.57884472797,1491887.28413402,25298.2180866739,9766.22463699343,2042905.7276751,500586.128958892,309489.420140084
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W12_SR.mzML",2925039.44379245,NA,17160.2816943946,30776.8648324588,10482723.2399615,17171.7622475791,NA,7664.34865734422,6248573.33946077,75656.8442313156,NA,1388.36485557818,706164.855461361,8035.26722968399,888300.246858634,11393.2969337704,NA,2472649.60046373,NA,20393.1866421795,NA,NA,NA,4029270.62191245,99033.5729920913,2642.08156117305,513728.291564928,12615802.9346776,NA,10147850.6735887,6605.89245981483,NA,135410.327476187,9083.03262262563,NA,319905.886687965,NA,1034661.93230994,269718.476001696,3878037.42092881,53815.7235046544,6740.11443183148,NA,27638.5842889004,26558.0376300071,2455.14842279502,27584.5526887453,399209.480558202,9845.51105965932,2261.35426996141,NA,NA,1740.83841932729,835.478413559342,NA,1324636.15353386,119848.814267026,21095.0060021103,36667.7210198948,NA,31206.5025963658,NA,749600.80318575,377075.187665977,7736.65322816976,NA,535836.889605749,397628.40456685,33790.5322725674,1384.01797308735,684108.956993385,NA,780.75493047158,726.619951508886,47623.9166178957,52012.1382156013,NA,1031755.9631759,17448.476945952,2577865.33832252,75783.9168185947,22733.2652164494,11041.6209257378,11623.3679302746,12131.4234351391,13299.0215149797,NA,1204292.72268183,1327223.26461915,182837.55541181,369044.08051859,474736.889539527,617793.477312066,392183.144903056,2011.74720233572,6285641.72710414,25858.4908731879,4757.86107027063,1803208.85867781,32796.8251480889,11334.3756995163,1868428.64461028,362874.786787025,338809.023857388
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W23_LTR.mzML",2493323.49942495,659969.839778219,15794.4478729968,73116.8306257058,10225287.3470592,12109.1292091874,50753.7496490366,8708.53651383818,6548440.45422333,76438.3759928483,5169.38669741372,1223.5753125219,268903.348311983,3758.55018781341,1565620.68171534,14413.171785469,NA,2321236.94037498,31307.2813133476,14042.2157082188,NA,NA,NA,3841522.39560416,100103.774579526,3543.70090733996,495849.412963051,12918006.3109517,NA,8673336.78988935,4914.70802226785,NA,206419.970941873,9288.80871343459,80122.1331871492,358086.518942125,0,1010947.68876591,NA,206683.057278045,2802.27989584603,NA,NA,14338.7502179394,14358.2038044429,1309.6962830727,25966.77665811,366540.786831025,4446.00336415843,1437.77246327472,NA,NA,1255.21321018285,NA,NA,1089680.19381835,95411.0767786546,12396.8559558003,37428.5823977626,NA,25884.9815281544,NA,520017.797459789,368129.337814435,5821.91603443172,NA,864515.837367183,580049.088143499,52525.3640659705,2405.17338602248,746754.24529315,2528.89572519228,NA,NA,32687.0643442367,61691.4045515919,1191.3056492527,1121413.47497526,18826.4721753721,NA,24871.7038064552,NA,NA,10226.9641968119,9818.02531007564,10913.527434445,5410.38988917179,1476323.38336269,1494946.02051495,221868.329040934,393970.122154608,506214.559432567,395538.019153325,235708.038322826,NA,7054760.82221385,28700.3197615274,4791.46303467741,1450850.55957978,25913.6846796398,9106.04386308737,1914577.67521518,469437.781594092,323425.02378924
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W24_SR.mzML",2619220.12921768,NA,16312.6476747134,30865.2428626429,10387573.508633,19067.3258972524,61972.5862450701,8877.14434127342,6087500.85426272,70643.2562138939,4796.32799521136,NA,720629.415810483,9050.81099804855,880250.296935306,10701.0798336593,NA,2525205.1220604,44826.6282099873,20795.8978880579,NA,NA,NA,3509199.24434636,89560.4560971329,2250.49196340705,512194.329464102,12249187.4859866,NA,9737109.66210399,6277.67543378309,0,155775.160151011,10950.4048978364,NA,271722.089098179,NA,1023919.28430212,266760.270014828,3775989.84206369,49083.5999061741,6373.49576007243,NA,24916.7899641513,22038.5373741921,NA,27023.8381371457,383074.369379152,8458.98638022728,2682.09148511687,NA,NA,NA,NA,NA,1275863.4565713,131241.655359065,21468.3767951606,36039.3672621444,NA,NA,NA,724329.80451236,396423.572802368,7690.97007684099,NA,527044.677676929,385185.466793383,32046.9012362401,1192.68655198059,666437.456779298,NA,NA,NA,44614.467624281,52362.1430925613,903.168580220462,1067572.9464508,18108.7029513391,2535502.75858138,65337.0997002001,21953.589680707,NA,NA,NA,11963.4781327842,NA,1216736.07237357,1397269.08714741,189007.439946802,NA,478970.539716615,616864.798716691,374214.618146563,NA,6662357.86362239,26599.0112297338,NA,1804218.73357186,32543.7920661761,10815.9877264811,1784182.98740617,400917.871098303,339311.201840628
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W35_LTR.mzML",2232102.24037598,20447.6640971306,13224.0410406262,72367.6764328011,8944483.30467948,11476.2671951281,51849.8828950666,8804.01632957641,6214364.64320074,75409.5275494763,4597.88285240204,1228.47426207655,269747.765214502,3744.77398079901,1441678.89700587,13516.4384678534,2338.51661976231,2142352.20945467,29945.4947474871,13547.0810714587,NA,NA,NA,3888961.97576378,92255.6638819509,NA,498409.911889716,12033665.4769581,NA,8113842.47754646,4225.01626318542,287.409410363451,188607.480167138,8308.36166741224,63347.2403542299,316800.281064646,418.354977682434,1009587.02762533,271521.622746949,40317.6594392444,NA,0,0,13192.8482161807,13684.0904645061,NA,25359.0341842859,343653.60479873,3860.61759042517,1214.68195171446,NA,NA,1461.86097609407,NA,NA,1005730.44804886,95840.9663071125,12712.5348612247,34679.1696689258,NA,25088.834400963,NA,493008.442523549,358259.111325788,5673.78024979014,1754.28034799151,737578.854712662,611314.033012234,44190.7094482476,NA,706449.630246008,NA,961.909937204363,761.32093105252,29564.8780046578,NA,NA,1110874.00460204,17836.7330808068,1009380.28906601,25873.6988284728,10452.69282268,NA,7887.41966408562,9768.85169531796,9534.09092694614,NA,1421570.28463241,1390380.41175291,189864.215182527,381442.514661836,483444.575878806,404141.270543804,243006.40710398,672.25333170809,6769733.98317884,28330.1293692063,5149.40881179999,1507595.50735938,23814.4243169377,7535.1973351537,1896475.74102186,438741.842464759,300140.953047288
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W36_SR.mzML",2404621.95116024,266532.336485954,14762.0042132406,32741.0766969761,10055710.6837968,17631.3263468579,46517.5234646426,8289.87133123757,6134932.60025945,70993.7297490663,4452.27404969887,1101.86779872696,744798.245292034,8730.81147647612,922345.07561119,10936.6077937244,NA,2607007.64218908,45241.969918881,20354.9421041304,NA,NA,NA,3466348.89719716,87511.5952491768,2642.59952065802,500094.68469526,11879957.0855085,NA,9264031.42786675,5611.90456954489,NA,156326.924858278,8169.05077601667,64378.6795302019,217232.292329339,NA,1006606.19575987,270952.449573112,3528596.73006335,45302.6017426669,6349.71047835489,NA,22759.3840358053,20184.7745529075,1681.32950818462,25849.5078468053,369567.91826382,7506.54395647404,2793.19592495269,NA,NA,1457.21876140765,NA,NA,1150245.70255959,131332.869328258,20507.6104729326,35242.7192826937,NA,23538.5162964051,NA,676622.432498241,377215.291119113,6554.93947028268,NA,532172.264803157,416065.844992383,32014.7109553034,NA,635520.449445241,NA,NA,516.357452053844,41666.3316701863,NA,NA,1109890.68864915,18458.9240934879,2485723.99558475,64538.1344636446,22571.8005460113,NA,NA,NA,10290.8513728989,NA,1297092.24731535,1444848.58026955,210340.93621559,383189.675104005,489433.463912291,620189.021255824,376971.622561234,NA,6719877.67330584,26500.5025235413,4856.14730688201,1770525.84299001,31884.3960719357,10135.7534414993,1807892.14847884,387609.058441661,334796.036230399
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W47_LTR.mzML",2409405.92658836,696890.039894235,14718.2933296201,71480.2012335924,9301975.46298617,13111.1344228846,NA,8913.06765053366,6348885.01267533,74166.8431684232,4403.78581218978,1099.67440589206,266351.353386164,4028.41632154624,1395668.04581313,14670.2916199632,2235.06119761405,2202727.2592106,32354.8111569692,13694.8974252829,NA,NA,NA,4110592.68093401,97202.9678851678,NA,501163.890595042,11953062.3636993,1123.15271630281,8034111.16791302,4241.6823052345,NA,192207.459935569,9074.10174914883,75044.6691553331,321541.152965904,NA,1000384.42156826,NA,36457.5385708532,522.780679783854,0,0,14023.6627515882,14323.0639773032,NA,25380.8558246374,351028.973851273,3471.15423119326,1816.40568713203,NA,NA,NA,NA,NA,1000458.50177584,105764.221111007,13999.6374028643,33757.5244772818,1943848.26226525,23861.3849780013,NA,487423.089071457,358665.857624001,4738.22582281154,NA,769738.360181324,608186.446107033,45833.2251366016,2184.20695140574,704042.728495833,NA,NA,NA,30590.8129461364,63530.9898486937,NA,1125646.84685233,17414.7119880371,1014240.85192901,26651.4969008147,5859.75694863213,NA,NA,8580.92614211262,9013.94150515264,6832.6288441646,1383303.64341444,1276506.1589481,191597.883590083,364765.2026961,490329.556790586,385650.29332747,229104.448423765,NA,6930832.25701838,27026.5903067256,4691.70900299036,1494089.01163314,23614.8410059729,8133.39336870412,1804814.85358676,463446.817614906,304385.900832527
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W48_SR.mzML",2287502.78945421,292112.59654194,13861.9529177238,33220.1325298734,9375031.75226058,16782.22634327,59645.0406819429,8369.76541274304,5847453.35666781,69889.2537938847,4352.13736458093,NA,738068.992228987,9348.50246700302,955959.630226076,NA,NA,2588787.22325799,45099.6830713503,20031.342620853,NA,NA,22978.1824477344,3375100.98127457,80832.3211885988,2143.82672379181,488721.054573653,11319323.120203,NA,8846499.57595063,5828.72174471277,NA,150133.2649829,7978.10070787113,63651.2755463624,181975.801530948,0,997920.889729266,264598.63423684,3439120.43990865,41775.8707362308,6175.16103618189,NA,22003.726642692,19575.8939514315,1265.95213693327,26046.211860076,355960.321926742,7256.40808948984,2551.92312301865,NA,NA,1581.72109647637,NA,NA,1136286.96736481,132335.455273157,21199.2175993339,34160.5038100103,NA,22755.3938208698,NA,676920.645806151,377358.917769362,6253.68327250389,NA,523437.55159263,436662.745675721,31526.0171206607,NA,625685.904681884,2609.73608186016,840.84344066098,661.072298822322,38032.8937514275,59223.6501478678,NA,1113978.42201554,17448.5348346804,2438598.41636147,60327.0869276943,19947.8029458896,133275.748581154,NA,NA,10235.1081764373,NA,1242988.53786145,1390979.64920828,172528.941403068,342721.400391636,445091.132132271,616912.162505146,373603.445741231,1525.63338578205,6509719.60047034,26950.3681849643,4714.45089286576,1668039.94679981,30101.4221359979,9208.75618361926,1699060.4723268,370553.887197748,328444.32533418
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W59_LTR.mzML",2726940.82546066,523570.761585274,15954.0318946302,66485.1474624345,9587813.5858908,17567.4984695234,49282.6841748054,8772.84268018033,6137734.5702171,69971.3053319032,4644.79952491392,1138.95458204649,245670.91095618,2903.38742664095,1075575.24493463,14169.3725091981,NA,2108532.02847602,36349.9103543979,13219.7314309999,505604.75573775,NA,37582.174812851,4034969.50303345,99410.9003630846,NA,480007.065580408,11650386.0647454,NA,7745733.89846611,4183.22408677192,NA,186388.414422271,10352.0675432927,69354.7918775828,344700.835254851,NA,974183.849130774,NA,29086.8393262166,0,0,0,15096.9703064203,14232.3263721479,NA,25021.4383364078,345020.104876796,NA,1399.34102875805,NA,NA,NA,886.02173240434,NA,919565.575059872,109761.992436684,16928.2135613853,32010.7390500732,NA,24524.7440971536,NA,468781.593035155,350615.874516896,4578.92225234357,NA,631399.050883826,606000.990284188,36599.9557445994,1813.37175690489,697758.109955161,NA,NA,NA,28424.6538914569,59134.4311990548,1338.97670836548,997556.655205801,16022.1259540934,1001861.76704715,26183.8699959169,10576.4372770476,NA,8623.91779268436,7424.81671623083,8362.69747064263,4326.6180534684,1409574.13401175,1439784.12184336,211305.951180832,377074.32374108,484729.346475326,350153.646003014,208619.916646964,NA,6294876.57947459,25243.4757360398,4835.77310921709,1430343.33698813,24097.5831334887,8057.02588633467,1795159.23964918,456862.925745667,293037.383460049
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W60_SR.mzML",2444775.67572585,NA,14243.7234366078,30719.646498425,9842843.20876561,18989.5625980663,NA,8238.77693878676,5984141.4174753,68541.7403287969,4344.27082366174,1081.60824448045,698766.680907815,8877.95327398422,879270.959829386,10380.2091944168,NA,2447673.73734683,NA,19340.5895844551,387065.273789996,NA,NA,3517716.84992768,87877.711826269,2310.34269566112,475890.882724726,11310836.9603903,NA,8805166.62678787,5777.49212788114,NA,143861.094440767,8355.04674899425,58016.8654267998,231455.860151506,0,974082.308706811,255153.49342517,3386789.98376563,41922.0815949164,5839.35364444735,NA,22923.3976934143,20298.8419986417,1419.48087449151,25997.8214558959,355527.791068704,7660.44558249054,2631.69932700335,NA,NA,NA,NA,NA,1165918.77629948,129679.93071279,22020.2247987495,34600.2987592332,NA,24357.531999362,NA,667754.994542117,366359.418041254,6301.39669416677,NA,501210.687320391,393348.613579207,30994.2156255546,1601.78121796466,616007.136462367,2497.52844780924,672.268522891259,505.580745685672,38270.9870064706,52355.7765070997,NA,1019316.93800026,16435.1941113771,2394159.63757644,63349.2306881241,21964.6273793032,NA,NA,10162.5946218242,10156.5650953925,6343.55973676513,1259902.36796634,1313121.82985769,193131.063268317,358761.178834532,457523.272048939,585050.304547608,356264.624458445,NA,6388433.4270596,25724.4829581401,4883.59111558517,1678753.47647115,29755.7806148517,9277.90093257744,1705370.49003758,366369.52378033,315274.2196489
