"","HPOS-002.1","HPOS-002.2","HPOS-002.3","HPOS-002.4","HPOS-004.1","HPOS-004.2","HPOS-004.3","HPOS-004.4","HPOS-006.1","HPOS-006.2","HPOS-006.3","HPOS-006.4","HPOS-010.1","HPOS-010.2","HPOS-011.1","HPOS-011.2","HPOS-011.3","HPOS-012.1","HPOS-012.2","HPOS-012.3","HPOS-014.1","HPOS-014.2","HPOS-014.3","HPOS-016.1","HPOS-016.2","HPOS-016.3","HPOS-020.1","HPOS-020.2","HPOS-020.3","HPOS-025.1","HPOS-025.2","HPOS-025.3","HPOS-028.1","HPOS-028.2","HPOS-028.3","HPOS-029.1","HPOS-029.2","HPOS-036.1","HPOS-036.2","HPOS-038.1","HPOS-038.2","HPOS-038.3","HPOS-038.4","HPOS-040.1","HPOS-040.2","HPOS-040.3","HPOS-042.1","HPOS-042.2","HPOS-043.1","HPOS-043.2","HPOS-043.3","HPOS-043.4","HPOS-044.1","HPOS-044.2","HPOS-044.3","HPOS-045.1","HPOS-045.2","HPOS-045.3","HPOS-045.4","HPOS-051.1","HPOS-051.2","HPOS-051.3","HPOS-055.1","HPOS-055.2","HPOS-055.3","HPOS-055.4","HPOS-056.1","HPOS-056.2","HPOS-056.3","HPOS-056.4","HPOS-057.1","HPOS-057.2","HPOS-057.3","HPOS-057.4","HPOS-059.1","HPOS-059.2","HPOS-059.3","HPOS-062.1","HPOS-062.2","HPOS-064.1","HPOS-064.2","HPOS-064.3","HPOS-072.1","HPOS-072.2","HPOS-072.3","HPOS-074.1","HPOS-074.2","HPOS-075.1","HPOS-075.2","HPOS-075.3","HPOS-075.4","HPOS-075.5","HPOS-078.1","HPOS-078.2","HPOS-078.3","HPOS-080.1","HPOS-080.2","HPOS-080.3","HPOS-082.1","HPOS-082.2","HPOS-082.3","HPOS-085.1","HPOS-085.2","HPOS-085.3"
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W11_LTR.mzML",6241386.41424744,145841.845049376,37604.7743561155,104578.5020994,25120334.7012078,100755.985930026,60583.1739419618,12469.7988101833,15937128.1076205,198267.923253592,15093.4165651476,1875.75268559266,536131.875445025,6729.12468795401,2987246.83935591,44343.7734311644,1885.10514844753,4276510.58091891,78650.4441926347,26482.5478914822,2681782.83397288,80223.5493986987,272572.340064327,12069169.3933163,341910.399668795,10513.587442297,2051650.12622109,43149874.3533027,7568.0161228209,25457201.0367493,10662.0816275183,0,247031.870736877,21934.1349550942,14108.9803045406,586677.879115897,501.350843271166,3010422.021964,1494614.26376411,145871.665378756,2570.64224236952,0,0,92807.9564253933,77169.1832345932,235.936204067611,74153.832027283,1029977.1771819,9067.08158262907,2797.80263188573,832.546189661133,1161.69184206618,1625.7632657872,1628.33345251675,0,2501191.3976731,286855.598060678,36798.527236677,75332.1559287235,11157537.5060504,158882.287923833,8145.8989795589,988479.238369922,724016.637421519,10334.4031982423,5502.64376375367,1104037.93208939,856675.61344906,72335.5689596059,2360.64101175912,1353346.01902099,13755.7199972652,774.093027614284,1257.28725707936,57964.9022981267,28327.3553122309,1025.11221656089,1724696.88508083,26507.5676488107,2213622.58255633,80656.6446088696,28587.6992263243,77865.326006398,18902.110388058,9832.98694088062,26165.704387165,8185.71251766267,2019487.16442397,1810703.45085827,232681.790884411,470406.724049122,656421.512051768,668331.18789265,395110.196972966,1900.28558519635,11263003.7110184,49732.1919646883,9201.90488390893,2673021.21265807,42950.3537634683,17182.2256084975,3794882.4699415,925831.696581069,518665.512064113
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W12_SR.mzML",4422806.58657701,29744.9019164492,28133.6446619355,58435.6162809495,25022035.5551043,72769.5383639751,67551.0198687775,19549.2282765106,17657204.0823103,219731.28726088,13893.4938410619,3381.27686134781,1340705.63212539,16546.8655143621,2946248.85944379,41493.1487878761,5453.16171304528,7993026.90042164,131839.488573963,62208.4207851744,2468550.90000393,44550.9638849213,220814.35692251,10513841.0514397,281349.041983421,8978.40086689566,1891384.06574335,40098329.4082056,7258.04631195351,30220820.6854826,15094.4344503633,0,230861.486036468,17885.1305792628,25447.8875752326,506087.294026843,142.300142333988,3078906.05354996,1504342.95736645,9415605.38826471,135521.381648826,16754.0596737327,3306.02682828057,102915.381568078,79593.7814452744,6153.62648070683,81321.6989536467,1119895.61236345,18672.9712943853,4382.58524566479,1562.01016168859,1936.74292981984,6579.16219567158,2029.88707483977,880.661195254746,3406927.19246885,365279.544547311,46579.5033791024,88850.435381143,13938589.342474,161986.20495377,5852.83071493761,1392025.90035019,711439.991858698,14718.926954158,12163.0899179232,805641.617518492,547406.994414482,57777.8958558342,2128.47191746081,1155218.39897952,5499.07754027182,2203.8852863532,1354.80199170705,73094.3329598647,92636.3889735743,786.984006653422,1894701.98252385,30312.3954487496,4601635.3993351,136420.031435106,48734.5359555425,19875.6658718697,21646.2376783656,28104.9896195828,29561.962519351,13496.926977124,1746042.03746776,1723831.5061739,238892.814342519,483031.99895043,620288.075156171,1133851.35802948,697399.88585548,3667.72647064284,11627766.8812312,51987.0663968422,10022.3885758646,3228464.10803865,55351.9283558297,20321.5928450253,3255262.89280549,631761.786454099,562391.650542851
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W23_LTR.mzML",3599525.31736516,744717.313498783,22310.6245758397,130774.071720168,20045246.7154867,36399.4319636119,89459.2251812439,18156.1798785357,17824857.8951874,214615.985976246,14057.2710008913,3089.49539021596,571418.175073295,6937.22235951625,4110799.27621107,38788.962750085,6255.29298341423,4667076.41669594,71357.3667919008,30858.4072995182,2935569.38300522,31412.9357256061,242208.619422923,10575682.8621795,269778.222869736,8627.14090928927,1685770.93542764,38456177.9304761,4605.28903837482,24217029.1484431,10369.0788885199,615.668521824904,335410.471921889,17570.3476713346,132021.10876887,853293.424959523,0,2956058.47261792,1628021.28254126,299520.99816856,3189.36552228263,452.142395800001,364.07539965868,56043.3324410533,37116.9671178264,2425.2466923321,75461.5270153179,999281.172880516,8447.11642135109,2779.26191326488,926.512541995886,1103.75119146728,4098.11868915483,932.941222993808,995.350474630472,2793047.88172134,246926.811813256,25667.2875406017,90542.4370835883,17648232.9458254,186836.155670722,5302.70118566,991613.854987668,717458.939775036,13206.2442964979,4739.80074852945,1349190.61440153,775325.866566069,87853.1011418025,3771.47422782606,1277967.2486854,7693.04866847744,878.455739870947,1256.97115826556,53736.5659561498,107833.528577672,2165.74351748525,1837737.21359962,29303.382635338,2531746.93884958,63667.0159958979,16666.0147109027,106136.830184791,22663.6230182352,24476.1637530087,24120.2103151548,8115.95768922523,2048292.04285885,1900322.04234884,257462.223569571,488276.618816059,633333.016641693,748094.769128316,448775.930505367,2454.5843014137,11844160.0564374,51713.3873641508,9453.92776318622,2674495.15142632,45490.07529263,16387.4187501443,3683926.19810378,862854.472289189,540897.188832378
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W24_SR.mzML",3754416.48832133,155468.138262909,23161.5215053879,55221.9450218209,21522713.0824313,56464.2395978013,68427.5879880278,18457.4117608381,17444674.3583546,210185.71882703,14424.6625810355,2525.92960290884,1300000.41667335,15315.2466779452,2592370.1542698,32275.3657867534,3670.10473716795,7792152.31682071,126123.987225403,58719.0378568055,2223579.67001236,37587.3564726767,216551.594954983,9271656.89791764,246465.697462373,8370.73927099813,1757750.90950742,36722719.1078073,5030.51496522311,28344901.5451467,13621.3695605376,0,251932.169283612,18706.1973978411,18491.7632389828,512924.195721841,391.490867845898,2978020.39817313,1413752.29521639,9043316.79117392,120675.750222646,15767.5215484231,1772.31409741845,87536.9593082007,61130.6960392643,3523.31061254887,80104.0646533951,1072087.65897082,16154.6929681076,4365.99914429314,1441.19570635323,1270.88551391676,3277.9311884833,2113.39414551839,146.630245239852,3188185.37288489,377012.820624158,47300.8888217286,87349.068632263,18325755.8354167,144934.960206926,5504.14330372122,1302958.06328886,732222.921466728,13441.6565015894,9831.35890861799,750635.606444099,558217.163486143,51301.4153187106,1866.93891880251,1088167.4925477,12848.5975128234,647.938374554446,866.763576229244,66950.9816980068,83165.2385411161,1057.60129220484,1797711.07958499,28695.1044527215,4238544.53578179,113967.627219194,46833.3044271919,0,13521.7857957662,17316.3463956577,27407.0445461557,7784.21156623478,1792329.94624856,1822474.10057298,235671.734595037,467749.433087658,632298.556403958,1076575.65368274,651925.405942608,3036.89852559843,11228673.2193945,48482.3254373047,11599.0080810047,3109067.63127499,52645.0904438485,18176.2410724907,3047859.19160211,684753.780989579,529560.083917684
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W35_LTR.mzML",3239241.79657655,59170.4225728701,19554.6310844637,131732.774881153,17520578.9654101,29823.1498214302,92101.8321037953,16851.3249707281,16886030.8358729,208209.355575778,12899.2914406454,4073.27054154388,552038.086288903,7261.34971815136,3627222.18340411,36369.8484759619,5117.00371962486,4583046.70303221,71928.3536747171,29678.6659119996,2776602.7382374,36407.0369749382,212775.271933837,10492150.3264824,274227.812739196,6065.48343535435,1676740.6266797,35756581.1100783,5282.70885824963,22674315.3974765,10074.8164130084,1091.03506458308,315920.404783288,16909.3021142313,120508.56033355,808770.191136396,1135.33730937296,2844772.31131588,1389104.79553199,58044.4989638968,197.601128623189,0,0,48657.4641930252,31682.2266035512,1750.01016622622,72844.2098300371,956569.149572946,7121.13692489449,2155.51756774053,274.788219440519,1320.02534988014,3988.20335085408,1021.49494490917,416.29636390132,2579090.79427115,253283.306779161,26399.2093350469,84050.4212271099,19312690.6270422,164079.675593217,4339.454843931,921035.168910489,685880.528199104,11821.0041180143,4213.72028416762,1145218.53411578,860605.966870314,72741.0629923968,2810.9197463169,1189272.81254631,5536.08227833186,1687.86749121659,1234.29497532576,47711.5505426958,22544.6776000934,1416.38525779817,1783606.89726943,27911.7286555738,2178228.86977026,60167.3180876175,26539.9760949293,88999.9337831599,18987.6382584764,27590.4562052773,20083.1252870652,6533.74270431638,2024329.84943395,1870192.01621768,249049.501552455,510961.73234647,667047.455304702,743912.691761311,444929.435648045,2108.79411748052,11129035.0373641,49222.9360433237,9584.339267242,2632850.04644254,41869.9310027065,13900.9932634641,3623359.76643955,845151.208498837,490218.735402379
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W36_SR.mzML",3352642.98483821,292857.162655473,20719.8336460411,58919.1262855298,19999433.2011137,45819.7466590973,72157.5236929562,17344.411106358,16822315.7860373,207276.889472817,12933.2061424007,3557.64681531046,1362551.51625138,16404.9254966853,2601096.75455902,31925.1429064595,4707.54375911093,7961016.76173985,130174.832925373,57217.9790468694,2253146.79926429,30367.9076076646,184036.487680127,8955393.40030322,235584.471516211,7186.27270991636,1699359.14798103,34881441.3626245,4219.32921965545,26979653.1644153,12837.2961051481,0,252561.016824911,15370.6952234327,104146.968668407,473223.253659753,0,2895969.03965829,1372300.15894472,8519381.44572001,113132.292023411,14914.9656229883,2849.80446124951,79842.5406593722,52969.5585203816,3317.2553657134,76787.3118553416,1031160.02333256,15345.0629648524,5262.91356713791,2530.84613570142,1520.55298248843,5431.02594134788,1469.35878935388,937.617314708688,2944035.34161098,370540.678425929,46508.9346038587,82747.2222499098,19382217.1366449,157893.972933234,4879.45099979177,1235627.73100602,698632.514474341,12014.4601018476,7578.85345704456,764474.030113436,575845.871735869,52220.1572490749,2455.51929663672,1034097.75656085,5508.19230150111,1179.28889517064,903.453059285914,63030.8311772552,15508.5379397144,1321.99336472491,1819044.48994495,29017.4243774429,4192688.22448754,112469.869192661,42024.8080962662,61721.0195495204,25200.1058998386,18044.5580484201,24469.8961878422,11909.4499755753,1783418.89050188,1815489.13463581,242927.445856599,469463.57832546,643866.205200792,1094378.72531763,656558.392258464,3056.54158315004,11283463.9514059,48679.7681730225,9426.53497442229,3016104.7775453,52561.5403603714,17996.8391212008,3095404.66564277,673268.927712648,533259.309485752
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W47_LTR.mzML",3381775.66958182,749384.9941487,20801.0662814454,122983.231349159,17681701.5925516,32000.5521093841,93540.9189867135,17473.0656913033,16582813.6345725,201230.384748913,11888.0268338698,3286.66491483745,545732.199177598,8545.09427767177,3458258.5066519,38860.5244752667,5168.676174554,4508038.30259322,75562.3978561294,29120.7865828416,2865688.10435709,41154.2603057321,211461.871901674,10416642.0423449,274427.366197678,7137.30907171737,1713298.83975285,35342486.7862218,4768.32283026829,22327290.380322,10445.1958538696,753.539848753701,319093.181116405,17736.1593371535,124250.235224224,804512.936021667,203.213324279779,2828373.04459038,1546965.81825435,50708.6770502301,450.531356249133,0,0,52033.098780205,34614.14532501,2741.11038531415,72960.6587071324,952051.647447597,6959.34936998026,2802.96082500399,1561.65653312005,207.691780800008,3046.70519177666,1847.4956094242,814.526264018473,2513244.0799041,279844.610968428,31109.7744032428,82154.2038719849,30512184.2494275,169350.350146974,5635.39730773695,927085.914118892,692838.119143269,9172.13856757018,4321.31077995175,1212508.68700364,854071.003223308,79189.6906829162,3542.03391907087,1184106.3123269,5558.56819585969,547.771945854783,580.622147070552,49884.2803239257,114962.53696374,1886.61327279808,1798338.4820966,26963.0834240621,2219350.07823305,60220.3808879165,14543.2183658384,185332.300343544,12404.8166974566,24811.8344055106,20260.3064417405,8028.33598396026,2050994.92053661,1835904.39082851,248083.055865395,491985.852023727,685020.29460486,716792.294624959,424126.425866307,1554.55683034369,11338331.3884905,48940.9111832012,8884.55417255701,2657734.82543708,42366.4980930055,14654.9323609848,3474353.44407634,838605.707007374,514790.140052535
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W48_SR.mzML",3195923.26694446,310897.771979677,19561.4145999695,62029.4095260134,18369717.6963547,44733.7435441787,86687.096126647,16317.8831236126,15756167.4123452,189967.533649055,11932.567498963,2511.4017433072,1305858.62789292,14958.683699905,2515185.85713262,28083.5692419588,3672.68700950788,7721067.84877673,129501.460603848,57155.8596812852,2240725.20609259,30090.0535380668,157756.081824182,8078442.65696744,206762.571302433,6070.89422660766,1645992.4718562,32899303.7473462,5257.56902520431,25802284.3374237,12945.4652200843,541.574757203857,263044.726454316,15237.1055206359,103701.034601934,442908.769430527,0,2846392.86599318,1329283.35713099,8282516.44718424,102166.962701932,14634.9780851676,4249.11836561552,72797.3406347324,48338.1274359215,3102.68722087818,76902.6474597563,1046784.59958803,14718.7007148941,4948.36206198461,1108.32255109006,1591.54113744533,4933.80512177534,2446.71350671947,693.286108703615,2839085.88888518,368302.933123787,47299.2728493172,81296.0641215661,19444882.7216014,150146.405258092,5749.2056245409,1214523.40056132,684798.689982969,11621.9125131994,7401.73214310136,710555.851316859,593804.624782476,47155.8969413962,2380.44043847327,995072.653084411,3435.7338234955,1162.20925872337,882.467371245903,56604.8115089279,97176.2234162247,982.381276302914,1785099.87077236,27727.3634370147,4134003.40928803,110254.703467742,35226.5038793393,605635.629834689,10472.7029172635,12177.565824813,23068.3938392058,7790.63385889362,1822793.37761452,1844114.61696592,230947.842355018,456896.217768397,638534.989422656,1071761.8988442,643279.302974917,2506.99998359551,10754042.9676719,47350.4895099457,8611.40325966758,2855983.78577492,49893.7145268601,16236.0223350504,2938866.9998112,645665.918923691,526714.377668602
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W59_LTR.mzML",3945410.05842182,568726.948403916,24065.4482974412,114394.107303775,18779129.6107016,45079.8955339494,74899.8205983631,17095.5163792056,15463530.3734127,183215.031300554,12301.2206921585,2802.35369987253,510271.823782891,8021.29555750233,2852567.52744344,38355.7834406504,4639.32887588963,4271347.92041966,78569.998486938,26562.1771339034,2790483.54127833,47211.4831089364,203174.479298662,9708505.2284778,253288.477524544,6216.79227343974,1671638.20415032,34620334.3498809,4525.20098789948,21356394.1647984,10091.7735212072,0,292076.192838458,19613.391349619,109250.874576397,755873.703708225,344.115398311287,2741398.25979947,1537438.92117741,41654.0934888596,0,0,0,58695.6825837212,37514.3530622784,1509.66652212159,71111.0564678914,908619.700031253,6633.02166230388,2284.58179682451,911.960485184009,658.667413400004,3873.8735542126,1432.90170688289,547.697212828597,2265113.64879875,304348.832487837,38326.3807928937,74623.6253611817,21381425.2204077,156874.690126162,5346.74643925684,861662.834251673,663358.756816974,10370.6120673065,4587.70047674886,1014821.89291529,906964.304846014,65390.235236966,2723.36008700656,1147127.83923753,372.223806356577,723.175952775732,949.630276454588,45536.1474920317,104201.143580011,1870.26961273937,1635205.02409584,26372.7418966297,2162653.02626798,56933.7386849982,18760.0207282683,135667.832890037,17581.3252220555,20189.5503049198,18784.6636141205,6960.51620090257,2066442.58800694,1910426.97627618,253372.31174996,497838.006418316,660317.137004101,636138.368528953,379765.906275721,1762.1044377881,10582609.7413678,45575.4911671813,8854.39419744536,2493745.2080836,40879.0992839337,13929.0236493109,3360807.26523205,849383.794310389,479740.017940529
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W60_SR.mzML",3475558.13457251,162448.624712989,20852.033362133,50407.7926447396,19749392.9648138,49853.9613152992,58779.2459231469,16808.705838701,15365962.7703223,185693.708737531,12547.4819596421,2545.25978435931,1221389.07346024,15578.1284821189,2403028.82729663,30901.309171237,3796.10908883668,7515520.00953494,138996.896769472,55726.840886863,2326904.63207506,35016.2669524827,191744.155833517,8217232.08943935,216585.038254675,7142.73935142954,1626797.1267165,33560968.3233432,3803.73733076974,25628156.6944613,12854.8697631145,60.2884112616532,234281.394158775,15413.7765494432,94466.3573547085,459923.518551258,0,2794040.44266399,1297145.71927356,8141266.71907966,101606.840314045,14729.1165157251,4133.92731075027,80282.5258088886,54849.4702398913,3359.11611314374,76746.7837067668,985715.876102421,13750.5274284826,4918.54115788775,1849.2526501149,1403.75548541563,3723.4314354546,2263.3741932241,1000.17819116292,2833592.72968392,367676.264502813,51028.4679260818,78963.8998259419,18745909.9129531,140318.325365858,4690.25662069514,1183820.02634369,665486.297588753,11239.972094826,6548.9713497163,705995.706262713,559093.833220137,49834.9124912265,2099.69350654022,979751.756140928,4571.57876936366,942.310077974924,585.252166354013,57568.3857147616,90784.6559674791,973.686629210454,1685321.70488395,25960.9351570561,4172852.77282836,107487.489885136,34986.6749013125,20572.404008699,15707.4691381615,29202.5226071497,22575.4791781114,11833.7332920506,1757855.57243698,1729861.83602715,225156.475274306,437377.064080429,590661.257430593,1018315.03639007,609630.872413318,2873.48320785039,10638883.8253953,47120.6719401261,9313.60390111043,2885913.64520652,49617.5880984193,16560.8871726831,2906813.29760196,631871.20850288,509036.204644334
