"","ratio_peaks_found","ratio_peaks_filled","ppm_error","rt_dev_sec"
"HPOS-002.1 - Octenoylcarnitine (C8:1)",1,0,1.94363498632351,2.15938245453414
"HPOS-002.2 - Octenoylcarnitine (C8:1)",0.892857142857143,0.107142857142857,11.2990858761493,-1.89736222866035
"HPOS-002.3 - Octenoylcarnitine (C8:1) ISF.1",1,0,3.16965271701187,2.06837802365348
"HPOS-002.4 - Octenoylcarnitine (C8:1) ISF.2",1,0,3.11607487985797,5.09621448737981
"HPOS-004.1 - L-Acetylcarnitine",1,0,3.0116587139307,-4.06131042098508
"HPOS-004.2 - L-Acetylcarnitine",1,0,3.64525577071042,-3.69788476665347
"HPOS-004.3 - L-Acetylcarnitine ISF.1",0.482142857142857,0.517857142857143,5.20302088177694,-4.4053018453338
"HPOS-004.4 - L-Acetylcarnitine ISF.2",0.958333333333333,0.0416666666666667,4.76704034302473,-4.25974530023812
"HPOS-006.1 - Asymmetric Dimethylarginine",1,0,3.20981473467548,-2.72252582220885
"HPOS-006.2 - Asymmetric Dimethylarginine ISF.1",1,0,3.32975751164991,-2.68559802088928
"HPOS-006.3 - Asymmetric Dimethylarginine ISF.2",0.958333333333333,0.0416666666666667,3.53708911390735,-3.09176263213177
"HPOS-006.4 - Asymmetric Dimethylarginine ISF.3",0.69047619047619,0.30952380952381,2.7172851198418,-2.78764241552002
"HPOS-010.1 - Hexanoylcarnitine (C6:0)",1,0,2.00179889370503,-2.33393150166496
"HPOS-010.2 - Hexanoylcarnitine (C6:0) ISF.1",0.863095238095238,0.136904761904762,5.37625421006143,-2.29632011237973
"HPOS-011.1 - Glutarylcarnitine",1,0,2.25107821404423,0.474263982441321
"HPOS-011.2 - Glutarylcarnitine",0.988095238095238,0.0119047619047619,4.62642638885946,0.441596919744754
"HPOS-011.3 - Glutarylcarnitine ISF.1",0.577380952380952,0.422619047619048,4.2722143150473,0.192745623841979
