"","HPOS-002.1","HPOS-002.2","HPOS-002.3","HPOS-002.4","HPOS-004.1","HPOS-004.2","HPOS-004.3","HPOS-004.4","HPOS-006.1","HPOS-006.2","HPOS-006.3","HPOS-006.4","HPOS-010.1","HPOS-010.2","HPOS-011.1","HPOS-011.2","HPOS-011.3","HPOS-012.1","HPOS-012.2","HPOS-012.3","HPOS-014.1","HPOS-014.2","HPOS-014.3","HPOS-016.1","HPOS-016.2","HPOS-016.3","HPOS-020.1","HPOS-020.2","HPOS-020.3","HPOS-025.1","HPOS-025.2","HPOS-025.3","HPOS-028.1","HPOS-028.2","HPOS-028.3","HPOS-029.1","HPOS-029.2","HPOS-036.1","HPOS-036.2","HPOS-038.1","HPOS-038.2","HPOS-038.3","HPOS-038.4","HPOS-040.1","HPOS-040.2","HPOS-040.3","HPOS-042.1","HPOS-042.2","HPOS-043.1","HPOS-043.2","HPOS-043.3","HPOS-043.4","HPOS-044.1","HPOS-044.2","HPOS-044.3","HPOS-045.1","HPOS-045.2","HPOS-045.3","HPOS-045.4","HPOS-051.1","HPOS-051.2","HPOS-051.3","HPOS-055.1","HPOS-055.2","HPOS-055.3","HPOS-055.4","HPOS-056.1","HPOS-056.2","HPOS-056.3","HPOS-056.4","HPOS-057.1","HPOS-057.2","HPOS-057.3","HPOS-057.4","HPOS-059.1","HPOS-059.2","HPOS-059.3","HPOS-062.1","HPOS-062.2","HPOS-064.1","HPOS-064.2","HPOS-064.3","HPOS-072.1","HPOS-072.2","HPOS-072.3","HPOS-074.1","HPOS-074.2","HPOS-075.1","HPOS-075.2","HPOS-075.3","HPOS-075.4","HPOS-075.5","HPOS-078.1","HPOS-078.2","HPOS-078.3","HPOS-080.1","HPOS-080.2","HPOS-080.3","HPOS-082.1","HPOS-082.2","HPOS-082.3","HPOS-085.1","HPOS-085.2","HPOS-085.3"
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W11_LTR.mzML",3698424,NA,23200.28125,59528,9737672,21972.296875,20824.984375,NA,6095208,76144.375,5935.47265625,NA,233899,2952.5078125,866906,13196.296875,NA,1935932,30636.46875,11765.8125,NA,NA,NA,4784496,117833.875,3541,507147,12607512,NA,8590032,5044.3203125,NA,132233.875,10470.75,NA,320045.25,264.3046875,1010641.5,338256.75,102959.5,NA,NA,NA,25474.6875,23973.6875,NA,26083.265625,376778.75,5206.69140625,1282.3271484375,NA,NA,NA,837.4765625,NA,1064520,97755.8125,18464.359375,32928.75,2677184,38116.90625,1876,519732.25,348339.5,5967.5703125,2578.751953125,657171,579452.5,40917.875,NA,769249.5,NA,NA,997.14306640625,37399.8125,NA,NA,876067,14020.7734375,NA,41336.96875,NA,NA,7588.8046875,NA,11941.046875,NA,1457153,1536495,200324.125,408010.75,487192.75,363842.5,210441.375,NA,6013552,24443.359375,5220.18359375,1483670,25576.46875,9897.8671875,2089903,474276.5,301957
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W12_SR.mzML",2998854,NA,17043.453125,31720.734375,10361552,19759.859375,NA,7910.2265625,6259400,75947.5625,NA,1431,712279.5,9043.59375,980832,12477.1328125,NA,2487396,NA,22349.109375,NA,NA,NA,4217124,109459.8125,2987.14453125,492122.25,12051272,NA,9744824,7111.5078125,NA,136829.375,9167.6640625,NA,327855.5,NA,989604,309433.75,3761290,53690.8125,6956.296875,1933.6201171875,28472.640625,27960.640625,2620.76171875,26765.078125,374390.25,10372.453125,2343.59765625,NA,NA,1942.5126953125,975.0087890625,NA,1306923,121283.375,23797.640625,36498.46875,NA,34316.8125,NA,715666.5,360386.75,7378.47265625,NA,575775,433358.25,35628.84375,1564,679460.5,NA,900,751.44140625,47904.34375,51498.90625,NA,1033319,17713.59375,2714902,77563.125,24556.53125,11570.5234375,12107.5546875,12437.25,13643.03125,NA,1298262,1478255,182878.125,360519.75,481544,614711.5,386406,2277.625,6277348,26237.765625,5616.68359375,1766257,33659.65625,11389.078125,1987055,361214.25,329464.5
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W23_LTR.mzML",2645858,656188,16029.71875,73746.1875,10240192,13593.140625,52160,9205.5390625,6344876,75896.8125,5775.421875,1332.953125,283769.25,4174.5234375,1637333,15241.7421875,NA,2376506,31631.34375,14468.203125,NA,NA,NA,4291548,104024.5625,3686.28515625,476528.75,12441648,NA,8293796,5876.10546875,NA,205957.75,9235.78125,80557.1875,367908,NA,932328,NA,213201.125,2748.20703125,NA,NA,16122.9765625,14643.0546875,1353.7470703125,25951.53125,349298.25,4734.35546875,1583.05078125,NA,NA,1390.5390625,NA,NA,1118640,95334,12918.8671875,37730.0625,2468058,29090.984375,NA,502252.75,354362,6183.57421875,NA,844405,615731.5,53328.8125,2481.00390625,736085,2377.994140625,NA,NA,32809.5,62258.625,1208.408203125,1105699,19007.125,NA,28673.171875,NA,NA,11396.53125,10053.9921875,11452.2890625,5760,1506786,1673455,245767.25,398616.5,545765,387426.25,232189.625,NA,7143196,28511.890625,5163.86328125,1481034,26330.78125,9381.8125,2013826,473917,305176.75
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W24_SR.mzML",2690498,NA,18610.671875,31890.296875,10363384,20699.890625,62191.125,9393.1796875,6117096,70657.8125,5680.17578125,NA,734035.5,9393.796875,898632.5,12047.703125,NA,2581042,47448.8125,22305.71875,NA,NA,NA,3582954,92790.8125,2504.419921875,496962.25,11623904,NA,9427312,6894.875,NA,158017.625,9683.3359375,NA,280966.75,NA,933812,299688.5,3658994,49787.5625,6485.6953125,NA,25549.03125,24531.28125,NA,26310.046875,360988.5,9066.2109375,3111.66796875,NA,NA,NA,NA,NA,1350808,132521.375,22682.125,36504.1875,NA,NA,NA,696414.5,388367,7725.25390625,NA,533780.5,406732,33740.78125,1116.4541015625,651170,NA,NA,NA,44043.90625,52127.03125,904,1114216,18941.390625,2684526,69465.5625,23369.390625,NA,NA,NA,12634.2890625,NA,1282107,1508666,191855.875,377639.25,494978.5,603926.5,371464.5,NA,6799844,27258.0625,NA,1796977,32952.3125,11361.203125,1776127,413131,337024
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W35_LTR.mzML",2384648,NA,13797.3125,73232.25,9087280,12714.5625,54480,9138.9765625,6204220,74360.125,5350,1291,285185.5,4217.3984375,1601245,15590.9921875,2551.283203125,2188276,31422.75,14858.4765625,NA,NA,NA,4192746,99250.0625,NA,553905,11457048,NA,7848740,4911.68359375,334.260986328125,186577.125,8606.34375,55882.53125,312183.75,455.255615234375,983362,319170,42205.78125,NA,NA,NA,14105.7734375,14052.75,NA,24941.21875,331200.75,3940.03125,1309.0146484375,NA,175,1704.03515625,NA,NA,1002433,93195.5,13048.8359375,33972.6875,2486140,26287.984375,NA,469371.75,342457.5,5684.671875,1888.6884765625,731645.5,637403,45689.96875,NA,675917,NA,1090.7958984375,820.9404296875,29846.546875,NA,NA,1145664,18324.28125,1122046,29563.515625,11050.6796875,NA,9051.7734375,10261.4375,11062.9453125,NA,1511395,1489517,205716.125,404695.5,494721.25,391925.25,240367.875,754.2490234375,6862256,30124.03125,5586,1513681,24550.078125,7977.4296875,1990808,444077,298919.5
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W36_SR.mzML",2471372,267841.5,14534.1953125,32820.0625,10260968,19228.78125,50507.90625,8585.5546875,6173072,71587.3125,5109.14453125,1101.4462890625,751354.5,9340.1015625,942590,12010.484375,NA,2677842,46600.875,22588.46875,NA,NA,NA,3658894,96020.4375,2858.021484375,483036.25,11354736,NA,8777480,5940.4765625,683.5546875,155626.625,8723.4140625,64318.65625,230054.75,NA,912254.5,306609.25,3342886,45850.46875,6814.23828125,NA,22228.34375,21229.828125,1864.6796875,27087.625,348288.75,7768.3828125,3318.7890625,NA,NA,1663.4345703125,NA,791.9326171875,1193038,131018.875,19997.5,36346.53125,NA,26929.890625,NA,663973,356477.25,7381.1875,NA,543481.5,422682.25,33757.28125,1792,629450.5,NA,NA,584.275390625,41204.96875,NA,NA,1155407,19820.734375,2610350,68179.125,22869.25,NA,NA,NA,11197.0546875,NA,1369087,1619162,228334.125,419340.75,526793.5,609889.5,368750.25,NA,6723152,27452.671875,5430.21875,1793361,32371.796875,9574.1796875,1827791,379864.75,320994.25
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W47_LTR.mzML",2527564,700051,14952.7890625,73380,9271040,13760.6953125,NA,9151.296875,6324740,75031.8125,5075.8046875,1249.5888671875,278184.75,3949.03515625,1487980,15860.0625,2643.37890625,2205714,31899.171875,14320.875,NA,NA,NA,4418928,104824,NA,483559.5,11518184,1278.0625,7731656,4627.81640625,NA,191467,8781.828125,76482.0625,313895,NA,964833,NA,37550.25,NA,NA,NA,15824.0859375,15161.4921875,NA,24579.90625,335050.75,3518.068359375,1961.3798828125,NA,NA,NA,NA,NA,1045651,106180.875,14228.2265625,34681.875,2318126,25598.203125,NA,468867,337724.25,5204,NA,760646,621370,46659.625,2173.185546875,689681,NA,557.64111328125,NA,31171.65625,63037.46875,NA,1161246,17512.328125,1134009,29802.328125,6170.578125,NA,NA,8959.828125,9440.8203125,7760,1518281,1315984,190335.125,378345,511507.25,376659.5,225735.625,NA,6944468,28602.359375,5578.9453125,1530364,23885.140625,7829.921875,1955827,452712.25,298374.5
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W48_SR.mzML",2309344,297697.25,13230.6015625,33281.5,9323544,18684.3125,61456.8125,8433.84375,5889516,69643.625,4456.6640625,NA,753116.5,10471.4609375,976669.5,NA,NA,2682440,44174.875,22027.5625,NA,NA,27497.53125,3573260,85719.3125,2317,475982.5,10834064,NA,8407368,5961.1640625,NA,157171.125,8478.0703125,62292.125,181829.75,NA,907662.5,303602.75,3351228,41070.65625,6098.078125,NA,21961.25,20073.515625,1413.578125,26418.03125,343563.5,7421.75390625,2812,NA,NA,1830.96484375,NA,NA,1169999,132157.75,20833.359375,35329.34375,NA,24599.609375,NA,643499,361660,6596.13671875,NA,528685.5,422789.5,34219.53125,NA,613413,NA,NA,698.392578125,38585.375,60328.03125,NA,1144455,18141.578125,2578664,64073.375,18555.90625,147684.75,NA,NA,10658.3125,NA,1391495,1538649,174540.75,340599.25,453289,607954.5,367938.5,1663.302734375,6615524,27298.453125,5091.90234375,1715997,31033.140625,9370.1171875,1741237,366241,322171
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W59_LTR.mzML",2734470,535928.5,16731.609375,67120.375,9541840,18477.484375,55223.71875,8681.203125,6157316,71287.4375,4978.87109375,1215.822265625,258856.375,3009.57421875,1122259,15169.390625,NA,2112812,36939.71875,13555.6484375,531696.5,NA,41097.5,4310112,107278.3125,NA,464440.25,11100576,NA,7417612,4514.86328125,NA,184826.125,11276.09375,69045.5,352970.25,NA,900730,NA,29516.390625,NA,NA,NA,16111.421875,16061.1953125,NA,25422.515625,331272.25,NA,NA,NA,157,NA,1042.8359375,NA,900069.5,108464.5,17183.6875,32321.5,NA,27802.28125,NA,454745.25,329924,4944.16796875,NA,626439.5,576736,37191.53125,2116.1328125,680019,NA,NA,NA,28056.484375,58075.3125,1200.94140625,985377,17175.390625,1117110,27964.625,11058.3984375,NA,8863.4453125,7643.5625,9092.84375,4960,1451543,1533604,243766.375,408631.25,561769,345808.25,209561.75,NA,6376716,25224.59375,5582.34375,1509604,23883.78125,8835.7109375,1850574,441678.75,287191.75
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W60_SR.mzML",2488754,NA,13892.4296875,31777.859375,9865280,20077.875,NA,8315.828125,6026536,69018.6875,4489.16796875,1212.13671875,704883.5,9469.734375,887623.5,11815.0625,NA,2471128,NA,21274.984375,441929,NA,NA,3734242,92444.875,2427.515625,456061,10777808,NA,8431984,6044.80859375,NA,147510.125,9560.4453125,57414.625,229590.625,NA,885395.5,283358.75,3277574,42094.375,6164.29296875,NA,23365.171875,21417.625,1635,25286.84375,336601,7689.58984375,3068.0625,NA,NA,NA,NA,NA,1208679,128689.125,22810.109375,35218.0625,NA,27456.828125,NA,646109.5,357822,6628.59375,NA,514078,392409,32681.71875,1647.8486328125,608615,1906.6767578125,736.7568359375,596.56005859375,38086.75,51147.59375,NA,1042501,18081.171875,2424724,66556.6875,22280.34375,NA,NA,9534.0625,10147.6171875,7040,1375662,1419144,221937.625,387090,458048.5,570579,355770.25,NA,6401528,27051.09375,5495.90625,1761847,29751.109375,9352.46875,1738564,375030.75,303861.5
