"","HPOS-002.1","HPOS-002.2","HPOS-002.3","HPOS-002.4","HPOS-004.1","HPOS-004.2","HPOS-004.3","HPOS-004.4","HPOS-006.1","HPOS-006.2","HPOS-006.3","HPOS-006.4","HPOS-010.1","HPOS-010.2","HPOS-011.1","HPOS-011.2","HPOS-011.3","HPOS-012.1","HPOS-012.2","HPOS-012.3","HPOS-014.1","HPOS-014.2","HPOS-014.3","HPOS-016.1","HPOS-016.2","HPOS-016.3","HPOS-020.1","HPOS-020.2","HPOS-020.3","HPOS-025.1","HPOS-025.2","HPOS-025.3","HPOS-028.1","HPOS-028.2","HPOS-028.3","HPOS-029.1","HPOS-029.2","HPOS-036.1","HPOS-036.2","HPOS-038.1","HPOS-038.2","HPOS-038.3","HPOS-038.4","HPOS-040.1","HPOS-040.2","HPOS-040.3","HPOS-042.1","HPOS-042.2","HPOS-043.1","HPOS-043.2","HPOS-043.3","HPOS-043.4","HPOS-044.1","HPOS-044.2","HPOS-044.3","HPOS-045.1","HPOS-045.2","HPOS-045.3","HPOS-045.4","HPOS-051.1","HPOS-051.2","HPOS-051.3","HPOS-055.1","HPOS-055.2","HPOS-055.3","HPOS-055.4","HPOS-056.1","HPOS-056.2","HPOS-056.3","HPOS-056.4","HPOS-057.1","HPOS-057.2","HPOS-057.3","HPOS-057.4","HPOS-059.1","HPOS-059.2","HPOS-059.3","HPOS-062.1","HPOS-062.2","HPOS-064.1","HPOS-064.2","HPOS-064.3","HPOS-072.1","HPOS-072.2","HPOS-072.3","HPOS-074.1","HPOS-074.2","HPOS-075.1","HPOS-075.2","HPOS-075.3","HPOS-075.4","HPOS-075.5","HPOS-078.1","HPOS-078.2","HPOS-078.3","HPOS-080.1","HPOS-080.2","HPOS-080.3","HPOS-082.1","HPOS-082.2","HPOS-082.3","HPOS-085.1","HPOS-085.2","HPOS-085.3"
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W11_LTR.mzML",3661138.70907814,NA,22027.5511356811,56362.4259180153,9780082.95491125,20799.6523620353,21367.7772980281,NA,6003498.48523879,73719.5519819914,5311.62153963082,NA,225180.1044945,2787.9455541827,813244.890905528,12033.3409849226,NA,1908379.09518662,29735.2193430039,11287.0004835143,NA,NA,NA,4602284.49265006,112719.745955136,3275.53549071219,520345.006734153,13172130.4142776,NA,8949371.42031663,4353.88613161229,NA,132785.204985716,11254.4355152647,NA,297516.622259209,267.415427303853,1048316.4292802,282386.113881813,103864.802706441,NA,NA,NA,23544.7735648323,20162.5580614315,NA,26438.6768134996,390136.369490478,4733.28298837362,1201.55006288995,NA,NA,NA,712.133153560675,NA,1016192.87913652,94726.1089135879,17286.6384526889,31904.429686196,2509305.57706677,35968.8611336507,1836.66939794948,539632.932756861,376834.844593477,5563.28983127126,2249.0788998486,661651.041581728,592387.761838468,37856.688842624,NA,777389.310197715,NA,NA,877.150766451006,36985.6465722094,NA,NA,877203.523937936,13280.9317444777,NA,36217.5118444251,NA,NA,8082.35494774558,NA,11229.4813787781,NA,1433210.07306005,1382274.93459151,185998.471058195,374385.05006618,497045.74614513,370146.517116962,215332.573622593,NA,5708776.78738609,23772.9615503174,4400.1834002778,1491887.08863567,25298.2179819968,9766.22462036769,2073591.68865631,500586.129404118,309487.967694038
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W12_SR.mzML",2925028.69125046,NA,17160.2816940725,30911.042847474,10482721.9820096,17171.7351493275,NA,7664.33752391518,6251351.8407613,75656.4162942832,NA,1388.36485557818,706164.855078788,8035.26721062333,888296.48949039,11393.2833031566,NA,2472648.58170585,NA,20393.0298357392,NA,NA,NA,4029165.99162008,99031.5178406568,2642.08326624637,513721.433601378,12615727.6190579,NA,10147825.2465896,6605.89231021553,NA,135410.32738154,9083.03251694403,NA,319905.888070758,NA,1034661.7563538,269716.983217542,3878037.32852462,53815.7235021368,6740.11446977221,1767.57538250015,27638.5842679407,26558.0373769561,2455.1484226574,27672.5252212655,399208.560108061,9845.50881210843,2261.35426965353,NA,NA,1740.83841932729,835.478416039539,NA,1324634.4649791,119847.151539765,21094.9988093503,36667.7008795113,NA,31206.4988399702,NA,749601.117424899,377074.287610258,7736.65324356832,NA,535836.890738926,397628.404884132,33790.475097957,1384.01797134336,684071.410665245,NA,780.754827724261,726.619949258715,47623.9165091073,52012.1382398682,NA,1031755.9628213,17448.4769545374,2577644.02303475,75783.9168359556,22733.3626062237,11041.7259664743,11623.367925842,12131.4426320001,13299.0212111626,NA,1204292.69592507,1327224.31073023,182837.551334736,369044.712614674,474736.889460072,617793.475115003,392183.149883059,2011.74709458618,6285643.31288725,25858.4908339645,4754.50673429811,1803216.6870015,32796.8251200892,11334.3757354821,1881726.85934956,362874.787040212,338809.038877906
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W23_LTR.mzML",2493323.86269645,659969.975489192,15794.4479035186,73116.8302292294,10225287.3461245,12109.1292181217,50753.7502137669,8708.53647099552,6548418.07185134,76438.1193432283,5169.375674983,1223.5753125219,268903.347809712,3758.55019481808,1565622.59201255,14413.1717859853,NA,2321286.17063196,31307.2813121176,14042.2157871654,NA,NA,NA,3841333.33504802,100103.465593147,3543.70084764116,495849.194044536,12918005.7428127,NA,8673335.53588466,4914.70803818183,NA,206419.970809955,9288.80870536882,80122.1109366804,358086.518880048,NA,1010947.63611376,NA,206616.604851519,2802.27989601282,NA,NA,14338.7502060818,14358.2037915194,1309.69628244748,25966.77665811,366540.606972196,4446.00336854806,1437.77246247033,NA,NA,1255.21321018285,NA,NA,1089680.0084331,95411.0767946988,12396.8559484681,37428.5762738516,2057717.15574434,25838.9326422335,NA,520017.797115508,368131.016176251,5821.91641126297,NA,864515.978723253,580049.087756941,52525.3613404149,2405.1733947774,746728.53896761,2529.46750488611,NA,NA,32687.0643442367,61697.8825532734,1191.3056492527,1121413.47496033,18826.4721827466,NA,24871.7999867204,NA,NA,10226.9642975702,9816.34267908135,10913.5271795347,5410.38988917179,1476323.87265681,1494941.47200788,221868.328175143,393969.865367663,506214.558176325,395538.019717224,235708.03767015,NA,7054760.82171578,28700.3197570011,4791.4630757017,1450818.53822164,25913.679375596,9106.04387222831,1898962.80705191,469437.780866958,323425.023443122
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W24_SR.mzML",2619218.89574803,NA,16312.6454496365,30865.2427798839,10387573.5090092,19067.3266497134,61972.6016696886,8877.14431441488,6087366.85937888,70643.0908879518,4796.10303323632,NA,720628.593969002,9050.81028817286,880250.294601708,10701.0794432896,NA,2525204.36831615,44826.6275082075,20795.8777785535,NA,NA,NA,3509116.16167186,89559.9121512201,2250.20957049937,512193.553717188,12249179.8634202,NA,9737097.76134348,6277.67543013288,NA,155775.160134769,10950.404901615,NA,271721.992673243,NA,1029306.82230026,266759.875693261,3775989.83754937,49083.5913703691,6373.49576007243,NA,24916.7899466918,22038.5373614244,NA,27023.8381371457,383074.198583269,8458.98623841652,2682.09148840281,NA,NA,NA,NA,NA,1275863.12626677,131241.592122067,21468.3754000715,36039.3598935237,NA,NA,NA,724329.520162668,396423.614300619,7690.97008462666,NA,527044.677749762,385185.466019787,32046.860261815,1192.68654772541,666436.633556078,NA,NA,NA,44614.467624281,52362.1465940317,903.167818791625,1067572.9471331,18108.7029672605,2535510.63483433,65337.0996581519,21950.5928704503,NA,NA,NA,11963.4750616015,NA,1216736.0629855,1397266.48477983,189007.439764263,369454.374832973,478970.538395598,616864.787164284,374214.620122596,NA,6662357.86390485,26599.0162682455,NA,1804170.40890103,32543.79204381,10815.9868330975,1782262.5903173,400917.871039845,339311.529419015
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W35_LTR.mzML",2232104.70626405,NA,13224.0413109131,72367.7451304345,8944483.30620024,11476.2659033631,51849.8829585322,8804.01633259917,6214343.71229727,75409.5184246019,4597.84753772649,1228.47426207655,269747.674145405,3744.77393416095,1441671.03140018,13516.4384832501,2338.51661860572,2142352.20311594,29945.4947082254,13547.0810813778,NA,NA,NA,3888845.34147658,92253.1915638437,NA,498409.518906177,12033656.8895555,NA,8113841.74454413,4225.01626464929,287.409411334469,188607.47992739,8378.37519316943,63339.0953197907,316800.28108128,418.354977682434,1009586.98346775,271525.743272927,40317.4294792651,NA,NA,NA,13193.2731824327,13684.0904761959,NA,25359.0341806528,343653.537828926,3860.61865119928,1214.68194710554,NA,154.369257142003,1461.86097566871,NA,NA,1005730.3508111,95840.9663311662,12712.5348531019,34679.1129831095,2138566.18545177,25044.0470919024,NA,493008.76561219,358259.128899611,5673.78207356623,1754.28054937178,737578.854712961,611314.031759337,44190.8245858533,NA,706449.168269338,NA,961.909937575641,761.320930940065,29564.8780190883,NA,NA,1110874.00454831,17836.7330735719,1009334.36277592,25873.6889460372,10452.5154321832,NA,7845.14388142876,9770.75231453935,9534.09093337107,NA,1421570.01936513,1390385.75527652,189864.394351879,381442.402039029,483444.574173333,404141.269806121,243006.407570925,672.253334416415,6769733.98418442,28330.1293510583,5149.42362577753,1507583.32202024,23814.3914412598,7535.19733452408,1887301.67038995,439262.454535709,300140.905667132
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W36_SR.mzML",2404623.44951789,266081.241242471,14762.0029704288,32741.0646096774,10055710.6812632,17631.3263359994,46517.5235053164,8289.87131735744,6134901.35533835,70993.5365308356,4452.1779531642,1101.86906888765,744798.253944229,8730.81032801028,922345.07560486,10936.6077727638,NA,2607006.04934851,45241.9696576677,20354.9361265137,NA,NA,NA,3466318.75585059,87511.2141048795,2584.05081319877,500094.372173212,11879956.2088549,NA,9264026.69613185,5611.90457017848,683.937833879935,156326.924856571,8169.05073537507,64378.7084158276,217232.293079968,NA,1006606.16768637,270951.867375292,3528596.73212137,45267.4511533808,6349.71047720069,NA,22759.3840471997,20184.7745345681,1681.32950605413,25849.5078468053,369567.700200496,7506.5439114449,2793.19587878229,NA,NA,1457.21876086212,NA,690.584942807108,1150245.55414548,131332.866399413,20507.6089573321,35242.7149010745,NA,23533.4249455441,NA,676622.431688506,377215.219816262,6554.93934035367,NA,532172.228658746,416065.84540799,32014.7173090496,1616.27094070131,635504.728438511,NA,NA,516.352003273234,41666.3316867679,NA,NA,1109890.67417825,18458.9240873315,2485732.57856701,64538.1338302248,22571.8072768835,NA,NA,NA,10290.848719373,NA,1297082.21847444,1444844.83388726,210340.934004264,383190.833070097,489433.433217387,620189.021262569,376971.622520134,NA,6719877.67316527,26500.5025230703,4856.14678351402,1770531.00421128,31884.3821317489,10135.7527912975,1797484.90618482,387608.924431528,334796.036200557
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W47_LTR.mzML",2409419.57766039,696888.872300488,14718.3088675912,71480.2011734696,9301975.46472858,13111.1344264622,NA,8913.06764871381,6348876.26292079,74166.8328743686,4403.75459793446,1099.67440589206,266351.347103335,4028.3704901503,1395668.04465653,14670.2916332372,2235.04806678631,2202727.26142121,32354.811156742,13694.8931816551,NA,NA,NA,4110569.35337777,97201.8574729773,NA,501163.44361792,11953057.8645769,1123.15321170993,8034110.44339508,4234.51386660831,NA,192207.459675504,9074.1017502397,75067.3609548736,321541.150793126,NA,1000384.39907379,NA,36457.5385486637,NA,NA,NA,14024.104879201,14323.063983784,NA,25380.8558246374,351028.826080129,3471.15420809049,1816.40568684596,NA,NA,NA,NA,NA,1000458.46870851,105764.221063277,13999.6373988874,33757.5220561319,2039373.06713405,23842.960796126,NA,487423.086298036,358666.056144084,4737.97080461423,NA,769736.812639041,608186.446024475,45833.1995603203,2184.20694233756,704042.604635631,NA,591.502748429237,NA,30590.8129376016,63530.9897717995,NA,1125646.8470866,17414.7119959196,1007677.10060599,26651.4924587433,5859.75703176567,NA,NA,8580.92015878074,9013.94053388983,6832.62881217958,1383303.43557795,1276505.94842194,191598.01334257,364765.569006161,490329.548727773,385650.293641385,229104.447093207,NA,6930832.25897902,27026.6110728214,4691.75063451131,1494088.70725998,23614.8104972302,8133.39335664043,1978598.25622466,463446.81743362,304385.900832786
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W48_SR.mzML",2287480.2507787,292112.620825415,13861.9529143702,33220.1514653335,9375031.75068511,16782.2263522548,59645.04037915,8369.76541245091,5847440.95275559,69889.2348123823,4352.10915411459,NA,738071.216796124,9348.50719885471,955959.630219182,NA,NA,2588785.66132411,45099.683051432,20031.341692007,NA,NA,22981.9063296824,3375098.54146186,80832.2837259467,2143.85313646178,488721.092085129,11319323.1566316,NA,8846497.02580589,5828.72175395576,NA,150133.181818496,7978.10069629613,63651.2736930033,181975.59303437,NA,997920.878340937,264595.064265641,3439118.34901698,41775.870826175,6175.1610146902,NA,22003.7257421613,19575.8939600338,1265.95213778934,26046.211860076,355960.224883034,7256.40807798392,2551.92311637421,NA,NA,1581.72109647637,NA,NA,1136286.92150091,132335.454170984,21199.2172214851,34160.5029664484,NA,22752.485374902,NA,676920.476407677,377348.115578419,6253.6816367886,NA,523437.548605446,436662.745752963,31526.0401084576,NA,625685.881068118,NA,NA,661.072298822322,38032.8937399051,59223.65005224,NA,1113978.42275444,17448.5348377644,2438451.73047,60327.0861168412,19947.8010382766,133246.324424545,NA,NA,10235.1081730469,NA,1242986.06573941,1390979.63834128,172528.942503531,342721.382123201,445091.131880424,616912.162025663,373603.445762083,1525.63935621169,6509719.59866217,26950.3681933889,4714.4325484531,1668039.97258845,30101.4220243999,9208.75616762649,1709626.04346466,370553.886979161,328444.325063945
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W59_LTR.mzML",2726927.42644527,523570.647674048,15954.0318896426,66485.1474175579,9587813.58568601,17567.4984710026,49282.6836784757,8772.84268078276,6137730.85652103,69971.2921807723,4644.78833999101,1138.95458204649,245672.222830259,2903.38399735752,1075575.24619838,14169.3765845802,NA,2108532.02301031,36349.9103399599,13219.7314259133,505604.549562111,NA,37582.123739615,4034964.02867922,99411.3286704283,NA,480006.338174987,11650383.0718825,NA,7745733.47188345,4183.22408291436,NA,186388.414449913,10352.0676510595,69354.7894530855,344700.835052732,NA,976523.318127349,NA,29086.8393277444,NA,NA,NA,15096.9703301585,14232.3263687854,NA,25021.4383364078,345020.050098286,NA,NA,NA,162.239001780168,NA,886.021813724653,NA,919565.547785439,109761.992348132,16928.2135222348,32010.7379482522,NA,24523.3642587234,NA,468781.592688937,350616.050317466,4578.92226031859,NA,631399.029690955,606000.989446145,36599.6074165022,1813.37175824537,697743.814591309,NA,NA,NA,28424.6538914569,58880.8151123476,1338.97671232389,997556.655483546,16022.1260093415,1001892.04880886,26183.8698811989,10576.4224248881,NA,8623.90347464051,7428.47724965751,8362.6899042663,4326.61805553634,1409573.11580376,1439788.11926081,211305.787323041,377073.399736897,484729.347888182,350153.646027422,208619.91428357,NA,6294876.57727447,25243.4757440763,4835.80963085876,1430345.38417598,24097.5831046996,8057.02583059402,1771197.80620074,456862.925517522,293037.383031636
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W60_SR.mzML",2444776.18243728,NA,14243.7228049442,30719.8958925179,9842843.20863779,18989.6021481251,NA,8238.77690244206,5984135.57935768,68541.6414899113,4344.24910893427,1081.60824279039,698766.403032076,8877.95327308638,879270.959775003,10380.2091648732,NA,2447673.21449194,NA,19340.5852403722,387054.483447249,NA,NA,3517715.43023304,87877.1613148929,2310.33694419253,475890.563275294,11310831.8315874,NA,8805163.73963486,5777.49214147527,NA,143861.094412981,8355.04857300562,58016.8693439676,231455.860828304,NA,974082.264414643,255152.922939367,3386789.97774621,41922.0815644491,5839.35364444735,NA,22923.3976778264,20298.8419959375,1419.47826141355,25997.8214558959,355527.335224079,7660.44555997711,2631.69933070849,NA,NA,NA,NA,NA,1165918.7061425,129679.927535971,22020.2240627521,34600.2970373419,NA,24357.5074674513,NA,667754.863826038,366355.067142028,6301.39731399272,NA,501210.680153039,393348.613097389,30994.1847531345,1601.78121308598,615999.325185711,1667.06266188119,672.227718075612,505.580747697545,38270.9869940453,52355.7793361433,NA,1019316.93741051,16435.1941381143,2394134.81645746,63349.2306495621,21964.5208770982,NA,NA,10161.7549797548,10156.564671198,6343.55973676513,1259901.85418989,1313121.85201516,193131.06233701,358761.427292971,457523.27116678,585050.304599605,356264.624376797,NA,6388433.42837058,25724.4829853192,4883.60049275501,1678735.95972611,29755.7691490836,9277.90052705836,1700552.30292857,366369.524888678,315274.218646919
