"","HPOS-002.1","HPOS-002.2","HPOS-002.3","HPOS-002.4","HPOS-004.1","HPOS-004.2","HPOS-004.3","HPOS-004.4","HPOS-006.1","HPOS-006.2","HPOS-006.3","HPOS-006.4","HPOS-010.1","HPOS-010.2","HPOS-011.1","HPOS-011.2","HPOS-011.3","HPOS-012.1","HPOS-012.2","HPOS-012.3","HPOS-014.1","HPOS-014.2","HPOS-014.3","HPOS-016.1","HPOS-016.2","HPOS-016.3","HPOS-020.1","HPOS-020.2","HPOS-020.3","HPOS-025.1","HPOS-025.2","HPOS-025.3","HPOS-028.1","HPOS-028.2","HPOS-028.3","HPOS-029.1","HPOS-029.2","HPOS-036.1","HPOS-036.2","HPOS-038.1","HPOS-038.2","HPOS-038.3","HPOS-038.4","HPOS-040.1","HPOS-040.2","HPOS-040.3","HPOS-042.1","HPOS-042.2","HPOS-043.1","HPOS-043.2","HPOS-043.3","HPOS-043.4","HPOS-044.1","HPOS-044.2","HPOS-044.3","HPOS-045.1","HPOS-045.2","HPOS-045.3","HPOS-045.4","HPOS-051.1","HPOS-051.2","HPOS-051.3","HPOS-055.1","HPOS-055.2","HPOS-055.3","HPOS-055.4","HPOS-056.1","HPOS-056.2","HPOS-056.3","HPOS-056.4","HPOS-057.1","HPOS-057.2","HPOS-057.3","HPOS-057.4","HPOS-059.1","HPOS-059.2","HPOS-059.3","HPOS-062.1","HPOS-062.2","HPOS-064.1","HPOS-064.2","HPOS-064.3","HPOS-072.1","HPOS-072.2","HPOS-072.3","HPOS-074.1","HPOS-074.2","HPOS-075.1","HPOS-075.2","HPOS-075.3","HPOS-075.4","HPOS-075.5","HPOS-078.1","HPOS-078.2","HPOS-078.3","HPOS-080.1","HPOS-080.2","HPOS-080.3","HPOS-082.1","HPOS-082.2","HPOS-082.3","HPOS-085.1","HPOS-085.2","HPOS-085.3"
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W11_LTR.mzML",6241575.8909848,NA,37605.5283468022,104581.685931481,25120992.533111,100762.470455393,60577.3924048764,NA,15937528.6461948,198270.804154077,15244.2996766451,NA,536023.367568398,6729.23611051744,2987322.12213867,44344.4872938411,NA,4276569.14965592,78653.0231839307,26482.8659190887,NA,NA,NA,12070108.1431585,341939.669992519,10513.9798426624,2051909.68350031,43151450.8160647,NA,25457489.9774605,10662.1290255176,NA,247034.22896216,21934.5909755707,NA,586688.664261179,501.355075668575,3010505.32745864,1494688.76390823,145876.541614026,NA,NA,NA,92807.4454987316,77171.136279593,NA,74154.587357752,1029987.92149428,9067.25797984388,2798.53509875873,NA,NA,NA,1628.32756995609,NA,2505088.86687139,286877.459460843,36798.8276995754,75333.7977388001,11157530.1399605,158882.459840869,8147.35571312468,988505.610159667,724033.830661258,10334.3947921829,5502.69180685252,1104094.60819338,856691.273919041,72341.4260333488,NA,1353398.05391911,NA,NA,1257.32554684156,57965.3646636849,NA,NA,1724733.20613306,26508.2102344142,NA,80658.6327703842,NA,NA,18900.1977356729,NA,26165.9881033427,NA,2019600.96211205,1810732.54622039,232688.41641126,470428.895050911,656451.798708939,668337.170988253,395120.043901397,NA,11275703.8800343,49933.6529052289,9204.35711102476,2673117.00158081,42951.2252422971,17182.8338430405,4080057.97414404,925852.459985175,518670.426989976
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W12_SR.mzML",4423010.38615019,NA,28134.4267724937,56510.6284555898,25022250.8236606,72769.757858141,NA,19549.3503911838,17667386.4638694,219735.912262516,NA,3381.28211311304,1340750.10922088,16547.1443783104,2946283.01605897,41493.4244809466,NA,7993106.84292076,NA,62209.9987701247,NA,NA,NA,10514188.3192451,281357.533315082,8978.50106965432,1891429.96814711,40099082.0069997,NA,30221324.9318103,15094.7459216322,NA,230862.944946133,17885.553366563,NA,506093.863299298,NA,3078940.45245153,1504341.53951861,9415723.03672309,135512.608412362,16754.1494513277,4041.98351129619,102914.921761582,79594.2032758445,6153.68376041867,81036.8818284494,1119918.57561783,18673.4985422702,4382.65716401691,NA,NA,6579.23892315338,2029.90081045343,NA,3406974.32216386,365288.463925579,46580.2335429107,88851.0333257721,NA,161986.393486185,NA,1392049.76680081,711465.338217656,14719.0968033058,NA,805653.94666562,547429.783812882,57779.0592121676,2128.56546641005,1155349.48719607,NA,2203.87653907536,1354.80117516594,73095.0281388327,92639.6815812107,NA,1894749.426675,30312.8540514796,4601874.93773301,136424.187309323,48734.2525014899,19875.4865680607,21646.6431570108,28105.5569262154,29561.9855961048,NA,1746133.91700872,1723943.53214653,238906.18584217,483038.798802244,620319.448669139,1133872.46951894,697417.414916527,3667.79737111489,11627962.9684405,51988.2942281419,10025.9130434444,3228591.27714854,55353.4532215195,20322.1825662627,3760576.82485374,631783.75423502,562397.819406072
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W23_LTR.mzML",3599719.35624881,744741.738862285,22311.0201508634,130778.967738971,20045858.3353941,36399.8483317505,89459.6912516152,18156.5632870036,17825260.8831639,214617.762675129,14057.5677070582,3089.62845991191,571419.735567963,6937.29041924114,4110849.93868486,38789.4616482087,NA,4667227.36496164,71358.6540483247,30858.9348774906,NA,NA,NA,10576499.3578145,269782.79605181,8627.45987616985,1685777.53439355,38456422.9563906,NA,24217267.4796019,10369.1752906839,NA,335419.547756201,17570.741008279,132026.94843956,853310.738799374,NA,2956066.27161108,NA,299663.261434459,3189.19014005132,NA,NA,56042.745142553,37117.5512841639,2425.2862760819,75461.7263590186,999292.791657118,8447.22553521884,2779.36356527195,NA,NA,4098.2261342903,NA,NA,2793069.25652422,246929.123399821,25667.4496129923,90543.6889251967,30591505.9475443,187173.932763508,NA,991634.408375475,717460.054020782,13206.3397540199,NA,1349257.93437724,775358.19236827,87856.7317945705,3771.46134219379,1278079.86343897,7691.94424462385,NA,NA,53738.6214822531,107976.77560004,2165.81457330848,1837814.10387616,29304.5183904874,NA,63667.6019802194,NA,NA,22663.6995336974,24475.0786685764,24120.8252639494,8116.16900406006,2048363.43619221,1900452.68458609,257475.587233706,488302.553963414,633372.609452911,748120.095447526,448788.194520168,NA,11844319.4468565,51714.2786734728,9454.07503492047,2674585.67184882,45490.7935442232,16387.8101013932,4206072.21349357,862872.456188509,540917.173210805
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W24_SR.mzML",3754628.41740162,NA,23161.8580565949,55223.4188570598,21522891.791194,56465.0577382831,68427.0028761243,18457.8659486398,17445413.0645282,210187.574890888,14425.786697743,NA,1300046.63148756,15315.6925141269,2592398.93345026,32275.6645274833,NA,7792249.65127929,126125.747381632,58720.2541684231,NA,NA,NA,9272116.82484106,246471.553162861,8371.92056143179,1757768.58427611,36723040.7076564,NA,28345010.4403279,13621.5693995474,NA,251938.981242652,18706.6192189212,NA,512940.332068811,NA,3006153.30963247,1413750.58813914,9043486.26846506,120674.070106222,15767.3905654468,NA,87536.616262941,61131.1886233185,NA,80105.086288121,1072101.3222845,16155.1528306518,4366.16160830158,NA,NA,NA,NA,NA,3188207.58697705,377016.977832628,47301.7373675841,87350.9574423771,NA,NA,NA,1302990.01715528,732227.947801462,13442.134768867,NA,750680.494278669,558231.746985532,51303.4602119544,1867.00161670047,1088217.29955741,NA,NA,NA,66952.0134219051,83167.1400341092,1057.67789190974,1797782.45452758,28695.8746275582,4238550.19419517,113967.445910635,46817.0299784939,NA,NA,NA,27407.5469381454,NA,1792425.41371564,1822598.94931109,235686.957058962,466446.7717681,632339.51285738,1076618.34245508,651943.819096569,NA,11228981.8381931,48483.8120536309,NA,3109252.58214307,52645.9344461255,18176.4619928568,3186522.91621165,684781.295384616,529588.923891589
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W35_LTR.mzML",3239394.29755939,NA,19555.4998656899,131736.785086943,17521034.0095488,29823.2727617661,92102.3532659017,16851.868848426,16886383.7988788,208212.362935654,12899.526252888,4073.29837470374,552041.693956245,7261.37760670997,3627255.08770856,36370.1930666656,5117.10627539486,4583074.26960193,71929.3239954145,29679.251735613,NA,NA,NA,10492700.065033,274236.935005539,NA,1676758.51487474,35756669.5984035,NA,22674445.8564992,10074.9515979826,1091.03825882561,315931.418175178,16628.3188877998,120502.957051515,808779.842142244,1135.32988116168,2844787.80250497,1389085.2763378,58047.6750816147,NA,NA,NA,48656.2321278158,31682.4046953849,NA,72844.6969356084,956579.065432935,7121.3171153984,2155.59015011868,NA,2331.14008273856,3988.23878405012,NA,NA,2579126.2460885,253287.362970871,26399.8585777903,84052.1366370091,28200203.1707478,164351.586464603,NA,921061.51689452,685900.3930358,11821.2059337877,4213.73336834979,1145277.15111924,860653.257151335,72743.084427771,NA,1189325.71499946,NA,1687.89108130899,1234.32082100235,47712.0362183377,NA,NA,1783666.01927401,27912.7555613847,2178368.92920865,60168.3449091427,26539.5784917623,NA,18753.5227678762,27551.1856457154,20083.5409621948,NA,2024390.75433941,1870229.78088233,249061.691396096,510982.307897377,667067.812317698,743925.948478451,444938.055048188,2108.82748337775,11129430.4108273,49224.4327547789,9584.53573175719,2632921.74016274,41870.8624024297,13901.1241312406,3822652.40693675,841884.410455927,490228.648869557
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W36_SR.mzML",3352665.02518073,292493.493028202,20720.6512925258,58921.1297339869,19999912.1102356,45820.0823879859,72160.073011669,17344.5339588095,16822726.6344783,207280.438230244,12933.8893132328,3557.67207667683,1362584.75695906,16405.4013408796,2601105.20532622,31925.6053274758,NA,7961114.66198306,130175.308241864,57218.768617811,NA,NA,NA,8955692.89283777,235586.874709578,7043.27294577101,1699364.59354655,34881676.7810399,NA,26980085.5412209,12837.4653715861,5954.54737043761,252569.701460623,15371.1232333138,104149.610086842,473235.646177134,NA,2896003.40848754,1372299.78685183,8519529.97706933,113374.679054533,14915.0482432113,NA,79842.3699676403,52970.3056295255,3317.2577317364,76787.9632422919,1031166.85719333,15345.2099668233,5262.94266085448,NA,NA,5431.0939583014,NA,1178.14032780611,2944059.997667,370544.489709034,46509.5760900461,82748.3059104015,NA,157929.171834039,NA,1235650.5291355,698633.599286034,12014.6408118098,NA,764514.0910791,575865.630223061,52222.7238095695,1352.43869344199,1034159.60001406,NA,NA,903.477723088155,63031.5921926317,NA,NA,1819112.81619314,29018.0727541116,4192807.95434741,112472.155190119,42025.6919751891,NA,NA,NA,24470.0476492599,NA,1783455.32238079,1815568.59472695,242943.182166923,469497.40279992,643872.663201162,1094401.63128192,656555.997603436,NA,11283596.1397296,48680.7886733482,9426.57901179595,3016223.73259858,52563.8383532361,17997.432483141,3391718.4306407,673288.332058024,533270.221659153
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W47_LTR.mzML",3381883.53578836,749433.725955181,20801.2229370275,122985.107048294,17682117.1396198,32000.9729688534,NA,17473.5824843175,16583063.2196521,201231.348517531,11888.3644310096,3286.71890879511,545736.91820134,8545.14977498251,3458255.9156902,38861.0126874379,5168.81967599913,4508071.17809164,75563.8473316807,29120.991711167,NA,NA,NA,10416735.1247485,274434.008833495,NA,1713307.91370172,35342748.159234,4768.32631244769,22327411.0065439,10427.0941627029,NA,319102.167570439,17736.4973284731,124223.507879261,804517.302067813,NA,2828407.55176707,NA,50710.1742419021,NA,NA,NA,52031.8857567802,34614.6158788711,NA,72961.678263859,952068.604827023,6959.52311759105,2803.07795481087,NA,NA,NA,NA,NA,2513260.43873654,279849.020241273,31110.3859600934,82155.4643639241,28638964.0286297,169485.951285086,NA,927105.687210496,692849.062300962,9172.33712774566,NA,1212562.08246795,854099.190042764,79190.4737578458,3542.1564420232,1184155.8623637,NA,2642.87757444747,NA,49885.482709332,114966.625242177,NA,1798371.05805924,26964.2151219881,2240818.47462049,60220.5333106378,14543.3645247117,NA,NA,24812.0541797817,20260.7112023575,8028.44391542672,2051094.40648299,1836005.82143232,248099.32502948,492012.134217415,685057.469181556,716801.812883015,424130.523915912,NA,11338541.558094,48942.541487443,8884.53837437553,2657801.28306362,42368.1724053871,14655.4727435342,2675666.98733384,838628.470199077,514801.863403952
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W48_SR.mzML",3195994.52011427,310922.171092973,19561.7518369521,62030.0729472835,18369934.6619502,44734.4145239352,86689.5691727752,16318.2502136271,15756385.7893305,189970.529103434,11932.7433359917,NA,1305866.34296547,14959.2046105846,2515222.69620603,NA,NA,7721119.27428947,129502.464797492,57157.0982171767,NA,NA,157729.334735537,8078558.45358976,206767.077881945,6071.04601175406,1645995.91372223,32899537.9844955,NA,25802329.6466497,12945.5714605216,NA,263047.214963558,15237.285170836,103705.41220031,442916.262224119,NA,2846411.9765424,1329300.48384773,8282639.76163798,102163.411194197,14635.1758090169,NA,72797.1505559383,48338.8293797041,3102.73357036076,76903.4260971525,1046791.14307547,14719.0295767845,4948.47995895058,NA,NA,4933.88602113066,NA,NA,2839125.28562314,368305.840613701,47300.35481327,81297.2327494574,NA,150166.736243028,NA,1214553.29265691,684851.436173812,11621.8943165399,NA,710587.306989819,593812.05676108,47158.7149070501,NA,995081.393865769,NA,NA,882.482509276056,56605.9035643797,97179.6247909,NA,1785127.49353698,27728.2683665123,4134361.34653559,110256.512877516,35226.6012043217,606204.879282609,NA,NA,23068.5583820034,NA,1822865.68564009,1844219.15613899,230963.985172532,456924.7098927,638554.24419063,1071800.85085022,643290.505231854,2507.06313966573,10754400.2772556,47351.1022006974,8611.62888524825,2856108.96561534,49895.15544616,16236.5855240568,3311991.69862851,645689.958644318,526727.231782352
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W59_LTR.mzML",3945618.04172985,568746.248077072,24066.6545801651,114398.380120676,18779092.9909879,45080.4928086761,74901.3305488973,17095.7109270758,15463720.0559623,183217.25877529,12301.4795849012,2802.37978153351,510283.327848971,8021.44318742857,2852589.356739,38356.4129979598,NA,4271392.32440321,78571.1229908721,26562.823932354,2790479.67592602,NA,203174.47407215,9708660.69586079,253291.18392747,NA,1671658.6225609,34620750.7590619,NA,21356602.5918527,10091.9099651,NA,292081.993888823,19613.759264525,109255.824720506,755888.97615862,NA,2774559.95659807,NA,41655.6244078802,NA,NA,NA,58695.4909028727,37514.8444269559,NA,71111.7245747867,908629.34733951,NA,NA,NA,1501.92749285517,NA,1432.87540446405,NA,2265147.564067,304353.152830306,38327.1940389042,74625.0578894273,NA,156884.698120196,NA,861691.598447798,663380.54919595,10370.7875033155,NA,1014857.88380248,906984.015409605,65391.7975429246,2723.40708553503,1147213.68061553,NA,NA,NA,45536.6996546645,103970.039657675,1870.29359729457,1635230.46489065,26373.5932794528,2162681.3895026,56934.9063170371,18760.4052470953,NA,17581.3184536601,20202.3368705372,18784.9635832429,6960.70005241855,2066521.99468062,1910523.88648107,253376.102834482,497872.866200064,660355.145787911,636158.737898631,379779.040850471,NA,10583014.9569688,45576.7683540672,8854.54497128954,2493798.69461643,40880.1923513978,13929.3574519352,3419124.42987112,849399.313369541,479749.987566425
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W60_SR.mzML",3475745.89698807,NA,20852.9293014401,50409.0310108375,19749746.7191346,49854.7589481525,NA,16809.1583529467,15366300.0741811,185697.343537776,12547.5970460915,2545.30352601487,1221411.40154118,15578.5426518941,2403055.03672934,30901.3093004889,NA,7515559.14570258,NA,55727.9631468144,2326983.92132574,NA,NA,8217265.57555917,216592.346151053,7142.84765728584,1626804.11554193,33561112.1427517,NA,25628255.4282423,12855.1443181892,NA,234287.604206396,15413.8920713545,94468.3494643659,459936.831316117,NA,2794079.84219891,1297147.07051176,8141390.96762741,101598.964948903,14729.0386582871,NA,80282.7331513499,54849.6455142779,3359.13465626259,76747.0754667477,985728.996690336,13750.8356352511,4918.6655329904,NA,NA,NA,NA,NA,2833614.36894478,367679.118783524,51029.0011302438,78965.7042737498,NA,140318.434534793,NA,1183846.4314486,665515.259759246,11240.1466490701,NA,706016.64750827,559124.143143936,49836.1342589081,2099.78860065816,979803.598114289,14462.9809150747,942.337816008471,585.304469894488,57570.4437279552,90787.5792844946,NA,1685387.87808169,25961.5596541366,4172933.77481462,107490.047897261,34987.1478347716,NA,NA,29203.3061612174,22575.9842008135,11833.733114819,1757922.11718385,1729934.67615233,225171.474992787,437396.204576168,590703.230290079,1018353.52888283,609649.387834517,NA,10639129.2854158,47121.0852087964,9313.86649919377,2886039.64327902,49618.0846506894,16561.2437722322,3373919.3866054,631891.09234748,509056.39559127
