"","HPOS-002.1","HPOS-002.2","HPOS-002.3","HPOS-002.4","HPOS-004.1","HPOS-004.2","HPOS-004.3","HPOS-004.4","HPOS-006.1","HPOS-006.2","HPOS-006.3","HPOS-006.4","HPOS-010.1","HPOS-010.2","HPOS-011.1","HPOS-011.2","HPOS-011.3","HPOS-012.1","HPOS-012.2","HPOS-012.3","HPOS-014.1","HPOS-014.2","HPOS-014.3","HPOS-016.1","HPOS-016.2","HPOS-016.3","HPOS-020.1","HPOS-020.2","HPOS-020.3","HPOS-025.1","HPOS-025.2","HPOS-025.3","HPOS-028.1","HPOS-028.2","HPOS-028.3","HPOS-029.1","HPOS-029.2","HPOS-036.1","HPOS-036.2","HPOS-038.1","HPOS-038.2","HPOS-038.3","HPOS-038.4","HPOS-040.1","HPOS-040.2","HPOS-040.3","HPOS-042.1","HPOS-042.2","HPOS-043.1","HPOS-043.2","HPOS-043.3","HPOS-043.4","HPOS-044.1","HPOS-044.2","HPOS-044.3","HPOS-045.1","HPOS-045.2","HPOS-045.3","HPOS-045.4","HPOS-051.1","HPOS-051.2","HPOS-051.3","HPOS-055.1","HPOS-055.2","HPOS-055.3","HPOS-055.4","HPOS-056.1","HPOS-056.2","HPOS-056.3","HPOS-056.4","HPOS-057.1","HPOS-057.2","HPOS-057.3","HPOS-057.4","HPOS-059.1","HPOS-059.2","HPOS-059.3","HPOS-062.1","HPOS-062.2","HPOS-064.1","HPOS-064.2","HPOS-064.3","HPOS-072.1","HPOS-072.2","HPOS-072.3","HPOS-074.1","HPOS-074.2","HPOS-075.1","HPOS-075.2","HPOS-075.3","HPOS-075.4","HPOS-075.5","HPOS-078.1","HPOS-078.2","HPOS-078.3","HPOS-080.1","HPOS-080.2","HPOS-080.3","HPOS-082.1","HPOS-082.2","HPOS-082.3","HPOS-085.1","HPOS-085.2","HPOS-085.3"
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W11_LTR.mzML",253.815749036145,NA,253.719363493976,255.836747036145,302.806669050602,302.589475479518,302.518211419277,NA,357.179175922892,357.227694195181,356.843526920482,NA,259.590965807229,259.687001551807,311.244052392771,311.363859021687,NA,267.073922462651,266.665635106024,267.07357326506,NA,NA,NA,368.914618306024,368.938714691566,368.769364693976,298.065901566265,298.209804580723,NA,293.951640106024,293.975712795181,NA,264.643961207229,264.572021848193,NA,292.17055206506,292.676226963855,152.600184922892,153.971931110843,207.238752836145,NA,NA,NA,226.995294404819,227.308198219277,NA,251.385112481928,251.337268908434,269.624668050602,268.998511224096,NA,NA,NA,274.894205419277,NA,305.421346949398,305.492960207229,305.44544333494,305.421346949398,364.65542873494,364.631006848193,363.619284156626,97.1059552072289,97.2016654506024,97.1775690650602,89.1889540072289,67.4368542216867,67.3890112481928,67.4127578361446,NA,78.6733405493976,NA,NA,78.2155092240964,145.67042933494,NA,NA,271.188859821687,271.260473079518,NA,245.995140578313,NA,NA,328.713193819277,NA,281.752332749398,NA,76.9163704939759,76.9404668795181,76.8922741084337,76.8922741084337,76.8929494072289,117.680049792771,117.704146178313,NA,275.591951807229,275.49556626506,275.471469879518,136.142052192771,136.045340549398,136.118305004819,77.6867558361446,94.0983961903614,94.1703361493976
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W12_SR.mzML",253.249149578313,NA,253.129342949398,255.895954607229,301.878944807229,301.44520986747,NA,301.855174522892,356.830771436145,356.926481079518,NA,357.118902966265,258.927952607229,258.976470879518,309.788234163855,309.860173522892,NA,265.425356845783,NA,264.847043592771,NA,NA,NA,368.709091737349,368.661248163855,368.66022366747,298.076887566265,298.125756236145,NA,293.866240563855,293.769855021687,NA,264.558236163855,264.485947007229,NA,291.677243163855,NA,152.58878933253,154.05522126747,207.297946607229,207.249753836145,207.225657450602,208.379549168675,225.417005848193,225.465873918072,225.536788780723,250.962416038554,250.940020048193,269.275233363855,269.010173122892,NA,NA,273.701047440964,274.473156874699,NA,305.216140778313,305.216140778313,305.216466879518,305.143851621687,NA,364.282276260241,NA,97.2213379493976,97.3173736939759,97.2216640506024,NA,67.3893373493976,67.3170481927711,67.3170481927711,67.1476744987952,78.5959522072289,NA,78.0655056240964,78.1140244963855,145.705526120482,145.874177122892,NA,270.381943007229,270.357846621687,245.597867421687,245.549674650602,245.501156378313,340.684852221687,328.508994751807,328.701765836145,281.40257766506,NA,77.0069887518072,77.0310851373494,77.0317604361446,77.0799532072289,77.0558568216867,117.818853621687,117.818853621687,104.079472479518,274.785361693976,274.665228963855,274.737518120482,136.248762836145,136.176473679518,136.201245363855,77.6806624506024,94.2860515927711,94.2853762939759
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W23_LTR.mzML",252.214145978313,248.220342749398,252.142182922892,255.534950807229,300.24255666506,300.458399038554,300.435327749398,300.074231163855,356.107669650602,356.155187122892,355.770670050602,355.553802580723,257.604467679518,257.652334349398,307.332941807229,307.332615706024,NA,265.015461279518,264.726327749398,264.966942407229,NA,NA,NA,368.177759636145,368.153663250602,367.744700595181,297.643944407229,297.740329949398,NA,293.552754236145,293.50456146506,NA,263.981040192771,263.932847421687,263.981040192771,290.063950007229,NA,152.370663450602,NA,207.00957186506,207.22643933494,NA,NA,222.626055192771,222.794054592771,222.818476479518,250.38522006747,250.384893966265,268.456072137349,268.167940607229,NA,NA,272.040940910843,NA,NA,304.541232363855,304.58942513494,304.613171722892,304.517462079518,363.389125481928,362.482542368675,NA,97.1300515927711,97.2983764939759,105.865623706024,NA,67.1955648650602,66.9546247060241,67.1470459927711,67.3160467927711,78.4571411783133,82.1869164626506,NA,NA,145.609247163855,145.801342949398,145.632994351807,268.985843421687,269.009613706024,NA,244.514345549398,NA,NA,328.17043373494,328.194530120482,280.463633506024,280.920089937349,76.8688530216867,76.9404668795181,76.9170457927711,76.8681777228916,76.8922741084337,117.680049792771,117.704146178313,NA,273.34144673494,273.245061192771,273.244735691566,136.080180322892,136.008240963855,136.031662050602,77.6864369349398,94.0742761084337,94.1710114481928
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W24_SR.mzML",252.809337749398,NA,252.760469679518,255.841335149398,301.053940607229,300.981976951807,300.693170122892,300.861844821687,356.727609409639,356.752730891566,356.295924662651,NA,258.34356186506,258.415525520482,308.577361093976,308.721939407229,NA,264.575580361446,264.840616906024,264.070231563855,NA,NA,NA,368.558762036145,368.510243763855,368.438303804819,298.021942607229,298.046038992771,NA,293.810945807229,293.667718691566,NA,264.40655586506,264.335291804819,NA,291.043658850602,NA,152.531468679518,153.662251012048,207.290859021687,207.242340149398,207.09843713494,NA,224.27943773494,224.375823277108,NA,250.738796380723,250.76356806506,269.050291308434,268.762806277108,NA,NA,NA,NA,NA,304.967749436145,304.992171922892,304.992171922892,304.96842473494,NA,NA,NA,97.1370469927711,97.2327566361446,97.1129506072289,NA,67.1239510072289,67.1239510072289,67.0998546216867,67.2210118481928,78.3908532216867,NA,NA,NA,145.722534920482,145.987245963855,146.155244763855,269.748387493976,269.700194722892,245.157054192771,245.181150578313,244.916090337349,NA,NA,NA,281.057474079518,NA,76.9233730939759,76.9474694795181,76.8989506072289,76.9230469927711,76.9474694795181,117.782762036145,117.782086737349,NA,274.128058992771,274.00757706506,NA,136.192792780723,136.096756436145,136.096081137349,77.6693359493976,94.1040475927711,94.2007592361446
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W35_LTR.mzML",252.021048792771,NA,251.973182122892,255.510179122892,299.977845621687,300.241881366265,299.761327949398,299.760978151807,355.963091337349,356.035380493976,355.601995351807,356.20235479759,257.362851621687,257.531852421687,306.802844421687,306.706458879518,306.89955606506,264.774846621687,264.486039792771,264.70255746506,NA,NA,NA,368.081374093976,367.986339749398,NA,297.499715291566,297.644293604819,NA,293.553080337349,293.408175922892,294.033633154217,263.955942407229,264.028231563855,264.076401238554,289.438142978313,289.29356466506,152.393758436145,153.548637754217,207.032341349398,NA,NA,NA,222.071186722892,222.312476079518,NA,250.289207419277,250.336375693976,268.335264708434,268.023036192771,NA,265.664712491566,271.944905166265,NA,NA,304.420750436145,304.468943207229,304.516460679518,304.371882366265,363.365029096386,362.715101985542,NA,97.1775690650602,97.2250865373494,105.960665850602,89.8392066192771,67.1480473927711,67.0275654650602,67.1473720939759,NA,78.4330447927711,NA,78.5528586216867,78.4323766939759,145.632342749398,NA,NA,268.696710491566,268.721132378313,244.273055592771,244.465476879518,243.936381493976,NA,327.95356626506,327.833084337349,280.41544073494,NA,76.9407929807229,76.9655646650602,76.8932755084337,76.9655646650602,76.9889857518072,117.703470879518,117.72756726506,104.204044992771,273.051964607229,272.95557906506,273.027192322892,136.103625106024,136.031662050602,136.055758436145,77.7831413783133,94.1940827373494,94.1455638650602
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W36_SR.mzML",252.472756436145,248.38156626506,252.351948407229,255.624909662651,300.597254763855,300.668519424096,300.25957986506,300.404483679518,356.294340149398,356.342183722892,355.932894366265,356.679533120482,257.98255806506,258.006980551807,307.855289508434,307.880061792771,NA,264.022806877108,264.407650050602,263.637264708434,NA,NA,NA,368.172660450602,368.125143578313,368.268370693976,297.78242213494,297.829939607229,NA,293.642689395181,293.402750636145,293.499136178313,264.190456479518,264.190806277108,264.191131778313,290.538752636145,NA,152.363887566265,153.49434439759,207.146372893976,207.122276508434,207.002469879518,NA,223.485724091566,223.509471279518,223.460952407229,250.498600009639,250.474853421687,268.715060592771,268.137097137349,NA,NA,272.757056592771,NA,276.198343349398,304.726877766265,304.750974151807,304.774424038554,304.655263908434,NA,363.070447183133,NA,97.1229496072289,97.1714684795181,97.1714684795181,NA,67.0516618506024,67.0034690795181,67.0275654650602,62.0217614361446,78.3054680795181,NA,NA,78.2586265060241,145.579050192771,NA,NA,269.340192322892,269.339866221687,244.797051792771,244.845244563855,244.580184322892,NA,NA,NA,280.624856421687,NA,76.9343734939759,76.9584698795181,76.9818909662651,76.9818909662651,76.9825662650602,117.672955007229,117.672955007229,NA,273.671671050602,273.575285508434,273.502670250602,136.073754236145,135.977042592771,135.929175922892,77.6321435783133,94.1635668650602,94.0912777084338
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W47_LTR.mzML",252.192052392771,248.222345549398,252.143859621687,255.633665250602,300.148849221687,300.436980751807,NA,299.884138178313,355.940671650602,356.061479679518,355.748250363855,356.157865221687,257.534181322892,257.29356666506,306.974174122892,307.046137178313,306.925981351807,264.922079337349,264.705235563855,264.897657450602,NA,NA,NA,367.940149778313,367.867185322892,NA,297.669693795181,297.790851021687,297.790175722892,293.628373093976,293.603601409639,NA,264.008140778313,264.032237163855,264.032237163855,289.658340749398,NA,152.51722086747,NA,207.132042192771,NA,NA,NA,222.411502224096,222.555754436145,NA,250.387921862651,250.411994551807,268.531365493976,268.146848421687,NA,NA,NA,NA,NA,304.567657650602,304.567657650602,304.567657650602,304.471621306024,362.244256612048,361.692113033735,NA,97.3234670795181,97.3957562361446,97.3234670795181,NA,67.3645650650602,67.1239510072289,67.3160467927711,67.3642158674699,78.6030469927711,NA,77.6870582409639,NA,145.754151578313,145.922477079518,NA,268.940654850602,268.892135978313,244.444384693976,244.613059392771,244.684323453012,NA,NA,328.077402190361,280.36957626506,280.41844493494,77.0863726939759,77.0626255060241,77.0381799228916,77.0140835373494,77.0863726939759,117.873146978313,117.89656806506,NA,273.247361293976,273.248036592771,273.199518320482,136.248855021687,136.224758636145,136.273301204819,77.7610477927711,94.2921449783133,94.3644341349398
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W48_SR.mzML",252.29444573494,248.251746236145,252.197734691566,255.566382493976,300.324533120482,300.516605209639,300.107665650602,300.107665650602,356.044038192771,356.115978151807,355.658845821687,NA,257.731958807229,257.756381293976,307.341953807229,NA,NA,263.602857021687,264.08443553494,263.410761836145,NA,NA,364.940953255422,367.898938007229,367.826351549398,367.826001751807,297.678054192771,297.798186922892,NA,293.56344293494,293.419214419277,NA,264.181147178313,264.060665250602,264.060339149398,290.194771436145,NA,152.376983551807,153.48334339759,207.087855021687,207.112626706024,207.112277508434,NA,222.897761036145,223.042339349398,222.993121481928,250.320289908434,250.39257906506,268.536046392771,268.295408638554,NA,NA,271.953539168675,NA,NA,304.574317653012,304.574992951807,304.503052992771,304.526474079518,NA,362.371398542169,NA,97.1360455927711,97.2086602506024,97.1601419783132,NA,67.0516618506024,67.0289160626506,67.0282407638554,NA,78.2954690795181,NA,NA,78.2710465927711,145.568049792771,145.760145578313,NA,269.113660650602,269.089238163855,244.641458679518,244.713747836145,244.522001848193,326.328095633735,NA,NA,280.448846421687,NA,76.9474694795181,76.9956622506024,76.9240483927711,76.9481447783133,76.9963375493976,117.710147378313,117.710147378313,104.211373693976,273.422044392771,273.326334149398,273.302237763855,136.086174322892,136.037655450602,136.086524120482,77.6703373493976,94.1532417638554,94.1766628506024
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W59_LTR.mzML",252.454760036145,248.436860421687,252.407243163855,255.655758836145,300.556135778313,300.676943207229,300.412232763855,300.388136378313,356.08357326506,356.204055192771,355.770995551807,355.963091337349,257.868852021687,257.916695595181,307.693688595181,307.742905862651,NA,265.280847021687,265.064003248193,265.280171722892,364.93057146506,NA,364.93057146506,367.889954207229,367.817665050602,NA,297.76542773494,297.837716891566,NA,293.650141178313,293.626370893976,NA,264.077751836145,264.053655450602,264.07742573494,290.378180722892,NA,152.513914262651,NA,207.104956007229,NA,NA,NA,223.228077537349,223.372655850602,NA,250.55321946747,250.55457006506,NA,NA,NA,270.046759684337,NA,272.763483279518,NA,304.614849021687,304.638619306024,304.735004848193,304.614522920482,NA,362.459796580723,NA,97.3221473783133,97.3706656506024,105.840852021687,NA,67.3883359493976,67.3397933807229,67.3394678795181,67.4361789228916,78.6495630650602,NA,NA,NA,145.776245163855,145.848860421687,145.896727091566,269.322843021687,269.298746636145,244.65857406506,244.779055992771,244.538767436145,NA,328.002085137349,328.170736139759,280.584417838554,280.559995351807,77.1576604506024,77.1810815373494,77.2058532216867,77.1810815373494,77.1576604506024,117.872145578313,117.896241963855,NA,273.654350549398,273.582736691566,273.582061392771,136.223081937349,136.151142578313,136.151468079518,77.9993407493976,94.3142385638554,94.3624313349398
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W60_SR.mzML",252.58755606506,NA,252.539363293976,255.690841221687,300.75957186506,300.808090737349,NA,300.567150578313,356.288332349398,356.335500024096,355.902790180723,355.998849621687,258.097060392771,258.048867621687,308.042378893976,308.09022186747,NA,264.281887518072,NA,263.824056192771,365.085111281928,NA,NA,368.021748236145,367.949459079518,367.732591609639,297.799863621687,297.896924462651,NA,293.662157378313,293.541349349398,NA,264.185152178313,264.161731691566,264.185152178313,290.678323949398,NA,152.431184122892,153.441159026506,207.190234563855,207.117945407229,207.117945407229,NA,223.744752836145,223.817041992771,223.695884166265,250.541460279518,250.493616706024,268.709728091566,268.636763636145,NA,NA,NA,NA,NA,304.673381293976,304.745670450602,304.769417038554,304.649284908434,NA,363.088535768675,NA,97.1882433638554,97.2608586216868,97.2364361349398,NA,67.2206626506024,67.1721437783133,67.2206626506024,67.2440831373494,78.4189546072289,79.2092897566265,78.4912437638554,78.2268522216867,145.645331549398,145.78956006506,NA,269.502858621687,269.478762236145,244.959042792771,244.983139178313,244.83856086506,NA,NA,326.281905662651,280.620525320482,280.812271308434,77.0237570361446,77.0478534216868,76.9755642650602,76.9755642650602,77.0234309349398,117.786760436145,117.810856821687,NA,273.858759836145,273.762048192771,273.689759036145,136.139374093976,136.091856621687,136.019241363855,77.7208590216867,94.2040823373494,94.2288540216867
