"","HPOS-002.1","HPOS-002.2","HPOS-002.3","HPOS-002.4","HPOS-004.1","HPOS-004.2","HPOS-004.3","HPOS-004.4","HPOS-006.1","HPOS-006.2","HPOS-006.3","HPOS-006.4","HPOS-010.1","HPOS-010.2","HPOS-011.1","HPOS-011.2","HPOS-011.3","HPOS-012.1","HPOS-012.2","HPOS-012.3","HPOS-014.1","HPOS-014.2","HPOS-014.3","HPOS-016.1","HPOS-016.2","HPOS-016.3","HPOS-020.1","HPOS-020.2","HPOS-020.3","HPOS-025.1","HPOS-025.2","HPOS-025.3","HPOS-028.1","HPOS-028.2","HPOS-028.3","HPOS-029.1","HPOS-029.2","HPOS-036.1","HPOS-036.2","HPOS-038.1","HPOS-038.2","HPOS-038.3","HPOS-038.4","HPOS-040.1","HPOS-040.2","HPOS-040.3","HPOS-042.1","HPOS-042.2","HPOS-043.1","HPOS-043.2","HPOS-043.3","HPOS-043.4","HPOS-044.1","HPOS-044.2","HPOS-044.3","HPOS-045.1","HPOS-045.2","HPOS-045.3","HPOS-045.4","HPOS-051.1","HPOS-051.2","HPOS-051.3","HPOS-055.1","HPOS-055.2","HPOS-055.3","HPOS-055.4","HPOS-056.1","HPOS-056.2","HPOS-056.3","HPOS-056.4","HPOS-057.1","HPOS-057.2","HPOS-057.3","HPOS-057.4","HPOS-059.1","HPOS-059.2","HPOS-059.3","HPOS-062.1","HPOS-062.2","HPOS-064.1","HPOS-064.2","HPOS-064.3","HPOS-072.1","HPOS-072.2","HPOS-072.3","HPOS-074.1","HPOS-074.2","HPOS-075.1","HPOS-075.2","HPOS-075.3","HPOS-075.4","HPOS-075.5","HPOS-078.1","HPOS-078.2","HPOS-078.3","HPOS-080.1","HPOS-080.2","HPOS-080.3","HPOS-082.1","HPOS-082.2","HPOS-082.3","HPOS-085.1","HPOS-085.2","HPOS-085.3"
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W11_LTR.mzML",251.670520915796,NA,251.673882628227,253.59846495324,299.85790482159,299.943567523541,299.613479990407,NA,355.081798533238,354.959674400404,354.981903421229,NA,256.484188684248,256.547165479068,306.919836665856,306.950634694114,NA,264.147729769923,264.295020834946,264.021274139547,NA,NA,NA,367.044087637963,366.618525785553,366.157877792673,294.967541585046,295.199149416302,NA,290.832564680056,290.853096840149,NA,262.234622211367,262.205906214469,NA,290.101166400847,292.259346442465,149.132222365694,145.196717083257,205.437620913271,NA,NA,NA,222.8837236105,222.235223688649,NA,247.942772260973,248.347950007628,267.596455534883,267.234538395047,NA,NA,NA,273.450748197676,NA,302.970096445356,302.967844733754,303.285585896491,302.971526900419,359.876211450595,359.917719150017,361.815011432888,94.8440874405369,94.7034009149953,94.7474711541381,86.0091461463942,65.9196396470469,65.7117614825069,65.901020084979,NA,77.0141878049874,NA,NA,77.7412756345336,143.791423708165,NA,NA,268.798348418854,268.677251785057,NA,243.283533177295,NA,NA,326.825718851917,NA,278.719362262109,NA,75.2804039954431,75.3783032826857,75.4615391570941,75.4299724411992,75.4699219296141,115.388282473155,115.341229918233,NA,273.088917324594,272.956892210469,272.75284847791,133.803634331372,134.001037795475,133.859907377635,75.1148714661261,91.8447581068912,91.9749887623648
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W12_SR.mzML",251.284238561633,NA,251.342116373947,253.507222786816,299.344151771391,299.638341213578,NA,298.843999310784,354.887478909521,354.671939861383,NA,354.352937805318,256.451333924099,256.421403449392,306.338647318585,306.3335455121,NA,261.91722448289,NA,262.739335559877,NA,NA,NA,366.902099904178,366.650115552428,366.639676762771,294.796241381533,295.032420614808,NA,290.633808462855,291.288781744485,NA,262.384979815403,261.933810703229,NA,289.604933644022,NA,149.009305911268,144.544919573784,204.196329554973,203.979996368476,204.052375167218,205.402299551753,222.134130304741,222.086853692051,222.540888133633,247.825806249399,247.999774381951,267.309470613438,267.060133329611,NA,NA,271.931204411488,271.830804960427,NA,302.385719456745,302.420980754456,302.821749689913,302.61314615526,NA,358.591462720685,NA,94.9392391400121,94.8624860254667,94.7826793423591,NA,65.8266189102276,65.6968997668812,65.8847950567814,66.6740930518633,77.0430166960766,NA,74.3943321592046,77.5178665505743,143.91880819446,143.638290551655,NA,268.160562163269,268.287812555618,243.277166746878,243.313161945664,242.705433163507,338.81915037343,326.493303822808,325.911622575423,278.757239377327,NA,75.520060984425,75.6168322305588,75.6465783442262,75.6346204392166,75.6729399624318,115.447708482592,115.574072232681,102.891725902475,272.489043520496,272.299091982359,271.990904143059,133.902292608513,134.046958482127,133.887110667898,75.0773413748937,92.0843060259713,92.1209616149179
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W23_LTR.mzML",250.330005159651,246.746073146049,250.438891212215,253.544177991246,298.25532813818,298.498581818328,298.149031527266,297.988216508913,354.330833837606,354.219038531661,354.412307096192,354.654265179239,254.844766003807,255.357276084698,304.834011067567,304.879622698029,NA,262.393538413982,261.988457679399,262.101984854779,NA,NA,NA,366.434476027178,366.198547957067,366.684965405658,294.383310202315,294.638691058408,NA,290.513165563122,290.957564596239,NA,262.186357226567,261.845310340013,262.243088359743,287.119522067508,NA,148.757435685736,NA,205.122248909847,205.727395454627,NA,NA,220.569774021825,220.449135391231,221.703532778265,247.365768848951,247.632831184536,266.544640504034,266.54634270131,NA,NA,270.890636352826,NA,NA,301.748699820924,301.681885570296,302.207194005713,301.888460165343,358.198598017339,357.968251616237,NA,94.7496411800072,94.7643932293241,103.362876748519,NA,65.5538027103171,65.5275683191034,65.6144855719536,65.6262886438376,76.738312988304,81.0343007869877,NA,NA,143.613569386252,143.574140576132,143.266898269204,267.001152846794,267.142892477644,NA,241.912536407672,NA,NA,325.295331900849,324.951827302817,278.363043121024,278.974740471399,75.3224933761188,75.3392740745872,75.4777744943662,75.4361082446876,75.4051640630603,115.221552775463,115.212569433193,NA,271.300511817532,271.106865652283,270.970562555457,133.683336852755,133.817603079798,133.82471975452,74.8003512824366,91.9211745709504,92.0266624967873
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W24_SR.mzML",250.947230799056,NA,250.960534052104,253.735305591383,298.888923123416,299.006384616426,299.73002031117,298.961761537707,354.733215414542,354.599626678893,354.676793058676,NA,255.984479645748,256.198094007556,305.605531670971,305.53851200448,NA,261.835998358718,261.876546387513,262.452008209456,NA,NA,NA,366.677509868768,366.504801246014,366.538833793105,294.719211815338,294.981909754199,NA,290.679075532988,291.362204384931,NA,262.42739568734,262.310435888063,NA,288.591494035431,NA,149.036265799293,145.368287560311,204.210976423969,204.046924779563,204.30922522601,NA,221.539064123867,221.441963562522,NA,247.523580551028,247.681900127274,266.953415520557,267.23396515263,NA,NA,NA,NA,NA,302.204736330877,302.042281540954,302.54399622827,302.248954027144,NA,NA,NA,94.9194306301648,94.8244649850234,94.8957840800932,NA,65.7158861567808,65.4477780038403,65.6729311968915,65.3416483239444,76.8578123107917,NA,NA,NA,143.990972931077,143.917508766414,144.629793057059,267.662228206499,267.865957651614,242.987454213417,243.013301026711,242.145308541784,NA,NA,NA,278.489422080599,NA,75.390851539164,75.5358339481668,75.5983807164547,75.609847808428,75.5642284936852,115.564702322426,115.580955694132,NA,271.987145912321,271.890187716015,NA,133.950744223261,134.169740547869,134.148079582259,75.4539692836029,92.1216659614037,92.2256277296815
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W35_LTR.mzML",250.133166547077,NA,250.254580487352,253.547019744555,298.001490797306,298.440823800226,298.062828950295,297.886431458132,354.299979623702,354.133506912684,354.281216657741,354.129560505903,254.692195413115,255.014292411001,304.411085955018,304.615939873381,304.535248840981,261.997030453039,261.541727505535,261.850822852186,NA,NA,NA,366.350835874778,366.158220671155,NA,294.553384410609,294.755714907306,NA,290.399957883642,290.915306497148,289.011467366795,262.082009982039,261.649489840744,261.587758158046,286.846924122114,286.633367623785,148.859091775667,145.429649117795,205.145526497493,NA,NA,NA,220.052520096146,220.13155849972,NA,247.412141728012,247.408178150199,266.502236075591,266.627759982133,NA,246.706514277408,270.23647097303,NA,NA,301.668209751339,301.520340109156,302.166689169651,301.777647901254,358.099595503176,357.226434854012,NA,94.8600030432877,94.7398629415491,103.480488515555,86.7098765606347,65.523148805863,65.3000291180959,65.541273548494,NA,76.7854230628759,NA,76.5727693401026,77.1889499442928,143.697229471612,NA,NA,266.835462566083,266.868318100858,241.471550669585,242.145316344581,240.616605298334,NA,324.845361667267,324.143436645427,278.195178693035,NA,75.3629918494302,75.4162194582148,75.5111406636384,75.4296619355206,75.4346710715275,115.324623939976,115.346365174807,102.198186933372,271.075741182479,270.977885757945,270.688313252488,133.829883354796,133.846769281101,133.664175576271,75.1537236025311,91.7552072498589,92.2280494974136
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W36_SR.mzML",250.653725706027,246.955952732784,250.798271789842,253.606696904774,298.518687748321,298.712806532528,298.833367353539,298.351295696155,354.422372329153,354.229444990681,354.434622094361,352.965485777968,255.594595040409,255.557442314344,305.090341707955,305.271811354412,NA,261.656221431214,261.270001454899,261.920858348101,NA,NA,NA,366.418369962712,366.200749612442,365.79164614265,294.53866007018,294.79981879647,NA,290.450370325373,291.204435425968,293.047037080129,262.200592896043,261.754778152366,262.203110329494,287.703982749762,NA,148.895660154425,145.931983103939,204.038854560223,203.950749972817,204.305449587883,NA,220.813300114345,220.890472436693,221.904851985374,247.335234874945,247.590145913966,266.564337268914,266.817477878108,NA,NA,270.755699562263,NA,273.984024356345,301.858018875858,301.809822952348,302.2012387681,302.141820524978,NA,357.590580911829,NA,94.7687868023354,94.7635561180415,94.7742806779266,NA,65.6388068392569,65.4610687986322,65.6143789150057,60.9403727078869,76.7760680676512,NA,NA,77.140661489906,143.754288282368,NA,NA,267.260210349381,267.373460598389,242.601593316454,242.691182002584,242.273122396789,NA,NA,NA,278.331975481722,NA,75.4874822421735,75.497190929439,75.4970172475623,75.4649902376859,75.423410934636,115.451790656839,115.509065091074,NA,271.631196909131,271.417487814655,271.315300429358,133.844914163207,133.969033292156,133.955066006763,75.1627635591689,91.9021724468887,92.1527251536984
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W47_LTR.mzML",250.362609404404,246.81146378675,250.448639086816,253.67859894855,298.194701440359,298.415683771559,NA,298.007179169986,354.349994871988,354.142816650678,354.209268497999,354.287788240162,254.875536724106,254.528575884879,304.564091102989,304.660594382507,304.580727094088,262.261267213693,261.850740872548,262.120404023651,NA,NA,NA,366.37592309252,366.14495764561,NA,294.527045555573,294.76413008223,292.03476531753,290.511712783337,290.390724522537,NA,262.172070258307,261.710644615945,262.198414822147,286.902782338795,NA,148.941195958129,NA,205.336112291548,NA,NA,NA,220.388282348338,220.360175160445,NA,247.653438684516,247.694793886028,266.443677533664,266.893588685126,NA,NA,NA,NA,NA,301.701958733373,301.609299161683,302.082799776566,301.843591086912,357.652258399811,357.699965228639,NA,94.9708471122732,94.8780187690416,94.8067002247103,NA,65.7222842996156,65.6675930827319,65.7418598639482,65.6105680786903,76.9495977185291,NA,71.4684664070108,NA,143.875547327586,143.57317036486,NA,266.921339740131,267.125223562622,241.541559631815,241.965747770664,241.454386417637,NA,NA,324.315069765633,278.407933174149,279.199932825146,75.4277843719811,75.5247696323952,75.6259430935662,75.623376535477,75.5797445579029,115.469462881311,115.500475648804,NA,271.226146788911,270.882206342096,270.906870213367,133.934575789784,133.879102112245,133.916353259405,77.239266532527,92.0999208103195,92.2098173161078
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W48_SR.mzML",250.464141721746,246.862934510696,250.499934985155,253.523955496583,298.28777204165,298.523943100193,298.520596880874,298.203516236022,354.250702083392,354.099433377939,354.318648531263,NA,255.438400952151,255.658680057077,304.733798941351,NA,NA,261.688144661651,261.213189550169,261.798580779481,NA,NA,355.093542377076,366.221764381963,366.054850835026,365.958760491194,294.528525976259,294.68620322523,NA,290.307800491917,291.028249029379,NA,261.892114400262,261.782884346567,262.169553332875,287.025828366913,NA,148.869778488468,145.711218026814,204.028754727151,203.928721677352,204.018962810691,NA,220.543909296153,220.549476707482,220.910679665082,247.484327804563,247.131699888867,266.311740453409,266.331902797392,NA,NA,270.77433064233,NA,NA,301.749997025078,301.663583507085,302.133972951796,301.898098354731,NA,357.149368893536,NA,94.9229866257019,94.8518482912302,94.7296242208166,NA,65.6233568908276,65.4497891644296,65.6455087668961,NA,76.8529634331887,NA,NA,77.7484548665316,143.851271668638,143.626941034349,NA,267.076170985018,267.137560803566,242.426796129639,242.512911038754,242.234194735053,325.129736330214,NA,NA,278.273404205696,NA,75.4036690654287,75.4695672248344,75.5267365153994,75.537168167071,75.5312417193917,115.497018109476,115.529275555863,102.84299051421,271.396340900379,271.293335024036,271.229940924886,133.854686692956,133.953621910975,133.843473888764,75.141324696652,92.0252252635326,92.1221207275953
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W59_LTR.mzML",250.571692124036,247.032023345629,250.547581982574,253.644326196724,298.507990699452,298.824979485123,298.600910596398,298.350492646124,354.408386855711,354.178781193296,354.465214544843,354.138463827396,255.171702202352,255.186162855088,304.937084281177,305.14578679489,NA,262.647652716137,262.46089492756,262.655999119717,356.638204787558,NA,356.750553324918,366.340893516537,366.142325721568,NA,294.460099246106,294.757473874148,NA,290.536125315569,290.659266351355,NA,262.282493790322,261.783493816717,262.327100823702,287.525077448897,NA,149.051403757979,NA,205.362618783277,NA,NA,NA,220.884607450244,220.897558705997,NA,247.462162425513,247.754428048404,NA,NA,NA,257.561076903729,NA,271.4398334123,NA,301.881602066128,301.687568351054,302.020316845447,302.00403863106,NA,357.042799897288,NA,95.0682330274998,94.9140680009696,104.190213913326,NA,65.8880483459403,65.6291218481735,65.8939158269843,65.8596540978302,77.0347550492471,NA,NA,NA,143.758019356305,143.603429772827,144.065934577274,267.278269099288,267.320555927476,241.854982772529,242.173235270279,242.221246748863,NA,325.354544362746,324.630364083926,278.441306971222,278.793019271685,75.4130827387758,75.5657357702668,75.6393945471552,75.5538967043185,75.6264015976366,115.519536231118,115.523534767841,NA,271.559707512426,271.368068230486,271.474878413133,133.947924012008,134.0696567366,134.075714342997,75.5057812594743,92.0330454601287,92.3255980008289
"../Converted/U_HPOS_mzML/ALZ_HPOS_ToF07_U2W60_SR.mzML",250.730925054304,NA,250.702293488513,253.545992187096,298.613930412651,298.841113054834,NA,298.587739818801,354.425670037725,354.22343178253,354.45487056841,354.874085209502,255.823238958588,256.081801348716,305.20097110989,305.319158667773,NA,261.643331275499,NA,262.076255665923,359.359169360305,NA,NA,366.336361265678,366.183585653194,366.119780536874,294.550311934689,294.764178665008,NA,290.412179882765,291.19796224002,NA,262.238546128822,261.763366565134,262.274634718242,288.078866980666,NA,148.983628917184,146.205725015795,204.087425765566,204.265469475725,203.821564401194,NA,221.191470587161,221.152121267512,222.003759025076,247.503761754725,247.7545314523,266.875543220067,266.627890582129,NA,NA,NA,NA,NA,302.027375661046,301.750291664898,302.125918676904,302.180331064202,NA,357.195238100374,NA,95.0055595473378,94.8992282893334,94.9111356820382,NA,65.7973787963963,65.6470035949817,65.7816513448756,65.8852744675508,76.9393232776296,79.0893597791561,76.6506195849274,77.6488805948809,143.881285332791,143.533009142729,NA,267.414491170616,267.569274137442,242.679669418579,242.899666185828,242.751332977729,NA,NA,325.309127562533,278.509809929327,278.388404581465,75.546464497034,75.6122525492767,75.7862825987884,75.7786961188541,75.7301557066872,115.571272615654,115.595635515478,NA,271.766355272526,271.486544004192,271.45839486292,133.903087432108,133.929324727207,133.98958239729,75.1232493071101,92.1222590747197,92.2045470092326
