"","ratio_peaks_found","ratio_peaks_filled","ppm_error","rt_dev_sec"
"HPOS-002.1 - Octenoylcarnitine (C8:1)",1,0,1.94459431680603,2.15938245453414
"HPOS-002.2 - Octenoylcarnitine (C8:1)",0.892857142857143,0,11.3820057254393,-1.96251443781698
"HPOS-002.3 - Octenoylcarnitine (C8:1) ISF.1",1,0,3.16552411507477,2.0685214545198
"HPOS-002.4 - Octenoylcarnitine (C8:1) ISF.2",1,0,3.11646892591652,5.09635791824614
"HPOS-004.1 - L-Acetylcarnitine",1,0,3.01164224137875,-4.0620275753167
"HPOS-004.2 - L-Acetylcarnitine",1,0,3.64512749961067,-3.69788476665347
"HPOS-004.3 - L-Acetylcarnitine ISF.1",0.482142857142857,0,5.20115090537266,-4.40500435909253
"HPOS-004.4 - L-Acetylcarnitine ISF.2",0.958333333333333,0,4.79593092290633,-4.25835651508509
"HPOS-006.1 - Asymmetric Dimethylarginine",1,0,3.21228006895669,-2.72252582220885
"HPOS-006.2 - Asymmetric Dimethylarginine ISF.1",1,0,3.33080435248215,-2.68402028135974
"HPOS-006.3 - Asymmetric Dimethylarginine ISF.2",0.958333333333333,0,3.53653354919143,-3.09191229912271
"HPOS-006.4 - Asymmetric Dimethylarginine ISF.3",0.696428571428571,0,2.71819345594106,-2.79485560087222
"HPOS-010.1 - Hexanoylcarnitine (C6:0)",1,0,2.00152527575468,-2.33479208686289
"HPOS-010.2 - Hexanoylcarnitine (C6:0) ISF.1",0.863095238095238,0,5.35839451649988,-2.29499065662568
"HPOS-011.1 - Glutarylcarnitine",1,0,2.25099667554644,0.474263982441321
"HPOS-011.2 - Glutarylcarnitine",0.988095238095238,0,4.62541875777929,0.441596919744754
"HPOS-011.3 - Glutarylcarnitine ISF.1",0.571428571428571,0,4.29319272748322,0.175178736156184
"HPOS-012.1 - Isovalerylcarnitine",1,0,2.25897872985585,1.22988322508162
"HPOS-012.2 - Isovalerylcarnitine",0.988095238095238,0,2.65559234088671,1.32985151092828
"HPOS-012.3 - Isovalerylcarnitine ISF.1",0.994047619047619,0,5.98149679626209,1.05404877514999
