"cpdID","cpdName","Retention Time","m/z"
"RNEG-002.1","1,7-Dimethylurate",153.844912176617,195.052933884014
"RNEG-002.2","1,7-Dimethylurate",153.826817827742,391.112133000298
"RNEG-002.3","1,7-Dimethylurate ISF.1",153.837078402127,180.02930491213
"RNEG-002.4","1,7-Dimethylurate ISF.2",153.910859267906,137.02384955135
"RNEG-003.1","2,6-Dihydroxybenzoate",230.175940051541,153.019937664293
"RNEG-003.2","2,6-Dihydroxybenzoate ISF.1",230.092475112138,135.008708695176
"RNEG-003.3","2,6-Dihydroxybenzoate ISF.2",230.192847255002,109.029728249735
"RNEG-006.1","3,5-Dihydroxybenzoate",140.325528229553,153.01992833308
"RNEG-006.2","3,5-Dihydroxybenzoate ISF.1",141.731209375593,109.029877026672
"RNEG-009.1","Azelaic Acid",328.234865756152,187.098163991192
"RNEG-009.2","Azelaic Acid",328.228103030584,209.079878227673
"RNEG-009.3","Azelaic Acid ISF.1",328.260944025509,125.097810717729
"RNEG-009.4","Azelaic Acid ISF.2",328.162636949875,97.0641357073509
"RNEG-011.1","Indolelactate",290.765497344401,204.067010590586
"RNEG-011.2","Indolelactate ISF.1",290.780309070712,186.056788423585
"RNEG-011.3","Indolelactate ISF.2",290.770876519739,158.061202302756
"RNEG-011.4","Indolelactate ISF.3",290.754702722667,142.065977781738
"RNEG-016.1","Hypoxanthine",71.6718016435779,135.032040234135
"RNEG-016.2","Hypoxanthine ISF.1",71.6946299133649,92.0258979496792
"RNEG-020.1","Tyrosine",82.0681119068771,180.066484782131
"RNEG-020.2","Tyrosine",82.0359198715088,248.053638320451
"RNEG-020.3","Tyrosine ISF.1",82.0406591636021,163.040635280562
"RNEG-021.1","Methylsuccinate",130.858095342694,131.035780189279
"RNEG-021.2","Methylsuccinate",130.744705929578,199.021539031712
"RNEG-021.3","Methylsuccinate ISF.1",130.894646440667,87.0458162977752
"RNEG-022.1","N-Acetylglutamine",57.6263569909283,187.073150181251
"RNEG-022.2","N-Acetylglutamine ISF.1",57.6006853769785,169.060856734779
"RNEG-022.3","N-Acetylglutamine ISF.2",57.6088974312658,145.061941030152
"RNEG-022.4","N-Acetylglutamine ISF.3",57.633036313169,127.051876377166
"RNEG-022.5","N-Acetylglutamine ISF.4",57.6142573074949,125.071660330134
