"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD01.mzML",157918.768259,812.614590042754,8422.46841158592,NA,1263.3139110786,NA,NA,2803.09825678062,NA,29913.3589900411,13462.1718420685,NA,NA,5981.00187985439,NA,NA,NA,19599.0530923381,740.312062816859,26676.8535463865,18789.7258687848,NA,3277.67893020084,869.51822817912,NA,20041.2171869502,NA,NA,277.18925436285,NA,885793.063828425,77351.5074541062,12486.5554364537,9072.51233766959,3510.13452688523,18985.8081198382,7667.15951482292,NA,NA,6349.21312444805,NA,NA,2576.02217265557,436.860388471412,2161.36422975484,NA,610618.194847893,89671.9581607034,3561.63585027091,1605.67215037703,NA,NA,NA,NA,156004.185928646,24613.9751555933,946.875360541888,5274.69740659721,8391.78826845963,450.443954265701,36876.2765595478,NA,739.0884884044,45247.5052158497,4179.68050706722,NA,58545.1383268315,2543.48260936381,3367.37853847705,977.740966614651,10400.1528089154,4562.29228713878,NA,14548.7632568962,1463.55462029161,468.304702115059,0,9642.90465725969,NA,NA,NA,NA,NA,NA,2830.29450543807,NA,0,2410.21835474151,NA,9531.59378065574,2293.30129086889,14222.676747842,NA,0,19733.5395241947,2165.04446027514,NA,940.088915723279,2086.74643474786,NA,2642.8531677376,5807.17850396142,NA,2138.71746391078,NA,NA,NA,14553.7925209869,6256.84211282209,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD02.mzML",158191.479548887,619.73814529835,8306.19984139683,2327.0496156716,NA,NA,NA,2957.50439458142,NA,28691.7839457893,13059.8385706942,966.924462924121,NA,5755.8596383582,NA,NA,NA,18035.7518051377,455.2414247812,24235.9547223148,17805.5471005101,523.652791982354,3263.36644211927,NA,NA,20563.5188138997,NA,662.836277109656,NA,NA,931045.853274977,85361.5689563096,11864.8380971783,9722.26801571966,3354.01228246873,18815.6342319989,7417.24148339339,NA,NA,5332.04143973904,NA,5010.71767471259,NA,NA,2378.38628279353,NA,810777.242028725,141380.327265977,NA,1653.2390762838,506.850902009083,NA,NA,NA,155004.706251025,24424.6250877903,NA,5247.09673797245,7892.18075701924,NA,36011.7897181231,NA,544.396969056669,42833.8582852018,4009.72854830788,808.22679133776,57582.7636851309,2750.03106546684,4024.46473441628,NA,10349.0689732434,4542.1528917158,665.807268913518,14432.5679160327,1318.32306648125,NA,NA,10420.7472691945,NA,NA,NA,NA,193.089448228503,699.173227349941,2463.78947222836,NA,NA,2085.53791797757,NA,9338.35352043766,1899.76762093539,13303.7254278005,NA,NA,18751.9293708194,2057.73051290541,NA,NA,1950.56660002267,NA,2634.5618841237,5439.70158593154,NA,1983.2378044834,NA,NA,NA,13103.679311742,6222.02476148267,1064.29644642681
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD03.mzML",158437.184150989,NA,8172.18694878751,2542.39880220422,1240.15960537704,NA,NA,2561.80319239767,NA,29628.2063307642,12655.8783070939,NA,NA,6002.02726163985,NA,NA,NA,13990.7939504715,NA,25245.2588585028,16828.0365875635,NA,3419.23072452526,NA,NA,21246.7593508324,NA,NA,NA,NA,929340.123492299,84950.9914858326,11394.0744836321,10004.494701647,3588.91697996023,18708.5830150952,7230.55050999632,311.594740039265,NA,5715.36184655044,1414.16181701889,NA,2343.78196794524,400.241228173959,1868.00809137991,NA,1067768.7525675,231550.808478939,5417.63038063567,1555.59934316712,NA,NA,NA,NA,154399.841645399,23102.800477771,NA,5075.32606564842,7930.03839607687,NA,36435.1399737079,563.639449398045,NA,42017.6452402599,3918.34938519135,NA,56516.7376897993,2161.59887770195,3187.09691427694,1031.02988690155,9585.68864042821,4685.43205802469,685.870661827045,15171.2392902894,1525.03946818846,349.434595333762,NA,9922.16251147542,NA,NA,NA,NA,NA,912.305293767167,2107.67017742294,NA,147.647523521607,2563.78429006408,238.076544720226,9186.33015240932,NA,13176.8739842663,NA,0,17238.7503904233,NA,NA,NA,1955.93629597772,0,2583.19078129722,5316.6724229958,578.333629806995,1817.63984674234,NA,NA,NA,13086.7508647749,6064.0144846909,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD04.mzML",161648.15103792,788.614117138074,8631.56371048882,2305.44297712735,1255.57852105294,NA,166.069409386305,2815.14387943825,NA,33942.3236584095,15188.0902536568,NA,0,5805.9161650095,NA,NA,NA,21404.1782083788,538.173396449401,25634.2794309414,18090.2266747165,NA,3311.81153478002,NA,NA,21653.4136592497,NA,658.225572242761,NA,NA,980819.147763147,92709.2411682335,13130.7812748137,10887.4835995266,4246.65580630354,18505.8464594591,7337.41087690352,390.660366974162,NA,5081.22473317692,1427.04938484595,NA,2304.90704761022,NA,2341.59776285548,NA,594624.262235391,85132.4522453424,3418.15428047885,1458.29391678072,628.11849712981,NA,NA,3373.12931994436,157635.50411998,24901.4452668372,NA,5818.49493929889,8738.02992320674,351.852770537046,36160.9930052662,NA,NA,44462.9456140391,4440.38448924797,NA,59079.177220729,2578.93341362839,3687.82209061074,NA,10605.9552704845,5006.63914853527,NA,14657.9171756207,1276.7365245146,NA,NA,10147.0286321537,597.836319996601,289.121617216772,NA,NA,NA,953.923847799666,2685.06779988562,NA,NA,2400.74198636369,NA,9793.06414378514,2021.90669417428,14358.6938611202,368.850501714024,NA,17606.8247966157,NA,NA,NA,1821.69583532265,NA,3184.7602264486,6133.49737070016,549.42717037188,1833.14585432702,NA,NA,152.500622822096,13454.8520709637,6107.15844918078,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD05.mzML",157531.268055564,NA,8744.99639413623,2119.81380557282,NA,NA,NA,2979.31066398829,NA,34738.2314673234,14901.0166210194,1168.49193754953,NA,5762.78706100468,NA,NA,NA,18415.1817327351,525.210454535495,25477.1603878199,16944.2234078705,NA,3468.7221532178,NA,NA,20148.4882319178,NA,537.531785722286,NA,NA,971031.984635002,91150.5044085321,12831.0932467858,10088.3584622091,3956.08600271747,19719.1312186873,7562.74601359114,NA,NA,5648.52513069785,1446.51693480156,NA,2089.93713503685,440.23825577226,2155.93392986582,822.623671618261,680723.259525316,101006.538170346,3918.74965844308,1718.24205504908,666.199087758033,NA,NA,3100.86075250245,155377.684463297,24289.259338264,997.994796215124,5334.8472418304,8489.00080017731,NA,36798.1435434267,455.812214818427,NA,43717.3316856187,4117.0583834628,NA,57951.3273856342,2117.32153564698,3389.17117805867,NA,9999.60893278773,4809.81546647765,NA,14765.0669504855,1444.28856322188,NA,NA,10079.774620806,NA,0,NA,NA,NA,1049.69519340075,2788.05050093123,NA,NA,2318.67297264836,NA,8729.17544633535,2503.23358026084,13868.2397989724,NA,NA,16860.798397926,1736.87391793609,502.086108599818,NA,NA,0,2777.70289872482,5150.89644257777,496.608976859954,NA,NA,NA,NA,12949.735637448,6075.40335059746,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD06.mzML",162978.49690531,772.56914350222,8566.70349499374,2283.32960331057,1126.65186685064,NA,NA,NA,NA,35853.5070453925,15529.5677460091,1166.67216167443,NA,5704.53745302384,NA,NA,NA,16721.8954051766,684.087426129732,26061.2801790605,17463.7705624058,NA,3205.38210527067,NA,NA,20881.4596979578,NA,NA,NA,NA,986304.150905313,93112.2624690557,12182.6283920126,10010.2935890907,4035.07148030375,19440.1698004045,7222.39768748733,NA,462.372783478237,5581.50570436196,NA,NA,NA,495.038190627193,2415.67688035472,NA,1024011.33554205,208756.816189494,5244.71770621684,1585.31562272732,NA,NA,NA,NA,160927.412675529,25219.4941004697,986.650413664542,5804.43069703717,8716.55122778932,NA,36880.8205026106,NA,NA,45997.1668350207,3803.33036782644,NA,59371.5573312122,2400.31410117191,3489.25115843268,NA,10500.9481184391,4931.34802331567,770.536126958412,16201.9143835792,1848.8268030521,617.601764456862,NA,NA,426.42732613675,NA,NA,NA,NA,NA,2673.0645827403,NA,NA,2181.20154845328,177.423417419791,8966.61117406722,2283.81224554724,13499.1345293032,NA,NA,16971.6844020327,NA,NA,NA,1769.54576191666,NA,2712.47053765139,5700.86039080411,NA,1753.63427644261,490.667476755157,NA,NA,13087.7287638997,6079.34946646429,908.901937179655
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD07.mzML",165207.387947968,507.814793491028,8510.2706943189,2095.59891351379,1190.43523422628,NA,NA,2942.395581421,NA,35265.9889967881,15458.5127777787,NA,NA,5518.85750313067,NA,536.123821923651,187.898453544658,19063.4410406853,NA,25806.5044245217,18069.8157226974,457.277890829737,3507.20414063643,NA,NA,21203.773268914,795.884713706737,829.701897552781,NA,359.088127317917,1000296.38964514,94443.2668851125,12388.1778069714,10327.9982480469,3936.74303356693,19324.7711873788,6992.09438861454,401.276783779025,NA,6642.43893685522,NA,NA,2254.35221877468,NA,1930.43790370395,896.451686562299,673918.419782591,98177.0921228859,3791.6111666289,1353.12364502043,NA,NA,NA,NA,161136.715031592,25468.29815613,1080.43673756357,5761.98560253523,8142.22907217359,NA,37577.9803529975,NA,NA,46730.6721287914,4256.91135918505,NA,58440.2665114783,2586.05280895542,3712.86234769775,NA,10463.739597331,4574.48676070629,NA,14954.0756082314,1351.73617910389,NA,NA,10132.9631429041,NA,NA,9489.39728626245,NA,NA,806.876804595927,2532.47697947782,NA,NA,2330.90307065389,NA,10002.6715079075,2239.41606756275,14148.861136986,NA,0,16893.4641421847,NA,NA,NA,2102.15980395768,0,2880.76219054263,6110.81689060868,NA,NA,NA,NA,NA,13534.9742527053,6120.50817222219,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD08.mzML",164327.748613988,NA,8688.28943933532,2362.14398074298,NA,NA,NA,2822.19330845291,NA,36412.2247433835,15294.630167323,1064.66939032104,0,6205.68088093056,NA,NA,NA,19301.9900337938,744.85533715707,23936.1783937412,17817.7641632006,NA,3617.17396726151,NA,NA,21615.1644645108,NA,NA,NA,NA,987244.227330004,90893.1745419187,12964.977528202,9929.52694288222,3757.76298329361,19037.980469992,8274.13378079997,NA,NA,6640.80408212986,1631.45880452585,NA,2251.06247512931,NA,2348.25150417379,NA,834221.002851277,146875.306619079,4235.70292062267,1687.39524842724,NA,NA,NA,NA,159854.867948036,24131.305469726,NA,5701.85826747345,7840.10838158598,NA,38168.8557631646,NA,NA,46632.2070959891,4818.58630637869,753.116546802084,58262.7950625388,2204.2470011048,3633.676508517,1199.07889907544,10190.2114082094,4905.60900036963,690.530157687568,15136.6179594856,1513.5162785822,NA,NA,10495.3314461889,417.367890611966,NA,NA,NA,NA,NA,2846.25712396361,NA,244.999335105112,2313.46722375618,NA,9160.74963028647,2069.40249650937,13713.9101688223,NA,0,16302.8549711407,1654.03915031618,NA,1017.3673625429,2026.96531031471,0,2261.98630156052,4967.33920863513,621.698907128876,NA,NA,NA,NA,13085.7513389681,6043.71898763615,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD09.mzML",164397.044616666,629.496908906102,8636.70328062742,2541.94568155681,1249.13315262036,NA,NA,2886.46803980502,NA,36196.4949947181,15547.0881500583,NA,144.02793323447,5880.81657293179,NA,NA,NA,19671.2672542562,NA,27046.5724889403,17559.8716698841,878.697486303579,3342.50865907343,NA,NA,21619.5911821788,746.878888292442,NA,228.116554197161,NA,993919.011156677,91549.8224548681,12528.668561903,9763.71075384509,3974.03851841671,20852.3341677839,8247.44472425741,NA,NA,7205.44354930989,1865.52529880882,NA,NA,NA,2601.2807808513,NA,667764.317034806,99123.1867641628,3509.31502701261,1511.99997221634,NA,NA,NA,3705.35979331344,161018.993290951,25130.2616499264,NA,NA,8121.33058817726,368.416134314188,37989.7063647133,765.843288356657,NA,46213.9209423674,4472.42156607337,NA,60326.960031093,2397.93169042285,3386.89094853488,NA,10893.3577415069,4629.41955196368,597.588905016863,15104.1886508814,1629.80093529419,NA,NA,10092.5436207384,433.85436281955,NA,NA,NA,NA,1041.36696665875,NA,NA,254.072213407977,2555.67384499022,NA,9502.24321526812,NA,14389.4221626959,NA,0,15928.4329340914,NA,NA,NA,1778.46945235722,NA,NA,NA,550.237305115064,1907.04578182395,NA,NA,NA,13595.2316934162,5636.42238247623,1277.9069457425
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD10.mzML",162917.702023546,578.975004334866,8702.93674187966,2410.23871624034,1334.25625150615,NA,NA,3074.09922321196,NA,35397.2079056233,15784.5928328236,1226.2882015712,NA,6022.80685550389,NA,NA,NA,17470.9126736234,302.053727203104,27519.1363481338,18024.0782914152,594.309847315673,3683.72516238189,NA,NA,21267.2176300914,NA,NA,201.546640599018,NA,996660.528443891,92949.11642616,13578.474328494,10359.3740015939,4128.84841843467,21372.1301963764,7913.45411403569,NA,NA,8154.66478720443,2148.57870936918,5048.14196505499,2358.64153138913,NA,2123.26362102045,NA,1026389.97552921,211164.02019113,5880.22130381061,1326.39281410024,559.112212355369,NA,NA,3166.19140371149,164977.937590846,25297.3390073071,1086.06729855838,5905.13544992114,8138.57741107645,NA,39787.9818370663,NA,NA,44841.6959449753,4310.70281809212,NA,60172.3349497815,2558.12038699485,3968.28778114504,NA,11195.4516574149,4954.62750671359,748.688379748283,15782.609343141,NA,417.411303517991,NA,NA,NA,NA,NA,5013.75143933526,NA,NA,2781.05788616715,NA,NA,2414.16820064805,NA,9564.61975660929,2106.45821988708,13965.0555811341,NA,NA,16880.5205371685,NA,NA,NA,1941.83273989618,NA,3031.91940256272,5765.04144085572,778.253066187275,2086.77888570515,NA,617.796143599145,NA,13028.6534757239,5338.96424965365,1281.94110669982
