"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD01.mzML",155.406298017516,154.946566525892,155.404973129076,156.25,235.864903075277,235,235,141.760773538008,144,330.673640332449,330.637353779084,330,330,293.344525284691,294,294,294,73.4813564616258,73.0809071017366,83.447563348802,83.4274238763022,84,133.202273179392,132.44181801103,133,59.2675866587017,59,59,58.4018473003406,59,116.499175031424,116.076096027362,116.477634796968,116.73373770243,116.62073111608,140.603368182627,140.61162395501,142,142,485.868314214164,485,485,331.595857446106,336.635077875995,84.9291644907728,85,72.2715755809788,71.1470258868386,72.6373376794988,83.9815577377465,84.5,34,34,34,165.229005854796,165.163067315974,166.923246266795,124.792989670688,125.514567886602,124.960817424286,40.0277822076474,40,41.9217824397734,79.6427022079851,79.4845771673425,80,149.467060428558,149.431288151949,149.548119432738,149.362806948139,110.473984283507,110.51196728781,111,62.3522092449779,62.5548389371165,62.0256071011472,63,208.098028218378,207,207,270,270,270,230,230.655916229577,230,230,274.828202355934,275,205.276216649862,205.446621995469,55.0955142570558,56,56,54.0527958862371,59.4523195320123,50,52.7425590552823,242.281093971157,242.5,206.491627372829,205.585758713923,206,190.350816299216,191,107,107,83.2977588636413,83.5020452211223,82
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD02.mzML",155.334105814636,155.181943567439,155.252969600744,155.426581929965,235,235,235,141.796830481115,144,330.721188648394,330.789605413872,331.206922161854,330,293.188550241532,294,294,294,73.0169311784948,73.8938991620949,83.2874082046895,83.2757765779116,83.5873377239688,132.910821930027,133,133,59.2236669904345,59,59.0743418216958,59,59,116.364133444537,115.899521185792,116.367861665488,116.391890042841,116.650246077066,140.410087266227,140.526892918071,142,142,485.935981170333,485,518.446926287097,332,332,84.2257107166299,85,70.1416428622173,69.6751707256571,75,83.7516475161921,84.4924846272736,34,34,34,165.116173877913,165.295330012084,166,124.746996232596,125.510442311935,125,40.0283292261167,40,42.163207129666,79.3243503851932,79.3830562588586,79.5528619407096,149.366713817988,149.768058466729,149.013649286492,150,110.472682123868,110.388181242596,110.420704793304,62.5520394614217,63.0874322792974,63,63,208.0163131489,207,207,270,270,273.594530611538,230.199694316318,230.444358059692,230,230,274.967775301897,275,205.244396641551,205.139446161464,55.3576407762109,56,56,54.2467188012823,58.7827299089204,50,50,242.351406600128,242.5,205.248252903021,205.209681179803,206,190.328192626117,191,107,107,83.5687032453535,83.1490849390509,83.7012417138706
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD03.mzML",155.316992876406,156.25,155.327216721661,155.415307693517,236.790436592762,235,235,141.806703411484,144,330.745861353085,330.847708639521,330,330,293.048316312018,294,294,294,72.0436024828245,75,82.9485722177387,82.9999815640724,84,132.592655138108,133,133,59.3968046445918,59,59,59,59,116.280477310891,115.856458338156,116.448871588957,116.14164995251,116.452930780457,140.578087640394,140.358156208993,141.233794703052,142,485.938031649498,485.998938054327,485,331.892967167075,334.714190994541,84.8365576384431,85,67.6129116484234,67.1405027835296,67.6172422932524,83.8090749811497,84.5,34,34,34,165.136860799373,165.116629354683,166,124.597901107251,125.191974325163,125,40.0433534504733,41.7176534582404,40,79.0437963228605,78.8834232448328,80,149.261710454505,149.52887790354,149.313305232988,149.497696171912,110.396611630981,110.420145295811,110.359935705374,62.4090933901929,62.1834100531531,65.529029349476,63,207.941423555355,207,207,270,270,270,230.63678505282,230.144011230517,230,241.622187201462,274.658973683367,277.836988192835,205.261136818027,205,55.3507836311041,56,56,54.7440725034813,50,50,50,242.015221933009,242.5,205.345655183241,205.483415759923,205.157492156334,190.67021710933,191,107,107,83.1283987678875,82.8678286840525,82
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD04.mzML",155.366234319944,154.705709793766,155.354629112612,155.662771961795,236.167698701487,235,235.902042315825,141.860038115134,144,330.575299728225,330.689881698741,330,330,293.29027632488,294,294,294,73.6825475340625,74.8648663587033,83.5613510265632,83.521870698832,84,132.777328450747,133,133,59.267159722604,59,59.1683707648788,59,59,116.487168737311,116.024475991384,116.438025284215,116.597656650147,116.341642422422,140.623712655508,140.531917851826,144.272931782214,142,485.830325200881,485.543122710362,485,331.199961315678,332,84.6399196615205,85,72.7512211658231,71.5022082409128,72.9278546543822,84.3634510962257,85.1060788465903,34,34,34.8626813466036,165.18636543276,165.205350702905,166,124.953942935926,125.504180193006,124.881686569715,40.0157639233907,40,40,79.7182048626084,79.6454996477822,80,149.398797765092,149.498501323302,149.366006478517,150,110.494847033964,110.413746277401,111,62.6216630195404,62.4913622653558,63,63,208.017819822294,208.098027692258,207.483698575114,270,270,270,230.868471619393,230.379817405069,230,230,274.685912085484,275,205.260944515522,205.289472051904,55.3468364815534,55.5802221310216,56,54.5954555123906,50,50,50,242.419138462458,242.5,205.372642090053,205.474791176791,206.000968754998,191.393828985678,191,107,110.483590656434,83.6984211470715,83.6326987123385,82
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD05.mzML",155.329585963083,156.25,155.279869811443,155.849717326295,235,235,235,141.927819100466,144,330.759959769671,330.784014409414,330.324918775665,330,293.083053435887,294,294,294,73.1746949796809,73.0790030227093,83.3098914101104,83.3074876636114,84,132.679153658464,133,133,59.305288558178,59,59.8791361919479,59,59,116.387051173675,115.986490299653,116.387278533611,116.476097012985,116.483488983621,140.497930393298,140.39255792203,142,142,485.996643832737,485.971138024712,485,331.390413018255,333.561263686271,84.7583401778579,86.7296519108676,70.9319964586237,70.4361053079634,71.0003227830089,83.5970610499702,84.9297532586733,34,34,35.1510718945712,165.148797177605,165.223973907233,166.916269714603,124.829486420521,125.786686261425,125,40.0264343649634,41.9952522790215,40,79.4846454500242,79.5541909504096,80,149.389792163798,149.534347264768,149.545696448697,150,110.333324153611,110.303082833628,111,62.600599523601,62.2558963681047,63,63,208.00981877082,207,207,270,270,270,230.142622225309,230.291204036069,230,230,274.577753891694,275,205.21103129558,204.795777458155,55.2507229571287,56,56,54.7387486589031,65.6819500865298,52.4073613311838,50,242.5,242.5,205.348422746912,205.404530278982,206.294919358804,191,191,107,107,83.5690776631977,83.3946977851692,82
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD06.mzML",155.302060262616,154.547332067659,155.354139105437,155.252769487294,237.529939528194,235,235,144,144,330.733009237604,330.943184729175,330.841318810998,330,293.325941080195,294,294,294,72.7571200786551,72.7817688368092,83.235361487751,83.1490422473799,84,132.845398196423,133,133,59.2598443182186,59,59,59,59,116.338262099627,115.951321013072,116.489588702952,116.345472738876,116.24444238017,140.575339317213,140.551363727965,142,139.903270485839,485.734871861241,485,485,332,333.955548472422,83.9112485438969,85,68.7543138201966,68.326297615126,68.8197038877146,83.7511095429929,84.5,34,34,34,165.144392302452,165.187300961305,166.97082321584,124.661198547748,125.179752105917,125,40.0551292214686,40,40,79.2694851843186,79.3407271623326,80,149.349960703746,149.269312861973,149.626842036498,150,110.445662887785,110.45098333397,110.236341698217,62.5989849893019,62.3513605244141,62.8811439627677,63,207,208.679542077002,207,270,270,270,230,230.160560433355,230,230,274.810130552064,281.65314319045,205.350886550873,204.940377157039,55.4034992868475,56,56,54.5442619646422,50,50,50,242.552318044683,242.5,205.357414334467,205.297199951464,206,191.243438798398,190.89179881674,107,107,83.6150092256904,83.5057049388503,84.0263546118303
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD07.mzML",155.4416980532,155.43514504541,155.353416468125,155.974708862987,236.608529905285,235,235,141.986276419428,144,330.794816986416,330.710494344603,330,330,293.301055684722,294,292.870704288809,297.358495908357,73.3613267483948,75,83.4529865192482,83.3970240258773,83.4785717349879,132.948909274258,133,133,59.2774828072062,59.4601397300105,58.8179502102334,59,59.5826701231774,116.4862356361,116.004966025926,116.519446106295,116.494427943036,116.761575204321,140.670059584249,140.644216896322,140.603154052894,142,485.654152212389,485,485,331.640669346262,332,84.904238094529,86.5391346492426,71.298786982394,70.9285488903153,71.4508785449891,84.1693373113741,84.5,34,34,34,165.247571635243,165.302554403832,165.720155837722,124.801477579581,125.565975317688,125,40.0106087859179,40,40,79.5843839484197,79.6094325706674,80,149.45070338046,149.279018821801,149.28138199395,150,110.5612045173,110.447075557995,111,62.6120808963789,62.2036547926607,63,63,207.988120897277,207,207,271.481065192486,270,270,231.021017797406,230.124663226517,230,230,274.972283896301,275,205.183936485142,205.170371682697,55.1779956187596,56,56,54.7255252526712,50,50,50,242.159933989342,242.5,205.338431048145,205.29000932435,206,191,191,107,107,83.6896159665665,83.6013641296845,82
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD08.mzML",155.326595240967,156.25,155.314248540393,155.199972008117,235,235,235,142.125304868305,144,330.732815309624,330.755614882662,330.798123543086,330,293.003569743658,294,294,294,72.9861873753233,73.0710123671584,83.2941981198151,83.2894408438134,84,132.93791376367,133,133,59.2764385794951,59,59,59,59,116.372729041651,115.956410274216,116.374482292506,116.313172114111,116.62585019111,140.565233601865,140.452973571604,142,142,485.677137879759,485.513018824798,485,331.370627688441,332,84.4403634660048,85,70.199261897901,69.733654625999,70.6428555243382,83.8321760336677,84.5,34,34,34,165.129113981262,165.253316413395,166,124.660103793572,125.28684888926,125,39.9318028344255,40,40,79.37220899771,79.3427201930559,79.445553851095,149.364955503403,149.455907725478,149.150552682134,149.431619753785,110.464484916789,110.34736222303,110.635723408699,62.5153074019104,62.4947919362532,63,63,207.958874947794,208.052498259883,207,270,270,270,230,229.834804422587,230,233.021720044496,274.876380496549,275,205.2266146054,205.004315740699,55.3132069254499,56,56,55.1108369097822,62.2212432274968,50,52.0667270690936,241.920263819545,242.5,206.069216720134,205.666426474179,204.941893644023,191,191,107,107,83.7527692613095,83.5278288797461,82
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD09.mzML",155.344362507096,154.905238151165,155.429281783765,155.646427106268,235.83289857189,235,235,141.889925543296,144,330.657765460275,330.762849169427,330,337.876628749088,293.147707812837,294,294,294,73.3078016943328,75,83.3643962976716,83.3806422383832,82.9885215000239,132.855688182437,133,133,59.3552520223171,59.230741842776,59,59.4178537050454,59,116.414351147779,116.004714286868,116.411702445869,116.371394283468,116.45859754737,140.536304309907,140.544745140473,142,142,485.8494953767,485.179896452584,485,332,332,84.4583768085044,85,71.3813750874042,70.9080498890965,71.5815186450246,83.8819765082202,84.5,34,34,34.5877923261633,165.200845828733,165.243952133252,166,125,125.5418368511,124.204420643693,39.9752222992234,39.0450090963603,40,79.5817221646323,79.5338142356891,80,149.398161424163,149.483691879641,149.281063022598,150,110.449314285357,110.580823829651,110.40409782266,62.643061332976,62.7195421959876,63,63,208.134993579664,208.088751821549,207,270,270,270,230.16034227129,230,230,230.182901885962,274.590979743588,275,205.31270159022,205,55.2117202054995,56,56,55.0780990691905,50,50,50,242.054989162312,242.5,206,206,207.755535089787,190.422430396821,191,107,107,83.6905893743279,83.717370860117,83.7513701845075
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD10.mzML",155.333781123147,155.090835750922,155.282473622172,155.495530533869,237.206199416147,235,235,141.917877550372,144,330.590129022972,330.550806991247,330.322835700826,330,293.101342119058,294,294,294,72.7194984935847,76.5419283956997,83.1216000096455,83.23698094138,84.5253344026238,132.615797891012,133,133,59.3379056505882,59,59,61.5915921047084,59,116.323011635085,115.875356280268,116.301580904686,116.342521581353,116.417598252731,140.422734460187,140.471787442905,142,142,485.758145286358,485.300811056706,537.97025863612,331.341282444195,332,84.7361546391541,85,68.9107709217271,68.490477289007,69.0673648063338,84.3201947666586,85.3356324136875,34,34,34.9145301099856,165.112052120621,165.158510460637,165.380662803952,124.676179679838,125.00328968678,125,39.9635806451753,40,40,79.3274759790348,79.247079947605,80,149.355712179319,149.222748990329,149.220413897585,150,110.454046728185,110.424732041392,110.583089520811,62.551523625927,63,63.4617826848876,63,207,207,207,270,271.284256847603,270,230,230.133851055449,230,230,274.629349892401,275,205.303834844631,205.113599932152,55.3135285298009,56,56,55.3456415388435,50,50,50,242.03818094257,242.5,205.565308489063,205.30953393347,204.960818891786,190.774381923437,191,110.190590494011,107,83.7039175709941,83.978098142804,82.2092774909614
