"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD01.mzML",152.879170545284,153.110526399151,152.806222922999,152,229.620842846485,225,225,138.88790296765,138,326.433206936587,326.507899152645,326,326,289.432303602218,288,288,288,71.5536852610181,71.8175117307573,81.3760554322587,81.3146187773514,81,130.004789835638,130.321997610759,127.5,56.4621458317636,56,56,57.0401934349413,56,113.61808515667,113.965590640709,113.642052813485,113.554435845583,113.519773878154,137.98269490504,138.026517931893,136,136,481.209859137787,477,477,326.040859918449,326.53358801268,81.907622117888,81,66.4118654760196,67.0164242538315,66.4934171714781,82.0078834715627,79,31,31,31,162.099080144956,162.119258228893,162.156348750936,121.512557323931,121.186368885099,121.428794709249,36.9180979175285,35,36.4405539355962,77.645955339293,77.4999481603451,76,146.538620113937,146.666890308901,146.478117151691,146.590925300252,108.140844961789,108.247436000673,107.5,59.26010401643,59.159234719485,59.278278030227,58,204.755648473298,204,204,265,265,265,226,227.144699899379,226,226,270.327602371605,267.5,201.576056276252,201.899064440018,52.8846002050347,52,52,45.4562023079866,45.6993930047215,44,45.0588923025977,238.589063396248,237.5,202.264939663623,202.231419810782,201,187.418883511285,186,100,100,78.1870166582262,78.0851173991485,75
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD02.mzML",152.781024470327,153.103616214673,152.810411050129,152.792937049476,225,225,225,138.657007345955,138,326.411918559621,326.38281626998,326.717379462604,326,289.343497884257,288,288,288,70.9007631326722,71.1198750140677,81.0659558391246,81.0882674573091,81.1921484434993,129.982156177756,127.5,127.5,56.5646378929521,56,56.7317265496329,56,56,113.642410685222,113.943308479069,113.636860348286,113.582758138674,113.649412544946,137.793076129512,137.84218616036,136,136,481.048950514259,477,440.070513337767,324,324,81.7193106646897,81,66.0392498059186,66.5848635910563,60,81.6782949475249,80.2556419847927,31,31,31,162.005937027194,162.020392625318,160,121.562056185298,121.22456736626,121,36.9167292621162,35,36.5523167301634,77.3224479184557,77.3890525146323,77.4761535137818,146.438764747299,146.942251268481,146.551299087765,145,108.219706651442,108.057038870953,107.242005093521,59.3431486670586,59.6334522312062,58,58,204.868984825813,204,204,265,265,260.110827064347,225.832329595713,226.295714196017,226,226,269.813746245108,267.5,201.523660210096,201.322645805915,52.9662476128356,52,52,45.4415290594274,45.4176790896631,44,44,238.55622271754,237.5,201.983450564591,202.029260595779,201,187.193707256793,186,100,100,77.8506142731272,77.8482725186421,76.8573789973327
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD03.mzML",152.814978581392,152,152.843851595378,152.88946215477,229.890873593622,225,225,138.805815528144,138,326.510539010283,326.496440870939,326,326,289.289582849741,288,288,288,69.4022316339627,67.5,80.8154303369655,80.8243612265033,81,129.622989109766,127.5,127.5,56.8018176531198,56,56,56,56,113.563892432303,113.885883202183,113.561459983761,113.506468308268,113.522260403604,137.88966598517,137.685782588084,137.381560547624,136,481.41545082215,481.268130923992,477,326.116971099993,319.968832711897,81.6925908747473,81,64.5479889166575,64.863392592724,64.6002436597193,81.4595662903393,79,31,31,31,162.020175043139,162.006756528806,160,121.247729786702,120.922478843688,121,36.9768924739101,37.166132842445,35,77.0172969710701,76.8652777707354,76,146.388286600337,146.36654322006,146.174319444354,146.297332668977,108.055757885217,108.056958734865,108.049107952799,59.3752288722136,59.3825748169155,59.3408528158138,58,204.727413006616,204,204,265,265,265,226.178690942025,226.397941248587,226,225.255640481125,270.139935546506,259.827143395029,201.457024684011,200,53.0464322831124,52,52,45.4656363696562,44,44,44,238.43279659591,237.5,201.847547422267,202.041435162414,202.227638674562,186.931066395478,186,100,100,77.4598800934956,77.4169416412644,75
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD04.mzML",152.836939520339,153.402606995783,152.813968621937,153.110296908203,229.816710997422,225,229.136207923369,138.78088284299,138,326.353877259198,326.459158205184,326,326,289.390214217872,288,288,288,71.8446920411642,71.9669675525692,81.4741434852666,81.4045252251098,81,129.870909182868,127.5,127.5,56.6911022511706,56,56.3277842390155,56,56,113.856520206027,114.116868492466,113.902689601281,113.929964415437,113.865463571376,137.953506039235,137.919856774432,138.079566923937,136,481.011985946281,481.000433447152,477,325.370542972464,324,82.3475459942735,81,66.7084111017201,67.2631799394879,66.6165918886976,82.0525158532948,80.222107330632,31,31,32.4566872510592,162.083903681144,162.095491268697,160,121.852810978758,121.451561135567,122.469149559136,36.9192556434425,35,35,77.7461760381314,77.7618993823093,76,146.52006575669,146.591520104506,146.519840369055,145,108.224392638552,108.247156571585,107.5,59.4024591385067,59.6204453516168,58,58,204.686102104474,205.508173956006,205.039611611214,265,265,265,226.429563523071,226.562053043608,226,226,269.956198899327,267.5,201.665950599581,201.666778047977,53.0953071695724,53.0632091698458,52,45.45506687029,44,44,44,238.223732005328,237.5,202.785046094623,202.323759260757,202.348728782187,187.158092187005,186,100,95.0924211625092,78.2430038817827,78.3793413004677,75
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD05.mzML",152.793913905081,152,152.780265156543,152.656935594408,225,225,225,138.810201430505,138,326.417521067459,326.376338673917,326.401673815417,326,289.289011041459,288,288,288,71.0613869723248,71.0785701491986,81.1568404733629,81.128664434142,81,129.755868961912,127.5,127.5,56.5896926740956,56,56.8516668899832,56,56,113.746229559389,114.034430636581,113.765609220852,113.676317770241,113.650064297141,137.878546029673,137.835413449053,136,136,481.149485332961,481.104577961455,477,324.995837868581,322.281258157369,81.8328123621153,79.1496929051577,65.8148133313362,66.366716339016,65.8660651113892,82.0166556406102,82.0239643519079,31,31,32.5781337770893,162.019599177965,162.07101122381,162.649768034212,121.692395235055,121.338048537981,121,37.0126020062334,36.1839967498059,35,77.4694537462795,77.4364350017591,76,146.447233608585,145.721142349466,146.645553120848,145,108.106706980419,108.208638551669,107.5,59.3896755196775,59.062254568456,58,58,204.675069845903,204,204,265,265,265,226.805926998679,226.748780905856,226,226,270.08858447814,267.5,201.423460967401,202.050532071947,53.0454697480186,52,52,45.4173394370451,45.03089191914,45.2703295042192,44,237.5,237.5,201.898375643146,201.84096471169,201.424548305448,186,186,100,100,77.8543338304975,77.9638646734325,75
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD06.mzML",152.814817457844,153.302721037445,152.797518239552,152.640253337957,230.066528258055,225,225,138,138,326.464194293598,326.505538992209,326.180146988167,326,289.244039615009,288,288,288,70.3892599167439,70.5170512560132,81.034604343926,80.9493553518795,81,129.771681823819,127.5,127.5,56.6227851594851,56,56,56,56,113.681827593136,114.051639065432,113.665075828113,113.561320869461,113.646409726233,137.922051711036,137.894345759719,136,138.19227796354,480.971348916632,477,477,324,325.011197980151,81.5941394050392,81,65.460398534174,65.8608304075213,65.3102377590307,81.7325816116272,79,31,31,31,162.060316732088,162.076202476424,162.293305928825,121.616275772341,121.071218418858,121,36.9820871779077,35,35,77.253106710144,77.1750947248692,76,146.442127769409,146.309656343237,146.893484622982,145,108.159718218996,108.293254781402,108.215035569106,59.4760772560618,59.4311162809505,59.9427989955254,58,204,203.080554887096,204,265,265,265,226,226.639722006113,226,226,269.880389387714,247.992272032892,201.51197518264,201.364928109575,53.0836634872386,52,52,45.4578898499014,44,44,44,238.208465321293,237.5,201.877551271883,201.929480887892,201,187.100604499199,187.358153825707,100,100,77.7392700470221,77.8472044640028,76.7694044873369
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD07.mzML",152.935197250609,152.558978258653,152.841946621661,152.657481486301,230.231221217229,225,225,138.893439410452,138,326.513245630802,326.422140551132,326,326,289.235182200914,288,289.205933299334,280.334103685013,71.2440022149922,67.5,81.2442489906102,81.2650841870631,80.919897275218,129.974385011889,127.5,127.5,56.5983404961784,56.8440590874308,56.9324009871222,56,56.7986921156983,113.820169124479,114.089048706384,113.693942742665,113.848810353285,113.873805489646,137.965905057865,137.987288627957,137.481979015655,136,481.066592932198,477,477,325.809525668661,324,81.8736026307061,80.0494160468646,65.9098975796693,66.6724897653842,65.7962465817745,82.0605023634239,79,31,31,31,162.1331748527,162.187935600264,162.034869643113,121.76343254027,121.291977471854,121,36.9626300635502,35,35,77.5567409829124,77.5309602149229,76,146.511682316163,146.455179833845,146.446064439905,145,108.301649748064,108.328645094439,107.5,59.3241640575484,59.1178160235395,58,58,204.832565153427,204,204,264.219951069886,265,265,226.015113743813,226.289196914565,226,226,270.108046800075,267.5,201.624728618575,201.565622089612,52.9728211902237,52,52,45.3523596525103,44,44,44,238.539531027955,237.5,201.980785316741,202.046213411508,201,186,186,100,100,78.0126548238175,78.008813371077,75
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD08.mzML",152.808324619519,152,152.722455182414,152.758484265552,225,225,225,138.89275789182,138,326.444635471027,326.444636253424,326.496545253166,326,289.247913123483,288,288,288,70.9384989468532,70.846732985348,81.1079636708292,81.117740902027,81,129.979862238263,127.5,127.5,56.5873733144038,56,56,56,56,113.686116962762,113.996100690422,113.635824201693,113.566640341432,113.630326557758,137.838312978869,137.980131714327,136,136,480.8799208151,480.589330133991,477,325.181899692102,324,81.914438209171,81,66.0597405120826,66.6016783313647,65.8946178719348,81.8553570103842,79,31,31,31,162.014359743653,162.018590607271,160,121.556581370708,120.993292421395,121,36.9413598559032,35,35,77.4146370554603,77.4196652869373,77.4057196468857,146.430131258482,146.274996810942,146.448782067107,146.521263502383,108.158532362098,108.246516827222,107.637541140922,59.3762498917138,59.7890303029851,58,58,204.723744730006,205.215367200493,204,265,265,265,226,226.349986067762,226,227.068684238178,269.900935752714,267.5,201.49959327774,201.151936883861,53.0911935168147,52,52,45.4668328423187,45.4210256340109,44,45.4633033622028,238.425757476198,237.5,201.82671073744,201.91838797267,202.324441962556,186,186,100,100,77.8677926975535,77.8720674860197,75
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD09.mzML",152.822504254525,153.050582132778,152.788521185835,152.758295689163,229.252934983822,225,225,139.025529451633,138,326.30604601221,326.384403601883,326,322.174610120401,289.335726217852,288,288,288,71.2279074635533,67.5,81.249060110134,81.2227787025831,81.4221207285068,129.808006716866,127.5,127.5,56.5794731995986,56.4010093679135,56,56.727313297187,56,113.740585088145,114.032880624369,113.669714179921,113.539120276276,113.722337622054,137.882970439795,138.022386979636,136,136,480.958105321886,480.960396253884,477,324,324,81.8908951547575,81,65.9521407545951,66.6919504065083,65.9301208667891,81.7989132801329,79,31,31,32.4304876342848,162.058581341534,162.107387354084,160,121,121.065395884744,121.708079192542,36.8731004610203,37.2087949040027,35,77.5514099138991,77.5968056803363,76,146.483886966522,146.387044840393,146.412256669341,145,108.229023631469,108.141289473852,108.002923914793,59.4442946341665,59.9298698786359,58,58,204.637719734856,204.579543631918,204,265,265,265,225.925221539142,226,226,225.953314107065,269.934598741446,267.5,201.586748793658,200,53.0056633195025,52,52,45.3254257588104,44,44,44,238.178136801437,237.5,201,201,201.150449241205,187.139546674398,186,100,100,78.0557029969663,77.927569168667,78.091751727354
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_B1SRD10.mzML",152.801262725223,152.679074202199,152.695663319342,152.790432304479,230.248636928516,225,225,138.923259234474,138,326.334638259739,326.328541315927,326.486220245361,326,289.172475005344,288,288,288,70.4594066886831,70.6423817344077,81.0251821723115,81.0248911986842,81.2323929055792,129.662975715158,127.5,127.5,56.5368733987784,56,56,56.6732176260589,56,113.638425693346,113.905167290544,113.631764578119,113.583101499368,113.722830948177,137.794138237089,137.819962951636,136,136,480.875469950141,481.238259893564,423.584106503271,325.496315232302,324,81.6545198413527,81,65.6240853790267,66.034389808423,65.6288786033818,81.5881372972128,80.7647006146299,31,31,32.4649890016812,162.06368273622,162.03937427693,161.948990001944,121.549217492432,120.785979027217,121,36.9588124299818,35,35,77.2645049654906,77.2917807747793,76,146.435228770843,146.239645294318,146.51448098526,145,108.150032353677,108.163083683728,107.781118674291,59.3830850650121,58,59.5980003782801,58,204,204,204,265,264.283378489236,265,226,226.417306938746,226,226,270.039538329216,267.5,201.526693128614,201.748133435941,53.0337673391057,52,52,45.3702208844337,44,44,44,238.027020060206,237.5,202.242251942008,201.835289167505,202.266376942439,187.002104309726,186,102.556229664918,100,77.7476622809711,77.7162502152669,76.3754520463471
