"","ratio_peaks_found","ratio_peaks_filled","ppm_error","rt_dev_sec"
"RNEG-002.1 - 1,7-Dimethylurate",0.449374288964733,0.550625711035267,6.94419758365451,-0.295087823382631
"RNEG-002.2 - 1,7-Dimethylurate",0.924914675767918,0.0750853242320819,2.06776864032705,-0.313182172258022
"RNEG-002.3 - 1,7-Dimethylurate ISF.1",0.903299203640501,0.0967007963594994,10.1300035891096,-0.302921597872585
"RNEG-002.4 - 1,7-Dimethylurate ISF.2",0.811149032992036,0.188850967007964,9.2552534809373,-0.229140732094141
"RNEG-003.1 - 2,6-Dihydroxybenzoate",0.849829351535836,0.150170648464164,7.44603471517042,4.57594005154111
"RNEG-003.2 - 2,6-Dihydroxybenzoate ISF.1",0.747440273037543,0.252559726962457,9.23753317471395,4.49247511213806
"RNEG-003.3 - 2,6-Dihydroxybenzoate ISF.2",0.757679180887372,0.242320819112628,9.63477549471816,4.592847255002
"RNEG-006.1 - 3,5-Dihydroxybenzoate",0.744027303754266,0.255972696245734,7.51340622359651,-0.674471770446924
"RNEG-006.2 - 3,5-Dihydroxybenzoate ISF.1",0.441410693970421,0.558589306029579,11.0484463703955,0.731209375593095
"RNEG-009.1 - Azelaic Acid",0.907849829351536,0.0921501706484642,6.98637103816252,-0.625134243847585
"RNEG-009.2 - Azelaic Acid",0.931740614334471,0.068259385665529,7.3631616508271,-0.631896969416139
"RNEG-009.3 - Azelaic Acid ISF.1",0.824800910125142,0.175199089874858,9.1249099788374,-0.599055974491081
"RNEG-009.4 - Azelaic Acid ISF.2",0.120591581342435,0.879408418657565,3.9356606314725,-0.697363050125037
"RNEG-011.1 - Indolelactate",0.928327645051195,0.0716723549488055,5.95009163663552,-1.07450265559884
"RNEG-011.2 - Indolelactate ISF.1",0.780432309442548,0.219567690557452,2.32440065071553,-1.05969092928797
"RNEG-011.3 - Indolelactate ISF.2",0.893060295790671,0.106939704209329,10.4810362234096,-1.06912348026089
"RNEG-011.4 - Indolelactate ISF.3",0.781569965870307,0.218430034129693,9.63904189699294,-1.08529727733289
"RNEG-016.1 - Hypoxanthine",0.831626848691695,0.168373151308305,9.03513803157773,-0.268198356422129
"RNEG-016.2 - Hypoxanthine ISF.1",0.588168373151308,0.411831626848692,10.8533546846993,-0.245370086635126
"RNEG-020.1 - Tyrosine",0.771331058020478,0.228668941979522,3.58204114123224,-0.431888093122935
"RNEG-020.2 - Tyrosine",0.839590443686007,0.160409556313993,3.52985185718924,-0.464080128491201
"RNEG-020.3 - Tyrosine ISF.1",0.844141069397042,0.155858930602958,6.87069121926873,-0.459340836397883
"RNEG-021.1 - Methylsuccinate",0.803185437997725,0.196814562002275,8.5738091976864,-0.301904657305707
"RNEG-021.2 - Methylsuccinate",0.833902161547213,0.166097838452787,9.46001285406912,-1.41529407042193
"RNEG-021.3 - Methylsuccinate ISF.1",0.68259385665529,0.31740614334471,9.76448300777317,-2.26535355933333
"RNEG-022.1 - N-Acetylglutamine",0.897610921501707,0.102389078498294,7.45996507688617,-1.05364300907172
"RNEG-022.2 - N-Acetylglutamine ISF.1",0.377701934015927,0.622298065984073,8.26853908265787,-1.07931462302148
"RNEG-022.3 - N-Acetylglutamine ISF.2",0.792946530147895,0.207053469852105,9.93753195961833,-1.07110256873416
"RNEG-022.4 - N-Acetylglutamine ISF.3",0.789533560864619,0.210466439135381,9.03783745998838,-1.04696368683101
"RNEG-022.5 - N-Acetylglutamine ISF.4",0.439135381114903,0.560864618885097,10.7939679091336,-1.06574269250515
"RNEG-023.1 - Acetaminophen Glucuronide (saturation?)",0.632536973833902,0.367463026166098,3.04957051439324,-0.254592841930307
"RNEG-023.2 - Acetaminophen Glucuronide ",0.604095563139932,0.395904436860068,2.22095856530804,-0.135518621074123
"RNEG-023.3 - Acetaminophen Glucuronide ISF.1",0.536973833902161,0.463026166097838,7.47633307048743,-0.296151473795177
"RNEG-023.4 - Acetaminophen Glucuronide ISF.2",0.485779294653015,0.514220705346985,9.53541176571705,-0.189335740526505
"RNEG-023.5 - Acetaminophen Glucuronide ISF.3",0.431171786120592,0.568828213879408,9.90791657398457,0.172067910913315
"RNEG-024.1 - Pantothenate ",0.929465301478953,0.0705346985210466,5.8537583259656,-0.00101334379968146
"RNEG-024.2 - Pantothenate ",0.93287827076223,0.0671217292377702,4.88236574941106,-0.280065584457836
"RNEG-024.3 - Pantothenate ISF.1",0.838452787258248,0.161547212741752,7.94628245549109,0.00301123123375129
