"cpdID","cpdName","Retention Time","m/z"
"RNEG-002.1","1,7-Dimethylurate",153.982470559766,195.053227357002
"RNEG-002.2","1,7-Dimethylurate",153.847248053548,391.112174842409
"RNEG-002.3","1,7-Dimethylurate ISF.1",153.846073212182,180.029339335286
"RNEG-002.4","1,7-Dimethylurate ISF.2",153.912731079441,137.023811217607
"RNEG-003.1","2,6-Dihydroxybenzoate",229.751866324273,153.019798499758
"RNEG-003.2","2,6-Dihydroxybenzoate ISF.1",229.900642474001,135.008627558715
"RNEG-003.3","2,6-Dihydroxybenzoate ISF.2",229.399531841612,109.029576844304
"RNEG-006.1","3,5-Dihydroxybenzoate",140.227025582843,153.019781687454
"RNEG-006.2","3,5-Dihydroxybenzoate ISF.1",141.822210480227,109.029536070751
"RNEG-009.1","Azelaic Acid",328.220910629507,187.098164698429
"RNEG-009.2","Azelaic Acid",328.220335452907,209.079947108256
"RNEG-009.3","Azelaic Acid ISF.1",328.240725327454,125.097660446644
"RNEG-009.4","Azelaic Acid ISF.2",327.977105969389,97.064280079342
"RNEG-011.1","Indolelactate",290.729576141024,204.066991330305
"RNEG-011.2","Indolelactate ISF.1",290.746595443875,186.056663054863
"RNEG-011.3","Indolelactate ISF.2",290.725469144472,158.061105544189
"RNEG-011.4","Indolelactate ISF.3",290.704513886764,142.065927164618
"RNEG-016.1","Hypoxanthine",71.9366881815935,135.031903529052
"RNEG-016.2","Hypoxanthine ISF.1",71.6284219971522,92.0256627803508
"RNEG-020.1","Tyrosine",82.0546199730897,180.066491461838
"RNEG-020.2","Tyrosine",82.060585308624,248.053788048107
"RNEG-020.3","Tyrosine ISF.1",82.1656037663102,163.040506872325
"RNEG-021.1","Methylsuccinate",130.91685371299,131.035594716499
"RNEG-021.2","Methylsuccinate",130.739944178002,199.021576265148
"RNEG-021.3","Methylsuccinate ISF.1",130.864492540095,87.0456367458113
"RNEG-022.1","N-Acetylglutamine",57.6709908740684,187.073131156292
"RNEG-022.2","N-Acetylglutamine ISF.1",57.6018603517891,169.061097924723
"RNEG-022.3","N-Acetylglutamine ISF.2",57.5697550942692,145.06186900095
"RNEG-022.4","N-Acetylglutamine ISF.3",57.6004689531964,127.051608360125
"RNEG-022.5","N-Acetylglutamine ISF.4",57.624942223584,125.071656250337
