"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W11_LTR.mzML",2636956,835092,287629.25,76802.5,108817.25,3745.9765625,4194.55859375,47777.40625,8100.4921875,1286689,333117.25,38893.9375,398.5146484375,135658.875,3075.53515625,6671.19921875,2683.552734375,397539.25,11554.4140625,417397.75,72744.1875,7477.1328125,147935.125,18279.28125,8519,1069017,4141.22265625,32580.890625,12581.65625,1303.2548828125,3169214,3303432,247767.75,161577.75,52408.21875,1308624,145048.875,18872.796875,10868.9453125,3203630,636505.5,11750.21875,38237.75,5514.9140625,101420.75,32996.1875,2211564,942947.5,33998.59375,41622.59375,13664.203125,0,270214,6903.37890625,2538990,600705.5,19041.515625,153876.875,42107.96875,963.6875,798233.5,9855.4765625,1756,348957.5,11381.7109375,6278.3671875,1211803,41032.21875,65874.6875,9733.84375,424672.25,125642.1875,25657.46875,836867.5,20968.859375,23108.96875,555.14306640625,0,642.916015625,338.645263671875,339088.75,136786.625,1397.40234375,44767.21875,96803.3125,366.085693359375,3595.642578125,119443.3125,2226.36328125,72336.5,2865.44921875,294043,4841.06640625,4292.62890625,1781234,596721.5,119288,57144.15625,91502.3125,1924.0478515625,162795.25,6698.67578125,634.30029296875,87471.9375,16470.828125,78344.5625,635.4423828125,1133196,0,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W12_SR.mzML",2761056,1529344,442891.75,115475.25,125552.5,4503.765625,5935.2734375,72822.25,13146.0390625,1081670,268026.25,31632.953125,587.94775390625,357768.25,8245.59375,19688.546875,7987.0859375,513287,16447.703125,538562.5,80814.8125,10429.9453125,218307,19248.6875,13361.03125,1796075,51292.15625,53121.9375,20543.734375,23206.828125,3964930,3263504,442375,231713.375,118800.375,1065498,101971.1875,15408.765625,11604.453125,397388,2762.474609375,16114.65625,217983.375,34004.125,310165.75,97714.4375,2427702,763697,29229.4375,54547.21875,14905.5859375,0,411245.75,5565.39453125,2139580,1343472,28301.796875,116218.9375,18197.59375,763.31103515625,1205109,12869.2109375,19185.421875,427728.75,9462.953125,6726.30078125,1746070,88539.375,99208.9375,50301.6875,795548.5,149167.25,44821.40625,1405678,17744.484375,50735.09375,996.77978515625,1661.62890625,2381.92578125,178.661987304688,459106.75,152835.875,2395,52130.625,107565.125,2076.185546875,6087.4609375,129372.9375,6457.5859375,175370,3408.318359375,350355,5648.7734375,7172.30859375,2755266,914790.5,176406.75,85258,83495.375,1152.0048828125,24419.8125,8335.9375,1548.61328125,85011.375,23191.328125,62257.0625,568.263671875,1424504,0,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W23_LTR.mzML",2568712,695776.5,278548.5,76294.9375,97789.3125,3622.19921875,4144.1953125,52056.0625,7657.79296875,1226681,319581.5,33410.09375,1033.5419921875,124746.125,2605.95703125,7164.03125,2520.57421875,391086,5949.87890625,408541.25,76152.1875,7232.94140625,142455,18829.921875,9407.6640625,1016672,2682.65234375,31532.65625,10925.7265625,1293.3955078125,3288116,3269720,242303.25,157036.75,71704.875,1312140,160569.125,17822.5625,14263.984375,3084230,600420.5,11714.390625,36775.6875,7086.7890625,96486.5,32098.015625,2194912,1025299.5,35336.75,37684.65625,12114.25,0,252316.75,5824.390625,2584542,557907,16560.640625,162935.75,49885.40625,913.228515625,773633.5,8869.4375,15480.7109375,342550.25,10752.625,5968.16796875,1132987,52371.59375,63950.875,29211.03125,393083,117484.6875,23246.171875,779649,22133.09375,28029.03125,523.185546875,6275.19140625,150.855224609375,697.365234375,325466,126758.1875,1010.87841796875,35898.625,87051.6875,320.0048828125,5462.03515625,108935.5,2815.708984375,64387.25,9069.5703125,287589,4520.67578125,4638.5,2367980,600281,119119.8125,58340.125,87814.25,601.78125,155165.125,4242.80078125,2027.6787109375,84801.1875,19259.953125,71117.3125,776.71044921875,1097774,6822.5859375,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W24_SR.mzML",2987892,1560121,446507.5,117468.8125,122361.875,4854.15234375,5790.00390625,71852.6875,13047.40625,1060193,271421.25,30366.890625,509.32373046875,356693.75,7651.02734375,21306.9375,6536.63671875,483433.5,12858.546875,545315.5,80821.5625,11389.4140625,224290.375,20588.90625,13506.1953125,1804558,48731.34375,51713.6875,20282.78125,21276.15625,2767780,3236332,435074.25,230842.5,114994.0625,1071050,104220.125,14372.140625,12431.1640625,405642,3117.314453125,16243.265625,223354.75,41531.90625,314511.25,101349.25,3036146,937151.5,35162.28125,54470.46875,15866.2890625,0,422812.5,11178.0703125,1962004,1345509,40276.53125,120017.125,19669.9375,494.600830078125,1161890,11657.9296875,23880.53125,359645.5,9919.0546875,6030.03515625,1706644,90746.125,89700.0625,58605.5625,790318.5,156145.25,45701.125,1152565,18998.609375,41501.90625,1314.6748046875,5625.30859375,3273.318359375,509.740478515625,461437.75,158791.25,1416.6220703125,47394.125,98544.625,459.875732421875,5361.78515625,128329.5625,2551.9921875,184040.625,9860.3046875,353269.75,5131.82421875,7533.703125,2975988,902914,178425.5,86534.9375,84881.4375,1577.9208984375,141342.125,10047.03125,1006.02734375,81488.5625,23650.5,60829.5,789.3212890625,1420391,4353.96484375,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W35_LTR.mzML",2708418,884909,279463.5,77414.1875,97490.5625,3196.86328125,4613.97265625,52209,8238.390625,1216342,312273,34526.84375,535.041015625,129411.5625,2981.494140625,7471.69921875,2832.076171875,409607.25,12384.8125,370143,65725.8125,6783.03515625,143591.75,19798.4375,8275.578125,1011957.5,28574.96875,29216.375,10853.984375,12939.671875,3494058,3224550,231987.75,152207.5,70853.75,1302041,151466.625,17060.984375,13921.96875,3105436,614586.5,11895.6484375,35941.3125,7312.0859375,98354,30147.015625,2804362,885868.5,31344.109375,37870,13549.671875,68731.8125,227827.75,9673.6875,2618202,572642.5,18890.484375,150982.25,47422.28125,3848.212890625,768345.5,9057.7109375,16037.890625,346399.5,10793.3359375,6454.08984375,1127078,51892.03125,62226.9375,31096.546875,395736.75,119365.4375,22463.484375,893259,19483.46875,33354.25,1829.3115234375,31018.8125,1095.384765625,136.659545898438,330113.5,134496.5,5169.3046875,36246.5,85300.875,302.366455078125,5453.078125,110904.5625,2425.06640625,65411.96875,8658.1953125,274885.25,3977.884765625,4349.53125,2839214,593302.5,121257.75,56803.78125,87009.1875,1650,159358.625,5451.2265625,2896.96875,86983.3125,262068.375,71530.6875,260,1102180,6098.96875,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W36_SR.mzML",2883296,1336517,445000.75,117950.5,121747.9375,4967.53125,5873.46875,70917.875,12940.171875,1077643,267306.5,30411.5625,179.5078125,363711.25,7757.83203125,19545.03125,7819.71484375,487725,14041.859375,541874,82517.0625,10000,219753.125,19100.859375,13685.7265625,1833984,5341.5703125,55007.71875,21929.125,3192.56640625,3277512,3244322,448447.25,230601.375,120035.6875,1074640,104987.6875,14853.1171875,11696.46875,411255.25,91095.125,15784.234375,219286.125,41457.96875,311701.25,98579.3125,2417370,951060.5,36606.09375,51763.71875,14983.3828125,721592,416205.5,8286.2421875,2462982,1364880,41248.375,120547.3125,20514.65625,843.03955078125,1211597,12443.8203125,24280.03125,407242,11330.8671875,6512.84375,1717139,90498.1875,93489.1875,56288.96875,802085,152588.875,46181.34375,1138299,17928.484375,40890.46875,0,13547.203125,2359.779296875,242.797607421875,463113.75,157292,1509.203125,52320.46875,106487.4375,577.7470703125,5879.73046875,127612.0625,466.993896484375,180065.75,9971.546875,352884,5670.1484375,8335.265625,2517776,905946.5,179229.625,86843.8125,85033.875,1883.419921875,140353.375,9202.640625,297.977294921875,85687.5625,25597.265625,62004.59375,662.40478515625,1426143,2897.642578125,730.232421875
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W47_LTR.mzML",3126140,755766.5,276537.75,76437,101642.5,2866.193359375,4346.3515625,51283.46875,7657.77734375,1237935,319009.75,32374.484375,537.90673828125,126544.3125,2966.228515625,6802.9375,2841.607421875,385852,12862.34375,359684.5,64739,6624.1640625,146911.125,18889.34375,7583.93359375,1043249.5,3734.591796875,30086.671875,13125,1913.86328125,4008962,3255014,242666.75,155805.875,70825.75,1328878,156927.625,17896.359375,11774.140625,3095380,600307.5,10420.21875,38258.25,6223.33984375,95342.4375,30820.03125,2091103,1004627,34524.9375,36006.53125,11506.125,0,239930.125,6539.14453125,2648362,576487,18468.140625,153588.875,45362.71875,4514.109375,771106.5,8113.890625,6874.33203125,330521.25,10738.2734375,5523.84765625,1146124,51965.375,62536.46875,27092.421875,396811,116425.875,26345.421875,805403.5,20301.453125,29856.53125,0,0,0,239.868896484375,333258,132914.625,545,40474.21875,94006.25,265.545654296875,4537.421875,109207.8125,3041.521484375,63610.5625,4468.09765625,290397.25,4708.33203125,3780.478515625,2975432,590188.5,117870.8125,56765.84375,86496.8125,439.807861328125,153078.5,4705.8046875,2666.5078125,85373.75,21571.953125,72967.25,276.300048828125,1097422,3407.29296875,243
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W48_SR.mzML",2539420,1626030,444268.75,114950.0625,124117.9375,4843.1640625,5791.75,72623.5625,11586.796875,1071472,265558.5,30021.359375,554,354405,8541.265625,19653.546875,7894.01953125,495065.75,0,549622.5,82008.1875,10040.59375,221083.75,19999.625,14117.90625,1797289,0,52978.4375,22168.1875,0,3517798,3243128,433250,228073.875,37859.96875,1076162,104331.3125,14658.2109375,9692.703125,400775.5,88184.9375,15742.953125,226359.125,13325.609375,321310,101545.1875,1638491,987843,35351.09375,50314.4375,15092.7109375,0,418245.25,5728.09375,2349930,1350897,2934.8359375,126854.3125,20359.546875,377.618408203125,1181461,11702.6953125,3698.451171875,399534.75,11201.7734375,6627.19140625,1719193,46881.21875,96139,13825.0859375,794522.5,152235.875,44471.125,1134608,18475.765625,41788.84375,441.2783203125,0,0,120.300476074219,467346.75,152346.625,1238.552734375,55898.28125,125609.875,718.85107421875,6388.9453125,126270.5625,3460.962890625,185830.5,7610.30078125,354194,4205.62890625,8127.6640625,2605070,905773.5,177310.875,85814.3125,82462.875,494.641845703125,140525.75,9383.7578125,437.730712890625,80262.125,3823.29296875,61188.03125,441,1444191,3812.76953125,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W59_LTR.mzML",2949560,843164.5,280028.5,77662.4375,106990.5,3903.06640625,4449.62109375,54209.09375,6741.26171875,1240929,314259,34909.46875,185.830200195312,127847.5,2689.375,6668.7109375,3256.365234375,378835.5,11855.0390625,351079.5,55194.09375,7074.99609375,142550.875,19247.4375,8746.3828125,1080049,0,29964.90625,12126.7578125,1881.1552734375,3454846,3132998,229769.25,144493.875,66768.4375,1291795,148871.625,18896.953125,14098.5078125,3151870,610499,12668.328125,38503.96875,1661.3369140625,94320,30821.203125,1794269,731746.5,29396.703125,39367.78125,13973.1171875,0,248460.625,6043.42578125,2643974,595951.5,4204.5625,152950,48626.40625,1418.0849609375,755023,7421.08203125,2637.23046875,340933.25,10659.71875,6210.91796875,1136578,50008.25,61664.9375,6586.29296875,396058,117182.625,25383.4375,797353,21143.453125,1411,0,1726.1201171875,239.97900390625,388,330635.5,131395.75,1352.5478515625,42703.53125,100686.6875,1628.927734375,5227.04296875,111028.4375,3510.654296875,67281.8125,2581.201171875,291813.5,4202.43359375,4346.859375,2219388,595328,120986.125,56888.1875,89899,312.735595703125,9048.15625,5704.0859375,1761.4990234375,83839.5625,2325.8125,75206.4375,301.929931640625,1090984,0,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W60_SR.mzML",2885230,1548775,431939.5,114211.5625,124167.4375,4343.859375,5256.44140625,68075.8125,11555.1328125,1019383,257265.5,27191.8125,419,341564.5,7279.41015625,18817.859375,7385.3125,423408.75,11847.828125,498344.75,68284.0625,9671.953125,216223.375,19391.03125,13352.40625,1747490,2063.64453125,48775.625,18906.96875,0,3208036,3129510,431994.5,212583.25,115155.5625,987835.5,96490.1875,13960.90625,1898.97265625,379137.5,84807.0625,14457.0625,212621,19000.421875,269680,84127.3125,1020924.5,631999.5,25027.984375,55198.9375,15579.5078125,658763,377724,6221.71875,2154274,1369773,29876.375,114809.875,19462.171875,337.5751953125,1112792,11040.515625,10076.453125,468978.25,10051.1640625,6118.19921875,1605816,86173.1875,86436.375,9565.984375,755170,146283.5,43511.96875,1515048,12199.359375,49391.59375,710,0,1062.5,1917.7578125,445873,151777.75,1795.193359375,49540.15625,107791.375,1809.7431640625,3459.5546875,122866.5625,0,184540.875,3383.265625,343289.5,4780.46484375,7120.80078125,2833836,853834,169089.25,80303.5,82656.1875,1547,136645,10204.9609375,2592.369140625,79107.1875,23456.859375,56372.9375,775.95556640625,1365824,0,0
