"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W11_LTR.mzML",NA,898155.747640029,287267.691104338,78239.8021714432,103333.232486142,3526.89421492176,4004.15336517185,46783.2921707995,8058.81749242576,1276164.33659268,327087.283113568,36657.2847214689,383.458833454896,134410.252454091,2914.45814736114,7139.11002030628,2649.12756534631,404374.783492597,12977.025577296,421155.874104912,71158.1062156119,7663.80300079697,149885.260814434,19132.1980282591,8684.28630667171,1067664.20999142,NA,31655.5851440711,12415.2304504353,NA,NA,3632657.23343134,252104.603373502,168115.046376506,NA,1333121.49828249,135545.159097731,18046.1500651624,NA,3298297.62133604,640078.794598219,NA,37495.812111186,NA,99630.6170276429,31321.2910724074,NA,959187.55597393,33921.2018347444,43373.2027991494,12842.8417466014,0,NA,5931.05876714601,2903489.04403468,596714.934636117,20209.3369481735,147009.123832059,39833.0514010859,NA,803787.524661394,9701.11873135499,NA,350587.031180176,11141.7067824223,6398.9686677561,1210064.11740706,38750.8702459266,67076.1992612374,8205.59266474601,416285.946433953,125236.100425826,24495.1524991147,830256.742083548,21295.2589232303,NA,NA,0,NA,NA,330883.089191058,133147.272666417,1435.08692224117,42714.8219152182,99059.9346697814,NA,NA,116230.14788086,NA,67697.9693245779,NA,293488.451650141,4849.9635777963,3706.66000645275,NA,629299.056165215,125296.566840996,58941.658000892,92070.2668077045,NA,168996.853524876,5807.82271830991,NA,87920.940808766,NA,66673.6084577729,591.117300776725,1167631.0418978,0,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W12_SR.mzML",NA,1547442.33720288,448897.208398316,117484.928833176,122597.522423091,4260.66287045643,5180.21826940413,70986.1011464873,NA,1059686.67523299,268917.056958485,29939.0975027132,639.612948053742,357227.883734297,7279.34823513114,20183.3574178167,7827.89348768946,510587.284541053,16400.1330862486,558932.1724132,83311.5795546898,10763.5794374801,218991.810955084,19455.8277629269,13556.5799958652,1825148.73994299,51290.1371176211,53085.823390561,20905.5986266563,23692.2637931863,NA,3703036.47211123,449894.771720881,242601.794856695,124797.346307222,1091769.50011692,103225.445637173,15435.2426050364,11313.3736331259,393332.758166971,NA,NA,218245.523841621,NA,302177.025812577,94574.4540365976,NA,797697.841276324,28222.766347385,54713.2437437037,14886.8634917225,0,NA,NA,NA,1323005.34405406,26948.3238648991,115279.360742799,17507.658523572,NA,1184446.2876381,12445.8010843057,NA,426594.459161506,9606.65270668903,6803.80359991886,1773847.86099862,89984.7496830626,97256.603505067,NA,799074.344723676,153443.449096446,45012.6356784395,1422863.8370594,16966.3406166315,51597.1079974907,833.037066254142,NA,NA,NA,450705.38435371,152905.146566857,2377.61580657317,51294.4146078939,107476.560945661,2129.41641863234,6418.46636718799,129666.654514158,6444.53169357184,176591.852007444,NA,358534.980737541,5564.81206954971,7110.12362657211,NA,921041.428465385,178945.143815022,84451.6705147597,82924.42824459,NA,NA,8309.37945929161,1538.84278969968,81321.2020665685,NA,55579.9982701254,NA,1450763.76657496,0,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W23_LTR.mzML",NA,726489.481589122,274407.448785522,76521.5158544647,96065.9492407047,NA,3893.54769636293,51912.1266291532,NA,1218966.94125393,316021.198215571,34463.3762606607,NA,126068.437423846,NA,6656.45638380549,2608.47512738465,394261.582403937,NA,392162.085382554,72456.1766571179,7224.71045945465,143733.008259702,18499.0274589889,9143.89819188751,1027543.77534356,NA,30483.7845189336,11097.8800311183,NA,NA,3599716.42407499,244727.507227226,161307.94048391,73402.7880895554,1294404.62644234,154163.656444187,17922.900958539,NA,3189101.00677148,598246.864746347,NA,35605.6587211389,6479.97022850984,96449.987072506,30259.2393686406,NA,983171.070409585,35904.281001657,38702.2674416753,11398.321829808,0,NA,NA,2663479.76878184,553766.572747142,16446.9183472619,163440.740151152,44846.7535495588,NA,779331.051280261,8905.03504687689,15801.3563964876,342041.280341948,NA,6010.69493259264,1148595.72098518,52811.5466149581,64468.7011808757,30001.028333827,390412.002490601,118537.850742381,23540.8158151193,770743.22901091,22222.4680650385,29184.4649196918,NA,NA,NA,674.357018655965,315052.8849765,127065.853757103,NA,35630.5632698897,85334.2996293476,NA,5664.54253013159,110232.999810867,2710.52924915702,66208.6314542784,9335.02313268216,286959.987580065,4465.69253824388,4458.55806469572,NA,619205.696236542,126248.482545998,59621.4199043349,89232.1936210671,630.75821250484,155080.314929579,4284.79885034895,NA,83150.1838418112,NA,60886.2967032491,745.340343062373,1128664.99209213,NA,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W24_SR.mzML",NA,1500458.39116533,449961.131286545,118884.446746951,121395.118179909,4268.77092232239,5399.934290987,70432.6464539726,12659.9058613028,1065248.45512652,270888.459323052,29385.1519508651,461.808183254333,357327.303368924,7566.70861345849,19597.5111008911,6830.38399630768,494970.62763755,14583.8925477398,548160.207910482,81038.4736708396,10754.9160952085,222545.823599871,20280.0215787505,13477.5810803325,1811854.46924182,49460.3608380248,51973.5023670281,20285.336273916,23625.7414279866,NA,3657271.00565993,450310.455843878,239887.038070228,121134.291137143,1079253.34491052,102939.553385898,14726.4569926613,12024.785817342,400188.228339912,NA,NA,219809.904736956,41649.296544569,311690.046468566,97533.3464333835,2710346.75069169,950879.58717282,34342.8099987509,55106.8288433661,14824.0941647356,0,NA,NA,NA,1350814.58465165,35574.0448496177,117714.952894764,18383.53423119,NA,1161141.16114187,12005.2018400948,23152.1779037032,NA,9864.3443306541,6430.38451045995,1741550.11414004,91039.3559377505,93292.3741667429,59661.0489886452,805133.549644504,154575.900817497,46787.7832435311,1166876.97558085,18246.4427830473,41767.2864764753,NA,NA,3220.96407241596,NA,453557.980419784,153364.424408013,1426.40858542815,48616.9334958106,102534.018026299,NA,NA,129498.732248713,2565.11816164934,182880.017147303,9959.73565161262,363367.023662092,5185.75948324698,7553.44852321342,NA,914061.774337097,180682.428798517,85823.7840739874,83135.3751642049,1581.38762307511,144786.681486743,8889.48712471887,NA,81410.3054471209,NA,53366.2475380289,843.510500897842,1460097.83951368,NA,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W35_LTR.mzML",NA,876160.091263714,280608.354735015,77890.6964466682,95470.2871104313,3015.52836909097,3892.093815487,52626.6791494572,8055.99863662429,1225700.74327713,317589.164708809,34909.3247700161,NA,126655.239793062,2862.1401088602,NA,2613.76684031373,405067.329432153,12986.4915205904,374689.383868804,64676.4129864134,6812.27246899231,144604.999111226,19121.9107322261,8800.29797036821,1003348.82064561,28735.8670858812,28459.8631750119,11059.5324010764,12558.3538247796,NA,3544550.58468828,238812.764741987,157448.61347494,71277.0902670788,1296462.25461709,143189.319254242,17308.4565289288,14223.0717783705,3231854.38738319,606312.018342134,NA,35266.1345059336,6592.20591606894,95927.689716443,29439.2728273853,NA,914486.149833787,30766.777073786,38733.9468000587,13439.5130796939,NA,NA,NA,2702171.11478414,578122.844121338,19622.2761245116,158025.181083562,44081.2432987337,NA,762980.77392194,8581.4165116095,13601.7199597535,348241.698762315,11141.7920363204,6676.39131820229,1147017.91108374,53045.6586154869,63834.3631415436,29420.7782498095,392547.396510495,119084.771109236,23188.8062993647,886863.306600544,20213.946078015,31840.6259225159,NA,NA,NA,NA,321547.344487381,129338.194270509,NA,36105.3841968991,83510.5513910101,NA,NA,110820.258178888,NA,64434.8228199718,8421.86245760922,277501.946137151,3896.50107433289,4208.34239461098,NA,614716.377332745,125086.566364686,58995.2457325883,88661.3665258722,1643.84443498354,160750.966872758,5041.20256578108,NA,84512.9194160176,258092.659868416,62400.0937052655,NA,1137163.81362554,NA,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W36_SR.mzML",NA,1414759.31763501,450802.456233582,119585.595112248,120625.536059157,4509.71770791666,5358.858024682,69209.703966366,NA,1061522.83338472,265140.261368991,29669.6139118067,NA,356857.658720224,7646.05359332744,19353.0978827086,7945.66345456952,492468.878038371,14913.9591194974,564061.109463898,80634.6443890387,10324.8484214884,221673.156609331,20034.6104476554,13027.109921933,1870953.96982095,5744.2314432562,55366.2278615888,21653.6395789845,NA,NA,3632559.49870633,450916.985377355,240210.163966539,123600.707027443,1096427.35629588,103850.117583382,15245.0053496988,12048.8874804831,406832.659307552,90130.7978362962,NA,219342.596722075,42407.8062125768,312325.529766799,97092.2639653721,NA,980044.431144909,34998.5882884395,53119.3122414883,13688.6570925901,612512.258744718,NA,8080.25090356542,NA,1370464.68917994,37651.4336123644,119123.21409705,18325.2404377267,NA,1168350.74608669,11972.1406979273,NA,400280.970670362,10441.3998755248,6611.84187063451,1748057.56075566,91289.243121377,95061.6154127188,NA,805795.932568226,154776.496057719,45329.6284189465,1151010.23984059,18059.2192470546,41888.4769516945,0,NA,NA,NA,453706.38804016,152933.242378729,NA,51292.3833767022,105325.934707986,NA,NA,129014.905402826,NA,181536.514951895,9190.85239788259,361037.836505399,5656.41059788787,7717.51585515263,NA,916589.209109871,181022.369850293,84959.8657707057,83111.1733169862,1853.9381291259,145086.292485846,8850.43095776177,NA,80774.4368272273,NA,55993.4869871576,NA,1464264.8244111,NA,801.926228995515
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W47_LTR.mzML",NA,762387.199551528,279397.688075798,77411.1340887833,99036.7643608132,2816.21086066174,3844.90755978885,51271.7406830678,7670.00471597731,1230621.11041482,314801.299195643,32576.0974388436,NA,127037.782561037,2852.57862156324,6482.02906541736,2744.5029218161,396133.658910641,12945.8666303307,369471.098434063,64582.0558827729,6875.28097995959,146304.697119541,19431.7442511568,7840.81655597884,1033509.69932404,NA,29740.1859289337,12231.6036426728,NA,NA,3541533.13496223,247071.073537822,158423.497896536,70636.8871802583,1300015.99949951,157234.151487135,16939.3760561726,NA,3179039.85561651,596302.868546332,NA,36248.1118565055,5973.81412123041,94285.9711350867,29638.5970286598,NA,1021716.44836886,35482.3501553361,37023.0218001047,10236.1793000202,0,NA,5507.81054420812,2730707.66980959,579104.190088813,NA,157089.480314771,43326.0485826862,NA,755649.747124095,8385.85898385551,NA,334265.451988643,10946.5522793314,5986.39857041133,1155222.36470218,53075.5707931325,62304.8592088925,28088.8957945995,399676.842151841,118559.262521352,25169.3198517956,798755.03194951,20449.5184459967,28839.020235544,0,0,0,218.620766781884,321204.529481616,128736.472835834,509.957294247327,41272.8238115102,93798.2214835646,NA,NA,109579.990847164,3074.66464743278,64097.2729846365,NA,293677.123151598,4322.851102142,3696.00527787659,NA,616345.339133581,124153.892868137,57860.1488239965,88328.7569599525,NA,152946.215472731,4418.04489807986,NA,84299.136622246,NA,62867.5650825302,NA,1138409.27788516,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W48_SR.mzML",NA,1486502.90622536,448073.411979297,117384.902967204,123107.581784109,4560.39370177888,5363.22703242215,70890.7149798379,NA,1059564.78899451,266758.290651758,29697.0759959474,NA,355953.441914038,7682.29514751324,19390.0653576379,7266.66620400532,496006.501673874,0,559045.756875663,82969.821097757,10394.8277326816,223801.503845922,19903.3552744441,13953.5234311864,1847079.50813193,0,54293.2855054858,21703.2008783209,0,NA,3656156.63715448,450029.969240569,235658.727882732,NA,1097166.48959163,105391.137321891,14970.4465642536,NA,400204.90957058,89584.7214013707,NA,222514.465920585,NA,308831.07518872,96695.4391105243,NA,923901.867020034,36721.4220970248,51402.5731876758,15075.9783858233,0,NA,NA,NA,1353155.44027241,NA,117122.031468844,18119.0929540116,NA,1163544.22108804,12304.5608393669,NA,410940.739169399,NA,6812.07933912619,1747812.72919318,NA,95760.9085862695,13930.0954873007,798664.070720901,152480.931277948,45634.5933664881,1138864.91603129,18644.0726395617,42067.8785740558,NA,0,0,NA,448932.970509096,150237.714319841,1222.83669854485,57355.8050939702,115094.501584171,NA,6204.55104111498,128470.76691615,3661.6431082644,184565.056021203,6543.5282248884,354693.923757564,4664.2233407204,7991.07103493002,NA,912906.311307507,178602.909503671,82837.479048719,82265.6504270988,NA,141494.145289011,8759.61217075847,NA,79397.1383861012,NA,57347.4752410473,NA,1510478.77138554,NA,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W59_LTR.mzML",NA,876733.705096831,280996.587484515,77380.7320282086,101963.425143472,3718.91977481823,3794.31610341589,52334.9999796009,NA,1245791.24568966,317649.905615033,35066.882901744,NA,128234.946497589,2499.67837675954,7043.95771219863,3310.97135811592,383848.893101498,NA,356019.952959393,55656.4430978511,7017.34880186207,144451.985581665,18908.4855864949,8572.54452432499,1075588.36205937,0,30882.704579629,12443.9426473159,NA,NA,3474560.9302532,234692.768321809,150606.775254706,67833.3707942775,1303423.36401726,141113.830949484,18086.1925497947,14205.7857185446,3219803.11946359,606231.553720882,NA,37394.1301311445,NA,94839.7234802339,29265.6154347435,NA,790154.697070368,30741.300984902,40701.2431120867,13023.8522867944,0,NA,NA,2776979.93737432,583455.884992409,NA,151529.463116049,NA,NA,751719.208949448,8324.97659088585,NA,345103.588902474,10521.0163290746,6207.15156950726,1152528.62444186,51708.6393208749,61717.2513645746,NA,398072.800511423,117975.87297931,24584.0509513573,789354.95806452,21333.1153836573,1395.74477005726,0,NA,NA,413.18605902244,321408.254918224,127548.377941723,1286.34826210381,38779.9866470043,91509.2096337454,1486.21272846722,5383.78193567522,110963.803600472,3519.56714495438,64796.466099591,2203.40045649339,292060.364709855,4159.3209421655,3998.46767204577,NA,621954.231195744,125139.041203427,58026.4486650552,88229.9731677559,NA,NA,5612.21586148876,NA,83920.1143684268,NA,65370.3583605596,NA,1137018.48975271,0,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W60_SR.mzML",NA,1523182.54280469,433846.851383857,114282.647634463,121220.820917081,4278.95114114278,4978.87212514209,67690.1807828863,NA,1021554.53739591,257380.438665773,27213.3559057072,NA,346021.109445213,6910.56040701094,18768.2334746646,7255.05008558971,420474.52112237,12342.8293977776,499075.024866977,70644.7152218195,9586.75696704335,215475.764432838,18898.8324946319,13049.3310152606,1742793.77327342,NA,49841.6463541275,19660.0132987028,0,NA,3546948.89814448,431109.952068374,223926.706980652,116086.378059957,1007010.13995793,97629.538916823,13910.8434071159,NA,378147.299762468,84607.6192568992,NA,215767.211872771,NA,275924.945769138,84492.447372463,NA,692409.311693591,24825.5525365943,53454.1822106679,15363.8566938938,566536.529309373,NA,NA,NA,1355253.85965531,NA,110412.081454343,17197.7041434331,NA,1121264.076128,10891.6424370813,NA,476507.355717381,8465.92050405796,NA,1666512.43048896,87103.4259973676,88090.3650681791,10215.8786186893,761076.919085524,148220.177510982,44537.3961904239,1560703.72757915,11734.8886834605,59249.754470447,NA,0,NA,NA,434012.144944325,147765.501792018,NA,49577.8152660619,106082.218458727,1823.26499797622,NA,124095.908536126,0,183796.382693951,NA,351223.147912449,4819.79090852796,6894.40430544124,NA,864057.636216126,173303.508117249,80591.7237326263,82952.4973555306,1553.56794917616,137518.37916646,8779.34960201267,NA,78611.9699885952,23496.9899419973,48794.3930227465,NA,1384104.51934825,0,0
