"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W11_LTR.mzML",195.054962158203,391.113555908203,180.030487060547,137.024642944336,153.021627489983,135.009704589844,109.030616760254,153.021453857422,109.030532836914,187.099624633789,209.081634521484,125.098838806152,97.0646438598633,204.069625854492,186.059234619141,158.062316894531,142.067047119141,135.033142089844,92.0262145996094,180.068267822266,248.056304931641,163.042175292969,131.036468505859,199.022933959961,87.0461654663086,187.074462890625,169.062347412109,145.062911987305,127.052810668945,125.072700500488,326.091903686523,675.1689453125,150.057601928711,175.026519775391,113.025611877441,218.105392456055,286.092254638672,146.083862304688,88.0412445068359,367.163975577023,435.15252719,96.9614544,137.026443481445,93.0353622436523,175.026519775391,157.016174316406,167.023101806641,357.035095214844,124.01685333252,243.064270019531,289.070953369141,193.035789489746,261.02978515625,113.025650024414,194.047973632812,150.0576171875,93.0353164672852,164.073471069336,232.06298828125,147.046813964844,308.100341796875,170.047332763672,87.00930512,151.027969360352,219.015975952148,108.02156829834,194.047897338867,150.057174682617,100.005485534668,93.0353927612305,283.070831298828,351.057586669922,151.028121948242,174.042617797852,242.030548095703,130.051834106445,114.019626617432,159.066848754883,115.076515197754,97.0654487609863,173.083770751953,195.065887451172,111.081512451172,181.052032470703,249.040420532227,137.057055825,122.036830525,165.057525634766,147.045112609863,308.080474853516,330.0649509,215.117156982422,131.083786010742,129.105682373047,191.022079467773,173.011138916016,111.010292053223,155.000305175781,192.068649291992,74.0247192382812,151.041259765625,219.029174804688,107.050506591797,137.025802612305,93.0353469848633,129.020782470703,85.0285110473633,173.010879516602,129.019142150879,85.028450012207
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W12_SR.mzML",195.054962158203,391.116943359375,180.030364990234,137.024703979492,153.021627489983,135.009750366211,109.030517578125,153.021255493164,109.03052520752,187.099472045898,209.081314086914,125.098686218262,97.0650939941406,204.069244384766,186.059356689453,158.062271118164,142.067123413086,135.032684326172,92.0263595581055,180.067611694336,248.057647705078,163.041915893555,131.03645324707,199.02294921875,87.0462493896484,187.073913574219,169.062530517578,145.063018798828,127.052848815918,125.072738647461,326.091903686523,675.172119140625,150.057540893555,175.026489257812,113.02564239502,218.104537963867,286.092803955078,146.083633422852,88.0412979125977,367.163975577023,435.15252719,96.9614544,137.026092529297,93.0353622436523,175.025833129883,157.015197753906,167.023101806641,357.033172607422,124.016487121582,243.064361572266,289.069183349609,193.035789489746,261.02978515625,113.025611877441,194.047622680664,150.057571411133,93.0353698730469,164.072982788086,232.0634765625,147.046813964844,308.099914550781,170.047393798828,87.00930512,151.028418940303,219.016285195,108.021583557129,194.047302246094,150.057174682617,100.005249023438,93.0353927612305,283.069641113281,351.056732177734,151.027816772461,174.043228149414,242.029449462891,130.051910400391,114.019691467285,159.066848754883,115.076515197754,97.0654487609863,173.08366394043,195.065353393555,111.081588745117,181.052200317383,249.040557861328,137.056838989258,122.036735534668,165.056869506836,147.045104980469,308.078948974609,330.0649509,215.116729736328,131.083801269531,129.105575561523,191.022079467773,173.010757446289,111.010162353516,154.999740600586,192.068496704102,74.0247192382812,151.04118347168,219.029144287109,107.050559997559,137.025848388672,93.0353469848633,129.020721435547,85.0291633605957,173.010726928711,129.019142150879,85.028450012207
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W23_LTR.mzML",195.054962158203,391.113586425781,180.030395507812,137.024978637695,153.021627489983,135.009825117,109.030479431152,153.021270751953,109.03052520752,187.098907470703,209.081619262695,125.098678588867,97.0653114318848,204.069534301758,186.059341430664,158.062301635742,142.067077636719,135.033004760742,92.0262680053711,180.068664550781,248.056427001953,163.04216003418,131.036285400391,199.022857666016,87.0461730957031,187.07405090332,169.062347412109,145.06298828125,127.05281829834,125.072700500488,326.091903686523,675.174865722656,150.057342529297,175.025939941406,113.02555847168,218.105743408203,286.092956542969,146.08415222168,88.0412445068359,367.163975577023,435.15252719,96.9614544,137.026107788086,93.0353088378906,175.026382446289,157.015762329102,167.023101806641,357.037048339844,124.016738891602,243.064025878906,289.068878173828,193.035789489746,261.02978515625,113.025611877441,194.047836303711,150.057434082031,93.0353927612305,164.072814941406,232.062789916992,147.046813964844,308.100463867188,170.047393798828,87.0093002319336,151.027740478516,219.015815734863,108.021606445312,194.047225952148,150.057174682617,100.005317687988,93.0353698730469,283.071746826172,351.057006835938,151.027786254883,174.042877197266,242.030532836914,130.05192565918,114.019626617432,159.066848754883,115.076515197754,97.0654449462891,173.083465576172,195.065963745117,111.081565856934,181.052062988281,249.040390014648,137.057055825,122.036796569824,165.057205200195,147.044967651367,308.080657958984,330.064666748047,215.117141723633,131.083786010742,129.10578918457,191.022079467773,173.010711669922,111.010200500488,155.000259399414,192.068054199219,74.0247421264648,151.041213989258,219.029174804688,107.050506591797,137.025909423828,93.0353469848633,129.02067565918,85.029182434082,173.010772705078,129.019142150879,85.028450012207
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W24_SR.mzML",195.054962158203,391.116760253906,180.029876708984,137.024856567383,153.021627489983,135.009750366211,109.030540466309,153.021453857422,109.030563354492,187.09880065918,209.081192016602,125.098503112793,97.0653076171875,204.069137573242,186.059692382812,158.062194824219,142.067077636719,135.03288269043,92.0262985229492,180.067779541016,248.055099487305,163.041793823242,131.036285400391,199.022796630859,87.0461807250977,187.073867797852,169.0625,145.062759399414,127.052207946777,125.072799682617,326.091903686523,675.168273925781,150.057540893555,175.026214599609,113.025688171387,218.104675292969,286.093414306641,146.083160400391,88.041259765625,367.163975577023,435.15252719,96.9614544,137.026214599609,93.0353927612305,175.025772094727,157.015563964844,167.023452758789,357.033996582031,124.016456604004,243.063201904297,289.070953369141,193.035789489746,261.02978515625,113.025611877441,194.047622680664,150.057418823242,93.0353851318359,164.073455810547,232.063186645508,147.046813964844,308.099822998047,170.047393798828,87.0092620849609,151.027893066406,219.01611328125,108.021522521973,194.047149658203,150.057022094727,100.005111694336,93.0353775024414,283.071594238281,351.059173583984,151.028121948242,174.042007446289,242.030364990234,130.051788330078,114.019626617432,159.066848754883,115.076614379883,97.0654487609863,173.083419799805,195.066497802734,111.081604003906,181.051864624023,249.040557861328,137.057055825,122.036830525,165.057418823242,147.044525146484,308.079193115234,330.0649509,215.117111206055,131.083526611328,129.105697631836,191.022079467773,173.0107421875,111.010131835938,155.000061035156,192.068511962891,74.0244369506836,151.041198730469,219.029052734375,107.050506591797,137.026031494141,93.0353469848633,129.020782470703,85.02927542,173.010818481445,129.019142150879,85.028450012207
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W35_LTR.mzML",195.054962158203,391.113952636719,180.030517578125,137.024749755859,153.021627489983,135.009765625,109.03050994873,153.021179199219,109.030517578125,187.098999023438,209.080825805664,125.098419189453,97.0653114318848,204.068771362305,186.059127807617,158.062255859375,142.06706237793,135.032333374023,92.0262985229492,180.067489624023,248.05485534668,163.0419921875,131.03662109375,199.022903442383,87.0461578369141,187.073516845703,169.062316894531,145.062622070312,127.052421569824,125.072814941406,326.091903686523,675.173522949219,150.057205200195,175.026336669922,113.025604248047,218.104934692383,286.092803955078,146.083236694336,88.0411376953125,367.163975577023,435.15252719,96.9614544,137.025955200195,93.0352935791016,175.026489257812,157.015686035156,167.023101806641,357.035827636719,124.016738891602,243.063735961914,289.071044921875,193.035789489746,261.02978515625,113.025611877441,194.047988891602,150.057388305664,93.0353927612305,164.073257446289,232.062103271484,147.046813964844,308.099884033203,170.047317504883,87.0093002319336,151.027618408203,219.015823364258,108.021614074707,194.047210693359,150.057037353516,100.005325317383,93.0353240966797,283.072631835938,351.056457519531,151.027557373047,174.043029785156,242.030197143555,130.051879882812,114.019626617432,159.066848754883,115.076515197754,97.0654487609863,173.083236694336,195.065155029297,111.081565856934,181.052200317383,249.039916992188,137.057055825,122.036830525,165.056976318359,147.045112609863,308.080749511719,330.0649509,215.116851806641,131.083694458008,129.105026245117,191.022079467773,173.010482788086,111.010040283203,154.999786376953,192.068664550781,74.0247344970703,151.041229248047,219.029266357422,107.050506591797,137.025390625,93.03539551,129.020584106445,85.0291633605957,173.010330200195,129.019142150879,85.028450012207
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W36_SR.mzML",195.054962158203,391.117584228516,180.030426025391,137.024856567383,153.021627489983,135.009796142578,109.030624389648,153.021560668945,109.03052520752,187.099105834961,209.081039428711,125.098617553711,97.0653114318848,204.068954467773,186.059158325195,158.062362670898,142.067123413086,135.032669067383,92.0263061523438,180.068206787109,248.056503295898,163.042343139648,131.036392211914,199.022766113281,87.0462341308594,187.073913574219,169.0625,145.06298828125,127.052536010742,125.072700500488,326.091903686523,675.171142578125,150.057464599609,175.026290893555,113.025680541992,218.104431152344,286.093139648438,146.083312988281,88.0412826538086,367.163975577023,435.15252719,96.9614544,137.025848388672,93.0353851318359,175.026229858398,157.015747070312,167.023101806641,357.034973144531,124.016784667969,243.063354492188,289.069488525391,193.036605834961,261.02978515625,113.025680541992,194.047622680664,150.057495117188,93.0353775024414,164.072967529297,232.06330871582,147.046813964844,308.099945068359,170.047027587891,87.00930512,151.028418940303,219.016006469727,108.021553039551,194.047485351562,150.057205200195,100.005332946777,93.0353927612305,283.070007324219,351.056610107422,151.027572631836,174.042327880859,242.030517578125,130.051940917969,114.019626617432,159.066848754883,115.076515197754,97.0654487609863,173.083740234375,195.065277099609,111.081565856934,181.05192565918,249.040466308594,137.057055825,122.036830525,165.057327270508,147.045112609863,308.079193115234,330.064849853516,215.116729736328,131.083877563477,129.10578918457,191.022079467773,173.011260986328,111.010223388672,155.000244140625,192.06852722168,74.0246353149414,151.041198730469,219.029220581055,107.050506591797,137.025955200195,93.0353469848633,129.020721435547,85.0291633605957,173.011016845703,129.019142150879,85.0289001464844
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W47_LTR.mzML",195.054962158203,391.114196777344,180.030166625977,137.024505615234,153.021627489983,135.009811401367,109.030632019043,153.021560668945,109.030624389648,187.09944152832,209.081512451172,125.098739624023,97.0653114318848,204.068374633789,186.05973815918,158.062316894531,142.066970825195,135.032897949219,92.0263519287109,180.068389892578,248.055145263672,163.042419433594,131.036834716797,199.022766113281,87.0462646484375,187.073989868164,169.062347412109,145.062698364258,127.052673339844,125.072700500488,326.091903686523,675.166015625,150.057861328125,175.026016235352,113.025672912598,218.104598999023,286.091644287109,146.08381652832,88.0412445068359,367.163975577023,435.15252719,96.9614544,137.026397705078,93.0353622436523,175.026214599609,157.016036987305,167.023101806641,357.032684326172,124.016792297363,243.062713623047,289.067626953125,193.035789489746,261.02978515625,113.02569536,194.047912597656,150.057525634766,93.0353507995605,164.073226928711,232.062225341797,147.046813964844,308.099975585938,170.047302246094,87.00930512,151.028213500977,219.015853881836,108.021476745605,194.047637939453,150.057189941406,100.005386352539,93.0353851318359,283.069641113281,351.06005859375,151.027938842773,174.042205810547,242.028991699219,130.051910400391,114.019626617432,159.066848754883,115.076515197754,97.0638961791992,173.083862304688,195.066055297852,111.081504821777,181.052291870117,249.04052734375,137.057055825,122.036830525,165.057540893555,147.044815063477,308.081237792969,330.0649509,215.116165161133,131.083877563477,129.105621337891,191.022079467773,173.010757446289,111.010353088379,155.000045776367,192.068572998047,74.0247192382812,151.041229248047,219.029266357422,107.050506591797,137.026031494141,93.0353469848633,129.020645141602,85.0291633605957,173.010665893555,129.019142150879,85.028450012207
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W48_SR.mzML",195.054962158203,391.114440917969,180.030410766602,137.024749755859,153.021627489983,135.009811401367,109.030609130859,153.021148681641,109.03052520752,187.09912109375,209.080963134766,125.098762512207,97.0653114318848,204.068557739258,186.059539794922,158.062362670898,142.067108154297,135.033203125,92.0262680053711,180.068695068359,248.057281494141,163.042205810547,131.03694152832,199.02294921875,87.0462341308594,187.074417114258,169.062347412109,145.063140869141,127.052848815918,125.072700500488,326.091903686523,675.172485351562,150.057678222656,175.026473999023,113.025611877441,218.105133056641,286.093566894531,146.084060668945,88.0412445068359,367.16162109375,435.15252719,96.9614544,137.025909423828,93.0353622436523,175.026672363281,157.016082763672,167.023101806641,357.037109375,124.016777038574,243.064605712891,289.070373535156,193.035789489746,261.02978515625,113.025611877441,194.047622680664,150.058166503906,93.0353507995605,164.073593139648,232.063446044922,147.046813964844,308.100433349609,170.04753112793,87.00930512,151.028418940303,219.015815734863,108.021469116211,194.047637939453,150.057144165039,100.005432128906,93.0353851318359,283.069915771484,351.056915283203,151.028228759766,174.042953491211,242.029754638672,130.051940917969,114.019626617432,159.066848754883,115.076515197754,97.0654487609863,173.083618164062,195.065155029297,111.080764770508,181.052230834961,249.040466308594,137.057055825,122.036827087402,165.057144165039,147.045120239258,308.080596923828,330.0649509,215.117889404297,131.083847045898,129.105545043945,191.022079467773,173.011123657227,111.010345458984,155.000274658203,192.068603515625,74.0247192382812,151.041259765625,219.029190063477,107.050506591797,137.02604675293,93.0353469848633,129.020919799805,85.0291633605957,173.010986328125,129.019142150879,85.028450012207
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W59_LTR.mzML",195.054962158203,391.113647460938,180.030502319336,137.024963378906,153.021627489983,135.009750366211,109.030555725098,153.021606445312,109.03052520752,187.099502563477,209.081695556641,125.09880065918,97.0653114318848,204.068756103516,186.059280395508,158.062316894531,142.067047119141,135.03303527832,92.0262680053711,180.068771362305,248.057434082031,163.042266845703,131.03645324707,199.022918701172,87.0462951660156,187.074310302734,169.062347412109,145.063140869141,127.052757263184,125.072700500488,326.091903686523,675.175598144531,150.057678222656,175.026596069336,113.025680541992,218.105194091797,286.092041015625,146.08415222168,88.0413055419922,367.163975577023,435.15252719,96.9614544,137.026397705078,93.0353622436523,175.026397705078,157.015899658203,167.023101806641,357.034027099609,124.016822814941,243.06364440918,289.068969726562,193.035789489746,261.02978515625,113.025611877441,194.048080444336,150.058029174805,93.0353507995605,164.073379516602,232.062103271484,147.046813964844,308.100616455078,170.047546386719,87.00930512,151.028274536133,219.015991210938,108.021598815918,194.047424316406,150.057113647461,100.005332946777,93.0353927612305,283.070068359375,351.056640625,151.027709960938,174.043182373047,242.030426025391,130.051940917969,114.019626617432,159.066848754883,115.076515197754,97.06545596,173.08366394043,195.065856933594,111.081512451172,181.052276611328,249.039794921875,137.054916381836,122.036727905273,165.057388305664,147.045181274414,308.081848144531,330.064697265625,215.117065429688,131.083953857422,129.105712890625,191.022079467773,173.011001586914,111.01033782959,155.000305175781,192.06867980957,74.0247192382812,151.04118347168,219.029235839844,107.050506591797,137.026031494141,93.0353469848633,129.020935058594,85.0291633605957,173.010971069336,129.019142150879,85.028450012207
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W60_SR.mzML",195.054962158203,391.115844726562,180.030685424805,137.024963378906,153.021627489983,135.009765625,109.030586242676,153.021270751953,109.03052520752,187.099243164062,209.081878662109,125.098861694336,97.0653114318848,204.069076538086,186.059768676758,158.062301635742,142.067123413086,135.032775878906,92.0262222290039,180.067626953125,248.056686401367,163.042388916016,131.036651611328,199.02294921875,87.046257019043,187.074111938477,169.062347412109,145.062927246094,127.052886962891,125.072700500488,326.091903686523,675.173034667969,150.057922363281,175.026260375977,113.025688171387,218.105072021484,286.093017578125,146.083770751953,88.0412445068359,367.163330078125,435.15252719,96.9614544,137.026321411133,93.0353622436523,175.0263671875,157.015731811523,167.023101806641,357.036804199219,124.016723632812,243.065490722656,289.068298339844,193.036590576172,261.02978515625,113.025611877441,194.047622680664,150.057815551758,93.0353507995605,164.073486328125,232.062149047852,147.046813964844,308.099884033203,170.04753112793,87.00930512,151.028418940303,219.016128540039,108.021476745605,194.048477172852,150.057220458984,100.005462646484,93.03539551,283.0703125,351.056884765625,151.027969360352,174.042434692383,242.030532836914,130.051940917969,114.019626617432,159.066848754883,115.076515197754,97.0654487609863,173.083740234375,195.065658569336,111.081565856934,181.052215576172,249.039764404297,137.054992675781,122.036830525,165.057418823242,147.045112609863,308.079956054688,330.0649509,215.117248535156,131.083892822266,129.105651855469,191.022079467773,173.010635375977,111.01033782959,155.000106811523,192.068466186523,74.024772644043,151.041259765625,219.029113769531,107.050506591797,137.025665283203,93.0353622436523,129.020797729492,85.0291633605957,173.011032104492,129.019142150879,85.028450012207
