"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W11_LTR.mzML",2120158.36364743,699012.666908884,304910.098298311,85589.1623077735,281647.880133823,8560.47741035136,11400.5765532763,56392.2619004377,10244.2603353512,1767846.78336931,484286.950280357,50304.0312278724,1455.09036099798,199757.545080008,4746.24733810515,11349.3023200956,4965.93096416017,340693.412497033,9719.828841251,401778.981152361,87939.7720400025,7514.52135245785,167826.996979027,23257.1740551588,10185.387174363,946618.511189535,0,29744.617343944,10964.4580960691,0,2838093.8272766,4776798.80860262,281820.288994084,198968.097924793,52933.8736478786,1340827.71716641,119619.945277695,19038.239275847,8374.57058708143,6430537.58621068,1330333.11732637,556838.847872615,73844.9605912971,9551.30460432388,97123.075559315,32633.3236669918,3226337.87229864,1951850.03965752,72828.0187857947,34439.5137221856,12062.1211075296,0,234953.024831904,14465.6749291977,3701632.79427415,706395.820509952,26536.8232513102,184705.486104293,64817.7193552036,1305.45235130119,1180591.86414437,13281.1534798881,0,335457.423941844,10406.1642698456,5965.61633656381,1389543.83362965,63046.879835767,79442.2390151129,21738.121041332,350039.394679815,106098.652144198,20746.6413502994,992538.981754746,27972.6106921075,28681.57105447,1059.30415278257,0,0,128.37729535042,478956.08103047,195576.08814089,3322.26344088859,54442.9490879716,130069.923389639,1266.05548663471,1772.90403227293,203862.843441192,3248.37265829124,120010.538710484,14431.7146460121,250624.664127687,4007.87594660863,3071.75719516257,2334995.60307544,1203037.25785002,230193.488181741,116055.639151134,139869.102864346,2331.6022870263,230460.3095107,10018.9318702248,1177.72966559876,118943.186329054,16864.8488359201,111999.082109231,1100.93731236346,1566673.52067773,0,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W12_SR.mzML",2845306.42435398,1559419.17008652,510022.059803135,140141.927677414,360791.573036617,11977.2568192772,14877.6731193635,88263.0614688815,24370.8746259954,1503661.06085654,403979.796148714,42632.7994709517,1039.13795099689,532386.641308952,12087.4620680979,30551.8896781236,11749.1912461989,456450.710849069,14817.8973096366,530728.229131527,94807.7138929479,10626.5334563173,248974.953409682,24470.1605403649,16035.7131736569,1628593.89124721,76867.6634311602,48673.1752877528,18735.0442175749,23192.3050508528,3704778.76135259,6187493.56059914,555440.6399346,335447.888344108,160682.265682579,1088780.81230783,99194.3346959626,15484.2940018712,12001.9849503512,717206.723553868,7848.79789823467,559620.984714131,458690.849696792,46089.8213011731,282186.747894506,91461.7726101213,4026095.6338539,1552426.58923977,61237.5890963883,45097.5100822944,15193.8536013161,0,379835.424025839,9335.90763373636,1987818.23693025,1610920.1640039,74988.1809579682,166589.107853567,38388.731176174,489.050397668851,1822744.98333041,18509.4348957327,37503.2111299624,365302.415993308,9211.39489104522,6517.0635091721,2090507.16971288,107841.400382718,116136.24854188,65049.0294225816,665741.205942774,136139.793431462,39272.6956420636,1554677.59775035,19699.1880619915,57489.8653551752,2324.70123287352,0,3559.7900003387,169.254800296907,650423.973495292,231760.230211351,8844.18746312973,66897.777857928,144558.775218,3214.55298108576,9595.80428088016,242615.672247875,17691.9810962463,255323.999429634,10479.53094375,323701.3989245,4952.82014223671,5805.08954547252,4335534.32312968,1834299.63851671,361476.113212611,172787.114436296,126905.684143033,1660.75064285625,32996.6491202251,12496.5964526821,4338.63264422155,111808.47740639,31302.4277688547,83228.613409512,2018.92901250175,2259963.55490023,0,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W23_LTR.mzML",2371738.00086491,590785.030902268,293307.427339154,83207.9767822434,262810.231405641,8229.55393414816,10492.2646112445,59811.5924794498,17070.1489437706,1684948.55589395,466330.027984595,49011.428041824,1253.13078102298,190632.823658446,4086.37656348438,9899.08011833745,4811.18955390956,311775.9947704,4220.97414924201,384437.408874663,87986.3774963307,7386.80886382143,158971.760105462,23203.015220198,9943.30059734296,910486.133177524,0,28328.9393221148,10175.9450686888,1674.87170772797,2802959.17140291,4779536.67831674,276279.237890673,194599.584819419,84923.5831889696,1286614.49163412,129097.58622375,18188.0563851955,4692.93034130843,6167191.62127001,1300689.91207978,541626.825638267,70073.5821988297,12848.2514495657,92109.5643174349,31209.3771449111,1011419.94026713,2711952.8160053,93860.6920667963,32620.9577352744,12335.9104489559,0,229633.030334864,10162.9014653563,3437623.05504727,662221.976891259,28072.3351235099,181953.176828323,64373.2124921757,507.826655946527,1129949.85979892,12448.1566723971,43774.5818592795,330295.09519545,9639.77237850094,5766.50526067332,1339506.72074639,62493.8732339029,75944.4687602097,37588.0838484077,331792.260958382,102377.420255305,20858.3906881085,923419.815538441,28561.6581563331,34965.1748764349,0,1615.63667865436,0,1718.72412987093,457202.622483662,187545.348980414,1979.23375272269,49654.0163287796,117182.712009854,1453.1409265449,8308.28932372852,195507.242137252,11377.3568392458,121879.225105308,15882.1401169275,251044.418540865,4070.25141989448,3465.72817679236,2958307.5811455,1147330.69913033,229368.559546277,111820.692693756,135917.249917304,706.55066309506,200004.77819677,9799.73158676577,1475.55617062171,113968.723802086,25335.8902129202,105347.396555956,1791.49818355989,1484721.38736946,1374.62370992583,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W24_SR.mzML",2869788.80361596,1455596.38705002,512402.603867136,142285.396077191,357816.138429864,12145.4921846355,14050.3752008783,88243.1569424298,16467.4135813367,1511026.02675931,402001.065327636,42985.5200483806,1994.20230966817,532511.698058836,11849.9442819525,29897.4382430278,11326.3680496698,395759.71801128,12301.7163168709,511971.209443914,91669.405710259,10042.8795110143,253886.232754522,24020.6482804036,15198.405132125,1640547.72023298,51252.0792094831,50050.5282292295,19319.1132698919,19407.6218041743,2818116.85446597,6128362.77458247,554024.227995252,333109.079317182,159172.645824243,1083162.19170069,98828.9268074441,15644.5538154176,12247.9659489221,728257.427692731,8999.2383559895,552023.281629435,458469.977139378,86752.3386183138,291245.983178262,93042.7452883452,7945287.80003629,1969758.10872499,74735.0971987957,44136.2235843852,14725.1850567718,0,696083.007844675,12836.6029997198,2038064.3293604,1648543.26111601,93066.4756324086,162900.342374555,37621.4502981514,221.26474656387,1797338.6283347,18748.5733906223,72971.3632090763,306285.996484918,9259.99448001255,6170.63623843838,2058642.86742313,107938.058426156,113161.582173272,92303.7278724912,672741.814763551,133467.839338732,39836.141020763,1455372.58015505,25037.5776010725,52658.7542053234,274.320290463305,1079.82996293263,11617.040278386,1493.15778241122,647284.696801824,230422.154375157,5481.71897896739,67401.6032625363,144238.881206908,882.488303455079,3996.09678720887,242128.480964113,7453.81650471423,262737.434809804,19798.173191143,319817.406686358,4776.17529093591,5978.44713281057,5049349.80565264,1832207.10500435,361469.456681731,174162.482954045,126852.821567776,2670.50434626072,196711.072288558,13295.662422338,0,113404.791547036,34380.7143204187,84733.8159173095,1767.06785728852,2284930.96406215,590.73485703049,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W35_LTR.mzML",2388225.08382628,691782.666859319,299924.088143955,85416.5212546707,263571.098250307,7605.03970165814,9876.02778256763,61542.8820542089,10147.0640902654,1708589.01970644,470112.339262102,49100.9761041712,482.598812541199,189900.225081786,4422.85691566037,10995.5816983246,4583.93922276709,327290.878406626,10310.7381532419,373423.716326039,82674.7592386308,7319.58640560244,163406.048339907,23856.0789682464,9817.36531764728,904233.385080518,33898.8673966814,27218.5428786654,10576.2599649425,12382.6950987454,2958708.73443052,4801199.8496003,278356.841775735,195098.158238412,83888.7196525211,1302735.2326997,123261.679962911,18517.0105735541,17379.9790550233,6266188.38307624,1298454.78398128,544682.918348724,70299.3631672708,13272.7369050644,91986.6979213919,30692.413299864,6310397.27249093,2355059.44560958,83905.6239644984,32181.9151788288,12579.1945462206,8690.46961282507,318997.884897748,10819.7342262881,3504522.10602449,687154.183445166,25224.3341081609,179958.326441196,63791.2114673887,5283.8577680609,1123087.41263947,12420.4076806308,52324.5729300241,332494.984639135,9722.37662930248,6426.1058810232,1339482.12678397,62613.7008309062,76178.8527623661,37666.1305189362,334898.633674961,100543.074561266,20588.6048412878,971231.213509449,25313.7794103423,35672.6936880348,2469.10211274072,3520.64933758165,0,0,460058.779908311,191074.638890277,6195.52564332248,47773.6483465232,114023.603826314,1410.68139841776,7179.03061341066,196256.891616404,4151.65423694971,118010.474616688,28182.4522224613,246962.404318335,3959.87969596178,3286.08384390054,3982608.30735319,1147842.49002098,229302.122167863,110029.073959775,134914.545065108,3030.57904468015,208009.619512195,8970.56511972525,4034.05997500924,115068.112904323,476316.577276632,105328.572597233,0,1504473.0322861,0,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W36_SR.mzML",2873174.44553646,1549214.76496324,515655.873341375,144287.818193869,358049.242293389,12213.5316401863,14282.7855178756,86665.2363307568,24865.8723070841,1509078.83669314,396806.039140668,42789.4282944854,0,534030.945385789,12017.2192781726,29616.3261215478,11641.6725646181,389971.921475846,12639.7867070023,514785.28246797,89424.1260961611,9861.52519049003,252824.620782005,25403.5331203348,15038.5042816528,1649681.25830221,12893.2387990623,50749.3335324958,19427.8030964424,0,2877672.53156287,6118809.8385255,557745.047319286,333807.321928695,158882.510536216,1091795.82026488,99731.8305614635,15520.3303336012,11414.8749226564,741467.190583793,165723.386236455,583316.350790796,461691.466339779,86784.8737155058,294485.84559154,93649.1698259877,2910145.10577887,2094045.54223142,80047.224573359,44249.7586211087,14748.3861177055,540753.600099656,543360.066209911,19389.1703496533,2470498.67230519,1659686.40059716,98266.7161802397,160276.262524463,35038.1442114184,707.477240900109,1794197.98092725,19826.840357498,43571.546178819,279149.731586785,9415.93537070169,6292.4561799436,2072578.56421703,108777.771727017,114575.632096719,60720.987207854,671386.24649684,134129.658815492,38874.0858348996,1453254.82376083,26156.3352329438,54037.5045341455,0,1503.80136557357,3793.41188234033,100.821624475999,653613.496889437,231297.31695559,3469.64702513327,66966.7776071559,143902.923337206,2224.45861912219,5729.71965206267,243518.565957096,0,261315.422685175,18750.0226264509,324247.617726653,4642.79892634409,6584.95040991361,3918061.99283843,1835179.03393136,364218.212928152,176483.618253716,126335.792668653,2538.54295261932,200060.232410874,13672.6007275379,0,113020.703205931,31818.1933225423,81878.11103088,198.126634646341,2278973.96896197,0,1679.74379063428
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W47_LTR.mzML",2825124.86315725,608487.33657968,296014.087202078,84243.292399537,270731.562314867,9097.54158798904,10396.4530496247,61154.9814412976,10203.0928995517,1715109.84746329,463239.699827074,46518.3828899941,677.116459875337,190458.289859296,4476.96655221719,10323.4043671367,5105.83344769627,318716.114827727,9751.53146030478,365295.660687372,82382.648567955,7182.60572632009,163867.564887463,23125.0506611833,9244.23535713583,912536.833318202,702.900790152355,28846.4098047419,10021.0600190025,0,3478272.69656936,4612501.23491833,272909.404502319,187410.57137644,81465.8210018621,1289414.34352555,130756.56944196,17299.6226294049,8158.59862408027,6201897.66651822,1234932.29371308,551249.15631249,70969.8723647844,13360.7826236155,92652.1067680977,30892.5819339054,2498132.73014179,2364552.33776913,85237.3344552227,30798.7167652211,11292.0342936857,0,335247.285584462,12667.4089000952,3510835.44567522,679866.337647259,14708.28231507,180201.178858709,65240.2376977887,5259.20132299355,1121732.90118909,12025.6600194507,28444.056469156,322423.697496358,9546.4704924616,5634.58412084436,1328101.26739912,61765.4420817497,73729.0481345439,36958.1573190483,336344.157389648,99956.5194991295,20550.1902673054,941025.509873063,28283.1617118234,33246.3612011084,0,0,0,428.946361613574,458539.267846748,187771.196870059,951.579364277611,52513.931563156,123176.000684368,1422.6780960824,4842.17642744542,195465.627393257,10003.5614108956,116315.300919559,16116.8814663021,249587.714879799,3863.12311753317,3345.05111167874,4006400.61872501,1154525.74387751,230759.066778509,109880.058882861,134017.932927093,791.64759400709,203343.878692089,11377.8853761728,2760.21984279063,116000.499446845,24287.9606845704,107781.859720748,0,1499190.24345166,461.851480212888,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W48_SR.mzML",2337607.471292,1545645.67441707,512220.44934477,139906.940394691,362332.754158215,13442.2233934402,14874.6662337719,85660.0531635235,21968.9866924167,1509875.46733131,400053.145845167,42227.7411871947,976.794468132356,531657.946356239,12208.5847688186,30091.8228349801,12298.8423722478,378383.826073668,0,506981.130971618,92144.8590717667,10278.2805891654,256046.331035147,26763.7632219767,15900.5964158274,1636199.82290029,0,48957.3148627079,19095.6671597881,0,3710779.58415019,6144491.5703604,557200.971137705,328309.144669312,36686.0949957519,1088917.88082828,100887.046199843,15554.2992482644,6452.38824959931,733197.341723674,174257.245783246,598991.804210857,465242.301821156,28496.2620329531,291421.364378094,93867.0986027424,700317.084523522,2465458.28582448,87341.809173369,43383.8277458406,14375.1333400545,0,300005.627127734,3617.49480394281,1904149.80567414,1647104.41815304,10892.13560175,161162.173278396,34973.3635216576,983.877134873561,1798491.51169413,18373.1481701286,0,330513.472610196,4432.11020757493,6073.98467109654,2055017.27799615,44951.692115039,113649.370805313,28803.9816070357,666271.092451081,134227.810273713,39280.7222822926,1431286.64693268,26446.9977007644,51991.1725581561,99.1022488095718,0,0,0,645243.624890497,229240.755209153,3623.09680521559,71074.0368848008,151547.921588975,2434.15754783611,9259.18962685991,239148.993020947,11617.1985693699,264816.762117519,18426.7985489825,322302.61226888,4490.62320684863,6280.72831111992,3895842.67974761,1816672.00567322,358108.791305292,203106.304341102,123037.05656808,0,196517.723994069,14175.3993435948,46.5555216459188,111104.653752118,1500.40509389819,77953.1090757952,0,2307781.66245402,1048.77755624182,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W59_LTR.mzML",2469234.50543935,710562.685743709,301307.215643981,84451.9612551696,280902.879542095,10844.8534371224,10436.3448703252,61152.3258061567,15796.1373129015,1733518.21184211,471136.729289295,49202.7483797774,461.187099446978,193361.423490013,4726.61779612183,10455.1375803546,6200.25295592502,354475.397317452,0,368223.381459772,79512.5023729204,7224.73765377976,164304.933639394,23854.6916423125,9784.36712568828,925603.62597114,0,28936.4984423343,10886.8879254889,1995.71968841351,3047305.29495767,4812478.58448798,277775.199295059,190215.343419699,83338.0267507546,1305744.8454779,121947.70930173,18270.0646314687,14450.8425667348,6281206.36200789,1291853.17430974,573124.504535152,74034.8284675728,3781.113068818,92033.0870410984,30431.2648805993,1780521.40121934,1064514.50119697,43794.224506769,33223.7010437701,12056.1220333246,0,303192.539484874,7590.513581983,3594052.96313763,697044.379686246,7201.94398157516,183377.857580077,48381.1638070872,1788.11208831968,1105006.47343755,11843.4399727843,2253.50573289283,325801.934644263,9875.67895648301,5524.10374490021,1335884.47267949,61818.3635158765,73576.3650230174,2310.61807821359,342996.024063874,103024.773260139,20943.6381537969,965868.594827826,29535.4882981056,4595.05433153616,0,0,0,4648.38540160972,468319.051828654,191362.727656822,3501.75440394543,50826.4378207583,122222.151791878,3674.70518850889,9014.14456359413,201064.119732331,10185.6079323011,113341.424021987,3794.07374487616,254714.316189367,3921.82784482447,3351.16277139294,2596787.84112843,1154669.40625056,226397.442120304,110609.408195172,135853.461155951,0,12124.5496701255,8449.49075031671,1866.34256571973,115762.914892328,608.018332406246,101140.539905563,0,1501609.9955711,0,0
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W60_SR.mzML",2820309.90528215,1530116.23578963,494713.946273523,137534.371390637,352086.551714831,11629.3586586812,13472.3694532049,81199.5949573849,24517.6656823748,1452711.41283573,383343.377844031,39443.0616536959,438.338929449761,511427.863943507,10940.4849068104,28530.6999270708,10783.8987640409,542785.13553975,15967.0352849186,495920.719470578,88305.3572040537,9659.76251235498,240623.064508038,25954.5983227683,14716.6075283546,1575304.1111974,0,45527.7198196543,17865.5692859923,0,3234293.57703266,5803438.18923578,518551.936781037,305500.569710873,145802.645907377,1026344.56608509,93359.9402330973,14687.7953030708,2167.50990886527,698065.154862636,157808.077276579,551104.788492439,455255.785878961,27304.5029342473,264033.737857261,84098.1550310733,673432.843368363,1379986.19459249,52932.359468681,43839.0735037948,15103.788866784,510214.188299842,525849.048745159,11451.1250624303,2036999.36953698,1632026.42590029,45520.481434058,151417.769611567,32056.7212619128,883.362399883351,1751727.47529709,17723.8089234143,29625.3332821159,399718.988118638,8359.22842491095,4156.77386995658,1973357.51879313,101454.697002297,106070.013475966,15054.4544504791,638679.358069376,130069.546897526,37850.5104310847,1631064.1990576,13477.3213841366,58244.0339331202,1174.02935164784,0,2341.67567822755,945.817132345904,624320.051745684,224579.943919045,0,67311.3971085736,145377.628632225,4830.5955437004,1542.12849351837,234399.274572783,0,263645.658255231,8880.49855738434,309652.549690561,4371.85854496381,5514.63610487209,4315567.83156211,1738768.55782096,349204.756551092,166793.11210798,122629.682287538,2417.76779655919,189645.911797206,13223.4044087057,2540.16081025797,108557.010936569,33440.7416577436,80251.7847259621,0,2205909.38057446,0,0
