"","ratio_peaks_found","ratio_peaks_filled","ppm_error","rt_dev_sec"
"RNEG-002.1 - 1,7-Dimethylurate",0.392857142857143,0.607142857142857,6.58546667407408,-0.157529440233652
"RNEG-002.2 - 1,7-Dimethylurate",0.964285714285714,0.0357142857142857,1.63045139315121,-0.292751946452463
"RNEG-002.3 - 1,7-Dimethylurate ISF.1",0.964285714285714,0.0357142857142857,9.39674003191942,-0.293926787817926
"RNEG-002.4 - 1,7-Dimethylurate ISF.2",0.928571428571429,0.0714285714285714,8.79033810925992,-0.227268920559147
"RNEG-003.1 - 2,6-Dihydroxybenzoate",0.93452380952381,0.0654761904761905,6.940749375797,4.15186632427289
"RNEG-003.2 - 2,6-Dihydroxybenzoate ISF.1",0.863095238095238,0.136904761904762,8.63857281506874,4.30064247400084
"RNEG-003.3 - 2,6-Dihydroxybenzoate ISF.2",0.863095238095238,0.136904761904762,8.71557950735309,3.79953184161197
"RNEG-006.1 - 3,5-Dihydroxybenzoate",0.94047619047619,0.0595238095238095,7.04474083156869,-0.772974417157235
"RNEG-006.2 - 3,5-Dihydroxybenzoate ISF.1",0.303571428571429,0.696428571428571,9.34990480768096,0.82221048022679
"RNEG-009.1 - Azelaic Acid",0.946428571428571,0.0535714285714286,6.51373865947972,-0.639089370493304
"RNEG-009.2 - Azelaic Acid",0.952380952380952,0.0476190476190476,6.83920519284865,-0.639664547093384
"RNEG-009.3 - Azelaic Acid ISF.1",0.892857142857143,0.107142857142857,8.75328488565074,-0.619274672546191
"RNEG-009.4 - Azelaic Acid ISF.2",0.321428571428571,0.678571428571429,3.79765279501124,-0.882894030611337
"RNEG-011.1 - Indolelactate",0.952380952380952,0.0476190476190476,5.47315431966114,-1.11042385897588
"RNEG-011.2 - Indolelactate ISF.1",0.857142857142857,0.142857142857143,3.18773757889207,-1.09340455612447
"RNEG-011.3 - Indolelactate ISF.2",0.94047619047619,0.0595238095238095,9.62368830563632,-1.11453085552842
"RNEG-011.4 - Indolelactate ISF.3",0.821428571428571,0.178571428571429,8.79965290720438,-1.13548611323553
"RNEG-016.1 - Hypoxanthine",0.922619047619048,0.0773809523809524,8.55573152747719,-0.00331181840652677
"RNEG-016.2 - Hypoxanthine ISF.1",0.654761904761905,0.345238095238095,9.74544630440698,-0.311578002847752
"RNEG-020.1 - Tyrosine",0.886904761904762,0.113095238095238,3.54162404568382,-0.445380026910327
"RNEG-020.2 - Tyrosine",0.904761904761905,0.0952380952380952,3.25489416519982,-0.439414691376031
"RNEG-020.3 - Tyrosine ISF.1",0.952380952380952,0.0476190476190476,6.58981596686134,-0.334396233689759
"RNEG-021.1 - Methylsuccinate",0.928571428571429,0.0714285714285714,7.97902606572289,-0.243146287009571
"RNEG-021.2 - Methylsuccinate",0.922619047619048,0.0773809523809524,8.91094920402917,-1.42005582199766
"RNEG-021.3 - Methylsuccinate ISF.1",0.767857142857143,0.232142857142857,9.21280010323544,-2.29550745990473
"RNEG-022.1 - N-Acetylglutamine",0.946428571428571,0.0535714285714286,6.77585824988536,-1.00900912593165
"RNEG-022.2 - N-Acetylglutamine ISF.1",0.553571428571429,0.446428571428571,8.68931242482655,-1.07813964821091
"RNEG-022.3 - N-Acetylglutamine ISF.2",0.904761904761905,0.0952380952380952,8.80233631172125,-1.11024490573082
"RNEG-022.4 - N-Acetylglutamine ISF.3",0.886904761904762,0.113095238095238,8.40226123169939,-1.07953104680359
"RNEG-022.5 - N-Acetylglutamine ISF.4",0.56547619047619,0.43452380952381,8.97177899742349,-1.05505777641598
"RNEG-023.1 - Acetaminophen Glucuronide (saturation?)",0.101190476190476,0.898809523809524,6.74735859774878,-0.0331239902197011
"RNEG-023.2 - Acetaminophen Glucuronide ",1,0,1.58472133059138,-0.212830525143426
"RNEG-023.3 - Acetaminophen Glucuronide ISF.1",0.93452380952381,0.0654761904761905,7.97558992913139,-0.261967067393135
"RNEG-023.4 - Acetaminophen Glucuronide ISF.2",0.952380952380952,0.0476190476190476,9.01966821326169,-0.199860922424695
"RNEG-023.5 - Acetaminophen Glucuronide ISF.3",0.869047619047619,0.130952380952381,10.7323418036425,0.900416322825553
"RNEG-024.1 - Pantothenate ",0.958333333333333,0.0416666666666667,5.22936562610346,0.0236277737334406
"RNEG-024.2 - Pantothenate ",0.970238095238095,0.0297619047619048,4.43585981665282,-0.412453388070077
"RNEG-024.3 - Pantothenate ISF.1",0.904761904761905,0.0952380952380952,7.47063319785993,-0.0279583594958829
"RNEG-024.4 - Pantothenate ISF.2",0.55952380952381,0.44047619047619,9.82646472220146,-0.00934803391438294
"RNEG-027.1 - Dehydroepiandrosterone Sulfate",0.982142857142857,0.0178571428571429,2.58622737570722,6.43814221511502
"RNEG-027.2 - Dehydroepiandrosterone Sulfate",0.916666666666667,0.0833333333333333,1.52000058292822,6.5076017676733
"RNEG-027.3 - Dehydroepiandrosterone Sulfate ISF.1",0.0178571428571429,0.982142857142857,11.7024730934881,-0.337860603212827
"RNEG-028.1 - Salicylate",0.916666666666667,0.0833333333333333,7.95132274030531,-1.18622455478017
"RNEG-028.2 - Salicylate ISF.1",0.726190476190476,0.273809523809524,10.5794477475497,-1.12422697163739
"RNEG-031.1 - 1,2,3-Propanetricarboxylate",0.946428571428571,0.0535714285714286,6.12335413452781,-0.439936261423048
"RNEG-031.2 - 1,2,3-Propanetricarboxylate ISF.1",0.946428571428571,0.0535714285714286,7.7573522681626,-0.387144539925739
"RNEG-032.1 - Urate (saturation?)",0.30952380952381,0.69047619047619,5.76112522505665,0.265230648007416
"RNEG-032.2 - Urate",0.964285714285714,0.0357142857142857,1.92379036644575,0.804890011825079
"RNEG-032.3 - Urate ISF.1",0.928571428571429,0.0714285714285714,9.21191630930434,0.608984932474516
"RNEG-033.1 - Uridine",0.970238095238095,0.0297619047619048,3.73517245754004,-0.356656400931335
"RNEG-033.2 - Uridine",0.94047619047619,0.0595238095238095,2.64858461900176,-0.406049747582739
"RNEG-035.1 - D-Glucuronate",0.226190476190476,0.773809523809524,6.4810585759621,0.035657630526317
"RNEG-035.2 - D-Glucuronate ",0.0297619047619048,0.970238095238095,3.81643384121918,-2.18870638009639
"RNEG-035.3 - D-Glucuronate  ISF.1",0.375,0.625,7.65366630719824,1.46933624303309
"RNEG-041.1 - 3-Hydroxyhippurate",0.625,0.375,8.19591863096802,-0.85414338226047
"RNEG-041.2 - 3-Hydroxyhippurate ISF.1",0.93452380952381,0.0654761904761905,8.31273518063536,-0.824745883063464
"RNEG-041.3 - 3-Hydroxyhippurate ISF.2",0.619047619047619,0.380952380952381,10.7701352141008,0.0322811433503264
"RNEG-043.1 - Phenylalanine",0.958333333333333,0.0416666666666667,8.56651986448551,-0.0280571343710256
"RNEG-043.2 - Phenylalanine",0.785714285714286,0.214285714285714,6.10983951980814,0.0123303194048911
"RNEG-043.3 - Phenylalanine ISF.1",0.369047619047619,0.630952380952381,4.53382544637875,-1.43074741609016
"RNEG-045.1 - N-Acetylneuraminate",0.970238095238095,0.0297619047619048,3.06905113050423,0.473201494756446
"RNEG-045.2 - N-Acetylneuraminate ISF.1",0.946428571428571,0.0535714285714286,8.38933420861769,0.511083841642795
"RNEG-045.3 - N-Acetylneuraminate ISF.2",0.446428571428571,0.553571428571429,10.4086927912537,0.895312777217668
"RNEG-048.1 - Xanthine",0.94047619047619,0.0595238095238095,7.87753297452439,0.227252412795491
"RNEG-048.2 - Xanthine",0.773809523809524,0.226190476190476,5.75201135898113,2.23787929000927
"RNEG-048.3 - Xanthine ISF.1",0.803571428571429,0.196428571428571,9.22999046467007,0.00350824237394618
"RNEG-049.1 - 4-Hydroxyhippurate",0.958333333333333,0.0416666666666667,6.23598932735231,0.576136086746987
"RNEG-049.2 - 4-Hydroxyhippurate ISF.1",0.821428571428571,0.178571428571429,10.3395371349685,0.572606818002446
"RNEG-049.3 - 4-Hydroxyhippurate ISF.2",0.797619047619048,0.202380952380952,9.12934619760998,0.571161628735839
"RNEG-049.4 - 4-Hydroxyhippurate ISF.3",0.601190476190476,0.398809523809524,10.9225733143834,-2.44864205613742
"RNEG-052.1 - Xanthosine",0.958333333333333,0.0416666666666667,2.90349924360519,-0.703096932979119
"RNEG-052.2 - Xanthosine",0.970238095238095,0.0297619047619048,2.66186613801276,-0.695883615610908
"RNEG-052.3 - Xanthosine ISF.1",0.946428571428571,0.0535714285714286,7.92115119722301,-0.69459276767447
"RNEG-054.1 - N-Acetylaspartate",0.892857142857143,0.107142857142857,6.83524237823899,0.280451976780723
"RNEG-054.2 - N-Acetylaspartate",0.946428571428571,0.0535714285714286,5.47933208551691,0.314067798295068
"RNEG-054.3 - N-Acetylaspartate ISF.1",0.773809523809524,0.226190476190476,10.0790001967888,0.336140995149213
"RNEG-054.4 - N-Acetylaspartate ISF.2",0.464285714285714,0.535714285714286,7.40196004169554,-5.05955129425394
"RNEG-059.1 - Pimelate (left peak) ",0.19047619047619,0.80952380952381,7.14646103967868,-1.88834863983433
"RNEG-059.2 - Pimelate ISF.1",0.43452380952381,0.56547619047619,8.40608973910417,-1.26207093734939
"RNEG-059.3 - Pimelate ISF.2",0.160714285714286,0.839285714285714,7.12292521405338,0.741413543507369
"RNEG-060.1 - Suberate",0.94047619047619,0.0595238095238095,6.55504667491203,0.165575083773041
"RNEG-060.2 - Suberate",0.946428571428571,0.0535714285714286,5.08168000986694,0.204720875880854
"RNEG-060.3 - Suberate ISF.1",0.5,0.5,7.46260539621397,-0.319997033362045
"RNEG-063.1 - Homovanillate (complexity)",0.946428571428571,0.0535714285714286,8.99085903935555,-0.228575153049934
"RNEG-063.2 - Homovanillate ",0.976190476190476,0.0238095238095238,5.92093388178631,-0.233857770114603
"RNEG-063.3 - Homovanillate  ISF.1",0.333333333333333,0.666666666666667,4.62516070139709,-22.6043318690189
"RNEG-063.4 - Homovanillate  ISF.2",0.678571428571429,0.321428571428571,7.77392352278887,-3.30367359843585
"RNEG-065.1 - Phenyllactate (left peak)",0.958333333333333,0.0416666666666667,8.46186621574994,1.24080663234301
"RNEG-065.2 - Phenyllactate ISF.1",0.56547619047619,0.43452380952381,7.25514355105115,0.679482875079236
"RNEG-068.1 - Indoxyl glucuronide",0.970238095238095,0.0297619047619048,2.66422404236257,-0.512430757764807
"RNEG-068.2 - Indoxyl glucuronide",0.595238095238095,0.404761904761905,9.25776537334111,11.1881876568434
"RNEG-069.1 - Na-acetyl-L-arginine",0.952380952380952,0.0476190476190476,5.16707169401275,-0.312027274763556
"RNEG-069.2 - Na-acetyl-L-arginine ISF.1",0.827380952380952,0.172619047619048,8.35929920436739,-0.321290751873105
"RNEG-069.3 - Na-acetyl-L-arginine ISF.2",0.880952380952381,0.119047619047619,5.15683290812768,25.0366613426897
"RNEG-071.1 - Isocitrate (saturation)",0.43452380952381,0.56547619047619,6.37716110140917,-0.384542092124116
"RNEG-071.2 - Isocitrate ISF.1",0.946428571428571,0.0535714285714286,8.56226711207941,-0.424444564320682
"RNEG-071.3 - Isocitrate ISF.2",0.845238095238095,0.154761904761905,9.86477249349345,-0.395936320473446
"RNEG-071.4 - Isocitrate ISF.3",0.922619047619048,0.0773809523809524,9.20763889266059,-0.372172944391764
"RNEG-074.1 - Phenylacetylglycine",0.952380952380952,0.0476190476190476,7.30015689652436,-0.87215325100903
"RNEG-074.2 - Phenylacetylglycine ISF.1",0.470238095238095,0.529761904761905,7.4768750213774,-2.42947539576025
"RNEG-075.1 - 4-Hydroxyphenylacetate",0.81547619047619,0.18452380952381,10.7285621665602,-1.85312753423621
"RNEG-075.2 - 4-Hydroxyphenylacetate",0.964285714285714,0.0357142857142857,8.95788313956794,-0.887447045574885
"RNEG-075.3 - 4-Hydroxyphenylacetate ISF.1",0.398809523809524,0.601190476190476,9.44233132901364,11.8438699524186
"RNEG-078.1 - 4-Hydroxybenzoate",0.910714285714286,0.0892857142857143,9.55542604423668,-1.08287231852901
"RNEG-078.2 - 4-Hydroxybenzoate ISF.1",0.19047619047619,0.80952380952381,12.9140993023999,-3.35118754374999
"RNEG-079.1 - Citraconate",0.880952380952381,0.119047619047619,9.56473832083449,-0.404648906707911
"RNEG-079.2 - Citraconate ISF.1",0.279761904761905,0.720238095238095,7.71344357302233,-0.938337236708532
"RNEG-080.1 - Cis-aconitate",0.946428571428571,0.0535714285714286,9.2577928227826,-0.4832729703569
"RNEG-080.2 - Cis-aconitate ISF.1",0.380952380952381,0.619047619047619,8.31961704390053,0.523747894088854
"RNEG-080.3 - Cis-aconitate ISF.2",0.31547619047619,0.68452380952381,8.55554458521585,0.197492397772221
