"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W11_LTR.mzML",NA,835092,287629.25,76802.5,NA,NA,NA,47777.40625,8100.4921875,1286689,333117.25,38893.9375,398.5146484375,135658.875,3075.53515625,6671.19921875,2683.552734375,397539.25,11554.4140625,417397.75,72744.1875,7477.1328125,147935.125,18279.28125,8519,1069017,NA,32580.890625,12581.65625,NA,NA,3303432,247767.75,161577.75,NA,1308624,145048.875,18872.796875,NA,NA,NA,NA,38237.75,NA,101420.75,32996.1875,NA,942947.5,33998.59375,41622.59375,13664.203125,NA,NA,6903.37890625,2538990,600705.5,19041.515625,153876.875,42107.96875,NA,798233.5,9855.4765625,NA,348957.5,11381.7109375,6278.3671875,1211803,41032.21875,65874.6875,9733.84375,424672.25,125642.1875,25657.46875,836867.5,20968.859375,NA,555.14306640625,NA,NA,NA,339088.75,136786.625,791.779296875,44767.21875,96803.3125,366.085693359375,NA,119443.3125,NA,72336.5,NA,294043,4841.06640625,973.95849609375,NA,596721.5,119288,57144.15625,91502.3125,NA,15128.3359375,6698.67578125,NA,87471.9375,NA,78344.5625,635.4423828125,1133196,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W12_SR.mzML",NA,1529344,442891.75,115475.25,NA,NA,NA,72822.25,NA,1081670,268026.25,31632.953125,587.94775390625,357768.25,8245.59375,19688.546875,7987.0859375,513287,16447.703125,538562.5,80814.8125,10429.9453125,218307,19248.6875,13361.03125,1796075,51292.15625,53121.9375,20543.734375,23206.828125,NA,3263504,442375,231713.375,118800.375,1065498,101971.1875,15408.765625,11604.453125,9981.390625,NA,NA,217983.375,NA,310165.75,97714.4375,NA,763697,29229.4375,54547.21875,14905.5859375,NA,NA,NA,NA,1343472,28301.796875,116218.9375,18197.59375,NA,1205109,12869.2109375,NA,373719.75,9346.9765625,6726.30078125,1746070,88539.375,99208.9375,NA,795548.5,149167.25,44821.40625,1405678,17744.484375,50735.09375,NA,NA,NA,NA,459106.75,152835.875,2395,52130.625,107565.125,464.84619140625,6087.4609375,129372.9375,6457.5859375,175370,NA,350355,5648.7734375,1558.1513671875,NA,914790.5,176406.75,85258,83495.375,NA,24419.8125,8335.9375,NA,85011.375,23191.328125,62257.0625,568.263671875,1424504,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W23_LTR.mzML",NA,695776.5,278548.5,76294.9375,NA,NA,2523.064453125,52056.0625,NA,1226681,319581.5,33410.09375,NA,124746.125,NA,7164.03125,2520.57421875,391086,NA,408541.25,76152.1875,7232.94140625,142455,18829.921875,9407.6640625,1016672,NA,31532.65625,10925.7265625,NA,NA,3269720,242303.25,157036.75,71704.875,1312140,160569.125,17822.5625,NA,20205.09375,5297.47265625,NA,36775.6875,7086.7890625,96486.5,32098.015625,NA,1025299.5,35336.75,37684.65625,12114.25,NA,NA,5824.390625,2584542,557907,16560.640625,162935.75,49885.40625,NA,773633.5,8869.4375,15480.7109375,342550.25,10752.625,5968.16796875,1132987,52371.59375,63950.875,29211.03125,393083,117484.6875,23246.171875,NA,22133.09375,28029.03125,NA,NA,1939.4248046875,NA,325466,126758.1875,NA,35898.625,87051.6875,NA,5462.03515625,108935.5,2815.708984375,64387.25,4508.74609375,287589,4520.67578125,1031,NA,600281,119119.8125,58340.125,87814.25,NA,13088.5625,4242.80078125,NA,84801.1875,23018.34375,71117.3125,776.71044921875,1097774,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W24_SR.mzML",NA,1560121,446507.5,117468.8125,NA,NA,NA,71852.6875,NA,1060193,271421.25,30366.890625,509.32373046875,356693.75,7651.02734375,21306.9375,6536.63671875,483433.5,12858.546875,545315.5,80821.5625,11389.4140625,224290.375,20588.90625,13506.1953125,1804558,48731.34375,51713.6875,20282.78125,21276.15625,NA,3236332,435074.25,230842.5,114994.0625,1071050,104220.125,14372.140625,12431.1640625,NA,NA,NA,223354.75,41531.90625,314511.25,101349.25,3036146,937151.5,35162.28125,54470.46875,15866.2890625,NA,NA,NA,NA,1345509,40276.53125,120017.125,19669.9375,NA,1161890,11657.9296875,23880.53125,359645.5,9919.0546875,6030.03515625,1706644,90746.125,89700.0625,58605.5625,790318.5,156145.25,45701.125,1152565,18998.609375,41501.90625,NA,NA,3273.318359375,NA,461437.75,158791.25,1416.6220703125,47394.125,98544.625,NA,NA,128329.5625,2551.9921875,184040.625,NA,353269.75,5131.82421875,NA,NA,902914,178425.5,86534.9375,84881.4375,NA,26117.609375,10047.03125,NA,81488.5625,23650.5,60829.5,NA,1420391,17972.09375,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W35_LTR.mzML",NA,884909,279463.5,77414.1875,NA,NA,2108.642578125,52209,8238.390625,1216342,312273,34526.84375,NA,129411.5625,2981.494140625,NA,2832.076171875,409607.25,12384.8125,370143,65725.8125,6783.03515625,143591.75,19798.4375,8275.578125,1011957.5,28574.96875,29216.375,10853.984375,12939.671875,NA,3224550,231987.75,152207.5,70853.75,1302041,151466.625,17060.984375,13921.96875,20796.71875,5345.796875,NA,35941.3125,7312.0859375,98354,30147.015625,NA,885868.5,31344.109375,37870,13549.671875,NA,NA,NA,2618202,572642.5,18890.484375,150982.25,47422.28125,NA,768345.5,9057.7109375,16037.890625,346399.5,10793.3359375,6454.08984375,1127078,51892.03125,62226.9375,31096.546875,395736.75,119365.4375,22463.484375,893259,19483.46875,33354.25,NA,NA,NA,NA,330113.5,134496.5,NA,36246.5,85300.875,NA,5453.078125,110904.5625,NA,65411.96875,3846.01171875,274885.25,3977.884765625,668.60107421875,NA,593302.5,121257.75,56803.78125,87009.1875,1650,NA,5451.2265625,NA,86983.3125,25599.75,71530.6875,NA,1102180,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W36_SR.mzML",NA,1336517,445000.75,117950.5,NA,NA,NA,70917.875,NA,1077643,267306.5,30411.5625,NA,363711.25,7757.83203125,19545.03125,7819.71484375,487725,14041.859375,541874,82517.0625,10000,219753.125,19100.859375,13685.7265625,1833984,5341.5703125,55007.71875,21929.125,NA,NA,3244322,448447.25,230601.375,120035.6875,1074640,104987.6875,14853.1171875,11696.46875,9252.921875,NA,NA,219286.125,41457.96875,311701.25,98579.3125,NA,951060.5,36606.09375,51763.71875,14983.3828125,721592,NA,8286.2421875,NA,1364880,41248.375,120547.3125,20514.65625,NA,1211597,12443.8203125,NA,356631.5,11330.8671875,6512.84375,1717139,90498.1875,93489.1875,NA,802085,152588.875,46181.34375,1138299,17928.484375,40890.46875,309.898681640625,NA,NA,NA,463113.75,157292,NA,52320.46875,106487.4375,577.7470703125,NA,127612.0625,NA,180065.75,NA,352884,5670.1484375,1159,NA,905946.5,179229.625,86843.8125,85033.875,1883.419921875,27851.953125,9202.640625,NA,85687.5625,25597.265625,62004.59375,NA,1426143,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W47_LTR.mzML",NA,755766.5,276537.75,76437,NA,NA,2132.15625,51283.46875,7657.77734375,1237935,319009.75,32374.484375,NA,126544.3125,2966.228515625,6802.9375,2841.607421875,385852,12862.34375,359684.5,64739,6624.1640625,146911.125,18889.34375,7583.93359375,1043249.5,NA,30086.671875,13125,NA,NA,3255014,242666.75,155805.875,70825.75,1328878,156927.625,17896.359375,NA,NA,NA,NA,38258.25,6223.33984375,95342.4375,30820.03125,NA,1004627,34524.9375,36006.53125,11506.125,NA,NA,NA,2648362,576487,NA,153588.875,45362.71875,NA,771106.5,8113.890625,NA,330521.25,10738.2734375,5523.84765625,1146124,51965.375,62536.46875,27092.421875,396811,116425.875,26345.421875,805403.5,20301.453125,29856.53125,NA,NA,NA,239.868896484375,333258,132914.625,NA,40474.21875,94006.25,NA,NA,109207.8125,3041.521484375,63610.5625,4154.3359375,290397.25,4708.33203125,NA,NA,590188.5,117870.8125,56765.84375,86496.8125,107,12899.78125,4705.8046875,NA,85373.75,21571.953125,72967.25,NA,1097422,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W48_SR.mzML",NA,1626030,444268.75,114950.0625,NA,NA,NA,72623.5625,13482.109375,1071472,265558.5,30021.359375,NA,354405,8541.265625,19653.546875,7894.01953125,495065.75,NA,549622.5,82008.1875,10040.59375,221083.75,19999.625,14117.90625,1797289,NA,52978.4375,22168.1875,NA,NA,3243128,433250,228073.875,NA,1076162,104331.3125,14658.2109375,NA,9578.0390625,NA,NA,226359.125,NA,321310,101545.1875,NA,987843,35351.09375,50314.4375,15092.7109375,NA,NA,NA,NA,1350897,NA,126854.3125,20359.546875,NA,1181461,11702.6953125,NA,364472.75,NA,6627.19140625,1719193,NA,96139,13825.0859375,794522.5,152235.875,44471.125,1134608,18475.765625,41788.84375,NA,NA,NA,NA,467346.75,152346.625,1238.552734375,55898.28125,125609.875,718.85107421875,6388.9453125,126270.5625,3460.962890625,185830.5,NA,354194,4205.62890625,1416.5380859375,NA,905773.5,177310.875,85814.3125,82462.875,NA,27015.28125,9383.7578125,NA,80262.125,NA,61188.03125,NA,1444191,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W59_LTR.mzML",NA,843164.5,280028.5,77662.4375,NA,NA,NA,54209.09375,NA,1240929,314259,34909.46875,185.830200195312,127847.5,2689.375,6668.7109375,3256.365234375,378835.5,NA,351079.5,55194.09375,7074.99609375,142550.875,19247.4375,8746.3828125,1080049,NA,29964.90625,12126.7578125,NA,NA,3132998,229769.25,144493.875,66768.4375,1291795,148871.625,18896.953125,14098.5078125,NA,NA,NA,38503.96875,NA,94320,30821.203125,NA,731746.5,29396.703125,39367.78125,13973.1171875,NA,NA,6043.42578125,2643974,595951.5,5826.88671875,152950,NA,NA,755023,7421.08203125,NA,340933.25,10659.71875,6210.91796875,1136578,50008.25,61664.9375,NA,396058,117182.625,25383.4375,797353,21143.453125,NA,NA,NA,NA,NA,330635.5,131395.75,1352.5478515625,42703.53125,100686.6875,NA,5227.04296875,111028.4375,3510.654296875,67281.8125,2581.201171875,291813.5,4202.43359375,878.11572265625,NA,595328,120986.125,56888.1875,89899,NA,9048.15625,5704.0859375,NA,83839.5625,NA,75206.4375,NA,1090984,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W60_SR.mzML",NA,1548775,431939.5,114211.5625,NA,NA,NA,68075.8125,NA,1019383,257265.5,27191.8125,NA,341564.5,7279.41015625,18817.859375,7385.3125,423408.75,11847.828125,498344.75,68284.0625,9671.953125,216223.375,19391.03125,13352.40625,1747490,NA,48775.625,18906.96875,NA,NA,3129510,431994.5,212583.25,115155.5625,987835.5,96490.1875,13960.90625,NA,8631.5546875,NA,NA,212621,NA,269680,84127.3125,NA,631999.5,25027.984375,55198.9375,15579.5078125,658763,NA,NA,NA,1369773,NA,114809.875,19462.171875,NA,1112792,11040.515625,NA,410506.75,10051.1640625,NA,1605816,86173.1875,86436.375,NA,755170,146283.5,43511.96875,1515048,12199.359375,49391.59375,NA,NA,NA,NA,445873,151777.75,NA,49540.15625,107791.375,NA,NA,122866.5625,NA,184540.875,3383.265625,343289.5,4780.46484375,1188.01171875,NA,853834,169089.25,80303.5,82656.1875,1547,25396.453125,10204.9609375,NA,79107.1875,23456.859375,56372.9375,NA,1365824,NA,NA
