"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W11_LTR.mzML",NA,898155.555089877,287267.691089244,78239.8067890924,NA,NA,NA,46783.2936006648,8058.83302560179,1276164.22791367,327087.231117332,36657.2847714644,384.365712279114,134410.251875834,2914.460574387,7139.09858187987,2649.07441010035,404374.783474396,12977.0255846557,421155.874047858,71158.1062436121,7663.80300227943,149885.26081817,19132.1981004215,8684.28549547947,1067664.20989385,NA,31655.5851473183,12415.2304525828,NA,NA,3632657.24989377,252104.603646486,168115.016572175,NA,1333121.49790336,135545.158931936,18046.150133958,NA,NA,NA,NA,37495.8055263961,NA,99630.6168333113,31321.3415876213,NA,959146.657624472,33921.1339463164,43373.2021887084,12842.8417178966,NA,NA,6002.05127140959,2903489.04564326,596714.915097779,20209.3912734996,147009.041490451,39832.8246454207,NA,803785.774521416,9701.11872923779,NA,350587.056634387,11151.2810938789,6398.96866007294,1210064.11733675,37592.5130427282,67076.1980179102,8203.58111823562,416285.943505355,125236.100425579,24495.152493907,830256.502624483,21295.2589282911,NA,516.564136842848,NA,NA,NA,330881.527608809,133147.631374334,793.96506167044,42740.7917728776,99059.9347934482,357.154788564639,NA,116230.081383201,NA,67697.976867871,NA,293488.451673623,4849.9635777963,986.009427326289,NA,629299.039727552,125296.539128039,58943.9547728313,92070.2586905569,NA,14190.4333654673,5807.82279787344,NA,87920.9066824189,NA,66673.802072329,591.117852004216,1167630.93275546,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W12_SR.mzML",NA,1547442.33720288,448897.208443036,117484.928780535,NA,NA,NA,70985.9887907793,NA,1059686.63962949,268916.497287612,29939.0975162728,639.610515679846,357227.883573616,7279.34811569259,20183.3574145555,7827.89330885533,510587.284602199,16400.1330862486,558932.172215294,83311.5795232289,10763.5794403369,218991.810951479,19455.8277629269,13556.5808737106,1825148.74026704,51290.1371171863,53085.8234111354,20905.6000807596,23692.2597981818,NA,3703036.406483,449894.732917445,242601.794780427,124797.467296317,1091769.49999536,103225.445651329,15435.2426050364,11313.3736349868,9342.18900576607,NA,NA,218252.502855775,NA,302177.025898374,94574.4602576548,NA,797697.883803655,28222.766398347,54713.2437501342,14886.8565447014,NA,NA,NA,NA,1323005.34416886,27024.2456884109,115277.405626976,17507.7110190678,NA,1184443.59028283,12445.802024152,NA,373862.311974766,9183.14741199222,6803.80359900856,1773847.86160378,89984.7496463237,97256.6035082653,NA,799074.313342317,153443.44903405,45012.6305298534,1422863.78799458,16966.3406028811,51597.1080016023,NA,NA,NA,NA,450704.33216402,152906.151251082,2731.9422477666,51294.4379054721,107476.576137353,504.918399119608,6086.46147814395,129666.659739036,6445.50772029357,176591.851995266,NA,358534.858027432,5564.81206954971,1448.71458849582,NA,921041.428560691,178945.143460734,84461.7832260998,82921.3220589809,NA,23498.7178937054,8309.3794632863,NA,81321.2009664807,23319.692884875,55580.0171931564,523.038868339195,1450761.54067018,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W23_LTR.mzML",NA,726489.481116818,274407.448836685,76521.5158546489,NA,NA,2380.55278122473,51912.1268141059,NA,1218966.48667858,316020.976021154,34463.3241820902,NA,126068.431739184,NA,6656.4672518816,2608.46140359304,394261.582421677,NA,392162.084565779,72456.1766523588,7224.7108976574,143733.008256707,18499.0277178168,9143.89819188751,1027543.77530137,NA,30483.7845189336,11097.8800300085,NA,NA,3599716.42242319,244727.507231459,161307.91640049,73402.7925064538,1294404.62649028,154163.65644078,17922.9009590555,NA,19143.4253024191,4897.85980618131,NA,35605.1847274776,6479.97913185317,96449.9870304162,30259.2303302305,NA,985579.463144011,35969.8799755683,38702.3391819865,11398.3163682789,NA,NA,4961.49171727845,2663479.76797547,553766.572844838,16446.8870736229,163440.441856131,44846.7535495588,NA,779328.941003885,8905.03504786571,15917.5301071429,342041.280219215,10808.6398205522,6010.69492988951,1148595.72097821,52811.5457545175,64468.7011699652,30001.0286033831,390411.981466262,118537.850726392,23540.8122948337,NA,22222.4680620092,29184.4583445014,NA,NA,1798.18956589083,NA,315052.442529486,127065.866232402,NA,35630.5998385971,85334.2758441242,NA,5719.36882097232,110232.891292885,2765.00062650402,66208.6314560036,4226.92109196508,286959.987594236,4465.69253824388,971.799795888722,NA,619207.369657158,126248.662672547,59622.1329264994,89231.9661593027,NA,11658.6794335982,4285.26195089843,NA,83150.183845148,22983.6317907869,60887.2081214817,688.668689857452,1128664.64052004,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W24_SR.mzML",NA,1500458.3919511,449961.131391832,118884.446786774,NA,NA,NA,70432.6463651807,NA,1065248.20418862,270889.335326955,29385.0921979313,524.560710427798,357327.303278407,7566.6953481016,19624.7081042714,6830.38213117335,494970.627398872,14583.8925477398,548160.207693244,81038.4736403264,10754.9130627187,222545.829205121,20280.0215787505,13477.5809634817,1811854.46948791,49460.3609229238,51973.5023670281,20285.3297869786,23625.7414448038,NA,3657271.11997629,450310.456107433,239887.093171472,121134.180301208,1079253.34502511,102939.553382714,14726.4569926613,12024.7855788669,NA,NA,NA,219809.643547826,41649.2740670597,311690.046492037,97533.3542465655,2713354.52752571,950333.708158894,34180.1475204037,55106.8270213126,14824.1031357121,NA,NA,NA,NA,1350814.5848701,35595.1129062331,117713.276323738,18383.5174069937,NA,1161139.25554355,12005.2029669424,23202.1492337295,357758.076910268,9864.34432992524,6430.39024216368,1741550.11373532,91039.3552235525,93292.3741819343,59661.4286612026,805133.547501339,154575.900707169,46787.7769357459,1166876.06492784,18246.4427846368,41767.2864721887,NA,NA,3221.06089058276,NA,453558.110310231,153364.496940622,1443.01001684049,48616.8394260013,102534.101706179,NA,NA,129498.780007436,2250.4203215863,182880.017132002,NA,363367.023705196,5185.75948390673,NA,NA,914061.774322548,180682.427822151,85834.2956390698,83135.3754089096,NA,22742.4148627976,8889.48698422357,NA,81410.3053998691,23127.5873624491,53366.3105945408,NA,1460057.81692865,17282.3348638807,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W35_LTR.mzML",NA,876160.091546823,280608.35475374,77890.6965508494,NA,NA,2064.84276138865,52626.652916141,8055.9988783907,1225699.99354162,317587.896709042,34909.3247738817,NA,126655.239824292,2685.65280189927,NA,2613.64823057174,405067.329497108,12986.4915205904,374689.383848989,64676.4130324991,6812.27275378718,144604.999107384,19121.915048104,8800.29795720386,1003348.82063701,28735.8670902189,28459.8631750119,11059.5327880551,12558.3344579872,NA,3544550.35480128,238812.765414855,157448.613474239,71277.090132887,1296462.25473425,143189.319469814,17308.4565289288,14223.0717783705,19846.7921609044,4781.69240325382,NA,35266.1362054025,6592.20594151644,95927.6897261205,29439.2975608588,NA,914490.580143576,30767.8537921627,38733.9442777213,13439.5235407708,NA,NA,NA,2702171.11111028,578122.844122947,19622.6205130683,158025.079982296,44081.2461356131,NA,762978.47641947,8581.41668450603,15571.4969314485,348241.742930363,11142.0743715564,6676.39132466893,1147017.9111593,53045.6572100602,63834.3631754722,29420.7782100885,392547.387465142,119084.77107989,23188.805839052,886863.20089464,20213.9460689668,31840.6259210323,NA,NA,NA,NA,321547.237382958,129338.841818864,NA,36105.4105436347,83510.5598427671,NA,5617.85756925667,110817.812241367,NA,64434.7583324126,3295.45325400307,277501.946053017,3896.50107433289,620.150808445289,NA,614718.12963583,125086.726451751,58996.0775740959,88661.3148103179,1643.84539747434,NA,5041.01753408957,NA,84512.9194393331,23828.6966952923,62400.7091778686,NA,1137163.62458107,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W36_SR.mzML",NA,1414759.22281281,450802.456220709,119585.595061708,NA,NA,NA,69209.8178051288,NA,1061522.2699206,265139.463328179,29669.6139208967,NA,356857.658794565,7646.05327294488,19353.0962306906,7945.66348116445,492468.878117088,14913.9591698545,564061.109001854,80634.6443316822,10324.8484191208,221673.154713042,20034.6104575008,13027.1103486436,1870953.96950733,5752.01855807295,55366.2278746166,21653.6351946089,NA,NA,3632559.49610987,450916.983648115,240210.163981099,123600.695947581,1096427.35639508,103850.117585289,15245.0094398511,12048.8874804831,8655.8360827652,NA,NA,219343.374355663,42405.5314284799,312325.529745303,97092.2639083385,NA,980772.589302548,34996.9670402502,53119.3118816499,13688.6570907523,612511.440307394,NA,8297.65943288595,NA,1370464.68934953,37669.698282883,119122.905587272,18325.240777484,NA,1168348.92582082,11972.1410312861,NA,364051.628595093,10441.4889217031,6611.84186253915,1748057.56070257,91289.2476023393,95061.6154113079,NA,805795.931439382,154776.4961319,45329.6060804951,1151007.03329909,18059.219257474,41888.4769509102,284.355973295452,NA,NA,NA,453705.399333743,152934.630716228,NA,51292.3850907585,105325.942951293,536.131429982409,NA,129014.907321857,NA,181536.514967016,NA,361037.836438612,5656.41059788787,1063.77389667014,NA,916599.821768712,181025.053204928,84975.194356691,83111.1602672701,1853.93848340874,25631.8724400093,8850.44353947401,NA,80774.4589158639,24823.2199161328,55993.5871531188,NA,1464240.09827679,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W47_LTR.mzML",NA,762387.176460262,279397.688049463,77411.134100678,NA,NA,2100.30327071769,51271.7937781028,7670.05339647409,1230620.84547472,314800.869543632,32575.9264012461,NA,127037.782492209,2852.57814682135,6482.02906915317,2744.4917894301,396133.658884444,12945.8666334927,369470.960750183,64582.0558791641,6875.29133926285,146304.697150994,19431.7442741277,7840.81652225154,1033509.699425,NA,29740.1859455468,12231.6036208912,NA,NA,3541533.14680965,247071.07361176,158423.497893637,70636.8651920159,1300015.9981096,157234.151516829,16939.3760561726,NA,NA,NA,NA,36248.1372490988,5973.81764438681,94286.0482750486,29638.556628363,NA,1026501.60270557,35386.5300491313,37023.0244739331,10236.1799232469,NA,NA,NA,2730707.67074807,579104.190321407,NA,157089.13702096,43326.0325769183,NA,755648.374985317,8385.85911185086,NA,334265.468401538,10947.9406698561,5986.3985734841,1155222.33552235,53075.5705835704,62304.8592648057,28089.1889690836,399676.838451954,118559.262547969,25169.3198213599,798753.608596573,20449.5157566776,28839.0175118831,NA,NA,NA,218.620712382714,321203.161740071,128737.04192454,NA,41272.7635145809,93798.01873314,NA,NA,109573.928768159,3023.71409649141,64097.2209298513,3524.60520916818,293677.123145497,4322.851102142,NA,NA,616347.038641155,124153.894169653,57861.0369267374,88328.6666553488,126.884298436663,11689.9209359131,4418.0962667236,NA,84299.1366188211,22631.1998468599,62868.0246860474,NA,1138409.07411199,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W48_SR.mzML",NA,1486923.68807558,448073.411950638,117384.884882081,NA,NA,NA,70890.7151758755,12425.9717605861,1059564.00055869,266758.150701454,29697.128603955,NA,355953.441851407,7682.29512437059,19390.0623249985,7266.66277341653,496006.501580462,NA,559045.757160803,82969.8210632226,10394.8277354075,223801.503888638,19903.3552688309,13953.5234279332,1847079.50806298,NA,54293.2854672189,21703.2008948958,NA,NA,3656156.91709287,450029.96932825,235658.796114977,NA,1097166.49007932,105391.137337231,14970.4465848133,NA,9249.50182715816,NA,NA,222522.650181868,NA,308831.076754153,96695.4391195245,NA,918712.574623625,36708.2039981045,51402.5705192547,15075.936599691,NA,NA,NA,NA,1353155.44032693,NA,117121.605057193,18119.08578555,NA,1163541.3891156,12304.5639248434,NA,365885.236136955,NA,6812.07933912619,1747812.7292311,NA,95760.9086288079,13916.1731983194,798664.016643557,152480.931260078,45634.5724390821,1138863.50407453,18644.0726626038,42067.8635639859,NA,NA,NA,NA,448933.189774971,150237.736957527,1222.19309761967,57355.7912463242,115094.525485781,675.552804904327,6276.98347818144,128470.835695791,3664.42005640209,184565.055979291,NA,354693.923835421,4664.2233407204,1278.86856943894,NA,912906.301923683,178602.922483084,82820.6635727342,82265.6620025182,NA,24788.9649122258,8759.52251116895,NA,79377.5910675336,NA,57347.4752227973,NA,1510452.24125053,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W59_LTR.mzML",NA,876733.704813987,280996.587511889,77380.7320420031,NA,NA,NA,52334.1882882308,NA,1245791.15942818,317648.977692669,35066.8828405088,162.497080463943,128234.946180096,2499.66443477667,7043.9602102726,3310.81375424134,383848.893058854,NA,356019.953327937,55656.443197019,7017.34880220963,144451.98547735,18908.4855737562,8572.54452432499,1075588.36198925,NA,30882.704579629,12443.9469630134,NA,NA,3474560.92537502,234692.767179206,150606.775273303,67833.6416017971,1303423.36413726,141113.830861208,18086.1925497947,14205.78571918,NA,NA,NA,37394.1351011006,NA,94839.7234517301,29265.6154422597,NA,790157.463323115,30741.3009595414,40701.1744378781,13023.8511218621,NA,NA,5270.32618513428,2776979.92889757,583455.885477903,6586.14317147895,151529.351355841,NA,NA,751717.757037739,8324.97633095381,NA,345103.605501854,10521.545386118,6207.14278053752,1152528.63501696,51708.6387625095,61717.2516829668,NA,398072.795915947,117975.87295368,24584.0536431389,789353.750497856,21333.1154977503,NA,NA,NA,NA,NA,321408.655902683,127548.391019,1282.67249487505,38779.9863398905,91509.2150550036,NA,5402.71853752262,110963.805998643,3517.22241028021,64796.458320928,2203.47015976112,292060.364759526,4159.3209421655,808.449725653564,NA,621954.231617296,126255.219593487,58027.7155859826,88229.971775339,NA,9414.24206791552,5612.2158596226,NA,83920.1136083443,NA,65370.3396535297,NA,1137018.47561537,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W60_SR.mzML",NA,1523182.38280614,433846.851311605,114282.647682655,NA,NA,NA,67690.1808164561,NA,1021556.26048954,257379.983511254,27213.3559343586,NA,346021.032355813,6910.56022205276,18768.2334825716,7255.04973172116,420474.539894517,12342.8294046572,499075.025016444,70644.7759820819,9586.75698322876,215475.769089277,18898.8324946319,13049.3366855016,1742793.77326599,NA,49841.6463541275,19660.0132869395,NA,NA,3546948.89851145,431109.951910633,223926.63986386,116086.219974825,1007010.13986857,97629.5389203909,13910.8434008229,NA,8122.89868159079,NA,NA,215767.310810373,NA,275924.926715241,84492.4473400317,NA,687217.898668601,24545.8275455951,53454.1823380723,15363.8567879905,566539.548659788,NA,NA,NA,1355253.86005884,NA,110411.943356532,17197.7066490292,NA,1121262.57739671,10891.642487159,NA,420796.832272449,8465.57823959094,NA,1666512.43091015,87103.4250652175,88090.3651701485,NA,761076.918349833,148220.177484677,44537.3943875493,1560703.36789901,11734.8886915307,59249.5793625818,NA,NA,NA,NA,434012.213429239,147765.244611128,NA,49577.8172294707,106082.082022228,NA,NA,124096.025176338,NA,183796.382733871,2935.24125595392,351223.147948341,4819.79090852796,1164.39802784653,NA,864068.106738941,173303.508132528,80609.7769914268,82951.6545084895,1553.56845557311,24149.6499571636,8779.34954053116,NA,78611.9699494421,23497.1569257678,48794.4733162578,NA,1384103.58346745,NA,NA
