"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W11_LTR.mzML",NA,391.112989709435,180.030249636105,137.024392812108,NA,NA,NA,153.020695048105,109.030305918723,187.099136023568,209.080921456262,125.09838135674,97.0640681664776,204.067713039763,186.057611009586,158.06185681297,142.066461548877,135.03283616064,92.026054258684,180.067292900344,248.054745057634,163.041447297838,131.036251996871,199.022340816321,87.0457889408884,187.074248495293,NA,145.062579234816,127.052554472162,NA,NA,675.167025914024,150.057409033442,175.026084279424,NA,218.104865045695,286.091562614877,146.083474285395,NA,NA,NA,NA,137.025729837342,NA,175.025989476083,157.015433510998,NA,357.032952515825,124.01646503202,243.063230403027,289.068025556736,NA,NA,113.024768086018,194.047632617386,150.057434563251,93.0352335432364,164.072947577317,232.059002794773,NA,308.100065420552,170.046714551111,NA,151.027529955477,219.014448549515,108.021160780177,194.047570860268,150.056994734565,100.005211875629,93.0352367956203,283.069131463721,351.056335484765,151.027364601415,174.042353352088,242.029166162229,NA,114.018694289865,NA,NA,NA,173.08327501204,195.065190331476,111.080348607429,181.051569852937,249.038674668716,137.055033190093,NA,165.056931862714,NA,308.078469444662,NA,215.116604230411,131.083502580771,129.104165929795,NA,173.010813393319,111.010163108058,155.000028027523,192.067838042432,NA,151.041003657393,219.028503658704,NA,137.025562049386,NA,129.020466594358,85.0280685060774,173.010636354818,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W12_SR.mzML",NA,391.112563195486,180.029976327722,137.024252402517,NA,NA,NA,153.02048555622,NA,187.099048359143,209.080814764395,125.098326288932,97.0641000806872,204.067756073477,186.05688581203,158.061893565068,142.066796730833,135.032404820078,92.0261811901791,180.066795375991,248.054428232002,163.041297065466,131.036063364922,199.022330000628,87.0459100198812,187.073728908349,169.062488842493,145.062583963633,127.052180069415,125.072666478186,NA,675.165997272125,150.057244616587,175.025911951288,113.025496556812,218.104293534369,286.091070125899,146.08273097999,88.0411838255471,367.157703480472,NA,NA,137.02567396981,NA,175.025664031782,157.015052836796,NA,357.031757359829,124.016144924762,243.062742899411,289.067022134814,NA,NA,NA,NA,150.057360262981,93.0352152942144,164.072720207624,232.059067253269,NA,308.099418427709,170.046789729794,NA,151.0272189674,219.014713318699,108.021249130308,194.047101053207,150.056962674902,100.004978508848,NA,283.069217596289,351.055944270424,151.027347217726,174.042056618047,242.028320671799,130.051618891047,NA,NA,NA,NA,173.082998272266,195.064749664954,111.081142581854,181.051542326745,249.038670383571,137.055535851835,122.036341195513,165.056632928883,147.044479016492,308.07833047426,NA,215.115888255898,131.083364815977,129.103891996531,NA,173.010228893401,111.009805555355,154.999514861059,192.067531687356,NA,151.040931724455,219.028735367248,NA,137.025434109969,93.0352569531521,129.02036863766,85.0278657543209,173.010309282912,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W23_LTR.mzML",NA,391.112828519595,180.030031438607,137.024182731574,NA,NA,109.029973502181,153.020186690639,NA,187.098780564955,209.080545231457,125.098074383475,NA,204.067522767722,NA,158.061808773097,142.066663942652,135.032472980008,NA,180.067131350367,248.054480270967,163.041113955428,131.036057381619,199.022370972378,87.0459275445677,187.073870141366,NA,145.062493400794,127.052298821168,NA,NA,675.16604905445,150.057164390408,175.025794436277,113.025382769225,218.104580651547,286.091434732243,146.083142686891,NA,367.157953425603,435.144821832464,NA,137.02536302711,93.0350526466522,175.025850281568,157.015257289243,NA,357.03234326828,124.016271784326,243.062925429839,289.067073253995,NA,NA,113.024924587602,194.047481000438,150.057228670969,93.0351582750581,164.072640783505,232.058766292685,NA,308.099874678351,170.046966706053,87.0091998231113,151.027474670768,219.015228648167,108.021163411311,194.047002347747,150.056914726757,100.004920843534,93.0352380537092,283.068936729279,351.055997761743,151.027212593303,NA,242.029166800281,130.051687281002,NA,NA,115.076377397811,NA,173.082906375598,195.064723405556,NA,181.051490327935,249.03836745423,NA,122.036594995249,165.056755352828,147.044139091192,308.078065280812,330.059678487843,215.116296343065,131.083306488776,129.103818255216,NA,173.010455546978,111.009941297031,154.999789727838,192.067629530657,NA,151.040971995091,219.02841201234,NA,137.025449812378,93.0352900670681,129.020346278701,85.0287235660636,173.010527472076,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W24_SR.mzML",NA,391.112064101165,180.029714000869,137.023988588297,NA,NA,NA,153.020290593814,NA,187.098561884215,209.080282629495,125.097955914,97.0643711082798,204.067535105155,186.056818629653,158.0617972979,142.066791204134,135.032298344932,92.0260999935283,180.06655379126,248.054152151374,163.041126470384,131.035965289482,199.022189445459,87.0459076915883,187.073487316131,169.06237595015,145.062419564042,127.051859189212,125.072707669395,NA,675.165394347934,150.057121152755,175.025666794851,113.025394337718,218.10429695029,286.091106111588,146.082703316127,88.0411516226947,NA,NA,NA,137.025403918414,93.0352292405409,175.025579828274,157.015003012697,167.022743952753,357.031655836824,124.016018920281,243.062618663487,289.066619771781,NA,NA,NA,NA,150.057215669346,93.0353013439501,164.072571615596,232.059080666444,NA,308.099187239298,170.046652738163,87.0091531099803,151.027267525767,219.015105241844,108.021242086308,194.04685090982,150.056623734073,100.004783128613,93.0352637914621,283.068729136911,351.055419288674,151.027042603219,174.041700839042,242.02807921014,130.051425090905,NA,NA,115.076293877098,NA,173.0829682569,195.064806900538,111.081208396848,181.051377826764,249.038422798536,NA,NA,165.05671488805,147.04332408386,308.077895811091,NA,215.11593061765,131.083178502703,NA,NA,173.010180731128,111.00978423094,154.999518257028,192.067412911269,NA,151.04076207933,219.028583540068,NA,137.025287874317,93.0352107654783,129.02021178864,NA,173.010339353141,129.019882886531,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W35_LTR.mzML",NA,391.112707075849,180.02992309894,137.024094100214,NA,NA,109.029645609486,153.020382302524,109.029978425879,187.098616391335,209.080386602407,125.09796243234,NA,204.067311683669,186.056904098904,NA,142.066440920097,135.032178304398,92.0259368316286,180.066649121964,248.053844600757,163.040456551105,131.035861273837,199.022354661534,87.0457468531131,187.073324851045,169.062179072845,145.062194882413,127.051761030383,125.072663482702,NA,675.165760047656,150.056847677477,175.025513819823,113.025142567397,218.104396008933,286.091358518706,146.082843116024,88.0410417947103,367.158084608513,435.143128044393,NA,137.025093755544,93.0349989296904,175.025408288293,157.014885393227,NA,357.03162741509,124.015904124606,243.062515996703,289.066951156779,NA,NA,NA,194.047494054447,150.057204588097,93.0352259650552,164.072614785582,232.058514999673,NA,308.099348946429,170.046382332769,87.0091118576582,151.026985086109,219.014469254796,108.020844283795,194.046919541945,150.056786737315,100.004797155785,93.0352070127535,283.068574232461,351.055710342801,151.026950479832,174.041724642877,242.028172624995,130.051398167526,NA,NA,NA,NA,173.082820508536,195.064676645032,NA,181.051254060376,249.038108872227,NA,122.036397135816,165.056474365319,NA,308.077911558207,330.060405722895,215.115817023017,131.083151756578,129.104599198318,NA,173.010144479866,111.009691201027,154.999479285519,192.067149119506,74.0245645833434,NA,219.028095392483,NA,137.025013741394,93.0349716500745,129.020115552828,NA,173.010011121155,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W36_SR.mzML",NA,391.112580932046,180.029983286674,137.024287167894,NA,NA,NA,153.020326880606,NA,187.098854124112,209.080655894365,125.09820740776,NA,204.06773121462,186.057219210287,158.061983787693,142.066756185432,135.032462778816,92.026135206061,180.066941606194,248.054715039467,163.04139937398,131.035987731512,199.022193158409,87.045852269028,187.073797552179,169.061369485731,145.06267730986,127.052217678889,NA,NA,675.1660988051,150.057320667581,175.025933435116,113.025532250398,218.104275652727,286.090913466408,146.083030207462,88.041168106953,367.159586313836,NA,NA,137.025592654706,93.0352553767806,175.026014094365,157.015409822189,NA,357.032202150568,124.016307836858,243.063034788354,289.067366183706,193.036368032343,NA,113.025041847524,NA,150.057269193374,93.035260946768,164.07269629654,232.059220712616,NA,308.099358619909,170.046515243568,NA,151.027477633217,219.014665719942,108.021192918148,194.047202649215,150.057028088994,100.00504235192,NA,283.069274045127,351.056077149853,151.027290957126,174.042099789641,242.028668298634,130.051696424581,114.018560472609,NA,NA,NA,173.0828864248,195.064626508686,NA,181.051483942813,249.038558882213,137.055445656416,NA,165.056783740976,NA,308.07792138281,NA,215.116132441803,131.083378879999,129.104829626183,NA,173.010429019398,111.009984614761,154.999720664674,192.067328939242,74.0242023439021,151.040865492028,219.028550299288,NA,137.025342828701,93.0352306609168,129.020318683287,NA,173.010535236062,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W47_LTR.mzML",NA,391.111778314903,180.029872958676,137.024155099797,NA,NA,109.029785167707,153.02036899037,109.030106959829,187.099060523454,209.08079339582,125.098397310901,NA,204.067593872675,186.056878266724,158.061824917023,142.066197940661,135.032624524267,92.0262366936001,180.06694724759,248.054028367056,163.040981457227,131.036290875635,199.022193629559,87.0458086870953,187.073632420906,NA,145.062286816833,127.052182909158,NA,NA,675.164362511325,150.057176829148,175.025757832413,113.025408647279,218.104432942786,286.091164123173,146.083105064396,NA,NA,NA,NA,137.025675256311,93.0350833933228,175.025611236588,157.015254101434,NA,357.031860939563,124.016365624582,243.062438743269,289.06630010124,NA,NA,NA,194.047521855278,150.057321323126,NA,164.072814943018,232.058772183523,NA,308.09925334553,170.046697672577,NA,151.027418576724,219.014639452771,108.021237402155,194.047102798528,150.056899927814,100.005140764044,93.0352857354704,283.068918328051,351.055934306964,151.027557061828,174.04189223937,242.028169449641,130.051698754654,NA,NA,NA,97.0636119394696,173.083197096917,195.064952605679,NA,181.051476203738,249.038233059502,NA,NA,165.056803077426,147.044255314699,308.077738788766,330.060344386281,215.115714175059,131.083342044383,NA,NA,173.010272433214,111.009946147582,154.999595980127,192.06773284659,74.0231411776265,151.040699544692,219.028063225686,NA,137.025475979375,93.0351983560511,129.020391072834,NA,173.010464777587,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W48_SR.mzML",NA,391.112951586484,180.030245788498,137.024463915181,NA,NA,NA,153.020738870962,109.030321531959,187.09873417831,209.080442809064,125.09818468926,NA,204.067690625268,186.057047148424,158.062038418436,142.066730922887,135.032791641641,NA,180.067235371077,248.054706444357,163.041522725972,131.036351741517,199.022198223767,87.0460603873974,187.074195768156,NA,145.063034476708,127.052521149585,NA,NA,675.166248506098,150.057546882864,175.026157616113,NA,218.104572133556,286.091340386462,146.083290001464,NA,367.158310190276,NA,NA,137.025584067528,NA,175.026364179494,157.015744883457,NA,357.03270458382,124.01654673268,243.063449756326,289.067308544367,NA,NA,NA,NA,150.057731099685,NA,164.072932495777,232.05931364256,NA,308.100083814187,170.047064298683,NA,151.027718800792,NA,108.021329443779,194.047362621308,NA,100.005171071921,93.0352158077147,283.069391469285,351.05631378627,151.02749549622,174.042383599764,242.028900579845,130.051850856351,NA,NA,NA,NA,173.083111860537,195.064854846815,111.079927162901,181.051857814434,249.039148855377,137.055600429529,122.036587080787,165.056729300974,147.044489527163,308.078252987559,NA,215.116522667786,131.083626327733,129.104190862232,NA,173.010730500625,111.010191809977,155.000079755103,192.06773058518,NA,151.040973356411,219.028697507688,NA,137.025668237507,NA,129.020660991115,NA,173.010844068655,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W59_LTR.mzML",NA,391.112357630631,180.030139549644,137.024386278215,NA,NA,NA,153.020635533789,NA,187.099232443025,209.081015959881,125.098556049589,97.0644630604629,204.067752969259,186.057220612053,158.06205328959,142.066448194501,135.032707501864,NA,180.067262036238,248.054637406274,163.041547793865,131.036295697109,199.022581830088,87.0461184573382,187.074138659617,NA,145.062676706665,127.052507094827,NA,NA,675.165958878038,150.057469365032,175.026125817594,113.025521043051,218.10479905576,286.091416657447,146.083629242506,88.0412342512622,NA,NA,NA,137.02583194559,NA,175.026065245948,157.01555264643,NA,357.032355428927,124.016475241389,243.063062532555,289.067357448486,NA,NA,113.025043069937,194.047750082473,150.057599624403,93.0349840441442,164.073007220909,NA,NA,308.099997166733,170.046798184385,NA,151.027599725691,219.01516095431,108.021470908269,194.0472337961,150.056945425891,100.005105273512,NA,283.069092145135,351.056052613413,151.027441723906,174.042367765191,242.028612474804,NA,NA,NA,NA,NA,173.083416049608,195.065212522468,111.081260467025,181.051786836214,249.038922931032,NA,122.036470501933,165.05704251715,147.044689565086,308.078331077509,330.061526523649,215.116478795761,131.08371950106,129.104522252107,NA,173.010800049794,111.010254759475,155.000089668321,192.068070352599,NA,151.041019966555,219.028579348503,NA,137.025847654639,NA,129.020608473277,NA,173.010667337399,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W60_SR.mzML",NA,391.112769998152,180.03024004359,137.024447402319,NA,NA,NA,153.020498334058,NA,187.099033079602,209.080800257969,125.098413472908,NA,204.067968759486,186.057030270114,158.062096627683,142.066935840304,135.032542479723,92.0259389983605,180.066643545515,248.054366806557,163.041068179345,131.036225084851,199.021537153605,87.0460021617174,187.073737415689,NA,145.062649821386,127.052084356278,NA,NA,675.165039885519,150.057297651717,175.025900433639,113.02552187104,218.104762927711,286.091465636596,146.083292669016,NA,367.157245187546,NA,NA,137.025801611171,NA,175.025996303067,157.015370509432,NA,357.031984983854,124.016260218802,243.063122337515,289.067107023283,193.03638039454,NA,NA,NA,150.057500890702,NA,164.072896355368,232.059448794158,NA,308.099413438489,170.046868458844,NA,151.02762561061,219.015168052194,NA,194.047385227505,150.057091724336,100.005255861345,NA,283.069175492264,351.055981389474,151.027384018026,174.042164746252,242.028536754447,130.051702495863,NA,NA,NA,NA,173.083094050424,195.064849914082,NA,181.05168766409,249.038739191932,NA,NA,165.056815799959,NA,308.077861679917,330.062120191152,215.115877893489,131.083567640407,129.104550453915,NA,173.010395416259,111.009967892605,154.999773991564,192.067471517283,74.0244645111115,151.04094120552,219.02842368312,NA,137.025452635866,93.0352904429753,129.02049771152,NA,173.010644146764,NA,NA
