"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W11_LTR.mzML",NA,391.112701416016,180.030044555664,137.024261474609,NA,NA,NA,153.019393920898,109.027496337891,187.098388671875,209.080108642578,125.096099853516,97.06254404,204.067153930664,186.054916381836,158.060668945312,142.064315795898,135.032028198242,92.0252838134766,180.066619873047,248.053817749023,163.04020690918,131.033905029297,199.019989013672,87.0442199707031,187.073593139648,NA,145.059417724609,127.049354553223,NA,NA,675.161804199219,150.056137084961,175.024963378906,NA,218.103973388672,286.090362548828,146.082229614258,NA,NA,NA,NA,137.024337768555,NA,175.023651123047,157.014678955078,NA,357.029449462891,124.013526916504,243.060043334961,289.066192626953,NA,NA,113.02230464,194.046890258789,150.056823730469,93.0340423583984,164.072082519531,232.057388305664,NA,308.098052978516,170.043411254883,NA,151.027206420898,219.009714805,108.01872253418,194.046676635742,150.053955078125,100.004409790039,93.0337600708008,283.067932128906,351.053192138672,151.026336669922,174.041961669922,242.023391723633,NA,114.01628973,NA,NA,NA,173.08283996582,195.064361572266,111.0783338,181.05061340332,249.037994384766,137.052944175,NA,165.055252075195,NA,308.075836181641,NA,215.115615844727,131.081756591797,129.102432250977,NA,173.010131835938,111.009086608887,154.999771118164,192.065475463867,NA,151.04035949707,219.024017333984,NA,137.02392578125,NA,129.020095825195,85.0267715454102,173.010147094727,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W12_SR.mzML",NA,391.11181640625,180.02685546875,137.024032592773,NA,NA,NA,153.019912719727,NA,187.098358154297,209.079940795898,125.097091674805,97.0630874633789,204.066818237305,186.055374145508,158.058334350586,142.064193725586,135.031982421875,92.0241928100586,180.065994262695,248.051376342773,163.038299560547,131.035614013672,199.021667480469,87.0441360473633,187.073348999023,169.061431884766,145.061676025391,127.049407958984,125.069351196289,NA,675.157958984375,150.056625366211,175.025253295898,113.023406982422,218.103775024414,286.089233398438,146.080749511719,88.0403594970703,367.153045654297,NA,NA,137.025009155273,NA,175.02375793457,157.0146484375,NA,357.027435302734,124.013534545898,243.061721801758,289.065185546875,NA,NA,NA,NA,150.05696105957,93.03260449,164.071166992188,232.056762695312,NA,308.097778320312,170.043106079102,NA,151.026428222656,219.010803222656,108.01921081543,194.046234130859,150.055389404297,100.004249572754,NA,283.067321777344,351.049896240234,151.025161743164,174.041229248047,242.026443481445,130.050735473633,NA,NA,NA,NA,173.082611083984,195.064254760742,111.0783338,181.0498046875,249.038024902344,137.054046630859,122.033169475,165.053161621094,147.04118347168,308.077514648438,NA,215.114364624023,131.082611083984,129.102828979492,NA,173.009567260742,111.009613037109,154.999237060547,192.066345214844,NA,151.039733886719,219.023315429688,NA,137.023254394531,93.0346145629883,129.019775390625,85.02672458,173.009887695312,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W23_LTR.mzML",NA,391.11181640625,180.029174804688,137.023620605469,NA,NA,109.027503967285,153.019821166992,NA,187.098129272461,209.079406738281,125.096733093262,NA,204.066223144531,NA,158.058166503906,142.064010620117,135.032150268555,NA,180.066543579102,248.053527832031,163.040054321289,131.035247802734,199.020645141602,87.0441207885742,187.073455810547,NA,145.061004638672,127.050018310547,NA,NA,675.161193847656,150.055816650391,175.024642944336,113.024208068848,218.103637695312,286.091033935547,146.080169677734,NA,367.154754638672,435.141479492188,NA,137.024398803711,93.0346450805664,175.022521972656,157.014617919922,NA,357.02664452,124.013139775,243.061416625977,289.062896728516,NA,NA,113.02230464,194.046676635742,150.056915283203,93.0349349975586,164.071334838867,232.057968139648,NA,308.098419189453,170.043273925781,87.00669488,151.027038574219,219.009714805,108.019020080566,194.046585083008,150.054092407227,100.003913879395,93.0348129272461,283.067230224609,351.053924560547,151.023864746094,NA,242.024337768555,130.048919677734,NA,NA,115.075790405273,NA,173.082580566406,195.064361572266,NA,181.050186157227,249.035385131836,NA,122.033169475,165.055191040039,147.040794355,308.077026367188,330.057434082031,215.113342285156,131.081039428711,129.10206344,NA,173.010116577148,111.008827209473,154.999404907227,192.065231323242,NA,151.04035949707,219.02311706543,NA,137.024383544922,93.0346069335938,129.019119262695,85.02672458,173.009658813477,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W24_SR.mzML",NA,391.111145019531,180.028076171875,137.023681640625,NA,NA,NA,153.019454956055,NA,187.098068237305,209.079788208008,125.097007751465,97.06254404,204.066970825195,186.054489135742,158.059432983398,142.064895629883,135.03190612793,92.0256652832031,180.065780639648,248.050476074219,163.039443969727,131.035049438477,199.020416259766,87.0440673828125,187.072555541992,169.060989379883,145.061813354492,127.051124572754,125.071342468262,NA,675.160400390625,150.056457519531,175.024398803711,113.023422241211,218.103591918945,286.08984375,146.081130981445,88.0406036376953,NA,NA,NA,137.024261474609,93.0349502563477,175.023498535156,157.014572143555,167.018558284046,357.029052734375,124.013139775,243.059127807617,289.064666748047,NA,NA,NA,NA,150.056625366211,93.03260449,164.070785522461,232.057067871094,NA,308.09765625,170.043273925781,87.00669488,151.024322509766,219.011642456055,108.019897460938,194.04621887207,150.054962158203,100.004165649414,93.0345687866211,283.067230224609,351.052215576172,151.026412963867,174.041534423828,242.025985717773,130.051086425781,NA,NA,115.073273875,NA,173.082153320312,195.063583374023,111.0783338,181.049209594727,249.03776550293,NA,NA,165.053695678711,147.040794355,308.076354980469,NA,215.112930297852,131.08137512207,NA,NA,173.009719848633,111.007667541504,154.999130249023,192.064956665039,NA,151.037368774414,219.026306152344,NA,137.02278137207,93.0343475341797,129.018692016602,NA,173.009307861328,129.01606473,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W35_LTR.mzML",NA,391.112121582031,180.029006958008,137.023727416992,NA,NA,109.02799987793,153.019653320312,109.028160095215,187.097640991211,209.079238891602,125.096389770508,NA,204.066513061523,186.054351806641,NA,142.063568115234,135.031433105469,92.0236434936523,180.065643310547,248.050582885742,163.039733886719,131.035018920898,199.020477294922,87.0437088012695,187.072784423828,169.061279296875,145.060745239258,127.049156188965,125.071334838867,NA,675.160522460938,150.056442260742,175.024688720703,113.023307800293,218.103942871094,286.089935302734,146.082183837891,88.0407867431641,367.155548095703,435.139678955078,NA,137.024169921875,93.0333862304688,175.023422241211,157.013717651367,NA,357.029327392578,124.013511657715,243.061798095703,289.062774658203,NA,NA,NA,194.046371459961,150.056533813477,93.0347595214844,164.072052001953,232.057723999023,NA,308.097595214844,170.043975830078,87.00669488,151.026657104492,219.009714805,108.018501281738,194.04606628418,150.055908203125,100.003524780273,93.0344924926758,283.066101074219,351.051483154297,151.026550292969,174.041427612305,242.026565551758,130.050827026367,NA,NA,NA,NA,173.082122802734,195.064163208008,NA,181.049194335938,249.037399291992,NA,122.033169475,165.055450439453,NA,308.075592041016,330.057037353516,215.112167358398,131.082565307617,129.103103637695,NA,173.009567260742,111.008155822754,154.998947143555,192.066635131836,74.0231552124023,NA,219.023681640625,NA,137.023651123047,93.0344924926758,129.01953125,NA,173.009643554688,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W36_SR.mzML",NA,391.111999511719,180.029678344727,137.023803710938,NA,NA,NA,153.020111083984,NA,187.098098754883,209.079620361328,125.097434997559,NA,204.067245483398,186.055770874023,158.059280395508,142.063690185547,135.032073974609,92.0256652832031,180.066375732422,248.05126953125,163.040435791016,131.035385131836,199.017044067383,87.0440521240234,187.073013305664,169.058456420898,145.061721801758,127.051078796387,NA,NA,675.161926269531,150.055816650391,175.024642944336,113.022735595703,218.103805541992,286.090026855469,146.080535888672,88.0387496948242,367.155914306641,NA,NA,137.024856567383,93.034294128418,175.023880004883,157.014373779297,NA,357.027954101562,124.013139775,243.059844970703,289.065277099609,193.036117553711,NA,113.02230464,NA,150.05696105957,93.03260449,164.071838378906,232.056976318359,NA,308.09765625,170.043731689453,NA,151.026763916016,219.012496948242,108.020767211914,194.046173095703,150.055953979492,100.004547119141,NA,283.067199707031,351.05419921875,151.026824951172,174.041564941406,242.027725219727,130.051177978516,114.01628973,NA,NA,NA,173.082443237305,195.062255859375,NA,181.048568725586,249.036056518555,137.052944175,NA,165.054611206055,NA,308.076904296875,NA,215.113174438477,131.082870483398,129.103759765625,NA,173.009796142578,111.009788513184,154.999420166016,192.065841674805,74.0228576660156,151.039047241211,219.023040771484,NA,137.024307250977,93.0344009399414,129.02001953125,NA,173.009887695312,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W47_LTR.mzML",NA,391.111419677734,180.029403686523,137.023254394531,NA,NA,109.02774810791,153.020080566406,109.029495239258,187.098281860352,209.079528808594,125.097373962402,NA,204.067031860352,186.054473876953,158.057907104492,142.063430786133,135.03205871582,92.0247497558594,180.066421508789,248.052749633789,163.040054321289,131.035751342773,199.020431518555,87.0448989868164,187.072723388672,NA,145.058975219727,127.051933288574,NA,NA,675.161499023438,150.056533813477,175.024871826172,113.022941589355,218.103454589844,286.090118408203,146.081893920898,NA,NA,NA,NA,137.022689819336,93.0339508056641,175.022888183594,157.013931274414,NA,357.02664452,124.013139775,243.06169128418,289.06298828125,NA,NA,NA,194.046401977539,150.056671142578,NA,164.0712890625,232.056991577148,NA,308.097930908203,170.043609619141,NA,151.027053833008,219.009714805,108.020202636719,194.046234130859,150.056060791016,100.00464630127,93.0342483520508,283.067077636719,351.052520751953,151.026107788086,174.041290283203,242.023376464844,130.050415039062,NA,NA,NA,97.06254404,173.082565307617,195.064193725586,NA,181.050277709961,249.036346435547,NA,NA,165.0556640625,147.041290283203,308.073394775391,330.056365966797,215.114898681641,131.080810546875,NA,NA,173.009796142578,111.008888244629,154.999221801758,192.066619873047,74.0225896445,151.037994384766,219.023193359375,NA,137.023300170898,93.0348663330078,129.019943237305,NA,173.009857177734,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W48_SR.mzML",NA,391.112457275391,180.02978515625,137.023986816406,NA,NA,NA,153.019821166992,109.029678344727,187.098022460938,209.079895019531,125.097373962402,NA,204.067291259766,186.054779052734,158.060546875,142.065948486328,135.032440185547,NA,180.066482543945,248.05158996582,163.040344238281,131.035675048828,199.019271850586,87.0451507568359,187.073348999023,NA,145.062255859375,127.05199432373,NA,NA,675.157043457031,150.056854248047,175.024490356445,NA,218.103759765625,286.089233398438,146.080581665039,NA,367.154113769531,NA,NA,137.025146484375,NA,175.02424621582,157.013900756836,NA,357.02664452,124.013139775,243.060317993164,289.06298828125,NA,NA,NA,NA,150.057266235352,NA,164.071685791016,232.058151245117,NA,308.099029541016,170.044372558594,NA,151.027206420898,NA,108.018417358398,194.046752929688,NA,100.004585266113,93.03260449,283.0673828125,351.054412841797,151.027130126953,174.041778564453,242.026763916016,130.05158996582,NA,NA,NA,NA,173.082611083984,195.062683105469,111.0783338,181.048629760742,249.037979125977,137.052944175,122.033169475,165.055572509766,147.042083740234,308.077117919922,NA,215.114028930664,131.080139160156,129.103118896484,NA,173.010101318359,111.009437561035,154.999603271484,192.06689453125,NA,151.040451049805,219.024673461914,NA,137.024642944336,NA,129.020095825195,NA,173.010177612305,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W59_LTR.mzML",NA,391.111907958984,180.029708862305,137.023773193359,NA,NA,NA,153.020248413086,NA,187.098754882812,209.079330444336,125.097816467285,97.06254404,204.066390991211,186.054779052734,158.059112548828,142.065307617188,135.031860351562,NA,180.066833496094,248.052444458008,163.041061401367,131.035308837891,199.022155761719,87.0455932617188,187.073272705078,NA,145.06184387207,127.04956817627,NA,NA,675.157592773438,150.056930541992,175.025421142578,113.022346496582,218.103637695312,286.089691162109,146.082702636719,88.0403594970703,NA,NA,NA,137.024353027344,NA,175.022979736328,157.013717651367,NA,357.029846191406,124.01439666748,243.059112548828,289.066192626953,NA,NA,113.02230464,194.046691894531,150.056900024414,93.03260449,164.071060180664,NA,NA,308.098602294922,170.043380737305,NA,151.027114868164,219.009714805,108.019798278809,194.046859741211,150.05534362793,100.004554748535,NA,283.064544677734,351.053100585938,151.026412963867,174.042037963867,242.025573730469,NA,NA,NA,NA,NA,173.082885742188,195.063903808594,111.080772399902,181.04753112793,249.034210205078,NA,122.033169475,165.055404663086,147.04280090332,308.076202392578,330.057312011719,215.11491394043,131.081649780273,129.10206344,NA,173.010147094727,111.009269714355,154.999389648438,192.066986083984,NA,151.040023803711,219.023010253906,NA,137.024002075195,NA,129.020050048828,NA,173.009979248047,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W60_SR.mzML",NA,391.111602783203,180.029663085938,137.023941040039,NA,NA,NA,153.019622802734,NA,187.098358154297,209.079528808594,125.098083496094,NA,204.067001342773,186.054626464844,158.05908203125,142.066558837891,135.032028198242,92.025260925293,180.065963745117,248.051620483398,163.039840698242,131.035095214844,199.017807006836,87.0448379516602,187.073135375977,NA,145.061508178711,127.049606323242,NA,NA,675.158508300781,150.056381225586,175.025009155273,113.023452758789,218.103775024414,286.090606689453,146.082656860352,NA,367.153564453125,NA,NA,137.025405883789,NA,175.02375793457,157.014221191406,NA,357.02664452,124.013139775,243.060836791992,289.064025878906,193.035995483398,NA,NA,NA,150.056915283203,NA,164.071990966797,232.058013916016,NA,308.097991943359,170.042724609375,NA,151.027252197266,219.01123046875,NA,194.046768188477,150.056503295898,100.004554748535,NA,283.067352294922,351.053405761719,151.023941040039,174.04150390625,242.024002075195,130.050674438477,NA,NA,NA,NA,173.082672119141,195.062911987305,NA,181.047378540039,249.037933349609,NA,NA,165.053482055664,NA,308.076812744141,330.0550491,215.112075805664,131.081100463867,129.102783203125,NA,173.009735107422,111.008422851562,154.999298095703,192.066604614258,74.0236053466797,151.039703369141,219.022903442383,NA,137.022857666016,93.0351867675781,129.019638061523,NA,173.010070800781,NA,NA
