"","RNEG-002.1","RNEG-002.2","RNEG-002.3","RNEG-002.4","RNEG-003.1","RNEG-003.2","RNEG-003.3","RNEG-006.1","RNEG-006.2","RNEG-009.1","RNEG-009.2","RNEG-009.3","RNEG-009.4","RNEG-011.1","RNEG-011.2","RNEG-011.3","RNEG-011.4","RNEG-016.1","RNEG-016.2","RNEG-020.1","RNEG-020.2","RNEG-020.3","RNEG-021.1","RNEG-021.2","RNEG-021.3","RNEG-022.1","RNEG-022.2","RNEG-022.3","RNEG-022.4","RNEG-022.5","RNEG-023.1","RNEG-023.2","RNEG-023.3","RNEG-023.4","RNEG-023.5","RNEG-024.1","RNEG-024.2","RNEG-024.3","RNEG-024.4","RNEG-027.1","RNEG-027.2","RNEG-027.3","RNEG-028.1","RNEG-028.2","RNEG-031.1","RNEG-031.2","RNEG-032.1","RNEG-032.2","RNEG-032.3","RNEG-033.1","RNEG-033.2","RNEG-035.1","RNEG-035.2","RNEG-035.3","RNEG-041.1","RNEG-041.2","RNEG-041.3","RNEG-043.1","RNEG-043.2","RNEG-043.3","RNEG-045.1","RNEG-045.2","RNEG-045.3","RNEG-048.1","RNEG-048.2","RNEG-048.3","RNEG-049.1","RNEG-049.2","RNEG-049.3","RNEG-049.4","RNEG-052.1","RNEG-052.2","RNEG-052.3","RNEG-054.1","RNEG-054.2","RNEG-054.3","RNEG-054.4","RNEG-059.1","RNEG-059.2","RNEG-059.3","RNEG-060.1","RNEG-060.2","RNEG-060.3","RNEG-063.1","RNEG-063.2","RNEG-063.3","RNEG-063.4","RNEG-065.1","RNEG-065.2","RNEG-068.1","RNEG-068.2","RNEG-069.1","RNEG-069.2","RNEG-069.3","RNEG-071.1","RNEG-071.2","RNEG-071.3","RNEG-071.4","RNEG-074.1","RNEG-074.2","RNEG-075.1","RNEG-075.2","RNEG-075.3","RNEG-078.1","RNEG-078.2","RNEG-079.1","RNEG-079.2","RNEG-080.1","RNEG-080.2","RNEG-080.3"
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W11_LTR.mzML",NA,152.719779849671,152.468162202254,152.435979391417,NA,NA,NA,138.529242286881,141.305419823269,326.540498287449,326.39353529942,326.652477513622,322.917368291378,289.043709701704,289.00380371115,288.807360241354,289.402335694616,70.7761401774821,70.9778085756485,80.8855764663595,80.893289706956,80.7977573901687,129.521358944439,129.31388265697,129.371893834257,56.4470562795471,NA,56.2936065543946,56.4577334809089,NA,NA,113.062907916265,113.344613624768,113.281079963246,NA,137.782832737714,137.762757312961,137.799068188753,NA,NA,NA,NA,325.348683712445,NA,81.4884865921145,81.2836954077927,NA,65.5315111776035,65.3427494663609,81.6675182339356,81.4757350903931,NA,NA,31.3316439721578,161.592505622222,161.699444088386,161.523379254268,121.435290690674,121.478645697104,NA,36.3716728269642,36.3857095745053,NA,77.0716024312604,81.300318538761,77.0797249749864,146.025049134152,145.442037811606,145.983111439335,144.066200180206,107.99700468301,108.0424951872,108.01331122672,58.927752265018,58.9724783714078,NA,55.8826841661563,NA,NA,NA,266.381922766189,266.317424160989,263.745257618327,226.210709793308,226.255346753724,220.583936780366,NA,269.757403606705,NA,200.525056082373,NA,52.9675047101008,52.8950282068043,52.9530622941348,NA,44.4875174667367,44.5719294069268,44.5446069966607,237.981690945901,NA,201.649175871114,202.074891200956,NA,186.765357303085,NA,102.56277206822,99.1861723010607,76.9582696765156,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W12_SR.mzML",NA,152.829915250731,152.579365504262,152.549429305714,NA,NA,NA,138.665454639585,NA,326.551625757262,326.425809831797,326.586467430771,327.176079474461,289.134023916726,289.02272121934,289.120831616006,289.341489850631,70.4019422759355,70.4075727198803,80.8409685110481,80.8827577144158,80.8043849083348,129.666592385663,129.593649265217,129.575012054048,56.7347905583271,56.6457074307087,56.6478985094503,56.6733307951543,56.5262828452502,NA,112.620817465216,113.242796293623,113.09130936793,113.204252959171,137.831829873486,137.700381149204,137.817328299058,137.839694265697,471.17736761805,NA,NA,325.34410650835,NA,81.5050118325322,81.4324073576592,NA,64.0048955893498,63.8110611529118,81.5703375655883,81.2646666917806,NA,NA,NA,NA,161.934557061511,162.056190386556,121.336871787024,120.42538660839,NA,36.3079167465338,36.2848983659253,NA,77.1092929522658,74.9426322830255,77.1216688085234,146.174917542869,146.159553817222,146.170481554059,NA,108.129273816505,108.175741284269,108.102315886913,59.1084349044844,59.1900444302269,59.121440797929,NA,NA,NA,NA,266.492996168969,266.3944324471,265.195147860536,226.334145541566,226.326600577312,230.045581091417,222.36864720069,269.725713404692,267.612542492085,201.354831026854,NA,53.1144735371337,53.2730750026625,53.3215784465386,NA,44.5544053476552,44.5394146371885,44.521659772312,238.006940962583,NA,201.937384896933,202.272840900481,NA,187.020403822802,186.734599338805,102.501148561007,102.223686671315,76.779114624992,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W23_LTR.mzML",NA,153.034414482768,152.763686420621,152.762709560853,NA,NA,222.117648329963,139.004933567954,NA,326.737126641176,326.585406345954,326.672662633387,NA,289.245075971128,NA,289.388314409297,289.163456766653,71.4465001471458,NA,81.188174980781,81.2429289141717,81.1965821556477,129.856302932601,129.689856960418,129.918917936927,56.5817585809785,NA,56.4448900593322,56.6009165253484,NA,NA,113.333944080569,113.605894367047,113.489444082233,113.552254898308,138.007029761857,137.986356017901,137.933781029504,NA,471.387116557359,471.529719044367,NA,325.629748460405,325.595816274752,81.8930506138558,81.7239960055425,NA,66.0812962177856,65.9477091713114,81.9189827981699,81.5699889613182,NA,NA,31.1245110935449,161.918606465667,162.070461488635,162.182752898203,121.937129262594,121.740613271491,NA,36.4074770829031,36.3611548919114,35.5439728282111,77.4200452239408,81.6055440931676,77.4363574608164,146.345388454324,146.335258487626,146.356903881799,143.28393617575,108.27958380997,108.314222222876,108.258327868687,NA,59.1207633822245,59.1670492966114,NA,NA,205.572832470931,NA,266.594169155741,266.512659128594,NA,226.288862940632,226.345178934047,NA,222.252722855041,270.005613465478,266.109789116515,200.736553361725,200.881695810114,53.0162346093766,53.0298781734114,53.2892921293974,NA,44.6365069087274,44.6319646561573,44.5616847294223,238.242172862172,NA,201.740834220984,201.816498532302,NA,187.150842370908,186.896005802738,102.774639435315,98.0349222968962,77.3963766151794,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W24_SR.mzML",NA,153.001081620028,152.711711589608,152.720386629854,NA,NA,NA,138.847142065914,NA,326.665146792276,326.571824277944,326.624449574018,326.718295420434,289.267174110335,289.050154008202,289.179998808905,289.286381107319,71.2596812695905,71.1991558109923,81.1953016776177,81.2006973865651,81.2418664539695,129.812879888732,129.775728587922,129.817082289305,56.5552427950099,56.480830772653,56.4203475174676,56.4896846145216,56.8612133617655,NA,112.81753540034,113.438605779395,113.29071714217,113.368697648326,137.983324740957,137.868176830921,137.903389209379,138.054518467315,NA,NA,NA,325.481331730286,325.518942327013,81.8229044794512,81.7302926513629,65.55643992952,66.3837247071824,66.3875385556895,81.9291003605136,81.6291248065924,NA,NA,NA,NA,162.068760196282,162.184941290189,121.585905384877,120.787242004432,NA,36.2599603032676,36.2326917040631,34.4513992281961,77.4584695012126,75.3924724112574,77.6088931463118,146.356601292576,146.353084865578,146.326771071232,142.490412600652,108.29678389204,108.342533864372,108.313955879486,58.9707398753085,58.9502213720375,59.0064322159712,NA,NA,202.366738800069,NA,266.600029630832,266.487158870579,263.888562927678,226.373071408085,226.330406111436,NA,NA,269.846168613822,269.447768497435,201.488455273777,NA,53.0327043389814,52.9659799474196,NA,NA,44.5298791833662,44.5473790961456,44.5163602104146,238.105399463334,NA,201.989106196817,202.442325954496,NA,187.144254741898,186.826028145361,102.694038505004,NA,77.1660312362445,80.1089054414389,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W35_LTR.mzML",NA,153.117062110639,152.80000246367,152.803788493164,NA,NA,221.864951308674,138.993130039666,141.811720281752,326.765023482162,326.625828922439,326.791659002174,NA,289.313001310173,288.901584673488,NA,289.607239619322,71.2237041036497,71.2790645996651,81.0916908545199,81.184948334315,80.9595578955971,129.80880878187,129.731708616251,129.82976371603,56.735148565818,56.7725458537062,56.6256208995238,56.6061742948748,56.579670519503,NA,113.313672808058,113.555108695486,113.463828111081,113.521882344984,138.026910173177,138.023843379194,137.958903580864,138.008440314037,471.47388309232,471.0676058747,NA,325.607040831993,325.701258955355,81.7963428245113,81.5888722419285,NA,64.7782628221058,64.7289343879617,81.8712810932792,81.7331231044018,NA,NA,NA,161.940022567446,162.077004440612,162.290334243828,121.912661772309,121.739240870476,NA,36.4261642285092,36.4355773687118,35.8599924691498,77.3523087740963,81.5979305522067,77.372408410947,146.384494359987,146.372664628317,146.365863872463,143.19565281481,108.284685790359,108.309170732819,108.213185863265,59.1935288910031,59.211981093103,59.2083745684007,NA,NA,NA,NA,266.646330433195,266.557027771406,NA,226.519788496062,226.502920169692,NA,221.848033764917,270.025181666766,NA,200.747305225605,200.559971407333,53.0420728168,53.1151310898037,52.3943087936057,NA,44.7003636361557,44.6978596285768,44.6199418958622,238.222113976403,238.073714643385,NA,201.962574274565,NA,187.17081839872,187.129047656265,102.68857940271,NA,77.2629229860566,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W36_SR.mzML",NA,152.781190281772,152.626841022076,152.617404352107,NA,NA,NA,138.775271544571,NA,326.555336014906,326.4489068611,326.587656010408,NA,289.168036991516,289.248996555567,289.095384362124,289.346252721306,71.3289111031841,71.1364727018867,81.1888498860076,81.1960344915289,81.1818789639826,129.769975653033,129.630003951783,129.766330094956,56.6285302865229,55.7201535206945,56.5786313408509,56.6195220995123,NA,NA,112.727284558312,113.364822623755,113.221810792308,113.319150678211,137.904295750563,137.796921779078,137.913136307074,137.964943476223,471.075866313209,NA,NA,325.354911113226,325.449728992678,81.7936464534477,81.7289556518089,NA,66.4886982981302,66.261676293481,81.8163150046428,81.5040552725684,31.6439431324909,NA,31.6145173692619,NA,161.998397968283,162.128216462879,121.560749235417,120.883592859562,NA,36.289328058193,35.9799278188219,NA,77.4465378901604,75.2999686026739,77.6702057492541,146.270841633374,146.300941722913,146.258593990196,NA,108.236149099968,108.300809159235,108.213310110319,58.9831574325302,58.8908405686521,58.9933767780131,59.4475976356349,NA,NA,NA,266.519308499943,266.387915492845,NA,226.385781049079,226.312057579619,224.487204872887,NA,269.724106790058,NA,201.381089618626,NA,53.085666759277,53.1619270518383,52.7317078055887,NA,44.5203301866371,44.530431458863,44.4106654178584,238.047940047442,238.718537318898,202.016779864297,201.911826055935,NA,187.039012282969,186.965122700778,102.667548804164,NA,77.1327454171756,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W47_LTR.mzML",NA,152.920246263823,152.705868088127,152.706696258093,NA,NA,221.744209884774,138.902714877857,141.625221159195,326.625318505952,326.487795430595,326.574206641631,NA,289.196151242397,289.108658248545,289.201797785603,288.99868177292,71.2929047021257,71.3783188953019,81.1669068104688,81.2038883243256,81.2179275347861,129.777003423515,129.71604599295,129.649050890163,56.6164636420749,NA,56.4659209665693,56.7243541033972,NA,NA,113.342404318582,113.574833420098,113.499627188396,113.611152689158,137.915499516114,137.892907213154,137.8966078036,NA,NA,NA,NA,325.534970609048,325.124443637916,81.833385797111,81.5890034508028,NA,66.2603619654609,66.0564220907129,81.890237267638,81.5049327388693,NA,NA,NA,161.852740929421,162.026280797826,NA,121.859717696147,121.639058606048,NA,36.4187410952335,36.3599160289191,NA,77.3610507512117,81.5851812248645,77.3510952925969,146.316047912699,146.334758682108,146.278049033008,143.008680902131,108.226274620696,108.286221515519,108.270170931726,59.1262758352925,59.130434293552,59.1819555238582,NA,NA,NA,207.934106580926,266.527331948538,266.446601110227,NA,226.392232625024,226.370540655304,NA,NA,269.901895012082,266.899914726344,200.678103569482,200.934472587524,53.160009076376,53.1663845634733,NA,NA,44.693290166588,44.6671168090399,44.6011453536839,238.103315751996,242.479401432828,201.847315128472,201.028937123631,NA,187.075683785951,186.999843344508,102.886430609918,NA,77.2678100404782,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W48_SR.mzML",NA,152.841177636959,152.595404147558,152.576655660414,NA,NA,NA,138.909327738504,141.135962263318,326.540453815984,326.428707647211,326.574770118723,NA,289.161024333527,289.05501659907,289.004673425873,289.156008754536,71.5020168950468,NA,81.2023530556977,81.2005733044704,80.9958949406186,129.747442087947,129.453581694807,129.715589685779,56.5970304386863,NA,56.4881881083957,56.6227576949811,NA,NA,112.729952149218,113.332919678274,113.182612693023,NA,137.888374142956,137.772054958614,137.780990806985,NA,471.240101532578,NA,NA,325.375534481182,NA,81.8424607597294,81.7660486593604,NA,66.3118299467956,66.3961592391256,81.8461314660187,81.6613575915982,NA,NA,NA,NA,161.979587433907,NA,121.454894171463,120.877063759186,NA,36.2720191214057,36.1850477661763,NA,77.4747436551606,NA,77.7211369311505,146.276984770038,NA,146.280989038486,141.962692235781,108.221875603037,108.293804842641,108.193625089622,58.9621158591488,59.0346264830709,59.0542090438826,NA,NA,NA,NA,266.483177113567,266.366788758004,265.089630030994,226.558570458342,226.40176004118,221.337212194395,221.906584167489,269.762938025991,267.273465416393,201.390709236817,NA,53.022201523377,52.9290533742619,53.3367897943816,NA,44.5308144421655,44.5152552706942,43.4190526253992,238.06348461898,NA,201.873440960515,201.898986805551,NA,187.061458245264,NA,102.612457462704,NA,77.2272676597755,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W59_LTR.mzML",NA,152.830150002184,152.588888413359,152.616696381571,NA,NA,NA,138.787743720966,NA,326.559071333181,326.414334042272,326.580468884002,307.798017652998,289.107008030587,289.000065934845,289.339860760384,288.976956035639,70.0836906288202,NA,80.6738907017683,80.7785132425321,80.6258301515909,129.545981468341,129.438447810248,129.640831805699,56.597155820668,NA,56.4069996006364,56.6643057099325,NA,NA,112.992851482006,113.266494740496,113.154112081629,113.174877883997,137.791783863267,137.771269522082,137.827757246272,137.775614276742,NA,NA,NA,325.446280040433,NA,81.3837964325243,81.1751001582505,NA,65.3990370415716,65.4888150212322,81.5375711281283,81.3902548061418,NA,NA,31.0832570411413,161.712435474507,161.848715608275,161.913919524197,121.490763847578,NA,NA,36.3642033961461,36.308056595155,NA,76.9788714548579,81.2186512761572,76.9588346512807,146.165121674418,146.126165106979,146.112664344454,NA,108.054055741031,108.098438073568,108.034132643651,59.0123146767428,59.0524567151133,NA,NA,NA,NA,NA,266.411994303113,266.355470596864,265.260016673952,226.306125705366,226.285063422336,NA,221.662384880387,269.763127760555,267.638030759628,200.711315212803,200.756307365975,53.027998351557,52.9689295554424,53.2999733796315,NA,44.6126689862508,44.6446185900513,44.5556128869598,238.006924269033,NA,201.320718629709,202.329432021524,NA,186.958026293622,NA,102.352754841073,NA,76.7713341580714,NA,NA
"../Converted/U_RNEG_mzML/ALZ_RNEG_ToF03_U4W60_SR.mzML",NA,152.889723759441,152.616509945398,152.626950402897,NA,NA,NA,138.865532603349,NA,326.604242306238,326.504678591417,326.658337976385,NA,289.2167865398,289.199390596647,289.181663601392,289.533541918685,68.066403378286,68.1694058169076,80.4463807258145,80.3878844544105,80.4362736144956,129.589312021005,129.094696295028,129.656449748564,56.6877409561532,NA,56.6750878961176,56.7078727183113,NA,NA,112.664599747514,113.279705132995,113.141617032303,113.254084075182,137.797072623655,137.705935848107,137.784489554363,NA,471.344331560597,NA,NA,325.366192557164,NA,81.1148902673202,80.9964554456808,NA,60.7716665521105,60.7209024594351,81.2911985966479,81.0730653490508,31.646312123238,NA,NA,NA,161.938959480929,NA,121.326863579765,120.728567210288,NA,36.2583332703098,36.0807410479394,NA,76.7521013525604,74.2998392162539,NA,146.211348222665,146.26077436999,146.199867727117,NA,108.128944624944,108.170294931727,108.109002981221,59.0966925394072,59.1989159249794,59.2078185759001,NA,NA,NA,NA,266.555683705026,266.441066969441,NA,226.367042463467,226.351370381649,NA,NA,269.765948835441,NA,201.382921780568,199.69217912279,53.2142515291837,53.2304013451995,53.4557581604169,NA,44.5352254193976,44.525679925162,44.5029697405111,238.099669994064,238.87092071492,201.825356699267,202.012539787835,NA,187.042980732829,187.04527611806,102.471371247247,NA,76.2490042857862,NA,NA
