"","ratio_peaks_found","ratio_peaks_filled","ppm_error","rt_dev_sec"
"RNEG-002.1 - 1,7-Dimethylurate",0.386904761904762,0,6.58414395135834,-0.260070813938822
"RNEG-002.2 - 1,7-Dimethylurate",0.958333333333333,0,1.63730127972259,-0.294331025173974
"RNEG-002.3 - 1,7-Dimethylurate ISF.1",0.970238095238095,0,9.37103581154711,-0.314498868401199
"RNEG-002.4 - 1,7-Dimethylurate ISF.2",0.94047619047619,0,8.69895852228509,-0.20456810022875
"RNEG-003.1 - 2,6-Dihydroxybenzoate",0.55952380952381,0,6.91101326978371,3.55805286126635
"RNEG-003.2 - 2,6-Dihydroxybenzoate ISF.1",0.392857142857143,0,7.75849677123054,3.65204252552027
"RNEG-003.3 - 2,6-Dihydroxybenzoate ISF.2",0.392857142857143,0,7.87661857818302,3.18501953873677
"RNEG-006.1 - 3,5-Dihydroxybenzoate",0.958333333333333,0,6.96945536432254,-0.787956936301727
"RNEG-006.2 - 3,5-Dihydroxybenzoate ISF.1",0.303571428571429,0,9.4452040679991,0.821327379352704
"RNEG-009.1 - Azelaic Acid",0.946428571428571,0,6.51468989380257,-0.639089370493304
"RNEG-009.2 - Azelaic Acid",0.952380952380952,0,6.83927001321922,-0.639664547093384
"RNEG-009.3 - Azelaic Acid ISF.1",0.892857142857143,0,8.73137377804207,-0.634462766008038
"RNEG-009.4 - Azelaic Acid ISF.2",0.321428571428571,0,3.91646833129112,-0.822070710620264
"RNEG-011.1 - Indolelactate",0.964285714285714,0,5.44393009056535,-1.08489446186224
"RNEG-011.2 - Indolelactate ISF.1",0.839285714285714,0,3.18163965583705,-1.10999650704945
"RNEG-011.3 - Indolelactate ISF.2",0.952380952380952,0,9.5721428963921,-1.10173558686745
"RNEG-011.4 - Indolelactate ISF.3",0.821428571428571,0,8.79594254575434,-1.13548611323553
"RNEG-016.1 - Hypoxanthine",0.910714285714286,0,8.61411067101933,-0.319665171478067
"RNEG-016.2 - Hypoxanthine ISF.1",0.660714285714286,0,9.74295121613645,-0.297630422555083
"RNEG-020.1 - Tyrosine",0.892857142857143,0,3.54774903174305,-0.421870905718876
"RNEG-020.2 - Tyrosine",0.910714285714286,0,3.24539269039018,-0.412827584644461
"RNEG-020.3 - Tyrosine ISF.1",0.958333333333333,0,6.61186497410889,-0.424566282451545
"RNEG-021.1 - Methylsuccinate",0.94047619047619,0,7.90197318256821,-0.206090156077468
"RNEG-021.2 - Methylsuccinate",0.922619047619048,0,8.83946751557589,-1.43611592329576
"RNEG-021.3 - Methylsuccinate ISF.1",0.767857142857143,0,9.21389691204759,-2.29681501570934
"RNEG-022.1 - N-Acetylglutamine",0.94047619047619,0,6.7510228201265,-1.04160978221138
"RNEG-022.2 - N-Acetylglutamine ISF.1",0.553571428571429,0,8.63523764639519,-1.08895659921751
"RNEG-022.3 - N-Acetylglutamine ISF.2",0.904761904761905,0,8.80233631172125,-1.11024490573082
"RNEG-022.4 - N-Acetylglutamine ISF.3",0.886904761904762,0,8.47733923065191,-1.06999324418533
"RNEG-022.5 - N-Acetylglutamine ISF.4",0.55952380952381,0,9.0562785446973,-1.13666979233017
"RNEG-023.1 - Acetaminophen Glucuronide (saturation?)",0.107142857142857,0,7.05083918944794,-0.0500087792503336
"RNEG-023.2 - Acetaminophen Glucuronide ",1,0,1.58471905412116,-0.212830525143426
"RNEG-023.3 - Acetaminophen Glucuronide ISF.1",0.93452380952381,0,7.97569102623502,-0.261967067393135
"RNEG-023.4 - Acetaminophen Glucuronide ISF.2",0.958333333333333,0,8.96627567408697,-0.246643293571799
"RNEG-023.5 - Acetaminophen Glucuronide ISF.3",0.839285714285714,0,10.4959431471133,-0.293552839425784
"RNEG-024.1 - Pantothenate ",0.958333333333333,0,5.21207369797336,-0.0205856988999499
"RNEG-024.2 - Pantothenate ",0.976190476190476,0,4.41734051623671,-0.414469913914198
"RNEG-024.3 - Pantothenate ISF.1",0.910714285714286,0,7.48814646218642,-0.0286828661469451
"RNEG-024.4 - Pantothenate ISF.2",0.56547619047619,0,9.88775906553258,-0.0124420831198494
"RNEG-027.1 - Dehydroepiandrosterone Sulfate",0.178571428571429,0,1.62521250790136,-1.57114976562248
"RNEG-027.2 - Dehydroepiandrosterone Sulfate",0.0595238095238095,0,2.64452234684131,-0.292289362168668
"RNEG-027.3 - Dehydroepiandrosterone Sulfate ISF.1",0.107142857142857,0,11.2060173681382,0.623617663186081
"RNEG-028.1 - Salicylate",0.928571428571429,0,7.9832906345889,-1.14330009328083
"RNEG-028.2 - Salicylate ISF.1",0.726190476190476,0,10.5651340338646,-1.24625625945093
"RNEG-031.1 - 1,2,3-Propanetricarboxylate",0.964285714285714,0,6.1059188081661,-0.380274374564924
"RNEG-031.2 - 1,2,3-Propanetricarboxylate ISF.1",0.94047619047619,0,7.69614879205348,-0.365169939987797
"RNEG-032.1 - Urate (saturation?)",0.303571428571429,0,5.68575358949308,0.345479406425704
"RNEG-032.2 - Urate",0.976190476190476,0,2.0500278212843,0.842553152953278
"RNEG-032.3 - Urate ISF.1",0.910714285714286,0,9.29002415659025,0.867509475234272
"RNEG-033.1 - Uridine",0.958333333333333,0,3.7440409968159,-0.348478435381279
"RNEG-033.2 - Uridine",0.946428571428571,0,2.66557746889476,-0.39702456170342
"RNEG-035.1 - D-Glucuronate",0.214285714285714,0,6.20889613623858,0.0375713875903628
"RNEG-035.2 - D-Glucuronate ",0.0297619047619048,0,3.79503791886588,-2.18870638009639
"RNEG-035.3 - D-Glucuronate  ISF.1",0.386904761904762,0,7.2922530116586,0.0433644125412438
"RNEG-041.1 - 3-Hydroxyhippurate",0.636904761904762,0,8.29258226649778,-0.849973517937169
