"cpdID","cpdName","Retention Time","m/z"
"RPOS-001.1","Xanthurenate",168.267684609111,206.044596038213
"RPOS-001.2","Xanthurenate ISF.1",167.21654293607,178.049648798188
"RPOS-001.3","Xanthurenate ISF.2",167.874729771206,132.043958087464
"RPOS-002.1","Urocanate",57.508351058757,139.049818051046
"RPOS-002.2","Urocanate ISF.1",57.5193208436396,121.038917205954
"RPOS-002.3","Urocanate ISF.2",57.5396370888195,93.0444307074155
"RPOS-003.1","Urate",68.2506288238546,169.036508332954
"RPOS-003.2","Urate ISF.1",68.2615405857571,141.040218274834
"RPOS-003.3","Urate ISF.2",68.2217562309843,152.008614131655
"RPOS-003.4","Urate ISF.3",68.2752493103547,126.029277650779
"RPOS-005.1","Theobromine",145.215331031786,181.072246067293
"RPOS-005.2","Theobromine ISF.1",145.236127038545,163.061057271826
"RPOS-005.3","Theobromine ISF.2",145.213691218949,138.065546148026
"RPOS-008.1","Pseudouridine",57.264286171339,245.077219280321
"RPOS-008.2","Pseudouridine ISF.1",57.2991200893454,209.055742730141
"RPOS-008.3","Pseudouridine ISF.2",57.3035508125353,191.04486676855
"RPOS-008.4","Pseudouridine ISF.3",57.3005132580334,179.044908628426
"RPOS-008.5","Pseudouridine ISF.4",57.3020179261935,155.044777713422
"RPOS-015.1","Pantothenate",141.438540685735,220.117976147606
"RPOS-015.2","Pantothenate ISF.1",141.451850505635,202.107089315371
"RPOS-015.3","Pantothenate ISF.2",141.447574844908,184.096395161596
"RPOS-016.1","L-Acetylcarnitine",58.1162160097216,204.124275361612
"RPOS-016.2","L-Acetylcarnitine ISF.1",58.1680790864657,85.0280954150316
"RPOS-018.1","1-Methyladenosine",75.2945044082797,282.120755897103
"RPOS-018.2","1-Methyladenosine ISF.1",75.3029501070938,150.076977046139
"RPOS-026.1","N2,N2-Dimethylguanosine",143.348575491189,312.130284751988
"RPOS-026.2","N2,N2-Dimethylguanosine ISF.1",143.353265597983,180.087786032922
"RPOS-026.3","N2,N2-Dimethylguanosine ISF.2",143.377487987684,110.035001667727
"RPOS-027.1","2-Furoylglycine",142.174298120414,170.044580863843
"RPOS-027.2","2-Furoylglycine ISF.1",142.161811683668,124.038830189247
"RPOS-027.3","2-Furoylglycine ISF.2",142.191352796969,95.0125222005004
"RPOS-029.1","Tryptophan",165.269382947023,205.097194955204
"RPOS-029.2","Tryptophan ISF.1",165.263965035817,188.070689806966
"RPOS-029.3","Tryptophan ISF.2",165.274302575594,170.059506187373
"RPOS-029.4","Tryptophan ISF.3",165.291115131816,118.064950417669
"RPOS-031.1","Kynurenine",121.288829131793,209.091608726984
"RPOS-031.2","Kynurenine ISF.1",121.344469099036,192.065245080407
"RPOS-031.3","Kynurenine ISF.2",121.147932160501,146.061686350926
"RPOS-034.1","Indoleacetyl glutamine",238.685966987112,304.129056434637
"RPOS-034.2","Indoleacetyl glutamine ISF.1",238.694819659619,130.064443592087
"RPOS-035.1","Indole-3-acetic-acid-O-glucuronide",266.168175197527,374.084350854341
"RPOS-035.2","Indole-3-acetic-acid-O-glucuronide",266.180751291185,352.10200950932
"RPOS-035.3","Indole-3-acetic-acid-O-glucuronide ISF.1",266.181440921634,176.070302646109
"RPOS-035.4","Indole-3-acetic-acid-O-glucuronide ISF.2",266.201273341864,130.06472437033
"RPOS-036.1","Hypoxanthine",73.0033658481957,137.045725482569
"RPOS-036.2","Hypoxanthine",73.0389887719572,159.027375755138
"RPOS-036.3","Hypoxanthine ISF.1",73.028064115974,119.034733017366
"RPOS-043.1","2-Octenoylcarnitine",336.863366123445,286.202751191314
"RPOS-043.2","2-Octenoylcarnitine ISF.1",336.639598295281,85.0282816782214
"RPOS-043.3","2-Octenoylcarnitine ISF.2",336.628854074302,227.127569394885
"RPOS-044.1","Caffeine",209.05194359735,195.087906691274
"RPOS-044.2","Caffeine ISF.1",209.049650310972,138.065685074447
"RPOS-045.1","Butyrylcarnitine",144.06091360687,232.155756649058
"RPOS-045.2","Butyrylcarnitine ISF.1",144.104652341217,173.080476846052
"RPOS-045.3","Butyrylcarnitine ISF.2",144.12125545137,85.0280894527705
"RPOS-049.1","Acetaminophen glucuronide",117.128262297667,350.085074855431
"RPOS-049.2","Acetaminophen glucuronide ISF.1",117.143283790189,152.070766641408
"RPOS-049.3","Acetaminophen glucuronide ISF.2",117.090334048854,110.059733196221
"RPOS-050.1","Acetaminophen",154.839718142201,152.070289282597
"RPOS-050.2","Acetaminophen ISF.1",154.882820879193,110.05978567622
"RPOS-051.1","7-Methylguanine",75.605649332013,166.072695716192
"RPOS-051.2","7-Methylguanine ISF.1",75.6060100453429,149.045014302066
"RPOS-051.3","7-Methylguanine ISF.2",75.6159168602806,124.049956173678
"RPOS-053.1","5'-Methylthioadenosine",164.951095538724,298.096603636959
"RPOS-053.2","5'-Methylthioadenosine ISF.1",164.939193206193,136.061977675497
"RPOS-055.1","4-Pyridoxate",103.512810057519,184.060303102265
"RPOS-055.2","4-Pyridoxate ISF.1",103.506514629585,166.04943309219
"RPOS-055.3","4-Pyridoxate ISF.2",103.50166001232,148.038783161114
"RPOS-057.1","Kynurenate",185.967909927571,190.049793136919
"RPOS-057.2","Kynurenate ISF.1",185.965483355716,162.054517860914
"RPOS-061.1","Paraxanthine",166.424521113695,181.072222908709
"RPOS-061.2","Paraxanthine ISF.1",166.446881372135,124.050281754227
"RPOS-062.1","1-Methylurate",110.300888254111,183.051328956583
"RPOS-062.2","1-Methylurate ISF.1",110.309479292457,155.05592157539
"RPOS-062.3","1-Methylurate ISF.2",110.307269852971,126.029660952278
"RPOS-063.1","N4-Acetylcytidine",131.108132412737,286.103370298916
"RPOS-063.2","N4-Acetylcytidine",131.162077914536,308.085249069353
"RPOS-063.3","N4-Acetylcytidine ISF.1",131.109005873317,154.060704837167
"RPOS-063.4","N4-Acetylcytidine ISF.2",131.113783472359,112.050155838607
"RPOS-069.1","Indole-3-acetate",337.478561239983,176.07023304927
"RPOS-069.2","Indole-3-acetate ISF.1",337.485182959326,130.06466827537
"RPOS-071.1","Tetrahydropentoxyline",120.52247736868,367.149669962182
"RPOS-071.2","Tetrahydropentoxyline ISF.1",120.510290196255,230.081181339411
"RPOS-071.3","Tetrahydropentoxyline ISF.2",120.508343536735,156.080161353296
"RPOS-071.4","Tetrahydropentoxyline ISF.3",120.52009579601,144.080267341819
"RPOS-073.1","N-Acetylaspartylglutamate",88.0757724109825,305.097481739143
"RPOS-073.2","N-Acetylaspartylglutamate",88.0573465295263,327.079267387493
"RPOS-073.3","N-Acetylaspartylglutamate ISF.1",88.0765816193786,148.059964308193
"RPOS-074.1","Theophylline",166.427162694483,181.072231524435
"RPOS-074.2","Theophylline ISF.1",166.456644225734,124.050278930667
"RPOS-075.1","18-Hydroxycortisol",337.934671457462,379.210792029265
"RPOS-075.2","18-Hydroxycortisol ISF.1",337.909333105232,361.199319309294
"RPOS-078.1","5-Hydroxyindoleacetate",199.346101097658,192.065316773514
"RPOS-078.2","5-Hydroxyindoleacetate ISF.1",199.34969330656,146.059523503524
"RPOS-087.1","Tyrosine",84.0080268248232,182.079989942329
"RPOS-087.2","Tyrosine ISF.1",83.9989514306606,165.05443156994
"RPOS-087.3","Tyrosine ISF.2",83.9946081026923,147.043584002821
"RPOS-087.4","Tyrosine ISF.3",84.0009007384626,136.075207918909
"RPOS-087.5","Tyrosine ISF.4",83.9987345513269,123.04368147236
"RPOS-087.6","Tyrosine ISF.5",84.0014459599466,119.048697809698
"RPOS-089.1","Dopamine ISF.1",69.7550282959608,137.059257814833
"RPOS-089.2","Dopamine ISF.2",69.6696382742685,119.048879477825
"RPOS-089.3","Dopamine ISF.3",69.727744928865,91.0540822104615
