"","RPOS-001.1","RPOS-001.2","RPOS-001.3","RPOS-002.1","RPOS-002.2","RPOS-002.3","RPOS-003.1","RPOS-003.2","RPOS-003.3","RPOS-003.4","RPOS-005.1","RPOS-005.2","RPOS-005.3","RPOS-008.1","RPOS-008.2","RPOS-008.3","RPOS-008.4","RPOS-008.5","RPOS-015.1","RPOS-015.2","RPOS-015.3","RPOS-016.1","RPOS-016.2","RPOS-018.1","RPOS-018.2","RPOS-026.1","RPOS-026.2","RPOS-026.3","RPOS-027.1","RPOS-027.2","RPOS-027.3","RPOS-029.1","RPOS-029.2","RPOS-029.3","RPOS-029.4","RPOS-031.1","RPOS-031.2","RPOS-031.3","RPOS-034.1","RPOS-034.2","RPOS-035.1","RPOS-035.2","RPOS-035.3","RPOS-035.4","RPOS-036.1","RPOS-036.2","RPOS-036.3","RPOS-043.1","RPOS-043.2","RPOS-043.3","RPOS-044.1","RPOS-044.2","RPOS-045.1","RPOS-045.2","RPOS-045.3","RPOS-049.1","RPOS-049.2","RPOS-049.3","RPOS-050.1","RPOS-050.2","RPOS-051.1","RPOS-051.2","RPOS-051.3","RPOS-053.1","RPOS-053.2","RPOS-055.1","RPOS-055.2","RPOS-055.3","RPOS-057.1","RPOS-057.2","RPOS-061.1","RPOS-061.2","RPOS-062.1","RPOS-062.2","RPOS-062.3","RPOS-063.1","RPOS-063.2","RPOS-063.3","RPOS-063.4","RPOS-069.1","RPOS-069.2","RPOS-071.1","RPOS-071.2","RPOS-071.3","RPOS-071.4","RPOS-073.1","RPOS-073.2","RPOS-073.3","RPOS-074.1","RPOS-074.2","RPOS-075.1","RPOS-075.2","RPOS-078.1","RPOS-078.2","RPOS-087.1","RPOS-087.2","RPOS-087.3","RPOS-087.4","RPOS-087.5","RPOS-087.6","RPOS-089.1","RPOS-089.2","RPOS-089.3"
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD01.mzML",872.11328125,290.531005859375,3574.958984375,9106.9453125,614,205.950439453125,264150.25,2637.1875,2418.97265625,1743.775390625,46079.5,354.877685546875,632.01708984375,68320,28531.28125,4134.359375,7953.55078125,12778.9296875,10497.234375,541.318359375,500.342529296875,265949.75,671.74462890625,202822.75,37257.28125,12369.9921875,6999.35546875,0,13466.8828125,706.43212890625,3020.6015625,12768.015625,18129.359375,580,1381.8935546875,1836,223,1616.0224609375,7094.63671875,1151.095703125,3424,423.652587890625,3274.533203125,3181.501953125,29257.46875,10772.9296875,529.28564453125,148236.375,135,1609.2197265625,22047.484375,802.48193359375,144904.75,799.9345703125,222.998413085938,97877.8125,140799.125,9668.875,36401.0625,2412.15234375,50710.71875,192.232543945312,591.44775390625,751,157,33402.84375,9831.65625,3673.90625,5357.23046875,787,43629.40625,1406.3701171875,38022.28125,471.29248046875,326.23974609375,1549.45703125,13224.8828125,1433.052734375,878.291015625,576.015625,716.38720703125,12076.2421875,408,217.716674804688,455.01416015625,878,417,271.0419921875,43629.40625,1406.3701171875,783,304.618408203125,1329.3154296875,593.88037109375,27339.265625,5818.625,1299.1181640625,6589.26953125,2387.728515625,1319.7568359375,1198.03125,104,152
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD02.mzML",1092.9541015625,531.26416015625,3483.21484375,9673.484375,624.5556640625,189,255939.625,2091.994140625,2661.26171875,1655.73046875,43366.53125,260.86376953125,361.83251953125,67094.8125,28547.328125,3954.947265625,7459.140625,11248.6015625,10341.2890625,673,335.164794921875,264730.5,948.84423828125,199843.125,36414.90625,12596.4140625,6534.64453125,109,15288.1015625,741.43115234375,3299.572265625,12467.2421875,15978.171875,614.6279296875,1367.0107421875,1594.1669921875,393,1930.509765625,8061.3984375,1107.87109375,4146.3046875,593.70703125,3242.408203125,3648.30859375,33826.03125,13108.375,482.13525390625,150874.25,159,1027.0390625,20785.3125,561.16015625,142675.75,1029.4951171875,350.1064453125,115944.4375,161468.625,11184.5078125,37451.65625,2157.9375,55471.1875,467,432.52392578125,577,0,42238.5,12102.9140625,4296.421875,5012.1015625,1002,39783.0625,1317.3173828125,38184.75,331.14697265625,352.214111328125,1443.640625,15431.4609375,1734.0546875,1027.0458984375,835.70703125,612.5029296875,11875.484375,291.928466796875,239,442.987548828125,726.12841796875,747,247,39783.0625,1317.3173828125,980.57958984375,458,1082,696.68896484375,28156.34375,6067.01953125,1438.65625,6554.8984375,2779.07421875,1517.3330078125,1180.6376953125,207,184
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD03.mzML",1171.751953125,476.630859375,3279.171875,9761.640625,723.119140625,171,280107.75,2959.6171875,2841.087890625,1489.994140625,47338.84375,371.3203125,649.5458984375,72835.1875,30982.375,4098.53515625,7311.296875,11567.078125,9536.1484375,493.763916015625,432.735595703125,289735.25,987.2890625,205848.25,38517.21875,12788.484375,6065.31640625,0,15853.671875,841.03515625,3473.7109375,12513.2109375,16717.875,750.91162109375,879.9619140625,1663.0078125,313.432373046875,2213.259765625,6735.85546875,1062.376953125,3456.107421875,376.427490234375,3248.703125,3033.31640625,31184.34375,12893.578125,415,142772.5,120,1394,22330.078125,553.60888671875,145654.5,1058.1083984375,233,109044.1875,158499,10448.8359375,34981.90625,2292.703125,50311.28125,203.788208007812,595.72900390625,584,154.046508789062,44404.125,12088.328125,4162.8984375,4842.83203125,931.810546875,39765.5,1278.92578125,41760.28125,349.0185546875,336,1374.21875,13301.9921875,1596.0244140625,637.919921875,641.20263671875,786.8603515625,13006.9921875,280,309.49853515625,452,961.92529296875,634.4501953125,257.901611328125,39765.5,1278.92578125,883.388671875,686.31982421875,1300.3349609375,752.51953125,29538.8125,6867.921875,1509.5068359375,6275.46875,2092.041015625,1598.5048828125,1113.9130859375,137,183
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD04.mzML",862.015625,471.566162109375,3114.89453125,8610.1640625,810,249.409057617188,250551.625,2580.333984375,2420.42578125,1503.646484375,44203.5625,388.935791015625,590.796875,67886.1875,28560.21875,3688.884765625,7647.640625,10893.8984375,10874.859375,490,344.433349609375,271696,734.109375,199366.875,37216.75,11903.046875,6431.7734375,0,15773.265625,718.90771484375,3881.654296875,12527.2109375,16750.875,830.71484375,1451.88671875,1681.517578125,476.77197265625,1703,6690.765625,1178.16796875,3287,340.316650390625,2663.845703125,3249.205078125,32652.3125,14053.546875,598.29296875,145816.625,0,1249.076171875,22643.46875,634.7734375,134064.375,675.7275390625,337.040283203125,103117.625,148031.5,9815.09375,35942.71875,2289.55078125,53939.8125,197.502075195312,497.37060546875,547.94970703125,289,40953.90625,11918.640625,3961.90234375,5446.07421875,822.11474609375,41315.90625,1208.7958984375,38504.46875,203,899.3916015625,1517,14138,1525.1640625,983.07421875,526.78466796875,570,13749.453125,279.423583984375,235.442749023438,360.189697265625,703.0751953125,492.722412109375,315,41315.90625,1208.7958984375,1030,275.83837890625,1354.9736328125,553.45068359375,31125.734375,6778.140625,1687.0068359375,6208.22265625,2649.857421875,1659.79296875,855.09228515625,0,141
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD05.mzML",971.56591796875,539,2853.107421875,9485.4609375,668.4091796875,0,280324.25,2182.82421875,2217.72265625,1410.8876953125,40639.25,373,637.0078125,70498.5,30291.21875,4557.765625,8112.08203125,11682.21875,11052.21875,753.751953125,461.19091796875,252165.625,657.79052734375,223968.25,37919.5,11751.9453125,5945.03125,147,14241.6015625,744.388671875,3225.48828125,12091.1015625,16098.3984375,586.82470703125,1331.5771484375,2019,610.13330078125,1636.748046875,7000.4921875,1221,3428.623046875,298.9736328125,2643.08203125,3345.5625,33052.5,13727.0078125,338.916015625,147684.5,138,1072.0390625,20312.390625,449,124234.125,919.79638671875,243.10107421875,103191.5,146289.875,9220.015625,33547.03125,2453.818359375,52963,133.339477539062,485.966552734375,545.7802734375,228.141235351562,44251.6875,11455.9140625,4368.66015625,4899.84375,956.46875,41436.0625,1526.6337890625,35347.25,354,502.145263671875,1416.7578125,14885.40625,1564.49609375,868.8388671875,643.03173828125,659.91650390625,12942.09375,307,250,365.0625,806.869140625,790.34130859375,263.043701171875,41436.0625,1526.6337890625,936.67724609375,181.0869140625,1370.7353515625,881.138671875,29963.140625,6372.359375,1498.15234375,7420.86328125,2360.955078125,1474.16015625,946,0,237.505615234375
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD06.mzML",1040,422.3876953125,3011.6796875,8275.125,869.8505859375,157.908447265625,293320.75,2701.072265625,2533,1807.5302734375,40423.34375,239.777587890625,671,63662.65625,26413.296875,3337.71875,7085.7890625,11326.6796875,10577.671875,496.748779296875,375.982177734375,276303.5,987.970703125,204038,35116.4375,11578.34375,5701.4921875,0,15102.8671875,792.7431640625,4050.216796875,13007.703125,19596.375,997.6865234375,1398.48046875,1624.4423828125,488.201416015625,2048.765625,6725.1875,1244.65234375,3927.880859375,346,3078.607421875,3214.439453125,26056.140625,11971.484375,429,148340,150.872314453125,1100.068359375,22726.421875,714.98828125,144693.5,958.05126953125,302.98583984375,111988.1875,159210.875,11723.015625,35236.53125,2610.685546875,42568.1875,311.038330078125,436.079833984375,608.4091796875,178.980346679688,44307.65625,12702.3359375,4341.91796875,4433.734375,1125.6435546875,41515.15625,1327.8544921875,37166.84375,407,399.189453125,1507,16260.1953125,1603.76953125,797,704.19384765625,577.33544921875,13464.40625,350.953857421875,308.013427734375,563.9931640625,787.23095703125,609.5458984375,219.409301757812,41515.15625,1327.8544921875,944,265,1369.5380859375,893.33056640625,28018,6550.34375,1765,7085.453125,2594.27734375,1421.6669921875,1178.0029296875,0,148
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD07.mzML",1043,411.723388671875,3011.125,8966.2578125,763.35205078125,256,232747.75,2211.5703125,2935.8984375,1408.2783203125,47991.84375,315.4150390625,663,67509.0625,27208.03125,3983.333984375,7881.04296875,10933.6875,10503.0703125,686.96533203125,630.32958984375,269064.75,694,215366,37749.5625,12029.9296875,5628.22265625,128,15797.6875,819.9775390625,3622.744140625,12641.0546875,17805.578125,724.931640625,1028.9130859375,1498.05078125,608,1848,7280.92578125,803,3744.455078125,325,3253.015625,2984.923828125,30455.625,13374.3125,607.56005859375,140888.125,165,1060.390625,20488.546875,685.52294921875,143439.5,831.5,310,111466.5,155951.125,10615.484375,35459.25,2666,53785.8125,168,482.69775390625,582.74755859375,168.625610351562,47109.21875,11684.6328125,5041.6328125,5206.42578125,1017.4541015625,42345.25,1765.7451171875,33681.34375,386,287.7626953125,1425,15562.140625,1495.27734375,980,866.84912109375,426.156005859375,13045.359375,601.638671875,269.28857421875,551,797.00634765625,627,199,42345.25,1765.7451171875,934,248.260620117188,1050.0732421875,793,28720.25,6729.24609375,1783.951171875,6507.24609375,2747.13671875,1229.0673828125,912.248046875,0,200
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD08.mzML",1164.6328125,424.752197265625,3279.3125,9769.8359375,918.10595703125,155,297414,3133,2886.845703125,1658.80859375,42171.59375,205.205688476562,836.93359375,68320.8125,26783.25,3740.3515625,7033.203125,11337.2109375,10831.53125,653.32763671875,445.83251953125,264008.25,800,210842.25,37683.75,11462.34375,5809.12109375,0,13926.984375,923.67138671875,3366.84375,13730.1640625,18493.109375,662.47998046875,2022.3095703125,1738.736328125,596.04296875,2075.986328125,7466.78125,1269.9619140625,3476.73828125,340,2662.333984375,3278.869140625,31060.1875,13311.046875,519,146216.875,126,1107.875,21508.875,507.99560546875,139191,742,248.363647460938,111178.8125,152596,10902.2734375,37548.875,2254.849609375,56509.1875,379.376220703125,581.97119140625,555,191.508422851562,42751.90625,12226.1796875,4272.14453125,4489.1875,842.81201171875,41252.4375,1418.84765625,42667.84375,264,330,1289.6884765625,17442.59375,1614.591796875,923.080078125,787,574.3408203125,13790.2734375,521.1806640625,320.876220703125,446.11376953125,727.7080078125,638,309,41252.4375,1418.84765625,1078.7080078125,512,1338.1044921875,473.77099609375,30523.875,6566.02734375,1687.71484375,7507.0859375,2843.04296875,1489.3056640625,1016.689453125,0,198
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD09.mzML",1076.3134765625,588.10546875,3215.59375,10129.3125,994.95361328125,157.5908203125,245143.125,1908.908203125,2127.236328125,1598,43972.78125,407.140625,707.5078125,65713.625,27822.921875,3931.576171875,7564.2265625,11535.296875,9914.34375,682.76220703125,632.95703125,299717.5,737.650390625,207391.75,34870.5625,11864.4609375,6196.21484375,0,15215.2421875,893.97900390625,3275.466796875,13912.0078125,16625.390625,703.2783203125,1028.1435546875,1522.6181640625,569,1855.9130859375,6940.0390625,1192,4026.65625,299,2758.005859375,3240.65625,33678.8125,13014.3515625,766,146244.375,334,1376.1240234375,21705.765625,672.27490234375,134438.125,1136.8720703125,240.744750976562,112957.9375,156175.75,10322.125,35163.53125,2955.31640625,55295.125,357.283447265625,658.37841796875,634,0,45896.5,12592.40625,4440.65234375,4544.23046875,867.75927734375,41348.34375,1267.5595703125,39528.21875,521.580078125,309,1362.583984375,16317.171875,1542.734375,579.48681640625,593,720,12920.9140625,312.361572265625,472,369,973.40966796875,560,253.515258789062,41348.34375,1267.5595703125,1062,197,1258.904296875,668.7587890625,28004.34375,6396.79296875,1622.095703125,6527.87890625,2171.31640625,1426.337890625,807.72802734375,0,208.132934570312
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD10.mzML",912.572265625,435.3603515625,3556.396484375,10247.9765625,598.142578125,207,334895.25,3060.962890625,3065.064453125,2080.669921875,44776.03125,250.362670898438,755.2841796875,69235.3125,30153.484375,3916.609375,8531.109375,12460.625,10502.9921875,691.015625,481,332841.75,831,219734.875,38202.09375,12139.859375,7898.34375,0,15826.7265625,584.30517578125,3375.8203125,13383.546875,19403.75,871.90087890625,1558.8017578125,1406.0751953125,769.23291015625,1977.8916015625,7147.2890625,1076.201171875,3655.435546875,374.964111328125,3390.166015625,3151.314453125,27342.15625,11797.8671875,359,161239.625,141,1492,24287.28125,820,147660.125,1174.802734375,332.573486328125,116327.25,166008.125,10593.9296875,37056.78125,2471.0078125,49151.3125,174.674194335938,616.98876953125,576.97216796875,127.479675292969,44935.125,11901.6015625,4169.66796875,5904.13671875,842.54736328125,45139.9375,1698.640625,38941.90625,323,413,1402,17393.96875,1652.6103515625,697,713.14404296875,614.5927734375,13938.65625,306.736328125,290.759765625,606.77001953125,724.15478515625,892,321,45139.9375,1698.640625,1125,239.139282226562,1638.32421875,866.375,29701.890625,6631.43359375,1586.2314453125,7959.39453125,2658.3828125,1757.0439453125,521.515625,0,123.891479492188
