"","RPOS-001.1","RPOS-001.2","RPOS-001.3","RPOS-002.1","RPOS-002.2","RPOS-002.3","RPOS-003.1","RPOS-003.2","RPOS-003.3","RPOS-003.4","RPOS-005.1","RPOS-005.2","RPOS-005.3","RPOS-008.1","RPOS-008.2","RPOS-008.3","RPOS-008.4","RPOS-008.5","RPOS-015.1","RPOS-015.2","RPOS-015.3","RPOS-016.1","RPOS-016.2","RPOS-018.1","RPOS-018.2","RPOS-026.1","RPOS-026.2","RPOS-026.3","RPOS-027.1","RPOS-027.2","RPOS-027.3","RPOS-029.1","RPOS-029.2","RPOS-029.3","RPOS-029.4","RPOS-031.1","RPOS-031.2","RPOS-031.3","RPOS-034.1","RPOS-034.2","RPOS-035.1","RPOS-035.2","RPOS-035.3","RPOS-035.4","RPOS-036.1","RPOS-036.2","RPOS-036.3","RPOS-043.1","RPOS-043.2","RPOS-043.3","RPOS-044.1","RPOS-044.2","RPOS-045.1","RPOS-045.2","RPOS-045.3","RPOS-049.1","RPOS-049.2","RPOS-049.3","RPOS-050.1","RPOS-050.2","RPOS-051.1","RPOS-051.2","RPOS-051.3","RPOS-053.1","RPOS-053.2","RPOS-055.1","RPOS-055.2","RPOS-055.3","RPOS-057.1","RPOS-057.2","RPOS-061.1","RPOS-061.2","RPOS-062.1","RPOS-062.2","RPOS-062.3","RPOS-063.1","RPOS-063.2","RPOS-063.3","RPOS-063.4","RPOS-069.1","RPOS-069.2","RPOS-071.1","RPOS-071.2","RPOS-071.3","RPOS-071.4","RPOS-073.1","RPOS-073.2","RPOS-073.3","RPOS-074.1","RPOS-074.2","RPOS-075.1","RPOS-075.2","RPOS-078.1","RPOS-078.2","RPOS-087.1","RPOS-087.2","RPOS-087.3","RPOS-087.4","RPOS-087.5","RPOS-087.6","RPOS-089.1","RPOS-089.2","RPOS-089.3"
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD01.mzML",769.947072460906,NA,3252.6117909949,8776.02284421457,548.640616766775,NA,269890.798068008,2584.18284292705,2227.82487585668,NA,41449.2864150049,NA,534.844900661725,67019.4406777203,29029.2207583678,4041.5759640555,7462.90087527085,11947.6307573625,10180.5393328653,NA,NA,267082.535972314,NA,190557.673057205,34233.9517012141,12005.8464592719,6653.22715262316,0,13320.9708331739,609.237057412208,2946.2158510885,12767.0397289848,17166.5943184802,NA,NA,NA,NA,1390.94203664781,6975.92201136094,1065.50415379641,3335.19468494925,NA,NA,2849.68292228325,27871.4449667036,10659.4130631907,NA,136621.88167412,NA,NA,21162.3525056501,NA,136644.996384191,669.566808131027,NA,98105.1977894014,141521.632238914,9664.72184955217,33446.3590551052,2117.21392489983,52206.5435367618,NA,NA,628.088630004994,NA,32903.2125757196,9151.31465422914,3262.35371091602,4615.51894704162,717.392032434923,43062.2099301059,1357.5842553895,33717.2726523942,418.737892273228,NA,NA,13739.522476007,1400.77150637009,NA,NA,NA,12161.1066231716,NA,NA,NA,807.886351867904,368.341237628284,NA,43102.3593924488,1358.1655121928,801.468143594157,NA,NA,515.393468768747,27943.4594029341,5970.31633913997,1252.71700598135,6561.72679992566,2337.98832948745,1505.50691901807,1232.60239001168,NA,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD02.mzML",NA,NA,3407.83455867842,9439.44995187225,612.273347773679,NA,246513.35050089,1937.0774510278,NA,NA,41391.5285411752,NA,NA,68360.955975838,28443.079802961,3582.09450753718,7436.7417592159,10993.1782022846,9880.44847952051,NA,281.216272695785,264474.955068627,964.610323036607,203601.925239756,36325.4091145268,11520.3006787529,6245.40154214475,NA,14423.1981291268,NA,2964.2312928854,12843.8252578916,16993.9424303062,571.439094130112,1141.89259014468,1517.17277408461,368.105278450063,1801.68010305188,7392.9974072989,NA,3570.10610379708,NA,2798.9824649745,3062.97171607359,33907.1410399336,12784.7549732205,NA,136444.186862544,NA,NA,20426.4195148405,NA,138125.290026416,NA,352.289346463734,110877.592457946,157388.351946605,10323.2498339969,35812.0779096182,1920.0100194859,55567.4997681735,NA,NA,NA,0,41781.3419371069,11515.8866085018,4209.87173348956,4779.42959846271,838.118046410889,40319.2922737487,1291.94802196606,36127.4287656993,NA,NA,1369.66036192969,14482.1718491313,1494.96343297328,954.407641255676,NA,NA,12412.8376496531,NA,209.204760384132,NA,687.292293607691,NA,NA,40363.8882882014,1291.94802196606,NA,NA,1057.8854237483,NA,28904.4898125905,6333.5323889311,1326.40920035443,6526.67833707694,2793.57836779593,1304.32776575458,NA,NA,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD03.mzML",NA,NA,2986.10541235073,9626.91105744057,NA,NA,272878.400280659,NA,NA,1358.50215361755,41090.6724232833,NA,NA,69461.1540606839,29131.2643604915,3758.08995557494,7356.50737863107,11321.5224764638,9788.46955602375,NA,NA,280798.509290687,913.739208615358,202661.896588039,36483.1688693786,12354.0369681356,6422.18540845312,0,15426.3774802115,NA,3357.31447289313,12747.0098768745,16417.4451704579,NA,NA,NA,NA,NA,6541.34757330555,900.784884079114,3444.5674841553,NA,2948.68164640035,2878.52168978174,30446.8266088936,11953.4153587595,357.780361734125,134010.202318843,NA,NA,22225.7042192002,NA,144934.720744353,NA,NA,109972.05447491,160770.207435459,10491.7946029929,33614.8539014748,NA,50617.2487917164,NA,514.47745054579,494.440559277855,NA,41509.9086745203,11456.4977970451,3959.16401268228,4696.21949124721,NA,39692.9028825303,1187.01453761278,37667.5268183876,NA,NA,NA,13538.1952161827,NA,592.293949822908,NA,NA,12893.9508606097,NA,NA,NA,846.126746570566,NA,NA,39738.6851638599,1187.01453761278,NA,NA,NA,NA,29337.3819285378,6708.53840559532,1492.80227110255,6094.30218357683,2170.01628148199,1689.76236606041,NA,NA,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD04.mzML",818.528303820502,NA,3069.54511412307,8768.24509434242,751.245530985376,NA,234047.457710436,NA,NA,NA,40246.5898673229,NA,525.418900282501,67827.2944397648,28081.3902136262,3481.16099112467,7239.88462657376,10682.10654136,9789.32041526746,NA,NA,268538.843323298,NA,204189.21592305,36022.5972794057,11819.4567993208,6217.65651994398,0,14759.0988545007,NA,3389.29754785109,12164.7065732896,16664.6894145552,NA,1271.24511673934,1489.84852631819,418.425239928692,1550.82619991681,6701.21531268834,NA,3077.70412051698,340.029792577783,2337.41141799017,2737.03900189199,31921.2085973825,12517.0939005587,NA,133884.454231526,0,NA,21242.0718521561,NA,135580.230158523,637.98317161829,NA,105476.218827904,148704.577674576,9789.08270084682,34841.4921587322,NA,49090.1665788047,215.416078954597,NA,542.3083851644,NA,39633.0386129193,10933.2381163434,3791.0693291569,4930.89354630504,744.904930410486,41533.1757685764,NA,39461.1095448454,NA,NA,NA,14495.8666528474,1332.59259420622,NA,NA,NA,12811.9838909281,NA,NA,NA,NA,412.8594649005,287.361856919873,41561.4419156882,NA,NA,NA,NA,NA,29918.265067161,6469.3261807165,1570.29433548293,6218.84393651772,2312.90018121905,NA,729.124054136689,0,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD05.mzML",NA,528.493734887165,2516.81628120288,9562.06199319632,583.729608155406,0,244606.772825707,1824.22479320105,2058.23022252481,NA,40539.0534242462,346.104750757988,NA,67431.054086743,28917.8321783711,3884.8099743217,7709.32963173467,11065.4667796331,9615.12137098103,NA,NA,257887.278084527,626.799471900186,214314.597814389,37710.0941579057,11554.3433973612,5755.66576261529,NA,14162.6231442218,743.448330381704,2943.43251392965,12670.7391902058,16227.5812476803,549.069165761768,NA,NA,NA,1590.13768740132,6547.51078382646,NA,3235.32767080023,NA,NA,NA,32405.8334716638,13560.0416581886,NA,131454.700404512,NA,NA,19954.612358668,NA,126254.589445747,NA,NA,104212.762885212,142028.812799844,9486.74240711318,34010.9511258955,2230.75859056517,52469.8840889936,NA,NA,464.544737763569,NA,42073.1274880516,11127.8732103271,4255.63318515829,4531.5372312797,819.078918584327,39467.7157445109,1342.62729492684,35762.1636167772,319.768972517945,NA,1245.32949611242,14566.5897674455,1448.88905693589,743.563410122933,NA,NA,12638.5600163902,NA,NA,NA,784.071409230464,NA,NA,39498.8994986314,1343.59356490006,NA,NA,1203.65436394441,NA,29223.6536119533,6353.90467535047,1341.91399952264,6547.49571208203,2338.39784803538,1471.25000564233,964.479615887633,0,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD06.mzML",NA,NA,2966.78395182751,8248.80866862628,812.267412173644,NA,284811.938922476,2540.24820129813,NA,1648.34684382165,40598.2919760195,NA,NA,63972.8701506337,26194.5889995149,3219.12453645418,6790.87321615205,11093.3946272157,10261.1847800497,NA,NA,268961.844365806,NA,204929.858175148,35382.7966548722,11682.9228974317,5550.37482970592,0,14332.0990655683,NA,3530.76741241018,12611.2372330277,17595.1979179291,NA,NA,1417.36889753533,NA,1857.8481993709,6275.90372174672,NA,3591.83760233161,298.037493622637,2850.46947627743,2740.98559800427,25987.650395209,12116.9030958071,NA,135794.73521081,NA,NA,21247.157331953,NA,140791.33918274,866.901888171531,278.544764692645,108594.217301277,152845.612188029,10188.1877958642,35113.3870186676,2252.42372493432,44843.8660727241,314.05805644371,NA,NA,NA,44809.1041834898,12484.5767836006,4175.81131821014,4241.06396473739,NA,42431.7057477515,1114.42410622517,37770.4071283058,420.876220100207,NA,NA,16007.4625846194,1349.9522045465,NA,NA,NA,13002.8199653858,NA,NA,NA,752.545374846079,NA,NA,42462.2955265167,1114.42410622517,888.773827049957,NA,NA,NA,27401.3515681254,6354.28454136842,1662.47674206243,6527.70394418322,2437.74898915392,NA,NA,0,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD07.mzML",903.582311478141,391.933486182288,3151.54990361544,8302.83747082647,701.227918908852,NA,236704.916820308,NA,NA,1345.25947325286,43010.9586733167,NA,NA,66852.0912820224,27502.9359466824,3511.9431321843,7206.65216460207,10771.4528428574,9778.91253076871,NA,NA,265740.372331754,603.166538121082,215798.910008356,37270.7155322882,11794.4052779829,5780.83512882716,NA,14579.9415074108,NA,3293.10787040998,12838.9101605202,16966.4377658053,NA,858.157888445108,1288.92088202461,518.784133957697,1883.43372621844,7085.88469595591,784.025139612227,3227.15611232961,298.254158953112,2716.62322058248,2746.88931239079,29552.3678744687,12768.2934071656,NA,133477.636840194,NA,NA,20891.743161624,590.843929290331,138959.910527123,782.50573595351,NA,108139.365155057,151401.806835534,10386.1956139363,35025.5008529822,2495.60655641395,52363.1603031356,166.301793593015,NA,510.752616906168,NA,46602.2603058626,11961.8236926934,4547.33106739504,4630.92059042829,901.474359134978,40815.5737749594,1488.26778374739,34332.368283957,NA,NA,1409.88306337864,15574.4496083668,1497.7741152245,996.522674587679,NA,356.52706519494,12721.7323063749,NA,NA,NA,NA,589.738111181712,195.242869116961,40853.151062401,1488.26778374739,829.340589818815,NA,897.905449468982,NA,27661.0365897591,6584.42682093236,NA,6005.22370244482,2591.20203994061,1181.00697755854,867.223888397276,0,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD08.mzML",NA,NA,3540.68418141949,9470.93789587965,NA,NA,292798.023927103,NA,2487.09108298017,1628.69959084808,41762.9838475724,NA,NA,68171.5394825055,27317.6966871343,3496.51174172277,7148.50439058839,10810.6165187912,9727.33682810247,NA,NA,275263.740752184,745.692815325714,210607.710988396,36729.5735413801,11720.9849754665,5866.23709484345,0,13673.3249621238,NA,2879.15249092238,13208.837920445,17549.2800570018,NA,NA,NA,NA,NA,6930.28121784316,1072.54755477442,3047.26310831446,NA,2248.73615587594,2839.03263021816,31631.5558766367,13010.8302591321,466.023693405601,134786.633552381,NA,NA,21683.6096542568,NA,136915.161809983,NA,NA,112815.523278993,154253.839211765,10959.8787844092,34571.0013449321,2115.34192465113,53258.3440260556,NA,NA,NA,NA,42503.2134490294,11762.9726217049,4124.28822159164,4512.33923106319,NA,41332.5305783063,1315.46254200521,42860.870133136,NA,279.42939973848,NA,16369.5364614513,1636.13371078079,910.257465504753,NA,NA,13840.6535973432,NA,NA,NA,671.842095676535,568.553596179172,NA,41350.232591773,1315.56067511469,NA,NA,NA,NA,31607.5927031995,6645.79907843665,1741.75243340606,7125.32027114834,2803.35502706294,1372.17414798403,913.08308262705,0,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD09.mzML",923.958044360997,NA,3231.69390393352,9567.73614286641,845.422260736467,NA,229093.97064901,1890.34325883774,NA,NA,44810.0687228877,NA,NA,66001.777773568,27058.0916866101,3629.54600674707,7287.98109725004,10894.3157573643,10224.1385049595,NA,NA,286923.612120618,628.504874805588,206652.217184598,36764.1719129046,11483.0590655186,6196.02791239653,0,13370.9179102463,NA,3000.33105790546,12595.6641285469,16056.5338490087,617.146708046405,NA,1345.83842632062,NA,1778.42292637335,6815.78854101677,1028.18080276168,NA,NA,NA,3120.73776358461,31697.5789386315,12703.5020526663,NA,135268.942714939,NA,NA,22000.3541130656,NA,136689.151382991,NA,NA,105557.897599664,148018.84190452,9966.5487374011,34661.4509202046,NA,52699.9104579392,NA,NA,NA,0,45079.3006318768,12200.5242666732,4352.47863702052,4667.34249231097,NA,40236.1441513415,1180.14796102248,37182.3968151851,452.499060677807,NA,1224.1141814774,16063.9906216738,1512.82474503359,NA,NA,NA,12019.7677602376,NA,NA,NA,NA,468.483686049506,NA,40299.9661189454,1180.14796102248,NA,181.926990196812,NA,632.129139420893,28391.0800718447,6160.72803332003,1668.32450502337,6350.38795812371,2127.72447868036,1248.12275094622,NA,0,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD10.mzML",929.769712085269,NA,NA,9872.29501876278,603.806877300683,NA,332216.525418892,2772.4501538309,2774.3600096476,2056.12123119789,43182.6617450606,NA,NA,72112.4435282601,30214.1736669319,3892.94009253916,8127.73863942942,12140.4181395322,9856.34159503827,NA,NA,316455.510022452,735.909447301262,225966.360453185,39249.8454051033,12265.4594901057,6651.71285397739,0,15298.7737810745,NA,3287.2696227645,13586.9807653778,18390.1932795491,NA,NA,1283.574656147,NA,2032.87400036191,6849.23967172804,950.623431610083,3337.85911273236,NA,NA,2884.69572479542,25821.4556496813,11995.996840078,NA,146004.560190996,NA,NA,22299.7767812305,NA,146880.947975742,NA,302.977365630735,112313.328945568,154272.736513932,10671.7885401107,37069.9729456931,2312.02124687709,49489.3332172045,161.839595371611,NA,NA,NA,42334.1785227629,11929.8395821863,3943.72849675419,5227.76231362703,758.415858788108,44385.0220049794,1499.35679548769,40112.1467281371,NA,358.030630603576,1320.2995907562,17682.8215481882,1553.11168238569,NA,NA,NA,13283.3883503569,256.198517007395,NA,NA,728.19162345197,812.737435835157,NA,44405.4888105379,1499.35679548769,968.541952532585,NA,NA,NA,30087.666240562,6286.15233046734,1511.89278601219,7075.44424720097,2529.83582198532,1490.34573263882,NA,0,NA
