"","RPOS-001.1","RPOS-001.2","RPOS-001.3","RPOS-002.1","RPOS-002.2","RPOS-002.3","RPOS-003.1","RPOS-003.2","RPOS-003.3","RPOS-003.4","RPOS-005.1","RPOS-005.2","RPOS-005.3","RPOS-008.1","RPOS-008.2","RPOS-008.3","RPOS-008.4","RPOS-008.5","RPOS-015.1","RPOS-015.2","RPOS-015.3","RPOS-016.1","RPOS-016.2","RPOS-018.1","RPOS-018.2","RPOS-026.1","RPOS-026.2","RPOS-026.3","RPOS-027.1","RPOS-027.2","RPOS-027.3","RPOS-029.1","RPOS-029.2","RPOS-029.3","RPOS-029.4","RPOS-031.1","RPOS-031.2","RPOS-031.3","RPOS-034.1","RPOS-034.2","RPOS-035.1","RPOS-035.2","RPOS-035.3","RPOS-035.4","RPOS-036.1","RPOS-036.2","RPOS-036.3","RPOS-043.1","RPOS-043.2","RPOS-043.3","RPOS-044.1","RPOS-044.2","RPOS-045.1","RPOS-045.2","RPOS-045.3","RPOS-049.1","RPOS-049.2","RPOS-049.3","RPOS-050.1","RPOS-050.2","RPOS-051.1","RPOS-051.2","RPOS-051.3","RPOS-053.1","RPOS-053.2","RPOS-055.1","RPOS-055.2","RPOS-055.3","RPOS-057.1","RPOS-057.2","RPOS-061.1","RPOS-061.2","RPOS-062.1","RPOS-062.2","RPOS-062.3","RPOS-063.1","RPOS-063.2","RPOS-063.3","RPOS-063.4","RPOS-069.1","RPOS-069.2","RPOS-071.1","RPOS-071.2","RPOS-071.3","RPOS-071.4","RPOS-073.1","RPOS-073.2","RPOS-073.3","RPOS-074.1","RPOS-074.2","RPOS-075.1","RPOS-075.2","RPOS-078.1","RPOS-078.2","RPOS-087.1","RPOS-087.2","RPOS-087.3","RPOS-087.4","RPOS-087.5","RPOS-087.6","RPOS-089.1","RPOS-089.2","RPOS-089.3"
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD01.mzML",206.04568140632,178.048533507795,132.044129302439,139.050057589891,121.039277206685,93.0446243286133,169.036278095784,141.04038737841,152.009388960043,126.029259648378,181.072390491517,163.061904875605,138.066449807771,245.077282223897,209.055888637213,191.045108357125,179.045098488967,155.045241215803,220.118028338982,202.108316423744,184.097191363331,204.123897352016,85.0282350168179,282.120311869033,150.077415915195,312.130538010791,180.08816044373,110.03569795,170.045094416762,124.038885463309,95.0129550736768,205.097686129134,188.070774875518,170.060927758001,118.065252394901,209.092773953715,192.063646963372,146.062843337906,304.128923011703,130.064654532435,374.08389596271,352.102991821155,176.070765768075,130.065378894239,137.046191957806,159.028455758265,119.035418586358,286.201519190135,85.0284587349883,227.128199197633,195.088403487488,138.065995323704,232.155167038945,173.081579357267,85.0274972128218,350.084921700756,152.071118870583,110.060539961775,152.070853528358,110.060361262252,166.072893934605,149.044558558823,124.050484991054,298.095418391117,136.062362670898,184.0610190884,166.050199091737,148.039556471726,190.049940990536,162.055212612782,181.072524015973,124.051080031826,183.051684792182,155.056739105373,126.030109015031,286.102827984389,308.085591764531,154.061729222316,112.050799302864,176.0707329131,130.064624514765,367.149803663548,230.079833535182,156.080709176313,144.081515198043,305.098245966261,327.07901121865,148.06084807452,181.072536394174,124.051076025273,379.212486002492,361.200760797311,192.065280102476,146.05979820778,182.08113802146,165.055133333501,147.043627471694,136.075724159242,123.043776708622,119.049310630974,137.059533945829,119.047248840332,91.0538194245578
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD02.mzML",206.045073219892,178.050251585621,132.044401304506,139.050391958964,121.039409838676,93.044940531088,169.036411478865,141.040598147984,152.009303259583,126.029444771017,181.072723427029,163.061330382972,138.066636358144,245.077710178028,209.056247394082,191.045149359152,179.045627793381,155.045266327108,220.118392452288,202.1084992833,184.09833044107,204.124237841112,85.0286695363483,282.120443973139,150.077516744498,312.130649002065,180.088664721583,110.034768452577,170.04500824381,124.039037068785,95.0132630564275,205.097906075185,188.071193228939,170.059480729404,118.064796307989,209.09259416814,192.065087856499,146.062277899966,304.129019024429,130.064525753915,374.083936714291,352.10071696218,176.070889787274,130.065573844956,137.046127020921,159.027980044505,119.035385290651,286.201600468505,85.0286206053934,227.128207669623,195.088323270015,138.066602849605,232.155043269087,173.080574006033,85.028080369592,350.084644642062,152.071056704709,110.060426320656,152.070663477937,110.059873278091,166.072913286689,149.046186931654,124.050113019901,298.097067620162,136.06300355,184.060927576418,166.050227472638,148.039487521915,190.050113547476,162.054952613858,181.072391915737,124.050279673298,183.051809340052,155.056574178017,126.029554456389,286.1031586219,308.085528851267,154.061511012321,112.051263365309,176.070730249107,130.065563565212,367.149311382619,230.082938430399,156.080923381809,144.080592687641,305.097833915347,327.079440676641,148.060478858073,181.072397685807,124.050279673298,379.212419330725,361.19817858871,192.066127926761,146.059670579041,182.08097973049,165.054813212649,147.043865602204,136.075904364183,123.043997019761,119.04955901951,137.059389075883,119.050010681152,91.0541242097072
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD03.mzML",206.045262273525,178.049143438717,132.044091997206,139.050190358643,121.039675394683,93.0451554994325,169.03667639837,141.040749423975,152.009371468417,126.029404899717,181.072579703746,163.061126270424,138.066120706566,245.077534903571,209.056032296032,191.045070376236,179.045346677226,155.045245933681,220.118121867366,202.108809772815,184.097592736519,204.124084136713,85.0282424843031,282.120581332208,150.077780100869,312.130385056969,180.0883762256,110.03569795,170.045308495422,124.039313329846,95.013229278431,205.097917130103,188.071139001747,170.059836903601,118.064451484469,209.092045287384,192.064751981017,146.062341416168,304.129031994499,130.064616637944,374.083828291481,352.102499861813,176.070913234834,130.065264137868,137.046395526917,159.028078513721,119.035091308555,286.201821145163,85.0281997680664,227.128019377973,195.088293327559,138.066606889537,232.155261084775,173.081443974533,85.0284478342811,350.084686898663,152.071014525128,110.060506232809,152.070896946711,110.060287045209,166.072824048243,149.045141601469,124.050083341063,298.09706606783,136.063020701881,184.06105280708,166.05024671106,148.039184780935,190.050273541872,162.055721958469,181.072697861048,124.051456369673,183.051776350779,155.056531432112,126.030134973507,286.103821992702,308.085315594603,154.06115242494,112.050871251632,176.070976894534,130.064404795965,367.149249475916,230.080314268087,156.080851585845,144.080854126871,305.097731645756,327.08061116,148.060760902602,181.072690842459,124.051456369673,379.213340051399,361.197962683576,192.066856504678,146.059705629186,182.080798183527,165.055190635213,147.044049215328,136.076124635137,123.04415789594,119.049367246036,137.059410146735,119.049652099609,91.0549327611496
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD04.mzML",206.044910795318,178.050720053889,132.044142429485,139.049990136865,121.039474875916,93.0439788189426,169.035881083108,141.040475270917,152.009079768537,126.029210851798,181.071980788936,163.062194999411,138.066691627775,245.076981689438,209.055667744586,191.044475662198,179.044989710696,155.045048753469,220.117594473765,202.107503018325,184.097854031857,204.123563990762,85.0283687189328,282.119794994614,150.077158382953,312.129424887752,180.087909188651,110.03569795,170.044976643762,124.03868097404,95.013214106789,205.097383108649,188.070744799773,170.059715322482,118.064907570998,209.091911812463,192.064570079132,146.062286798872,304.12882991189,130.064545861675,374.083203903352,352.103691761271,176.070935271409,130.06517437088,137.046003664221,159.027703315121,119.035070469967,286.201415779291,85.028499605,227.128398264546,195.088094962329,138.066287941823,232.154579545529,173.08077300246,85.02783692987,350.083820660607,152.070668182281,110.060164917453,152.070480348218,110.060049707973,166.072505255794,149.046114822988,124.050208579828,298.097428926849,136.062008257134,184.060327341005,166.049552745993,148.038991232832,190.049514983296,162.055636268823,181.072315434018,124.05150538857,183.051401752187,155.056172698005,126.030054427906,286.103557139519,308.084928273404,154.061138802002,112.050815271532,176.070719202556,130.064678550686,367.148669162001,230.07801978452,156.080839613342,144.0809809623,305.096312388703,327.080478127529,148.059229885074,181.07231461151,124.05150538857,379.212231630455,361.19975931339,192.065756521788,146.060028477388,182.080113839171,165.054715147094,147.044002662219,136.075556488615,123.043611081415,119.048809935281,137.058712929425,119.0489998,91.0544390053247
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD05.mzML",206.045775009904,178.050078903613,132.044188056498,139.050285500178,121.03977901601,93.044498445,169.036239554348,141.040731296789,152.009257081273,126.029315627176,181.072513873281,163.061975315228,138.065762923713,245.077158161204,209.05578123043,191.044707117808,179.045316511069,155.045084607562,220.118007658178,202.108316781094,184.097657101669,204.123737131555,85.0282474852483,282.120360342818,150.077477826604,312.130457127542,180.088679878276,110.036179093535,170.045243111094,124.039233977465,95.0128653141478,205.097776738225,188.07087720809,170.060265132191,118.06445341261,209.091465044671,192.065442551556,146.06265076474,304.128729378363,130.064817156415,374.083960342885,352.101574155701,176.070822705937,130.065487323366,137.046166752423,159.028003830094,119.03476740074,286.2017608086,85.0294553647766,227.12850533609,195.088144765174,138.067496438633,232.155188075249,173.081412310154,85.0280617869426,350.084751846426,152.071078052758,110.060555276882,152.071042180801,110.06075625581,166.072805551786,149.045388710228,124.049826595259,298.096467558312,136.063827514648,184.060818386456,166.05011315923,148.039163382168,190.049960138364,162.055241022879,181.072532369651,124.050828806496,183.051425890362,155.056353171863,126.030656880741,286.10332408642,308.085396523201,154.06104618995,112.050326538642,176.070186872472,130.064980370327,367.148634373111,230.080229578113,156.081064811563,144.081031878987,305.098270073705,327.078621377681,148.058859295378,181.072529648259,124.050828806496,379.210727396743,361.199732561308,192.066386964662,146.059990390719,182.08071663537,165.054880517737,147.04437493168,136.075709031324,123.044052823269,119.048922297634,137.059741913868,119.0489998,91.0544039951068
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD06.mzML",206.045502731674,178.049787610486,132.043959313214,139.050168429473,121.039626781016,93.0452651977539,169.036245029767,141.040768470199,152.00958974195,126.029518101238,181.072382514872,163.061660848341,138.065795874077,245.07765532147,209.056035462476,191.045449174094,179.045655584401,155.045380970661,220.118024608758,202.108761797777,184.097256771836,204.124060720712,85.0283145118803,282.120385381371,150.077786019248,312.130183014098,180.08814697751,110.03569795,170.045184742921,124.039604487799,95.0134060642163,205.097397885375,188.070928234912,170.060301418955,118.065024553914,209.092319313474,192.064784237548,146.063096727258,304.129207239617,130.064701386319,374.084333001313,352.103382284825,176.071344026505,130.065528438739,137.046215083016,159.028185238873,119.034868499936,286.201429379278,85.0286527215579,227.128568991374,195.088103298113,138.066846656494,232.155047222545,173.081400388329,85.0284742640672,350.084729211139,152.071052645689,110.060420963346,152.070917767358,110.060226843471,166.072865067857,149.044585321012,124.05022950788,298.09653480569,136.064361144393,184.060734385354,166.050118722328,148.039315309741,190.050358445966,162.055330962503,181.072552683207,124.051688533498,183.051728945687,155.057112859277,126.029911879133,286.104777060982,308.085254129812,154.061264567699,112.050796061429,176.071027060985,130.065440406219,367.149282307863,230.081822949916,156.080933089744,144.081581393303,305.098430116734,327.080455042671,148.06035792296,181.07254707886,124.051688533498,379.212949957824,361.197165476644,192.066338748258,146.059911853808,182.080809381551,165.055293384054,147.043940772412,136.076147203272,123.044137564812,119.049104767488,137.058926550018,119.0489998,91.0537160680685
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD07.mzML",206.044524015855,178.04936291305,132.044149365015,139.050482035167,121.039595515801,93.044213317393,169.036414054411,141.040890385188,152.009367588211,126.029303350169,181.072409347785,163.061202682332,138.066757355038,245.077549734582,209.056120158607,191.044737983097,179.045643837215,155.045282509852,220.118394645457,202.108084543843,184.098174283843,204.124030832061,85.0288965501609,282.120222039885,150.077502627288,312.130604385565,180.088484845741,110.036293029785,170.045105301972,124.039338273745,95.0130290534096,205.097431025512,188.070786317004,170.059193909529,118.064820256052,209.091817371608,192.064116913826,146.062760378892,304.129125448392,130.064437139805,374.084116421958,352.101111841103,176.070764047726,130.065326483877,137.04623360192,159.028134194449,119.034999765302,286.201459481171,85.0275275047789,227.128348178524,195.087983990897,138.066414059518,232.155257887219,173.081088839528,85.027504272808,350.084552957296,152.071058257501,110.060350454089,152.070725701151,110.060631723963,166.072715222824,149.045781001145,124.050917959756,298.097440220531,136.063374722457,184.06094640722,166.050212710732,148.039596885073,190.050065124718,162.055563864517,181.072228135818,124.050438639167,183.05159639536,155.057037334397,126.02990814496,286.103630821463,308.085493463837,154.060772752987,112.05039486076,176.070810662992,130.065349535513,367.149447954451,230.081995841571,156.080870035201,144.080660461677,305.098247010872,327.080651597263,148.060908977864,181.072226696972,124.050438639167,379.210711166761,361.198516511443,192.066088343983,146.059575001221,182.080516312487,165.055370896752,147.043667449018,136.075882712688,123.04429049297,119.048982809174,137.058985831411,119.0489998,91.0542450982733
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD08.mzML",206.044338097787,178.049620533089,132.044014949304,139.050089832422,121.04011490391,93.0450878773252,169.036413447672,141.040488660288,152.009394937792,126.029662455702,181.072409005683,163.061416015057,138.066393443789,245.077403681355,209.055982330824,191.044440151597,179.045477001357,155.04536844144,220.118265881319,202.109432610036,184.097922051733,204.1240408068,85.0280407008576,282.120632698138,150.077759113846,312.130265951921,180.088304157576,110.03569795,170.045189737214,124.039578648156,95.0131301541201,205.097565243063,188.071116147795,170.059586638311,118.064599868643,209.092532083449,192.06538055052,146.06252902348,304.129228880312,130.065077317081,374.083504320468,352.10153249602,176.07099143469,130.065315702657,137.046007789085,159.027815386483,119.035005178732,286.201862207063,85.0286316567279,227.128522440271,195.088208769995,138.066643623234,232.154945619201,173.081131729874,85.027650355697,350.084660357626,152.071049644381,110.060447365529,152.070817893237,110.060684412049,166.072993406892,149.043575886758,124.05027257741,298.097378803704,136.063913718613,184.06109416328,166.050385152932,148.039696220109,190.050224719202,162.055294650523,181.072352630956,124.051112145153,183.051707200316,155.056030918574,126.030634560586,286.103065539248,308.085284364997,154.061357002267,112.05107434687,176.070508357826,130.064777444852,367.149028458466,230.08048282294,156.079949961087,144.080622316807,305.095685920036,327.077403775115,148.059675144433,181.072349519576,124.051112145153,379.213392824748,361.197555515499,192.065714251361,146.059406789269,182.080503258136,165.054948805064,147.044097863325,136.07593087879,123.044028480481,119.049679659798,137.059286881061,119.0489998,91.0548210727274
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD09.mzML",206.045253505129,178.049703503086,132.044075686289,139.04989936098,121.039722929909,93.0450853008882,169.03611550114,141.040702508371,152.0090129794,126.029202388867,181.072231651277,163.062338163018,138.066456226428,245.077118763509,209.055909891126,191.04494922414,179.045250374822,155.045069033788,220.118409614042,202.109191395272,184.097275820867,204.123676099344,85.0284028786412,282.119899854976,150.077037954115,312.129688578281,180.088472662717,110.03569795,170.045144789297,124.039298211659,95.0130887379753,205.097685578447,188.070933904783,170.060260908465,118.064960547719,209.092473288901,192.066027118933,146.062475879706,304.128558447138,130.064525168778,374.084225283005,352.104276634674,176.071364395625,130.065465674055,137.045977759088,159.028002712692,119.035399327718,286.201697331927,85.0287641750705,227.128103786039,195.088235446706,138.066174814544,232.154879181248,173.081186378102,85.0282744173901,350.084744226972,152.070981854244,110.06044917916,152.07100240954,110.06034900843,166.072548923324,149.04649720833,124.049807214235,298.095070544436,136.06300355,184.060688062036,166.050136000792,148.039467040912,190.049983650716,162.055620812357,181.072479428952,124.05127399382,183.051619369006,155.056363200615,126.030582226467,286.103079907449,308.085188554906,154.061304717901,112.050927870075,176.070969669584,130.064961177471,367.149369825853,230.08110876756,156.079667407888,144.080977181296,305.098083800118,327.079130683439,148.059951048295,181.072474740452,124.05127399382,379.212984252753,361.198338618356,192.065722551157,146.059339564619,182.080580650835,165.054990403739,147.043846290304,136.075747850383,123.043681579017,119.048658778217,137.059376300427,119.0489998,91.0552928462682
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD10.mzML",206.045485843612,178.048907510656,132.04428564756,139.050542774501,121.039409307626,93.0445097287496,169.036329620701,141.040866583978,152.009564461612,126.029328288012,181.072619316965,163.061744096548,138.06616166121,245.077903595359,209.056498940152,191.045975146351,179.045746514667,155.045735083535,220.118141762858,202.1082745544,184.097911590977,204.124148033609,85.0285147633726,282.120519129595,150.077883861012,312.129926514348,180.08833743909,110.03569795,170.045020172027,124.038695041542,95.0131629485093,205.097668866137,188.071068385335,170.060313678591,118.065062180823,209.091688822554,192.065429911618,146.063130985583,304.129185485217,130.064644673203,374.083683968735,352.10146562155,176.070843663381,130.065267089621,137.046125706482,159.027863448297,119.034758061786,286.201586287845,85.0276947021484,227.127784601365,195.088164570412,138.066892491584,232.154955211892,173.081873816126,85.0279259508554,350.084713683249,152.071054247275,110.060511367748,152.070782010762,110.060229494384,166.073029469749,149.046439305746,124.050499897555,298.096877061241,136.06201171875,184.061213473995,166.050382108082,148.039661208597,190.049633126105,162.055447244166,181.0724348116,124.050912486138,183.051883198351,155.057971250985,126.030521250044,286.104231070106,308.085486056547,154.060833975767,112.050882104291,176.071496043759,130.064643368973,367.149598831162,230.080744896339,156.081585892634,144.081124871063,305.097909194867,327.081044493648,148.059549242818,181.072446435633,124.050912486138,379.211443372205,361.199250991165,192.065734173214,146.060255887653,182.080894301598,165.05523013394,147.044416936598,136.075774854827,123.043879868382,119.048733386099,137.058884730557,119.0489998,91.0539403297025
