"","RPOS-001.1","RPOS-001.2","RPOS-001.3","RPOS-002.1","RPOS-002.2","RPOS-002.3","RPOS-003.1","RPOS-003.2","RPOS-003.3","RPOS-003.4","RPOS-005.1","RPOS-005.2","RPOS-005.3","RPOS-008.1","RPOS-008.2","RPOS-008.3","RPOS-008.4","RPOS-008.5","RPOS-015.1","RPOS-015.2","RPOS-015.3","RPOS-016.1","RPOS-016.2","RPOS-018.1","RPOS-018.2","RPOS-026.1","RPOS-026.2","RPOS-026.3","RPOS-027.1","RPOS-027.2","RPOS-027.3","RPOS-029.1","RPOS-029.2","RPOS-029.3","RPOS-029.4","RPOS-031.1","RPOS-031.2","RPOS-031.3","RPOS-034.1","RPOS-034.2","RPOS-035.1","RPOS-035.2","RPOS-035.3","RPOS-035.4","RPOS-036.1","RPOS-036.2","RPOS-036.3","RPOS-043.1","RPOS-043.2","RPOS-043.3","RPOS-044.1","RPOS-044.2","RPOS-045.1","RPOS-045.2","RPOS-045.3","RPOS-049.1","RPOS-049.2","RPOS-049.3","RPOS-050.1","RPOS-050.2","RPOS-051.1","RPOS-051.2","RPOS-051.3","RPOS-053.1","RPOS-053.2","RPOS-055.1","RPOS-055.2","RPOS-055.3","RPOS-057.1","RPOS-057.2","RPOS-061.1","RPOS-061.2","RPOS-062.1","RPOS-062.2","RPOS-062.3","RPOS-063.1","RPOS-063.2","RPOS-063.3","RPOS-063.4","RPOS-069.1","RPOS-069.2","RPOS-071.1","RPOS-071.2","RPOS-071.3","RPOS-071.4","RPOS-073.1","RPOS-073.2","RPOS-073.3","RPOS-074.1","RPOS-074.2","RPOS-075.1","RPOS-075.2","RPOS-078.1","RPOS-078.2","RPOS-087.1","RPOS-087.2","RPOS-087.3","RPOS-087.4","RPOS-087.5","RPOS-087.6","RPOS-089.1","RPOS-089.2","RPOS-089.3"
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD01.mzML",206.047515869141,178.0519707,132.044952392578,139.051452636719,121.0413132,93.04589081,169.036743164062,141.042098999023,152.011260986328,126.0308904,181.074340820312,163.0642395,138.067230224609,245.078277587891,209.057250976562,191.045745849609,179.047012329102,155.045974731445,220.11930847168,202.11203,184.1007233,204.124771118164,85.02927399,282.122772216797,150.078704833984,312.134124755859,180.089813232422,110.0373459,170.046417236328,124.040626525879,95.0140914916992,205.099044799805,188.072143554688,170.0625458,118.0667572,209.0951996,192.0678711,146.0639648,304.132293701172,130.065856933594,374.089508056641,352.1079712,176.0736389,130.066802978516,137.046829223633,159.029205322266,119.0366855,286.202911376953,85.0297699,227.1315765,195.089614868164,138.0688324,232.156921386719,173.0841675,85.02927399,350.0869140625,152.071548461914,110.061569213867,152.071884155273,110.061492919922,166.074005126953,149.0477357,124.0518608,298.099029541016,136.065033,184.061721801758,166.052352905273,148.041473388672,190.051620483398,162.0579681,181.073867797852,124.0533608,183.053070068359,155.0592194,126.032486,286.1076355,308.088256835938,154.063186645508,112.0522614,176.0732461,130.0667419,367.154876708984,230.0844269,156.0833282,144.0831604,305.1019592,327.0837708,148.0622209,181.0744324,124.0533608,379.218353271484,361.2054138,192.0689492,146.0613909,182.083206176758,165.056365966797,147.045486450195,136.076705932617,123.04468536377,119.050392150879,137.0610504,119.0507813,91.05566581
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD02.mzML",206.0478363,178.0519707,132.044906616211,139.051834106445,121.0413132,93.04589081,169.036743164062,141.0419921875,152.0112801,126.0308904,181.073532104492,163.0642395,138.0685577,245.079666137695,209.058349609375,191.047348022461,179.046829223633,155.046188354492,220.12028503418,202.11203,184.1007233,204.124694824219,85.0290603637695,282.122650146484,150.07926940918,312.133666992188,180.091537475586,110.0373459,170.046310424805,124.0408554,95.0143127441406,205.100189208984,188.071868896484,170.06169128418,118.0667572,209.0951996,192.0678711,146.063934326172,304.131896972656,130.0662384,374.088287353516,352.1079712,176.0732421875,130.067337036133,137.047332763672,159.029525756836,119.0366855,286.202392578125,85.0297699,227.1315765,195.089782714844,138.0688324,232.156005859375,173.0841675,85.029167175293,350.085479736328,152.071853637695,110.06143951416,152.071746826172,110.0616455,166.074691772461,149.0477357,124.0518608,298.1012878,136.065033,184.062469482422,166.052459716797,148.041427612305,190.05256652832,162.057647705078,181.0744324,124.0533608,183.053802490234,155.0592194,126.032486,286.1076355,308.087646484375,154.063339233398,112.051948547363,176.0732461,130.0667419,367.154998779297,230.0844269,156.0833282,144.0831604,305.1019592,327.0837708,148.0622209,181.0744324,124.0533608,379.2186584,361.2054138,192.068771362305,146.0613909,182.082534790039,165.056304931641,147.044372558594,136.076599121094,123.04500579834,119.050361633301,137.0610504,119.0507813,91.05566581
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD03.mzML",206.0478363,178.0519707,132.044799804688,139.051971435547,121.0413132,93.04589081,169.037490844727,141.0421156,152.0112801,126.03052520752,181.073303222656,163.0642395,138.0685577,245.078170776367,209.058212280273,191.046829223633,179.046676635742,155.045791625977,220.119583129883,202.11203,184.1007233,204.124710083008,85.0288925170898,282.121948242188,150.079833984375,312.132232666016,180.090698242188,110.0373459,170.046493530273,124.0408554,95.0140151977539,205.09944152832,188.071624755859,170.0625458,118.0667572,209.0951996,192.0678711,146.0639648,304.133087158203,130.0662384,374.090087890625,352.1079712,176.073608398438,130.067230224609,137.046905517578,159.029861450195,119.0366855,286.202728271484,85.0297699,227.1315765,195.089614868164,138.0688324,232.155746459961,173.0841675,85.02927399,350.086608886719,152.071731567383,110.061073303223,152.072067260742,110.0616455,166.07438659668,149.0477357,124.0518608,298.1012878,136.065033,184.061706542969,166.051177978516,148.040679931641,190.052581787109,162.0579681,181.0744324,124.052551269531,183.053573608398,155.0592194,126.032486,286.1076355,308.086700439453,154.063446,112.051773071289,176.0732461,130.0667419,367.153137207031,230.0844269,156.0833282,144.0831604,305.1019592,327.0837708,148.0622209,181.0744324,124.0533608,379.2186584,361.2054138,192.0689492,146.0613909,182.083541870117,165.055862426758,147.045135498047,136.077102661133,123.044654846191,119.050224304199,137.0610504,119.0507813,91.05566581
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD04.mzML",206.047454833984,178.0519707,132.044815063477,139.051528930664,121.040733337402,93.04589081,169.036773681641,141.0421156,152.0112801,126.0308904,181.072952270508,163.0642395,138.0685577,245.077453613281,209.059005737305,191.046173095703,179.046432495117,155.04606628418,220.11946105957,202.11203,184.1007233,204.124069213867,85.02927399,282.121856689453,150.077819824219,312.133544921875,180.090728759766,110.0373459,170.046112060547,124.0408554,95.0139923095703,205.099884033203,188.07194519043,170.0625458,118.0667572,209.095123291016,192.0678711,146.0639648,304.133087158203,130.0662384,374.087219238281,352.1079712,176.072830200195,130.067047119141,137.046463012695,159.029312133789,119.0366855,286.202209472656,85.0297699,227.1315765,195.089721679688,138.0688324,232.155212402344,173.084075927734,85.02927399,350.084594726562,152.071426391602,110.060981750488,152.071014404297,110.0616455,166.07307434082,149.0477357,124.0518608,298.099822998047,136.065033,184.061233520508,166.05256652832,148.041412353516,190.052307128906,162.0579681,181.072860717773,124.0533608,183.052734375,155.0592194,126.032486,286.1076355,308.086578369141,154.062896728516,112.0522614,176.0732461,130.0667419,367.151885986328,230.0844269,156.0833282,144.0831604,305.1019592,327.0837708,148.0622209,181.0744324,124.0533608,379.2186584,361.2054138,192.0689492,146.0613909,182.082061767578,165.05632019043,147.044937133789,136.076644897461,123.044387817383,119.0504837,137.0610504,119.0507813,91.05566581
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD05.mzML",206.0478363,178.051040649414,132.044952392578,139.051498413086,121.04125213623,93.04589081,169.037094116211,141.041839599609,152.010604858398,126.0308904,181.074127197266,163.062789916992,138.0685577,245.078216552734,209.056655883789,191.046524047852,179.047180175781,155.045822143555,220.119766235352,202.11203,184.1007233,204.124328613281,85.0292510986328,282.12060546875,150.079574584961,312.131805419922,180.091232299805,110.0373459,170.046325683594,124.040283203125,95.0136871337891,205.099716186523,188.071929931641,170.062210083008,118.0667572,209.0951996,192.0678711,146.063919067383,304.132904052734,130.0662384,374.08984375,352.1079712,176.0736389,130.0675507,137.046798706055,159.029266357422,119.0366855,286.203033447266,85.0297699,227.1315765,195.089233398438,138.0688324,232.157745361328,173.0841675,85.02927399,350.08642578125,152.073135375977,110.061500549316,152.072082519531,110.061553955078,166.07453918457,149.0477357,124.0518608,298.100555419922,136.065033,184.06217956543,166.051803588867,148.041351318359,190.052322387695,162.0579681,181.073501586914,124.052474975586,183.052154541016,155.058746337891,126.032486,286.10498046875,308.089691162109,154.063125610352,112.0522614,176.0732461,130.0667419,367.153259277344,230.0844269,156.0833282,144.0831604,305.1019592,327.0837708,148.0622209,181.0744324,124.0533608,379.2186584,361.2054138,192.068771362305,146.0613909,182.082794189453,165.056198120117,147.045196533203,136.076782226562,123.044692993164,119.050018310547,137.0610504,119.0507813,91.05566581
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD06.mzML",206.0478363,178.0519707,132.044891357422,139.051025390625,121.04126739502,93.04589081,169.036544799805,141.04167175293,152.0112801,126.030700683594,181.073120117188,163.0642395,138.0685577,245.078796386719,209.058319091797,191.046676635742,179.047180175781,155.046127319336,220.119155883789,202.11203,184.1007233,204.124633789062,85.02927399,282.1231689,150.080246,312.134033203125,180.090927124023,110.0373459,170.045974731445,124.0408554,95.0143737792969,205.099838256836,188.071746826172,170.0625458,118.0667572,209.09455871582,192.0678711,146.0639648,304.131805419922,130.0662384,374.087188720703,352.1079712,176.073547363281,130.067352294922,137.0474091,159.0301176,119.0366855,286.203735351562,85.0297699,227.1315765,195.089981079102,138.0688324,232.156387329102,173.083160400391,85.0291213989258,350.086212158203,152.071319580078,110.061256408691,152.072204589844,110.061492919922,166.0748274,149.0477357,124.0518608,298.1012878,136.065033,184.062377929688,166.050674438477,148.041625976562,190.052597045898,162.0579681,181.073577880859,124.053352355957,183.053039550781,155.058776855469,126.032486,286.1076355,308.089538574219,154.062362670898,112.0522614,176.0732461,130.0667419,367.153930664062,230.0844269,156.0833282,144.0831604,305.1019592,327.0837708,148.0622209,181.0744324,124.0533608,379.217132568359,361.2054138,192.0689492,146.0613909,182.082000732422,165.056381225586,147.044906616211,136.076797485352,123.044982910156,119.0504837,137.0610504,119.0507813,91.05566581
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD07.mzML",206.047607421875,178.051788330078,132.044692993164,139.051879882812,121.041168212891,93.04589081,169.036804199219,141.0421156,152.0112801,126.030723571777,181.074645996094,163.0642395,138.0685577,245.078918457031,209.058181762695,191.047256469727,179.047012329102,155.046295166016,220.1201171875,202.11203,184.1007233,204.126037597656,85.0291213989258,282.123107910156,150.078979492188,312.133026123047,180.089294433594,110.0373459,170.046432495117,124.0408554,95.0143585205078,205.099090576172,188.071929931641,170.0625458,118.0667572,209.0951996,192.067245483398,146.063491821289,304.131439208984,130.0662384,374.089385986328,352.1079712,176.073486328125,130.067337036133,137.046661376953,159.029067993164,119.0366855,286.204437255859,85.0297699,227.1315765,195.089462280273,138.068359375,232.15673828125,173.084106445312,85.02927399,350.085723876953,152.072158813477,110.061378479004,152.071960449219,110.061347961426,166.07292175293,149.0477357,124.0518608,298.101043701172,136.065033,184.062026977539,166.05110168457,148.041000366211,190.0527039,162.057800292969,181.07292175293,124.051811218262,183.052841186523,155.0592194,126.032486,286.104736328125,308.089691162109,154.06103515625,112.050773620605,176.0732461,130.0667419,367.155395507812,230.0844269,156.0833282,144.0831604,305.1019592,327.0837708,148.0622209,181.0744324,124.0533608,379.2186584,361.2054138,192.0689492,146.0613909,182.08381652832,165.056411743164,147.0455933,136.076904296875,123.04508972168,119.050437927246,137.0610504,119.0507813,91.05566581
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD08.mzML",206.0478363,178.0519707,132.044845581055,139.051467895508,121.0413132,93.04589081,169.03694152832,141.0421156,152.010940551758,126.030853271484,181.074462890625,163.0642395,138.0685577,245.078308105469,209.057312011719,191.047164916992,179.046813964844,155.04606628418,220.119110107422,202.11203,184.1007233,204.124450683594,85.0289688110352,282.122283935547,150.078872680664,312.134460449219,180.08984375,110.0373459,170.046569824219,124.0408554,95.0138397216797,205.099212646484,188.071929931641,170.0625458,118.0667572,209.0951996,192.0678711,146.0639648,304.131286621094,130.0662384,374.086090087891,352.1079712,176.073318481445,130.067489624023,137.047180175781,159.029922485352,119.036399841309,286.204345703125,85.0297699,227.1315765,195.089111328125,138.0688324,232.15559387207,173.0841675,85.02927399,350.086029052734,152.071853637695,110.061408996582,152.072326660156,110.06127166748,166.073684692383,149.0477357,124.0518608,298.1012878,136.065033,184.062057495117,166.05256652832,148.041259765625,190.052215576172,162.0579681,181.073318481445,124.0533608,183.052917480469,155.0592194,126.032486,286.1076355,308.089599609375,154.063186645508,112.05200958252,176.0732461,130.0667419,367.156127929688,230.0844269,156.0833282,144.0831604,305.1019592,327.0837708,148.0622209,181.0744324,124.0533608,379.2186584,361.2054138,192.0689492,146.0613909,182.08268737793,165.056030273438,147.045135498047,136.076751708984,123.045150756836,119.050323486328,137.0610504,119.0507813,91.05566581
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD09.mzML",206.047470092773,178.0519707,132.044860839844,139.050720214844,121.0413132,93.04589081,169.037231445312,141.042037963867,152.0112801,126.0308904,181.073593139648,163.0642395,138.0685577,245.077606201172,209.058456420898,191.047485351562,179.046844482422,155.046157836914,220.119659423828,202.11203,184.1007233,204.124588012695,85.02927399,282.121856689453,150.079040527344,312.131896972656,180.090118408203,110.0373459,170.046005249023,124.0408554,95.0137786865234,205.099365234375,188.071380615234,170.062362670898,118.0667572,209.095092773438,192.0678711,146.063949584961,304.131896972656,130.0662384,374.0901489,352.1079712,176.0736389,130.0673828125,137.046585083008,159.029632568359,119.0366855,286.202789306641,85.0297699,227.1315765,195.090377807617,138.0688324,232.155822753906,173.0841675,85.02927399,350.085357666016,152.071487426758,110.061508178711,152.071685791016,110.0616455,166.074264526367,149.0477357,124.0518608,298.1012878,136.065033,184.061721801758,166.052215576172,148.041351318359,190.051422119141,162.0579681,181.0744324,124.052917480469,183.052963256836,155.058013916016,126.032486,286.107421875,308.088256835938,154.063446,112.0522614,176.0732461,130.0667419,367.154174804688,230.0844269,156.0833282,144.0831604,305.1019592,327.0837708,148.0622209,181.0744324,124.0533608,379.2186584,361.2054138,192.0689492,146.060333251953,182.081924438477,165.05647277832,147.045303344727,136.077072143555,123.044624328613,119.050361633301,137.0610504,119.0507813,91.05566581
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD10.mzML",206.047103881836,178.0519707,132.0449806,139.051559448242,121.041221618652,93.04589081,169.036727905273,141.042053222656,152.010864257812,126.030815124512,181.073593139648,163.0642395,138.0685577,245.079208374023,209.057708740234,191.046920776367,179.046997070312,155.046279907227,220.119522094727,202.11203,184.1007233,204.125427246094,85.0291748046875,282.1231689,150.080246,312.133178710938,180.089797973633,110.0373459,170.04655456543,124.0408554,95.0135955810547,205.100006103516,188.071868896484,170.0625458,118.0667572,209.0951996,192.0678711,146.063873291016,304.132049560547,130.0662384,374.087371826172,352.1079712,176.0736389,130.067077636719,137.0474091,159.0301176,119.0366855,286.202117919922,85.0297699,227.1315765,195.088958740234,138.0688324,232.157272338867,173.0841675,85.02880859375,350.086456298828,152.073440551758,110.061553955078,152.071899414062,110.061599731445,166.0748274,149.0477357,124.0518608,298.1012878,136.065033,184.062652587891,166.052444458008,148.040939331055,190.0527039,162.0579681,181.073822021484,124.053146362305,183.052505493164,155.0592194,126.032486,286.105926513672,308.087799072266,154.062881469727,112.0522614,176.0732461,130.0667419,367.155883789062,230.0844269,156.0833282,144.0831604,305.1019592,327.083374023438,148.0622209,181.0744324,124.053146362305,379.216033935547,361.2054138,192.0689492,146.0613909,182.081741333008,165.056304931641,147.045333862305,136.076843261719,123.044769287109,119.050231933594,137.0610504,119.0507813,91.05566581
