"","RPOS-001.1","RPOS-001.2","RPOS-001.3","RPOS-002.1","RPOS-002.2","RPOS-002.3","RPOS-003.1","RPOS-003.2","RPOS-003.3","RPOS-003.4","RPOS-005.1","RPOS-005.2","RPOS-005.3","RPOS-008.1","RPOS-008.2","RPOS-008.3","RPOS-008.4","RPOS-008.5","RPOS-015.1","RPOS-015.2","RPOS-015.3","RPOS-016.1","RPOS-016.2","RPOS-018.1","RPOS-018.2","RPOS-026.1","RPOS-026.2","RPOS-026.3","RPOS-027.1","RPOS-027.2","RPOS-027.3","RPOS-029.1","RPOS-029.2","RPOS-029.3","RPOS-029.4","RPOS-031.1","RPOS-031.2","RPOS-031.3","RPOS-034.1","RPOS-034.2","RPOS-035.1","RPOS-035.2","RPOS-035.3","RPOS-035.4","RPOS-036.1","RPOS-036.2","RPOS-036.3","RPOS-043.1","RPOS-043.2","RPOS-043.3","RPOS-044.1","RPOS-044.2","RPOS-045.1","RPOS-045.2","RPOS-045.3","RPOS-049.1","RPOS-049.2","RPOS-049.3","RPOS-050.1","RPOS-050.2","RPOS-051.1","RPOS-051.2","RPOS-051.3","RPOS-053.1","RPOS-053.2","RPOS-055.1","RPOS-055.2","RPOS-055.3","RPOS-057.1","RPOS-057.2","RPOS-061.1","RPOS-061.2","RPOS-062.1","RPOS-062.2","RPOS-062.3","RPOS-063.1","RPOS-063.2","RPOS-063.3","RPOS-063.4","RPOS-069.1","RPOS-069.2","RPOS-071.1","RPOS-071.2","RPOS-071.3","RPOS-071.4","RPOS-073.1","RPOS-073.2","RPOS-073.3","RPOS-074.1","RPOS-074.2","RPOS-075.1","RPOS-075.2","RPOS-078.1","RPOS-078.2","RPOS-087.1","RPOS-087.2","RPOS-087.3","RPOS-087.4","RPOS-087.5","RPOS-087.6","RPOS-089.1","RPOS-089.2","RPOS-089.3"
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD01.mzML",1002.35311527797,458.648711407622,3439.56813699691,8433.15447510249,624.255203955927,0,376343.634980762,3181.69077806697,3516.76409190508,6889.40382684024,37116.4388791705,490.155829558516,489.659310404467,67611.7193132542,28631.7900951701,3556.33486261733,7605.17457823484,11025.008984366,10159.7279698931,599.632447441967,844.357817626142,277779.584348509,404.644320192301,141192.276687301,25628.0357598681,10807.7129538858,5815.95705800156,0,15407.6619697253,860.297242106302,3194.84030969112,14082.8382297873,18964.7303536551,496.43229285468,3318.01444541658,1949.39700825849,247.598820080754,2489.81575429161,8980.80111603044,1469.49370525523,4735.86498162426,539.613554102085,4675.50701657184,4217.23551728131,27418.6384317031,11075.1308166221,974.045073247764,216424.568595445,38.8791547039483,4091.20758390506,23738.3005575184,1005.94003603756,149826.446135364,1258.37303630174,22.3461439368549,98978.3136173782,148386.056256093,10426.3735127568,37297.6214084926,2202.83085911447,36217.4417975761,109.719733471108,688.641819826131,451.662074296093,0,42020.8787384835,11537.607403033,4118.68709428367,5197.78606055888,1037.30040766171,40591.1225301049,1301.55108183109,30167.7207775109,866.04055223822,337.218399349768,1251.05325664856,12382.0803432077,1177.13692978592,516.179220538853,1050.2019387041,1555.81997775801,12288.7709479457,196.027874317452,442.115602159495,791.086428038206,728.353670304506,507.885148866222,259.034288550249,40519.6554072875,1296.36371363361,1055.9207054785,440.606088644995,1666.01465684387,960.385531855031,22275.1619024612,4948.97696775494,1149.31312063926,5405.90945104227,1688.69452891908,1200.40214370691,1866.76593283712,0,360.389417443662
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD02.mzML",688.861546785355,681.543574492678,3468.0739457533,8721.63037973305,602.961606122275,142.864945025536,404233.520549023,3145.09071972609,3711.91219637362,6617.92255438267,37702.1520004701,70.0370572974609,673.420444574876,67242.8118534506,27997.2775689618,3453.62723081274,7417.97144812669,11288.3979883364,9894.87020932371,716.212193020868,989.308530833119,274908.149908589,590.114190414564,149500.236731822,26905.8522159992,10247.6281407563,5441.95006978114,36.185824800003,15567.4554425707,1153.36667323761,3377.50187284336,14386.4048479457,19057.491387991,581.794105195523,1989.29301213697,1928.32513217392,633.335679911035,1965.29198371314,9065.171987655,1694.36005084839,4631.53356043019,513.298567174086,3956.60143726602,4207.55290231151,28833.6821450581,11496.7064704085,673.043527596814,220868.412084675,260.539773258666,3041.55588491899,23037.7746591223,988.566444416401,149652.675962464,1581.97516700491,261.245413224741,105245.671080068,152366.38889761,10344.7225364713,39500.9931146474,2313.12258731919,37481.9187942066,243.182609795651,582.251958361988,353.1382857536,0,41608.9374986754,11779.2298852812,4026.9592173221,5504.17974116712,894.123116935123,40400.640959562,1268.71079117514,31770.2151351499,285.278935687122,142.580006604495,1289.09166023839,13056.1523630838,1545.38232380291,933.434560769852,1604.39352481886,1538.38686703188,13044.974831399,207.964483030078,608.99100349847,742.318533882754,537.535469879672,395.264502173946,303.306333270932,40314.3650922438,1268.7107089747,1069.72797778916,514.199455065612,1067.75663507958,1436.19244284894,23228.2858706829,5314.31087074179,1228.48520411056,5373.56488847506,2035.40698853894,1178.04092134916,1916.67722054042,0,424.729242580494
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD03.mzML",1166.06880339883,672.993725511983,3427.01430366607,9184.48926245079,467.426828989071,50.7641272799995,383904.703502895,7951.99352715851,3020.83261783886,2535.35805939541,37181.6631786994,264.098606788723,527.650105591357,67090.3662104238,27986.6413562416,3370.14156447663,7381.72477007197,11297.9546241781,9994.85097246443,827.954364007149,869.325700126258,282975.659494555,835.336039694351,147990.650144037,26515.1243125958,10738.4034850092,5581.0037604566,0,16270.3332561944,922.032753127002,3347.37851797602,14362.3895710272,18306.8998926421,555.018908413615,2095.08017702153,1618.42181025076,460.702732791577,2261.04765822963,8385.81171361816,1530.081556447,4416.17048449672,349.152666435147,4000.09990789082,4119.67169513205,28156.723154877,12338.9062195469,1165.74269562763,218881.551610738,411.301732500007,3428.9541191713,23418.7396005119,833.664971216262,155772.373710882,1803.12121981656,125.66823387574,104213.323957671,154636.281693919,10275.1061371959,37385.6234242749,2910.67929392753,35674.3564517116,140.932815093129,504.719463147926,575.002483015759,31.3644066656417,41953.9333660693,12031.0983737911,4286.71458232485,5176.64670704379,1121.68680460128,39212.3408399777,1240.206597614,32087.7686735823,313.955854550816,473.193121531112,1326.80955234091,12644.7564987539,1310.71617993163,627.4301858364,1002.14966872157,1654.53509746106,12717.9227309432,413.349608194262,429.001862163718,820.235871017581,771.145881624574,242.32495791769,109.758577020176,39121.753002686,1240.206705677,1079.87086044264,901.785612525662,1289.28091643085,1101.51543102391,23274.4342650648,5615.34234641428,1172.96101757595,5461.2125771762,2021.6044949875,1039.87777974289,2069.6019279845,0,359.400146963257
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD04.mzML",966.520296650701,461.264551404994,3332.24735791668,8608.77582875338,558.876240688563,81.8961721860092,376210.939039566,3666.35104085624,3695.74035458894,5632.28969916677,36758.5745896623,138.085525037112,989.125973124626,66012.7774265425,27530.8023757326,3500.80976542143,7420.54867345332,10452.0016298726,9991.32709131149,709.05705769977,739.204833648881,280084.013300331,628.502924700176,146949.742913336,26281.444331759,10205.3112724254,5639.53595235198,0,15636.5742712844,728.76895050953,3367.23439975422,13733.6401401756,18842.3928220588,1000.86893688023,2075.08245929963,1836.49226248018,451.921019486447,2029.10701271479,8414.8089498805,2101.09067507487,4258.85101483399,532.491582788379,3378.62174641322,3862.97140857614,27690.0390503537,11612.3373747468,824.010034470447,214350.820906734,0,3450.75473682983,22846.315889869,1058.45238336079,149998.039650609,1001.64045423072,234.303172163016,99612.8070793318,146762.870208936,9965.77230294727,38303.8701073039,3091.15021832731,34614.2417729328,198.218472839613,636.012830487358,407.384290047915,113.739829147826,40785.2835835827,11578.8716818973,4036.35699835422,5459.71433622464,993.431035411978,39356.9581667521,1083.24155025518,32601.7235928687,353.732043191833,345.812216445559,956.422033644465,13220.8832346955,1061.35130233035,918.546038892227,691.056840794066,1334.07645036199,12899.5499713927,98.2935228603507,347.188716684297,679.699374526256,615.662730860142,652.582859456053,144.111817344159,39303.1450916117,1083.24155025518,1274.82234667761,355.71950863392,1155.76341610431,1069.2502875479,23379.3333537366,5073.99220837179,1233.55797068879,5420.10093399944,2010.65269133769,1341.80495467943,1692.53097109286,0,325.852463
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD05.mzML",798.020895287102,674.73996578508,3150.0740233229,8707.10003435243,567.724321913339,0,385346.758009934,2847.00238728883,3182.4788661871,6549.8045101301,35633.8443110329,411.0505339331,988.608277276971,65737.2106035261,27717.5709505398,3565.65089406754,7279.70935912174,11170.3986703128,9293.44770608959,890.094380381022,717.178155401838,269392.124629354,664.780711362543,155247.182768823,27685.3016976487,10310.3669241885,5244.7492533221,14.6486916000006,15306.8884589969,857.607323045317,3124.23808721839,14004.2836250906,18107.4293230787,756.28352833799,2616.25761686963,1770.61084481487,825.186650332758,1982.52182473672,8455.94488201555,1710.96318182868,4101.55163367194,701.930812478759,4884.35601527494,5185.1057132558,28113.722788584,12220.6877061777,614.379802525805,210187.894905947,41.2997836113278,3502.11000247079,21881.1371017632,658.666776909124,141702.969097443,1694.29477653434,98.0477074142588,99295.9756961391,139239.597335503,9837.71825459147,37710.3979206092,2438.96439199552,36603.0419079592,67.91418973059,617.189116035276,449.495636141409,0,43344.7455178709,12032.8089165754,4429.70831969696,5054.3612533846,994.696140393537,38247.8410153198,1335.06054009516,30792.7387428543,289.184257584248,537.415840600374,1148.5993629754,13253.3705160066,1318.70135237111,794.099773610574,1100.98638519105,1341.65843051335,12786.0958171198,230.981589107764,436.904738124896,739.150636664133,766.684324889245,631.065974814847,347.210243813673,38173.980132351,1333.62084773478,902.105335242472,319.181162196374,1348.63177113865,900.364107184639,22124.8829238524,5164.06032841638,1140.4133744721,5107.86521882411,1808.00128965921,999.376485143931,1661.50018742058,0,373.693009385475
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD06.mzML",803.856089643741,555.775328022801,3635.31390379124,8344.66324126131,576.382619506866,0,345446.500449455,2973.92894117435,2890.73141962088,2253.97371703548,36495.5646679508,79.5134933452934,849.779806543857,65686.5952569113,26858.9609470833,3251.62108336016,7300.7797922677,11012.8878993475,9965.12222777342,543.520889931751,852.363694559568,287716.713987824,567.622203269632,157804.534939993,27840.3862233614,10162.000089792,5298.87042789811,0,15269.8888806269,879.311642694047,3483.23489262629,13607.8952031483,18515.2779602531,565.018689118922,2309.97277013703,1582.51262627058,302.413174149024,2297.10039539609,8493.4645789313,1951.31180975568,4250.80849456133,509.478327570498,3780.48170148842,4086.72677490946,28200.0858690349,13684.7543044611,1020.97975439155,214846.020673434,15.4975529025882,3089.85184729793,22125.3176425635,1119.56559073242,149374.232425671,1148.37271845614,259.467311807288,100584.155621919,147444.450607694,10378.3053937533,38210.1126220081,2421.02100740338,36490.3250814255,170.845187293749,639.518740213721,489.574684795304,105.723771894726,42791.1289512755,12150.2645347935,4009.25398698147,4868.32468248453,1048.49936222002,39868.8692136195,1125.54301878545,31959.4189467655,443.118926695809,527.583417600588,988.700239962903,14238.348480401,1311.22752695293,766.496222355104,956.160523206579,1279.57655281095,12745.5812606309,147.521823697617,255.834730180799,550.618785506031,813.106486542729,415.556211543078,128.650151368259,39816.9109825216,1125.54248810909,1139.23645983549,672.435819568724,1549.91345113493,914.24171845019,21286.7133204604,5118.0425132355,1287.27953897878,5259.55252742081,1935.50759234409,690.416418380661,635.021356796259,0,344.257073999999
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD07.mzML",882.769894945573,627.646316323337,3472.56814649637,8131.49264990698,611.130377003401,22.0222740300007,379864.006043057,7574.96758676336,3534.15399126629,2315.08682819618,36945.0526419982,149.708212561233,890.417857926083,65505.6739557491,26918.8716314183,3282.04649214727,7455.38350669172,10596.3468567678,9788.64266488065,924.87094804255,690.70492503888,280902.177592492,733.985221089002,155418.168952713,27232.374683231,10164.1644154094,5526.29929019587,0,15452.5032600716,1026.02071613066,3494.56278084337,14363.7983896592,18465.111756483,822.590102857375,2059.13030170215,1836.76976458625,553.575779113512,2043.5683848167,9011.49832484162,1305.53217912077,4520.61174610434,386.041201924764,3712.4587412054,4006.50194342345,27001.2118545899,12251.8362503724,894.912333396709,214400.796487536,64.4357592000006,2949.82895188681,22973.7404423332,608.398908600928,149738.498211633,1057.40216856286,262.579842897663,99936.1651756074,143011.810180602,9925.56702775471,38637.5053586029,2356.21985989158,36857.2229972097,587.691488910737,482.89606925217,403.198498342784,36.0744653750991,42515.6762503411,11724.1454162062,4368.16680592847,5491.11153750864,1135.86606100822,39375.6530048869,1376.41288194437,30723.7417396977,192.29738351135,413.230513529797,1313.68458500521,14222.7011055461,1459.81783890364,791.342559353174,989.396471209951,1713.56920627852,12730.4583200522,255.95746526162,431.895320107361,912.600480931581,604.293594647028,420.275952714525,253.830428792483,39306.734996537,1376.41222373549,1147.49532918631,501.982284097193,1395.39940860319,1186.05345350065,21597.3306934617,5208.11312237657,976.540012831337,4986.26861197653,2016.18833102881,989.94642550032,1645.96221920793,0,465.817818526213
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD08.mzML",758.108917270401,1047.37698102833,3705.40948566388,8733.06482455818,536.878294213053,61.3628030301972,410504.826936776,8933.31048395225,3487.30893475937,2685.68037830495,38397.2172276343,316.405082060627,673.605110363733,65891.2611385655,26871.7438897389,3408.62443341408,7198.10146399329,11059.1777069957,9735.37226991381,767.744291245479,730.302688006345,291230.108325521,743.494442491203,150167.151807182,26623.8388695552,10513.5670300125,5411.522932043,0,15192.0705011443,1678.23183524323,3261.34101533169,14440.9313283398,19289.5751026221,574.419522474122,2853.75190656146,2471.3687825873,785.517781139359,2597.06272053165,8523.06636148505,1467.93143324181,4353.82006543195,294.406664946205,3327.29653575753,3975.71258536586,29372.5959041674,12664.6412123858,409.50012452857,218825.056119254,255.092687999995,3273.75809033859,23800.3074446923,977.851005923452,150165.789732642,1570.6586562613,117.596522982205,108760.965452221,154183.504346973,10819.7000134873,39287.2836699199,2496.29167519415,36511.8623852306,101.512554856055,752.656897534578,772.084942177243,252.150982796628,42788.2370195348,11562.7003464021,4290.292730917,5204.0745800018,1112.76548929403,39452.0429470323,1546.09883730382,36315.1125409901,49.0876379373387,750.813682446114,886.514483004406,15156.2252740443,1372.15863617402,832.030297962829,809.57724377729,1340.13649038228,14204.6982827057,439.778496072912,81.4222115633528,868.614557935583,848.154317995033,573.619127485464,232.202157076648,39412.5949665967,1546.06352042092,590.677641801864,728.358099564918,1294.61747628296,1047.9201683684,25133.3982908119,5420.55494808768,1218.83446419753,6056.92239312616,2069.36828191909,1283.1888333923,1268.29731244693,0,394.100873986742
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD09.mzML",893.069022920518,586.990412850548,3546.59121239767,8835.2298344762,861.498128421489,33.2411348225105,382624.296971925,3170.40013936192,3906.39234109357,6426.75061130813,38549.0825127037,475.971589030455,1052.79600185603,64286.8164408536,26494.4087944074,3522.75207058011,7020.650850743,10686.7894949581,10129.4773860614,717.189968109942,904.773832012134,292621.325617549,718.122618409665,150291.436135821,27284.0513281896,10261.4845166231,5553.13196670412,0,15301.9306068922,554.871436049822,3441.06444569083,13650.8297788283,18147.5507298588,799.479729390679,2826.90693791292,1651.09993632741,781.904087122339,2004.29399430882,8253.15018739455,1391.14852630312,4337.48570801744,205.848262885234,4072.37775855854,4068.63515219692,27273.8141279718,11993.4046857128,1227.88813155477,213954.366270238,172.182787199986,3431.07030439073,23842.4035558043,669.87863559134,149562.519794121,1537.80678320406,55.7667838476558,99594.483446152,144762.788135858,10087.4537201911,37922.1416757367,4607.63931485703,36028.7143626899,106.452228282239,463.134202703129,645.18576008668,0,43398.7663663614,12111.0421609184,4216.01950269693,5282.50339012739,768.111393847281,39112.9788240858,1445.5149327556,31547.3564493593,292.866001726483,414.712840508444,1053.44840266554,14146.1232077233,1704.76547266544,588.124662744728,1424.61218583408,1278.54892575923,12278.0939974131,164.599467522655,310.283251647375,716.034310308221,787.642509368682,525.682067694418,275.878579329759,39004.2578143113,1445.5148265379,1018.48129081223,823.732599612581,1768.38026295577,842.782647922668,22215.1785515949,4838.25890123337,1205.62828662218,5440.39754009751,1852.51739805165,905.064396853567,1451.474056532,0,399.883723176821
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD10.mzML",985.855536886605,450.471934977542,3090.54221954802,9572.3639074315,657.280154233816,73.1197343999997,376489.371352046,3384.1066361054,2918.68003427545,2555.94129060383,39940.4162667549,84.6262407045418,971.778329067807,69424.2112141117,28818.0987573045,3658.7868982818,7614.97353542074,10844.0953119335,10576.703711009,948.352766112563,681.99359641756,319962.965763706,599.453109017688,172068.369450207,30115.1486203542,10559.6039701426,6017.42711317624,0,16259.9248235227,937.817879755664,3352.25529583508,14567.7243215275,19440.0335671328,1630.91443243399,2685.79270625152,1855.85528044789,640.956571407626,2232.04196951071,8970.83601080582,1531.07755398877,4492.24910193169,368.309596095702,6466.17755079685,4134.34806398164,29530.2230416566,14451.3558746039,150.540774334715,231552.237746672,0,3926.04890341471,23996.8650207606,1667.3269674563,159239.936037228,1453.38841383609,339.923369229546,106480.090499595,152711.558177623,10790.8019048333,41226.9481783157,2797.52199008642,38034.5328242254,457.608653776247,711.719338939999,349.973944728463,0,46277.753135823,12880.5552910708,4497.71317701194,5566.25031806707,991.132515171754,42565.1936451954,1283.46849872792,34342.7982589573,157.892684399999,452.453583093257,1065.34307436622,16068.7951594806,1318.16511673576,1074.30033886386,865.075759163625,1199.91674449066,13510.613094416,453.233444237909,353.865268918801,880.388186060907,784.409066123192,431.432950513602,166.185656945331,42515.4351094294,1283.46893039435,1188.40989638191,395.300082259414,1589.09749946167,1232.55161249166,24409.6127622223,5278.01875850326,1434.56000421692,5382.69539364682,2155.38517201835,1041.84975896113,187.354600650882,0,83.2872276865728
