"","RPOS-001.1","RPOS-001.2","RPOS-001.3","RPOS-002.1","RPOS-002.2","RPOS-002.3","RPOS-003.1","RPOS-003.2","RPOS-003.3","RPOS-003.4","RPOS-005.1","RPOS-005.2","RPOS-005.3","RPOS-008.1","RPOS-008.2","RPOS-008.3","RPOS-008.4","RPOS-008.5","RPOS-015.1","RPOS-015.2","RPOS-015.3","RPOS-016.1","RPOS-016.2","RPOS-018.1","RPOS-018.2","RPOS-026.1","RPOS-026.2","RPOS-026.3","RPOS-027.1","RPOS-027.2","RPOS-027.3","RPOS-029.1","RPOS-029.2","RPOS-029.3","RPOS-029.4","RPOS-031.1","RPOS-031.2","RPOS-031.3","RPOS-034.1","RPOS-034.2","RPOS-035.1","RPOS-035.2","RPOS-035.3","RPOS-035.4","RPOS-036.1","RPOS-036.2","RPOS-036.3","RPOS-043.1","RPOS-043.2","RPOS-043.3","RPOS-044.1","RPOS-044.2","RPOS-045.1","RPOS-045.2","RPOS-045.3","RPOS-049.1","RPOS-049.2","RPOS-049.3","RPOS-050.1","RPOS-050.2","RPOS-051.1","RPOS-051.2","RPOS-051.3","RPOS-053.1","RPOS-053.2","RPOS-055.1","RPOS-055.2","RPOS-055.3","RPOS-057.1","RPOS-057.2","RPOS-061.1","RPOS-061.2","RPOS-062.1","RPOS-062.2","RPOS-062.3","RPOS-063.1","RPOS-063.2","RPOS-063.3","RPOS-063.4","RPOS-069.1","RPOS-069.2","RPOS-071.1","RPOS-071.2","RPOS-071.3","RPOS-071.4","RPOS-073.1","RPOS-073.2","RPOS-073.3","RPOS-074.1","RPOS-074.2","RPOS-075.1","RPOS-075.2","RPOS-078.1","RPOS-078.2","RPOS-087.1","RPOS-087.2","RPOS-087.3","RPOS-087.4","RPOS-087.5","RPOS-087.6","RPOS-089.1","RPOS-089.2","RPOS-089.3"
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD01.mzML",170.201778488341,171,169.840516982362,58.6267734343784,58.9214350244151,60,70.0153331963103,69.7262998899507,70.7527380903844,75,146.553229979425,147.5,146.745852279965,58.9764507962625,58.8765789830392,58.7271002733446,58.8770925103817,58.8303586834868,143.178723187328,143.5,143.5,59.5321684138821,60,76.3354823303088,76.3568009867944,144.803303102505,144.545580414878,145.5,144.077127250886,144.074373068692,143.829440224086,166.900056294754,166.922862388323,168,168,123,123,124.00186858986,240.749755576998,240.842125850728,268.745635159448,269,269,268.506075571687,74.2861373232576,74.3726145365509,76,340.035798133097,342.5,342.5,210.51105197662,211.5,145.334079260049,146.155006507014,147,118.692476849307,118.669016872464,118.767112770494,156.532739566222,156.782705403601,76.4270478270697,77.5,77.5,165.824143683098,167,105.108625827691,105.105715982539,105.07383630528,187.870528258046,188.239799958412,167.975819749383,168.326865931435,111.612327046961,114.945739523799,112.5,133,132.624093276532,132.607791791773,133,340,340,121.952975292309,122.4,122.4,122.4,89.3419071144254,89.994859550735,89,167.962281395456,168.304086749563,339.429239414941,340,202,202.005253942101,85.209254523914,85.1894189145668,85.2756742683036,85.3762565861128,84.9887483502043,85.2596971157969,71.4091128965976,72,72
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD02.mzML",171,171,169.604333692561,58.6415604807764,58.3795737868549,60,70.9937273173201,71.146514840155,75,75,146.53500843068,147.5,147.5,58.8792794464397,58.8795785099902,59.0484178860044,58.8014671019115,58.9828233864992,143.196636187615,143.5,149.312593559912,59.5166253622618,58.756271172099,76.5231457053816,76.5453816169255,144.613096211667,144.611470290126,145.5,143.909210012987,144.5,143.967723881408,166.821251553428,166.802416415878,166.495877001069,168.791785033286,123.036928295216,123.860574838976,122.8834914326,240.755845787694,241,268.488012266808,269,268.596691411411,268.409797613715,74.7335887006847,74.7468425753196,76,340.050418225726,342.5,342.5,210.521503338478,211.5,145.323854881907,147,144.887478475524,118.646099606184,118.690145038098,118.72677075896,156.466393270809,157.15090367536,76.6593090163264,77.5,77.5,167,167,105.141158966538,105.144645395421,104.93607311087,187.952488820007,187.590957679713,168.014393717881,168.029825207336,111.663553141741,112.5,112.5,133.040696432534,132.534467283491,132.920790483121,132.57520143698,340,340,122.123038216973,122.4,127.121945643565,122.4,89.3301904470029,89,89,167.993083046145,168.029823785452,340,340,201.430180786683,202,85.3797904610059,85.5599514588627,85.5194478534781,85.4566860631279,85.1909384509967,85.3733257157879,72,72,72
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD03.mzML",171,171,169.645398020992,58.746732972154,60,60,70.1879028564974,75,75,71.5851012419516,146.507710622077,147.5,147.5,58.9276703933116,58.9053546262246,58.8037937397279,58.9878742532671,58.9520208122274,143.140706933586,143.5,143.5,59.5141199348238,59.2547057973989,76.3974463031587,76.3932218571625,144.629196135189,144.696755906636,145.5,144.06888887137,144.5,143.7579953903,166.919566953048,166.83221735251,168,168,123,123,123,240.659907378602,241.215653303884,268.253806422014,269,268.585781413757,268.710814727519,74.3105398354955,74.4370233118699,80.9655515201865,340.121745744464,342.5,342.5,210.471990987436,211.5,145.289159109075,147,147,118.635584872151,118.63713644542,118.672950174276,156.55982017,157,76.5740308385033,77.5,77.1084716183427,166.204461990889,167,105.078771626982,105.167429883925,105.138477109702,187.732843707681,188,168.041181137404,167.915530102117,111.614958683132,112.5,112.5,133,132.605896610892,133,132.61079679299,340,340,121.794992204566,122.4,122.4,122.4,89.4170128060382,89,89,168.020401630023,167.915507796247,340,340,202,202,85.3073244508175,85.4440525633958,85.3747254189163,85.6507072919059,85.8717279187112,84.9173581395829,72,72,72
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD04.mzML",170.264511005472,171,169.602872124335,58.7396845162714,58.2866695099521,60,70.7334423583526,75,75,75,146.48238600647,147.5,149.320247195208,58.9565917629055,58.9915426998276,59.0216889384927,59.0429308294533,58.9574196046899,143.254963938851,143.5,143.5,59.5736495466638,60,76.4274089394576,76.4584458654728,144.703530948058,144.581302210959,145.5,143.93502353048,144.5,143.809183896228,166.804831795693,166.868289137063,168,168.547707087003,122.970411840089,123.07634509425,123.593732589463,240.658470277908,241,268.574298796986,269.079760838902,268.550198312797,268.997167227696,74.641677940361,74.8441990143795,76,340.028844679555,342.5,342.5,210.544304536148,211.5,145.436381606006,146.589440879057,147,118.640808169729,118.734664717916,118.683776037128,156.595205062141,157,76.6897055118246,76.8264346452143,77.5,166.018614470507,167,105.054753121875,105.253871586657,105.212435734791,187.681383554561,188.022721888282,167.896482080932,168,111.60722949959,112.5,112.5,133,132.698124764855,132.431780205735,133,340,340,121.984265068569,122.4,122.4,122.4,89,91.5871801717463,89.3049481438912,167.883035943456,167.8,340,340,202,202,85.3303211339974,85.3021358671675,85.2488426767475,85.497260813337,85.5475598847514,86,73.3956237257557,72,72
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD05.mzML",171,169.97653450979,170.266204216676,58.7373921564609,58.9763152405893,60,70.664497621937,70.5770561318804,70.6870036041402,75,146.483393627632,146.766399175329,147.5,58.8429969182613,58.8097524283455,58.6112669679795,58.7719125345486,58.8968840179982,142.976913367877,143.5,143.5,59.5536177998386,59.4567719113723,76.4577726595123,76.4987488894136,144.837183998358,144.815046019227,145.5,143.817231599011,144.418475132976,143.816211044678,166.860477110529,166.856366607365,167.265350542388,168,123,123,122.838594260597,240.60564443998,241,268.254913260473,269,269,269,74.695217281951,74.6998677116366,76,339.94931892268,342.5,342.5,210.575168656866,211.5,145.306460917348,147,147,118.608730712402,118.66325010414,118.862289653779,156.5191546772,156.820762058564,76.6616568355539,77.5,77.5,166.08649095618,167,105.069298827455,105.150971028472,104.985484770634,187.932602715415,188.28356920484,167.956733022591,167.834101945672,111.54102684643,111.865308907411,112.5,132.462717784487,132.593680220494,132.556284357933,133.36606393393,340,340,121.918303313139,122.4,122.4,122.4,89.5668690734171,89,89,167.939468239199,167.822922874054,340,340,201.089363879801,202,85.2356245426368,85.3692819365097,85.3175751379988,85.4384094031017,85.4436692922497,85.1491316979543,72.7405815866366,72,72
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD06.mzML",171,171,169.792990964705,58.8893038770475,58.0820327923313,60,69.0048628841954,68.9986467110003,75,69.5369592127634,146.358700115517,147.5,147.5,59.0409518379939,58.9995797844092,59.1107113681419,59.1787774924319,58.9687022411094,143.043528404656,143.5,143.5,59.697906061542,60,76.114092091102,76.1663581856328,144.620536169626,144.742101311255,145.5,143.885283937562,144.5,143.872809622109,166.759071875679,166.744589174342,168,168,122.787551965372,123,123.207368841887,240.856443991118,241,268.147559150966,269.664696688594,268.317268813075,268.905219751267,73.5709739882885,73.6948822733078,76,340.004308799313,342.5,342.5,210.448554067531,211.5,145.28129155992,145.744547249826,144.71931028071,118.521082072469,118.546233119785,118.653698914904,156.476908601438,156.318480631398,76.1129612768135,75.689741846545,77.5,167,167,105.034862659494,104.997140709294,105.231469084862,187.813160420795,188,167.875844162879,167.85502298625,111.470301431607,111.620224844578,112.5,133,132.572665221076,132.954592261158,133,340,340,121.890410613227,122.4,122.4,122.4,89.4428144227715,89,89,167.863376725929,167.855014898114,339.598107358848,340,202,202,85.0745293151225,85.0031499662969,84.9809022941275,85.0753665730656,84.9380159444672,86,72,72,72
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD07.mzML",170.375257473228,170.624873689968,169.891186264583,58.944264559968,58.8152275844419,60,70.6978213225569,75,75,71.647885708585,146.500028455296,147.5,147.5,58.9965807988151,59.0735670523098,58.9455558777189,59.2224124874893,58.9720204084757,143.304363592931,143.5,143.5,59.6392567978723,59.7978181138064,76.4880312190071,76.5160392370664,144.784118864266,144.895075137596,145.5,143.945214884166,144.5,144.177185638847,166.814927724022,166.904532207963,168,169.253591890479,124.263304029597,122.829107694629,122.739161857895,240.733188626604,241.49347139305,268.602800075081,269.438352993448,268.384025181236,268.534264907544,74.7260231675097,74.8058518937978,76,340.097474478522,342.5,342.5,210.629180002611,210.966533299952,145.405638807519,145.614289195054,147,118.737880601828,118.764130169903,118.800940288788,156.526769070346,156.664287839811,76.7117061567693,84.4214116878154,77.5,165.7158426398,167,105.220251309356,105.240316159306,105.42194838382,188.050680313938,187.91046651899,167.947640738169,167.989340305404,111.767065447895,112.5,112.5,132.669681380326,132.569902443563,132.574669634051,132.529818528742,340,343.475350523917,122.071332400325,122.4,122.4,122.4,89,89.2432686062708,90.7986326744609,167.929858634913,167.989340082797,339.537365330332,340,202.038760634853,202,85.3396421924115,85.4015719921651,86,85.3475983175664,85.2420483875107,85.4363182859563,71.8616316101366,72,72
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD08.mzML",171,171,169.85325484852,58.611260992702,60,60,70.0579949047535,75,70.1974127282448,70.7539123951627,146.508433944755,147.5,147.5,58.9225609891388,58.9095088757367,58.8199691016273,59.0449317535764,59.0061901025821,143.086342674421,143.5,143.5,59.5174854479934,59.217169227965,76.3272172773369,76.3707075522886,144.67024260404,144.789352056564,145.5,143.880606501853,144.5,143.901759064922,166.729025662808,166.870898352674,168,168,123,123,123,240.743957513656,241.142872209391,268.563292962675,269,268.593392318076,268.751803466034,74.2815385294309,74.4168805455304,74.472161491711,340.002047214557,342.5,342.5,210.58765677695,211.5,145.269010406504,147,147,118.589737118011,118.646948827242,118.561150219714,156.493558263422,156.780124993408,76.4689808848954,77.5,77.5,167,167,104.924237704507,104.93249932962,104.954435280625,187.954517734201,188,167.93618949355,168.414009895555,111.49617515899,112.5,113.699534992327,133,132.554987972724,132.558386995645,132.467415431077,340,340,121.962906654371,122.4,122.4,122.4,89.9043849263315,90.084250722268,89,167.928163255331,168.414542926879,340,340,202,202,85.2728009914715,85.3157819441629,84.9959107840632,85.2488762034043,85.0954684871695,85.3582489352016,70.9498054290307,72,72
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD09.mzML",169.963673076867,171,169.589520198517,58.6276262287601,58.6221546543645,60,70.8323996583949,71.1915233688841,75,75,146.440742218881,147.5,147.5,58.867921339513,58.8330607368905,59.0430938444396,58.7695393438191,58.9165090833898,143.163182029842,143.5,143.5,59.4564027428265,60.1911624052922,76.4896637203359,76.5405492753087,144.768647052662,144.776203210087,145.5,144.084213954556,144.5,144.160304506415,166.876568325299,166.905738936998,167.815195875187,168,122.953543074905,123,122.737863908524,240.745805993445,241.073562962855,269,269,269,268.589358773342,74.7041917321569,74.7828772390892,76,339.931290302972,342.5,342.5,210.453266062889,211.5,145.333029997421,147,147,118.716938255405,118.791095668346,118.791015108562,156.506912561617,157,76.6648651487054,77.5,77.5,167,167,105.03133154704,105.138177012644,104.968966189686,187.673592694698,188,168.026783508529,167.991273408482,111.609934119397,111.233049378493,112.5,132.615056716611,132.563769883028,133.336657152941,133,340,340,122.026981581551,122.4,122.4,122.4,89,89.6492740305279,89,168.004495217486,167.991199888613,340,344.363649900898,202,201.394778940467,85.3453792426689,85.2145263385333,85.2649842616697,85.5544749518761,85.5415006435139,85.1218214102433,72,72,72
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_B1SRD10.mzML",170.060883194253,171,171,58.767674234096,59.2213201029054,60,68.2608029190208,68.5467737534887,68.4263894297477,68.5847192209192,146.482140184976,147.5,147.5,58.8852665428015,58.8220004703764,58.8049776761535,58.6270552499304,58.5862329410588,143.290549516259,143.5,143.5,59.4650287946381,59.6048258877318,76.0576651068362,76.0888597118183,144.646708758115,144.661646501361,145.5,143.76430785622,144.5,143.782716494758,166.795215620789,166.838577477979,168,168,123.101439122181,123,122.738033097605,240.705205415751,241.395538227636,268.651263812254,269,269,268.706530738682,73.3922789408627,73.4213450908547,76,339.967532849194,342.5,342.5,210.475047439281,211.5,145.278287931657,147,145.18645514143,118.567050618476,118.596644683613,118.707616960937,156.403584681606,156.541906141613,76.1349943378987,81.9979376689292,77.5,167,167,104.942815147447,104.990232795254,104.973112466866,188.019315666394,188.151099017008,167.859180995072,167.658694531983,111.449429553727,112.5,113.026788221231,132.404367842286,132.568154519343,132.739531884768,133,340,340,121.881160728127,122.537362279809,122.4,122.4,89.4705671943574,88.6408639649447,89,167.846911475779,167.658673701911,339.352122835125,340,202,202,85.0762514512731,85.2149158491187,85.4820644580791,85.0689298321643,85.2028696924833,84.7290336691793,72,72,72
