"","ratio_peaks_found","ratio_peaks_filled","ppm_error","rt_dev_sec"
"RPOS-001.1 - Xanthurenate",0.970132743362832,0.0298672566371681,1.82925058064469,0.387684609111021
"RPOS-001.2 - Xanthurenate ISF.1",0.485619469026549,0.514380530973451,2.83786454222425,-0.663457063929517
"RPOS-001.3 - Xanthurenate ISF.2",0.983407079646018,0.0165929203539823,7.34074912916104,-0.00527022879368557
"RPOS-002.1 - Urocanate",0.990044247787611,0.00995575221238938,3.55744557986425,-0.0316489412430496
"RPOS-002.2 - Urocanate ISF.1",0.96570796460177,0.0342920353982301,4.94327419513811,-0.0206791563604234
"RPOS-002.3 - Urocanate ISF.2",0.911504424778761,0.0884955752212389,3.23987927955594,-0.00036291118054616
"RPOS-003.1 - Urate",0.959070796460177,0.040929203539823,5.56303103197686,0.750628823854588
"RPOS-003.2 - Urate ISF.1",0.942477876106195,0.0575221238938053,3.24772079942754,0.761540585757113
"RPOS-003.3 - Urate ISF.2",0.813053097345133,0.186946902654867,3.00103771354495,0.721756230984345
"RPOS-003.4 - Urate ISF.3",0.94358407079646,0.0564159292035398,3.87025045145789,0.775249310354666
"RPOS-005.1 - Theobromine",0.960176991150443,0.0398230088495575,2.84602596415558,0.075331031786144
"RPOS-005.2 - Theobromine ISF.1",0.861725663716814,0.138274336283186,4.67105675343102,0.096127038544951
"RPOS-005.3 - Theobromine ISF.2",0.902654867256637,0.0973451327433628,6.94438041187088,0.07369121894934
"RPOS-008.1 - Pseudouridine",0.995575221238938,0.00442477876106195,2.25036894947204,0.324286171338958
"RPOS-008.2 - Pseudouridine ISF.1",0.990044247787611,0.00995575221238938,2.04626512807267,0.359120089345361
"RPOS-008.3 - Pseudouridine ISF.2",0.971238938053097,0.0287610619469027,2.38574198451675,0.363550812535337
"RPOS-008.4 - Pseudouridine ISF.3",0.974557522123894,0.0254424778761062,2.84836853427231,0.360513258033453
"RPOS-008.5 - Pseudouridine ISF.4",0.986725663716814,0.0132743362831858,5.27641013771505,0.362017926193476
"RPOS-015.1 - Pantothenate",0.990044247787611,0.00995575221238938,1.79428922162836,0.378540685734669
"RPOS-015.2 - Pantothenate ISF.1",0.924778761061947,0.0752212389380531,9.46893977994809,0.391850505634977
"RPOS-015.3 - Pantothenate ISF.2",0.856194690265487,0.143805309734513,8.73540897612407,0.387574844908314
"RPOS-016.1 - L-Acetylcarnitine",0.673672566371681,0.326327433628319,6.25163162476248,-0.443783990278357
"RPOS-016.2 - L-Acetylcarnitine ISF.1",0.932522123893805,0.0674778761061947,3.88971188847584,-0.391920913534282
"RPOS-018.1 - 1-Methyladenosine",0.925884955752212,0.0741150442477876,3.91601407836527,-0.00549559172028313
"RPOS-018.2 - 1-Methyladenosine ISF.1",0.956858407079646,0.043141592920354,6.81614801037362,0.00295010709381196
"RPOS-026.1 - N2,N2-Dimethylguanosine",0.996681415929204,0.00331858407079646,1.12761070666279,0.128575491189175
"RPOS-026.2 - N2,N2-Dimethylguanosine ISF.1",0.991150442477876,0.00884955752212389,6.74092852978092,0.133265597983004
"RPOS-026.3 - N2,N2-Dimethylguanosine ISF.2",0.776548672566372,0.223451327433628,6.43105588925567,0.157487987684071
"RPOS-027.1 - 2-Furoylglycine",0.983407079646018,0.0165929203539823,2.45400197765809,0.514298120414169
"RPOS-027.2 - 2-Furoylglycine ISF.1",0.899336283185841,0.100663716814159,2.95834734049448,0.501811683667515
"RPOS-027.3 - 2-Furoylglycine ISF.2",0.930309734513274,0.0696902654867257,5.51445306245408,0.531352796968616
"RPOS-029.1 - Tryptophan",0.992256637168142,0.00774336283185841,1.93252167007574,0.209382947022872
"RPOS-029.2 - Tryptophan ISF.1",0.935840707964602,0.0641592920353982,2.15007665874486,0.203965035817025
"RPOS-029.3 - Tryptophan ISF.2",0.964601769911504,0.0353982300884956,3.15085678154244,0.214302575594118
"RPOS-029.4 - Tryptophan ISF.3",0.959070796460177,0.040929203539823,3.70473440030687,0.231115131815843
"RPOS-031.1 - Kynurenine",0.948008849557522,0.0519911504424779,2.58428201522331,0.268829131793455
"RPOS-031.2 - Kynurenine ISF.1",0.940265486725664,0.0597345132743363,2.51274511624489,0.324469099036148
"RPOS-031.3 - Kynurenine ISF.2",0.880530973451327,0.119469026548673,6.58326491108984,0.127932160501305
"RPOS-034.1 - Indoleacetyl glutamine",0.990044247787611,0.00995575221238938,1.21248983536537,0.66596698711179
"RPOS-034.2 - Indoleacetyl glutamine ISF.1",0.969026548672566,0.0309734513274336,3.26997089245468,0.67481965961929
"RPOS-035.1 - Indole-3-acetic-acid-O-glucuronide",0.966814159292035,0.0331858407079646,1.10641782148664,1.02817519752696
"RPOS-035.2 - Indole-3-acetic-acid-O-glucuronide",0.902654867256637,0.0973451327433628,2.05782802135371,1.04075129118534
"RPOS-035.3 - Indole-3-acetic-acid-O-glucuronide ISF.1",0.915929203539823,0.084070796460177,4.00606287721062,1.04144092163438
"RPOS-035.4 - Indole-3-acetic-acid-O-glucuronide ISF.2",0.962389380530973,0.0376106194690266,6.73221566862032,1.06127334186402
"RPOS-036.1 - Hypoxanthine",0.899336283185841,0.100663716814159,3.15993934258578,0.343365848195738
"RPOS-036.2 - Hypoxanthine",0.94358407079646,0.0564159292035398,2.89105177286541,0.378988771957234
"RPOS-036.3 - Hypoxanthine ISF.1",0.915929203539823,0.084070796460177,3.16455174824204,0.368064115974044
"RPOS-043.1 - 2-Octenoylcarnitine",0.717920353982301,0.282079646017699,5.35483705930043,-2.01663387655522
"RPOS-043.2 - 2-Octenoylcarnitine ISF.1",0.600663716814159,0.399336283185841,3.1504623844943,-2.24040170471943
"RPOS-043.3 - 2-Octenoylcarnitine ISF.2",0.725663716814159,0.274336283185841,2.79000460518749,-2.25114592569791
"RPOS-044.1 - Caffeine",0.976769911504425,0.0232300884955752,2.60654162921823,0.13194359735023
"RPOS-044.2 - Caffeine ISF.1",0.868362831858407,0.131637168141593,8.11506244449375,0.129650310972311
"RPOS-045.1 - Butyrylcarnitine",0.77212389380531,0.22787610619469,6.30616167818765,-0.359086393130101
"RPOS-045.2 - Butyrylcarnitine ISF.1",0.926991150442478,0.0730088495575221,6.49728470722258,-0.315347658783091
"RPOS-045.3 - Butyrylcarnitine ISF.2",0.938053097345133,0.0619469026548673,3.79008973507768,-0.298744548630357
"RPOS-049.1 - Acetaminophen glucuronide",0.923672566371681,0.0763274336283186,3.54756614481848,0.248262297666839
"RPOS-049.2 - Acetaminophen glucuronide ISF.1",0.788716814159292,0.211283185840708,6.4263597201076,0.263283790189092
"RPOS-049.3 - Acetaminophen glucuronide ISF.2",0.592920353982301,0.407079646017699,4.15943508507219,0.210334048853628
"RPOS-050.1 - Acetaminophen",0.731194690265487,0.268805309734513,3.34974857722997,0.339718142201483
"RPOS-050.2 - Acetaminophen ISF.1",0.524336283185841,0.475663716814159,3.85619644364161,0.38282087919272
"RPOS-051.1 - 7-Methylguanine",0.938053097345133,0.0619469026548673,3.19419023459333,-0.0543506679870391
"RPOS-051.2 - 7-Methylguanine ISF.1",0.932522123893805,0.0674778761061947,3.57832432987429,-0.0539899546570588
"RPOS-051.3 - 7-Methylguanine ISF.2",0.940265486725664,0.0597345132743363,2.99806910390601,-0.0440831397193448
"RPOS-053.1 - 5'-Methylthioadenosine",0.967920353982301,0.0320796460176991,1.3871623367849,-0.348904461276431
"RPOS-053.2 - 5'-Methylthioadenosine ISF.1",0.810840707964602,0.189159292035398,7.56812021262615,-0.360806793806615
"RPOS-055.1 - 4-Pyridoxate",0.956858407079646,0.043141592920354,2.26784500132389,0.252810057519321
"RPOS-055.2 - 4-Pyridoxate ISF.1",0.978982300884956,0.0210176991150442,4.70396486069236,0.246514629585456
"RPOS-055.3 - 4-Pyridoxate ISF.2",0.971238938053097,0.0287610619469027,5.55737378045656,0.24166001231989
"RPOS-057.1 - Kynurenate",0.98783185840708,0.0121681415929204,2.03760321095612,0.447909927570519
"RPOS-057.2 - Kynurenate ISF.1",0.960176991150443,0.0398230088495575,6.67809477033619,0.445483355715942
"RPOS-061.1 - Paraxanthine",0.952433628318584,0.0475663716814159,2.83241913104274,0.164521113695209
"RPOS-061.2 - Paraxanthine ISF.1",0.814159292035398,0.185840707964602,9.84116185891887,0.18688137213529
"RPOS-062.1 - 1-Methylurate",0.990044247787611,0.00995575221238938,2.37236170748648,0.320888254110516
"RPOS-062.2 - 1-Methylurate ISF.1",0.907079646017699,0.0929203539823009,6.36066533639395,0.329479292456651
"RPOS-062.3 - 1-Methylurate ISF.2",0.85287610619469,0.14712389380531,7.50629064028229,0.327269852971415
"RPOS-063.1 - N4-Acetylcytidine",0.959070796460177,0.040929203539823,1.24280983010204,0.308132412737444
"RPOS-063.2 - N4-Acetylcytidine",0.974557522123894,0.0254424778761062,1.05923595752802,0.36207791453577
"RPOS-063.3 - N4-Acetylcytidine ISF.1",0.962389380530973,0.0376106194690266,3.63638882778636,0.309005873316703
"RPOS-063.4 - N4-Acetylcytidine ISF.2",0.951327433628319,0.0486725663716814,4.5151456567488,0.313783472359192
"RPOS-069.1 - Indole-3-acetate",0.761061946902655,0.238938053097345,2.52133661331972,2.07856123998321
"RPOS-069.2 - Indole-3-acetate ISF.1",0.707964601769911,0.292035398230089,2.75482262834474,2.08518295932608
"RPOS-071.1 - Tetrahydropentoxyline",0.984513274336283,0.0154867256637168,3.35777260823105,-0.0775226313198807
"RPOS-071.2 - Tetrahydropentoxyline ISF.1",0.910398230088496,0.0896017699115044,1.97026630046159,-0.0897098037447425
"RPOS-071.3 - Tetrahydropentoxyline ISF.2",0.910398230088496,0.0896017699115044,5.41618739583786,-0.0916564632654502
"RPOS-071.4 - Tetrahydropentoxyline ISF.3",0.838495575221239,0.161504424778761,5.1126681528018,-0.0799042039895679
"RPOS-073.1 - N-Acetylaspartylglutamate",0.957964601769911,0.0420353982300885,1.39241754826072,0.475772410982504
"RPOS-073.2 - N-Acetylaspartylglutamate",0.969026548672566,0.0309734513274336,1.45082958599148,0.45734652952633
"RPOS-073.3 - N-Acetylaspartylglutamate ISF.1",0.892699115044248,0.107300884955752,2.52203075298768,0.476581619378636
