"cpdID","cpdName","Retention Time","m/z"
"RPOS-001.1","Xanthurenate",168.319371911407,206.044564385504
"RPOS-001.2","Xanthurenate ISF.1",167.012115830985,178.049571782259
"RPOS-001.3","Xanthurenate ISF.2",162.872736886634,132.043958402097
"RPOS-002.1","Urocanate",57.5895168940478,139.049772250128
"RPOS-002.2","Urocanate ISF.1",57.5980623170422,121.038879099674
"RPOS-002.3","Urocanate ISF.2",57.6148680893816,93.0444025532192
"RPOS-003.1","Urate",68.3657860464902,169.036569342368
"RPOS-003.2","Urate ISF.1",68.3786473534911,141.04017855558
"RPOS-003.3","Urate ISF.2",68.3453842409297,152.008563524369
"RPOS-003.4","Urate ISF.3",68.4187430926499,126.029228452699
"RPOS-005.1","Theobromine",145.262718971697,181.072263581892
"RPOS-005.2","Theobromine ISF.1",145.272525851793,163.060967910011
"RPOS-005.3","Theobromine ISF.2",145.259321228614,138.065455486278
"RPOS-008.1","Pseudouridine",57.2697871058353,245.077177527008
"RPOS-008.2","Pseudouridine ISF.1",57.3032390939447,209.055685372595
"RPOS-008.3","Pseudouridine ISF.2",57.3040925973625,191.044855924714
"RPOS-008.4","Pseudouridine ISF.3",57.305323196387,179.044861053152
"RPOS-008.5","Pseudouridine ISF.4",57.3049989487189,155.044728235169
"RPOS-015.1","Pantothenate",141.407901452223,220.117931229402
"RPOS-015.2","Pantothenate ISF.1",141.423267872473,202.107007362977
"RPOS-015.3","Pantothenate ISF.2",141.464090926753,184.09614580329
"RPOS-016.1","L-Acetylcarnitine",58.1443575911276,204.124466939419
"RPOS-016.2","L-Acetylcarnitine ISF.1",58.2036948945263,85.0280667561626
"RPOS-018.1","1-Methyladenosine",75.2853807585117,282.120728474401
"RPOS-018.2","1-Methyladenosine ISF.1",75.2921902885471,150.07693014043
"RPOS-026.1","N2,N2-Dimethylguanosine",143.36587615657,312.130177832701
"RPOS-026.2","N2,N2-Dimethylguanosine ISF.1",143.372672209399,180.087701255297
"RPOS-026.3","N2,N2-Dimethylguanosine ISF.2",143.403218243718,110.034985997886
"RPOS-027.1","2-Furoylglycine",142.187040421461,170.044580451599
"RPOS-027.2","2-Furoylglycine ISF.1",142.181647683529,124.038716531283
"RPOS-027.3","2-Furoylglycine ISF.2",142.197239829771,95.0124781643654
"RPOS-029.1","Tryptophan",165.102251140999,205.097095682485
"RPOS-029.2","Tryptophan ISF.1",165.073637733291,188.07059323967
"RPOS-029.3","Tryptophan ISF.2",165.069228704897,170.059432777224
"RPOS-029.4","Tryptophan ISF.3",165.08212173935,118.064946531373
"RPOS-031.1","Kynurenine",121.334444595364,209.091562478464
"RPOS-031.2","Kynurenine ISF.1",121.358894201583,192.065258749647
"RPOS-031.3","Kynurenine ISF.2",121.100828777186,146.062356833443
"RPOS-034.1","Indoleacetyl glutamine",238.695996891087,304.128996829208
"RPOS-034.2","Indoleacetyl glutamine ISF.1",238.704986273092,130.064394907956
"RPOS-035.1","Indole-3-acetic-acid-O-glucuronide",266.151576430872,374.084338357566
"RPOS-035.2","Indole-3-acetic-acid-O-glucuronide",266.158765844493,352.101999446568
"RPOS-035.3","Indole-3-acetic-acid-O-glucuronide ISF.1",266.176526077999,176.070265121036
"RPOS-035.4","Indole-3-acetic-acid-O-glucuronide ISF.2",266.185810306903,130.064673097082
"RPOS-036.1","Hypoxanthine",72.9793858124309,137.045707727215
"RPOS-036.2","Hypoxanthine",73.018822542197,159.027348311197
"RPOS-036.3","Hypoxanthine ISF.1",72.9864153421262,119.034672852061
"RPOS-043.1","2-Octenoylcarnitine",336.773941542733,286.203472083084
"RPOS-043.2","2-Octenoylcarnitine ISF.1",336.665544241099,85.0282521032787
"RPOS-043.3","2-Octenoylcarnitine ISF.2",336.655178579984,227.127530081953
"RPOS-044.1","Caffeine",209.077049646643,195.088023485812
"RPOS-044.2","Caffeine ISF.1",209.085601500984,138.065596188722
"RPOS-045.1","Butyrylcarnitine",144.181488932176,232.156195851827
"RPOS-045.2","Butyrylcarnitine ISF.1",144.177007817916,173.080399208322
"RPOS-045.3","Butyrylcarnitine ISF.2",144.198225390617,85.0280681669779
"RPOS-049.1","Acetaminophen glucuronide",117.155638225551,350.086324906303
"RPOS-049.2","Acetaminophen glucuronide ISF.1",117.114121436115,152.071611421949
"RPOS-049.3","Acetaminophen glucuronide ISF.2",117.11502523947,110.059668061922
"RPOS-050.1","Acetaminophen",154.86883035471,152.07035633314
"RPOS-050.2","Acetaminophen ISF.1",154.882493256732,110.059702536277
"RPOS-051.1","7-Methylguanine",75.5581686089199,166.072637803936
"RPOS-051.2","7-Methylguanine ISF.1",75.5527430982424,149.044960897113
"RPOS-051.3","7-Methylguanine ISF.2",75.5660831372367,124.049934238292
"RPOS-053.1","5'-Methylthioadenosine",164.95516076332,298.096540402952
"RPOS-053.2","5'-Methylthioadenosine ISF.1",164.951844637413,136.062057481985
"RPOS-055.1","4-Pyridoxate",103.506670107095,184.060340483084
"RPOS-055.2","4-Pyridoxate ISF.1",103.51019870236,166.049438236193
"RPOS-055.3","4-Pyridoxate ISF.2",103.508017553456,148.038732677276
"RPOS-057.1","Kynurenate",186.003656701177,190.049757217202
"RPOS-057.2","Kynurenate ISF.1",186.004761597125,162.0544646159
"RPOS-061.1","Paraxanthine",166.468321167576,181.072250175205
"RPOS-061.2","Paraxanthine ISF.1",166.522130864135,124.050178343857
"RPOS-062.1","1-Methylurate",110.331478672078,183.05124472509
"RPOS-062.2","1-Methylurate ISF.1",110.340960462592,155.055860106335
"RPOS-062.3","1-Methylurate ISF.2",110.334565656856,126.029569480016
"RPOS-063.1","N4-Acetylcytidine",131.124470943719,286.103322936614
"RPOS-063.2","N4-Acetylcytidine",131.196957182608,308.085210144451
"RPOS-063.3","N4-Acetylcytidine ISF.1",131.121966316466,154.06061107135
"RPOS-063.4","N4-Acetylcytidine ISF.2",131.132890337758,112.050075677929
"RPOS-069.1","Indole-3-acetate",337.456940042836,176.070161204828
"RPOS-069.2","Indole-3-acetate ISF.1",337.459975183477,130.064648718342
"RPOS-071.1","Tetrahydropentoxyline",120.526716438174,367.149527820396
"RPOS-071.2","Tetrahydropentoxyline ISF.1",120.521506321446,230.081143571806
"RPOS-071.3","Tetrahydropentoxyline ISF.2",120.51538498751,156.080136706182
"RPOS-071.4","Tetrahydropentoxyline ISF.3",120.516113968927,144.080276409935
"RPOS-073.1","N-Acetylaspartylglutamate",88.0781539301346,305.097457311675
"RPOS-073.2","N-Acetylaspartylglutamate",88.0483471885718,327.079315955629
"RPOS-073.3","N-Acetylaspartylglutamate ISF.1",87.4382455450164,148.060009959371
"RPOS-074.1","Theophylline",166.468321167576,181.072250175205
"RPOS-074.2","Theophylline ISF.1",166.512689263936,124.050176376378
"RPOS-075.1","18-Hydroxycortisol",337.950162758637,379.21074020216
"RPOS-075.2","18-Hydroxycortisol ISF.1",337.927079601382,361.199145983789
"RPOS-078.1","5-Hydroxyindoleacetate",199.372940931214,192.065258956917
"RPOS-078.2","5-Hydroxyindoleacetate ISF.1",199.396695615244,146.059486020568
"RPOS-087.1","Tyrosine",83.9986171673501,182.079964131307
"RPOS-087.2","Tyrosine ISF.1",83.9820681464948,165.054384942586
"RPOS-087.3","Tyrosine ISF.2",83.9838563504967,147.043542965024
"RPOS-087.4","Tyrosine ISF.3",83.9871390697809,136.075186095676
"RPOS-087.5","Tyrosine ISF.4",83.9903007025858,123.04364871347
"RPOS-087.6","Tyrosine ISF.5",83.9930109629818,119.048644059394
"RPOS-089.1","Dopamine ISF.1",69.7436357708292,137.059222480199
"RPOS-089.2","Dopamine ISF.2",69.6888206641862,119.048842492873
"RPOS-089.3","Dopamine ISF.3",69.7219712080085,91.054003402885
