"","RPOS-001.1","RPOS-001.2","RPOS-001.3","RPOS-002.1","RPOS-002.2","RPOS-002.3","RPOS-003.1","RPOS-003.2","RPOS-003.3","RPOS-003.4","RPOS-005.1","RPOS-005.2","RPOS-005.3","RPOS-008.1","RPOS-008.2","RPOS-008.3","RPOS-008.4","RPOS-008.5","RPOS-015.1","RPOS-015.2","RPOS-015.3","RPOS-016.1","RPOS-016.2","RPOS-018.1","RPOS-018.2","RPOS-026.1","RPOS-026.2","RPOS-026.3","RPOS-027.1","RPOS-027.2","RPOS-027.3","RPOS-029.1","RPOS-029.2","RPOS-029.3","RPOS-029.4","RPOS-031.1","RPOS-031.2","RPOS-031.3","RPOS-034.1","RPOS-034.2","RPOS-035.1","RPOS-035.2","RPOS-035.3","RPOS-035.4","RPOS-036.1","RPOS-036.2","RPOS-036.3","RPOS-043.1","RPOS-043.2","RPOS-043.3","RPOS-044.1","RPOS-044.2","RPOS-045.1","RPOS-045.2","RPOS-045.3","RPOS-049.1","RPOS-049.2","RPOS-049.3","RPOS-050.1","RPOS-050.2","RPOS-051.1","RPOS-051.2","RPOS-051.3","RPOS-053.1","RPOS-053.2","RPOS-055.1","RPOS-055.2","RPOS-055.3","RPOS-057.1","RPOS-057.2","RPOS-061.1","RPOS-061.2","RPOS-062.1","RPOS-062.2","RPOS-062.3","RPOS-063.1","RPOS-063.2","RPOS-063.3","RPOS-063.4","RPOS-069.1","RPOS-069.2","RPOS-071.1","RPOS-071.2","RPOS-071.3","RPOS-071.4","RPOS-073.1","RPOS-073.2","RPOS-073.3","RPOS-074.1","RPOS-074.2","RPOS-075.1","RPOS-075.2","RPOS-078.1","RPOS-078.2","RPOS-087.1","RPOS-087.2","RPOS-087.3","RPOS-087.4","RPOS-087.5","RPOS-087.6","RPOS-089.1","RPOS-089.2","RPOS-089.3"
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W11_LTR.mzML",82080.7162969748,NA,229474.85069738,272663.495802883,23785.5114782702,NA,2549667.16206111,25539.2504939632,28843.7181421994,16471.2381562058,1831499.51062382,9153.67468028191,27163.6773447525,1220154.3661085,684969.189408661,78580.2197761942,174315.237027949,249841.519620211,779079.799619618,35505.6782005638,21568.0994709991,NA,7942.16986576174,1804062.64407879,340486.419051141,636547.958559376,335196.327980356,1853.33770814567,1005207.90382828,45541.415536283,276252.104598998,368042.283029172,1084431.68798295,30508.6911485983,54108.0047304494,34475.0464594432,12384.7196825609,126027.707483906,336854.390496463,41107.9735550309,143449.044691085,10362.5594627337,92110.5347406352,94891.0959873905,1191655.4551943,64126.9953803479,15488.1045212134,NA,NA,38634.5577083778,1926053.1093019,35337.5704568607,NA,20565.4837674527,7650.43755496914,2212610.59130887,2637163.97624209,227293.464626901,1186404.63241956,66878.6849256985,1799223.19871942,7058.68256041975,14701.500626425,56428.8853899607,4465.64131937509,455446.579071037,126747.689523436,45907.3267591242,363891.023075564,57281.3368146329,2127337.77298775,67638.8993659252,1060985.09921354,8953.64799438324,6132.57939153987,78860.4185946055,365408.132613709,79340.3010054247,42988.6712881516,29481.4413109315,21628.136070057,631231.776818798,11926.6240879076,5255.32500761935,NA,73568.7284036155,52456.1427075983,16561.8342365427,2127337.77298775,67638.8993819016,27782.9532846453,NA,56187.9545004231,31365.0995322861,1145047.60639255,321819.582675231,87070.6406426035,351597.702663687,128672.386414957,79133.6848701769,42802.1189483717,900.842369881204,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W12_SR.mzML",87739.3338050714,15117.7619096568,468093.987070765,393959.923808555,35803.099647929,6814.53949549208,2522710.65398279,23850.1403141682,26376.4521927181,15732.3841865112,1904948.51079328,9641.82728629982,27792.1814803442,1388378.52857876,852782.572936447,96690.9350835771,216314.849724793,312208.046383922,808402.368405137,37163.6534015288,25667.1135378655,NA,7702.33862019021,2339801.59348609,508248.138847902,1123030.86894807,617490.827164542,3458.64144352778,641630.103999122,29136.2370788745,183571.633285716,501914.155056268,1596862.21959267,46716.4465516584,90921.1338615987,103316.147934731,36600.339158493,76442.1989605096,763130.894554093,92219.5136875132,403542.802031239,23314.0017097731,210960.444223773,231022.969311445,1527104.89623173,80869.3631758961,21155.3591220495,NA,NA,36709.089680225,1340287.44893046,22001.9265314148,NA,20843.4679477499,7556.53711932992,2830020.61427258,NA,381485.20303468,1448979.85626615,87647.5494780766,2065286.10341521,9392.11894546859,16848.7171324797,91694.3000628948,7100.74918116474,1279756.76558387,367669.149450641,131567.452124478,485950.404608607,75401.2915102049,1744683.1756505,50944.6882987212,1459936.77695256,13680.7083084863,8193.46841574519,133014.21521972,336073.627970744,134301.486027555,76084.9921804598,37512.167168724,26986.3270016497,1185275.86815231,22495.4062098897,9780.30153136686,5706.85094800887,59128.8891901537,54992.0452054758,12851.0828005967,1744683.1756505,50944.6882998246,47681.0975891246,NA,92626.26030685,50917.6009182207,1407034.4053868,427742.706015355,122960.116617949,495619.256480438,181180.770979286,112968.351332772,88875.6213398439,1902.22663451335,4126.58416227568
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W23_LTR.mzML",80104.1167341792,8479.44277939867,213367.579193321,262593.98074143,21781.9538730906,4162.62092060491,2491336.41421949,24131.334421698,NA,15394.5484900825,1716777.44987945,8015.69219773776,23770.0961801338,1128266.70721421,627917.4713673,72060.9073012861,159402.814860584,230069.301731272,714756.840898861,32925.6611551395,19719.2102473594,NA,7193.58948276387,1809880.92228137,343283.097204829,601992.423982219,312916.682673072,1833.14857071142,942115.094493715,41813.4031194354,257969.669704977,355654.000366159,1015272.49619899,29564.5512637673,53029.895599118,31872.1342994586,10738.0130250397,125607.311639789,312008.959134507,38366.0910720858,151740.229990989,9654.96979112962,88946.119326283,89765.941971509,1151117.44807045,83102.5424957877,15886.5776245698,2794992.98114581,NA,37313.958796197,1864074.83944072,34047.6055155158,NA,19823.2317222318,7536.50182087297,2406173.11105755,2588051.7783252,218309.065809267,1124446.84547797,63878.8716793085,1847307.66019319,7268.74554025402,14491.2972862813,43775.8587845567,3306.38614479977,445236.969049659,122416.563808645,43441.3720309352,351257.16663792,55465.9139910836,2061959.11796653,64483.9961964532,974488.464223378,8984.87817674131,6038.87681936496,71797.109183701,392998.719616375,70023.0120308819,38071.2001384473,27100.382309929,20083.488094173,613432.267322351,11567.9455271977,4875.99866706545,3283.21842732617,67074.5825117616,61339.9292576273,15190.4440474664,2061959.11796653,64483.9962192165,26362.2896638065,1206.7271661083,64285.2504776435,34895.5425933927,1097526.08310542,308209.573233505,81814.8583204712,337885.599916433,122853.514952416,72243.9404076813,36141.027590333,NA,1934.16455074339
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W24_SR.mzML",89410.3727238781,15620.687240614,461950.2514002,412766.557945088,38140.236485037,6926.3799366045,2547180.66516461,23389.0260304087,NA,15790.7444966869,1909388.8626139,9092.07859943206,27277.0032027761,1355782.97918283,884657.956743947,100520.94288629,223738.47523662,322653.254505348,790656.610718508,35587.6534109593,24608.2073912626,2064953.69073474,7742.38718534149,2362915.1098931,514137.749211486,1127174.97499217,625642.980110714,4182.90784681587,640154.005028711,28995.6720715742,178826.946709533,495200.207758689,1513066.20325987,43479.7876410583,88170.4315646947,102779.725250454,37180.3455371289,81508.553899138,778956.100770919,96215.3723059969,407160.288152371,23903.3735695967,211132.134344849,237252.965838121,1650135.86088346,72829.2186784837,23977.6102781013,3572976.05974194,NA,35237.048127703,1314074.57932584,22559.5970600272,NA,20378.8622511118,7491.4966300967,2775195.46318345,NA,385239.123788846,1521757.77034174,91683.6873828338,2129053.23351819,9432.89690062768,17760.5142398762,92929.8668571826,6806.3881118002,1458250.49968915,431102.724411013,156934.743500028,481115.596615363,74640.3784549706,1660209.90731468,48242.3813721456,1421254.56284549,13060.0325590013,8483.31289272696,131873.55310651,321117.746445587,138159.267802614,79169.4233794661,39635.7509525964,28826.232422319,1248664.74590013,23833.9723123865,10282.4635679591,6231.19834644022,58289.8312306167,57784.3395846636,12592.2578956005,1660209.90731468,48242.3813955984,49409.9405448076,2965.67829451004,90186.3987352476,49815.182962376,1377026.19398346,415203.239010743,118394.306752123,473851.594387603,173819.94588412,105730.787063751,80017.8144299683,1827.84805532882,3692.48853115837
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W35_LTR.mzML",77672.0024926471,8713.17194466494,212798.023942474,266223.848694492,22517.4540315123,4502.41420753793,2537681.43358845,24782.1093145151,27383.7239730568,16551.2892643445,1882704.73642998,9797.87548130947,26038.4426399365,1147747.05578712,633715.201212265,71220.2339682668,160399.743286189,228963.035906726,745446.684088346,33985.593350995,19481.327888906,3033389.25213415,7038.08277134549,1885486.59072531,368252.37796097,628175.323625003,327804.30775572,1956.47339011871,919574.670856159,39436.7319351789,264001.324928364,359753.231013995,1033749.57000178,29745.5248011297,55318.4753071811,31884.699229969,10970.4846496971,134974.191139481,310486.936121142,36643.3219251106,149955.748801929,9339.90171406167,85277.506774374,90253.9242687954,1213895.71266377,77027.9404102518,16374.794636619,NA,NA,NA,1883603.28228588,33694.6024019894,NA,20288.1065063181,7948.95212594054,2413584.28484211,2595246.24515908,222264.486398559,1158749.6283002,65356.0148117155,1915655.00157081,7812.36990980555,15101.3027615074,45656.5775367355,3516.58316009213,478949.974081838,130468.714798573,46336.5153189586,334788.929947186,51908.7485191039,2069623.24273857,65662.1854245986,972372.108412008,8168.30973219422,6130.885525745,72932.9174986623,396775.688652323,71863.8488407254,38770.7538969956,NA,20093.9216807328,604648.570780254,11079.1856954863,4896.39208271141,3338.26629493362,69040.1554639312,61309.2493522849,15699.6826513151,2069623.24273857,65662.1854847093,26715.878389488,NA,53393.1887707369,28424.8303946622,1140568.20690671,319634.127349345,86003.5129281602,349655.621251825,126356.007534212,76729.3853877418,34370.1966516952,NA,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W36_SR.mzML",86845.1085743331,15645.2465667436,470969.751444578,398905.257989049,34911.8690250571,7502.12510088656,2633935.56393343,24705.0065283721,27841.772850612,15419.3262701603,1907772.96754521,9832.50584616018,26530.1330811885,1398407.69764162,893019.176933097,100143.579814009,225984.489647566,322346.14185432,821374.312008102,37848.9715513499,23864.177990586,2037294.45188233,8342.2522529383,2365532.09113778,521254.907845505,1157708.3001217,630986.72338505,3323.31723961722,644143.935440906,28097.8353774136,180082.44971457,507885.769143855,1588194.51709613,46697.0725728637,91655.5107647821,103231.084257946,36215.4329554392,80620.791556895,797129.642847994,98032.9808677982,405914.529566231,24221.4521564587,211605.026578274,234657.785769739,1760350.43880878,65532.6046802965,25152.8975426833,NA,3783.70456064048,36780.3124571291,1394723.7472642,23542.2912508949,NA,21055.8812451454,7639.65349048655,2874161.58234818,NA,390967.608639965,1546163.53614287,92999.9208361034,2219273.41937318,9395.52567286108,19329.4595769304,95152.2063026971,7313.31096013131,1372651.65921605,397006.612408447,141422.32394276,487973.15489637,75335.7661778873,1709797.88619314,50304.7931052114,1434843.78787128,12992.6076285847,8981.5673992633,133484.852386754,336443.327561544,137701.245399676,79874.6331096198,35604.6472017937,25785.3546184649,1230635.70146282,22975.1064161484,9960.74095352465,5998.75361025158,59280.7031633902,58245.0748673521,13731.3996427066,1709797.88619314,50304.7931209924,48473.4499222744,NA,88900.0592182126,47330.3633504556,1418313.99119054,423005.030169306,122818.126334843,483861.994958397,178280.248043015,109284.645778528,72555.8303417365,2021.06352110365,3724.45389040749
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W47_LTR.mzML",81128.2041004973,NA,219139.816271373,268625.542261367,22084.3730785939,4754.24969290218,2539918.5785212,23863.7656505475,26337.87786129,15417.9939121787,1757190.11442963,8461.95424915933,24904.6453231133,1152421.23041342,627267.556986954,71846.8730745092,158748.80389068,227420.181262831,758821.115280243,35104.145404447,20401.7645378799,3093359.64271053,7473.39629738758,1872736.14733772,350026.673320966,625447.284284448,325760.239638532,1910.29206771869,943295.480036753,41532.0894308479,260211.228451251,360686.815023967,1025510.60951522,29423.907059576,52885.0404498425,33377.9734940454,11841.390678462,135627.85149356,327191.370686648,40377.540244281,146780.361620655,9136.5633613134,83257.8341989532,87961.427047919,1073162.21633345,87272.5926425872,14046.8175487541,NA,3728.38987458417,39586.8632028076,1955610.80105741,36195.7741097633,NA,20324.48265174,7794.44209283556,2366488.62057091,2585057.9040072,219450.943877194,1181003.31363629,68009.0091645225,1764286.99187446,7275.64834933692,13634.3266374297,47471.5631606325,3823.47717103665,482727.711913295,132014.150639654,47767.2680390875,351461.495100973,54022.4825064736,2105510.59270231,65916.5035511776,955744.891593218,8456.64891427497,6218.60069415353,69369.0491702533,407078.826532941,71801.3348968706,38389.7990200272,24728.9770400377,17330.6143076789,633672.433863463,12665.0165164538,5871.89761014064,2965.16914557023,70634.1937322587,62099.4585976154,14994.4843510054,2105510.59270231,65916.5035273331,25811.9194958665,NA,53317.054461762,29994.1813456481,1128690.34056299,316427.330185972,86829.9330857869,349957.805483579,127817.483499223,76296.9674072069,41195.073429689,1056.21084088678,1786.50633034859
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W48_SR.mzML",87978.1381728803,14944.6619861706,481292.565011649,417715.572849913,37180.6349366331,6400.16669725783,2445475.9451673,22533.7417157153,24037.0816381938,15262.7373517688,1988783.65641677,10268.7351536096,27518.7321576224,1345964.81072516,851215.109268825,95346.8048733604,215387.1487968,310447.824205083,862496.320542573,39496.0904799584,25056.7557581544,1998944.30455744,7499.06414469107,2371693.64039197,512082.351930018,1203102.24134541,659478.048694368,3936.1487034261,673597.825092139,30219.3048594241,191277.755723439,497651.760124022,1581943.59103943,45026.7804309897,90734.5927367882,105247.789136837,38643.2762107977,80714.9383541947,798167.9928208,96072.2829153638,411651.508497644,23067.7140409444,223090.382698956,238469.77570162,1762607.94605945,60440.2496775,25338.5501510359,NA,3429.44378680398,36638.5210704018,1400072.55610022,22825.6498134438,NA,21182.1449697643,8477.18750769034,2682776.1951895,NA,379101.383300642,1588922.91467168,94676.1034618067,2240884.35448428,9868.19082330065,20010.226902329,97806.1499397285,7570.46244178462,1476669.50150733,438640.101647592,152448.154382523,506956.887489766,79110.8997240418,1761181.33310189,51693.3674163772,1392467.810623,12613.0289781101,8145.38679562331,138417.808417999,324499.546131428,141291.339261079,80564.5038078206,34632.7058800564,24772.9561491576,1272843.73131614,24324.1428198674,10049.1663989781,5795.29416415486,63787.0233462466,55784.2192775453,12961.4644893207,1761181.33310189,51693.3674088443,47431.4231284397,NA,112401.904283505,61950.8623432731,1462367.11609785,449379.272903289,130084.8515849,525824.232049696,192483.094969764,118342.342195441,71700.938283447,1792.10546846446,3299.03171926776
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W59_LTR.mzML",82800.3059984393,NA,219372.978617966,267531.242945649,22667.7156960512,4375.51748311808,2701399.4102664,25885.2828737206,28665.1515779812,16543.1647280867,1809708.07169108,8945.84660717566,24449.252416862,1154116.88255711,640572.956194752,NA,159866.355730048,232201.211278602,748961.754950449,34731.1345050979,20787.4981647344,NA,6666.705624836,1784550.09840521,333934.026437393,628287.439524239,327486.397507646,1937.8255795942,956042.912504468,42489.3077908532,265312.071066281,358781.375192557,1057505.704061,28902.3344524251,57639.4628366434,34093.9721220483,12117.0199235809,130963.889195134,325561.038397785,38989.3099793279,149376.303573576,9706.10496355297,86114.92676727,88601.943842534,1076379.48726531,85633.460741768,14497.1305990329,2534463.46579318,NA,39890.5563420958,1978988.60876048,35646.6032820665,NA,19530.8243517816,7398.80424187738,2335128.31963851,2602682.91466297,221873.891681584,1172012.46922228,67907.9619047329,1687544.46502638,6794.00690486587,12104.8460671934,50689.2441541688,3822.55072787694,482040.746044886,133302.886505402,46961.8467740903,354189.412215109,56108.4802485564,2052116.10761321,62809.6089950613,1002318.49248896,8681.08608901629,5977.66632185217,72097.1593942851,419438.152652884,73597.9077488561,41411.4005439466,27182.7897195393,19816.6397036995,638313.452047218,12061.1876217025,5152.42737916853,3540.50858736188,70939.3147054502,61236.1506650399,16333.5012750384,2052116.10761321,62809.6090724405,28936.7715789992,NA,57649.3850118114,31308.7172700254,1150918.17421145,329493.856561586,90045.9039803006,362008.545782976,133542.648018154,79627.6311541701,41901.732987669,1191.83136390393,2255.25502644944
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W60_SR.mzML",83827.9626543931,14827.8453927608,453431.647108849,399332.674316402,35999.4594527014,6984.23285860197,2519972.93941953,24305.5140185969,28944.5926327537,15524.6581395913,1915213.2742285,9024.76579677343,26652.1574877847,1382164.53004375,873829.676276586,99943.7949567917,221907.998283614,319969.6620425,779167.745637301,36048.241275784,22872.8344226579,NA,7835.09161641355,2309329.89642706,502010.517640345,1111279.82208476,618657.012852926,3527.90132219464,632690.273774901,NA,180426.562201122,486142.495421833,1516584.63845725,44814.7707407368,85666.4665871777,102149.925779142,36698.609797438,80080.7393877434,752673.278488736,89900.6624208556,386313.299580342,22106.7654758382,201073.745248258,223416.285380359,1636306.88365278,69845.3582144707,23642.3924450404,NA,3754.91794983976,36294.7560831713,1384578.40862317,23050.0992804072,NA,20444.0526156719,7522.5042170583,2774599.63433976,NA,371015.923020802,1497349.53691962,92074.3589205865,2149504.79873714,10444.6287500283,18528.9865599264,89669.8877341634,7083.46425111242,1408881.23801835,409239.996572472,149223.461707069,454418.315389123,72084.4629423977,1666081.41178238,49243.0973913755,1448591.39595035,13445.7822873172,8668.75127512686,127057.202696747,331298.416369162,134513.759966993,75906.3601398469,33609.3503803281,23206.5104553512,1242082.62817478,23875.8626272754,10301.2485352137,6553.25412308468,57122.1458443995,54945.7397949121,12007.9927502055,1666081.41178238,49243.0973849709,46930.8039299209,3171.81686890089,75542.979898866,40655.0740030615,1391822.52344615,425767.713322765,125809.368503695,489834.738276202,181516.351510674,112451.762843958,79430.7719948778,NA,4343.6734476715
