"","RPOS-001.1","RPOS-001.2","RPOS-001.3","RPOS-002.1","RPOS-002.2","RPOS-002.3","RPOS-003.1","RPOS-003.2","RPOS-003.3","RPOS-003.4","RPOS-005.1","RPOS-005.2","RPOS-005.3","RPOS-008.1","RPOS-008.2","RPOS-008.3","RPOS-008.4","RPOS-008.5","RPOS-015.1","RPOS-015.2","RPOS-015.3","RPOS-016.1","RPOS-016.2","RPOS-018.1","RPOS-018.2","RPOS-026.1","RPOS-026.2","RPOS-026.3","RPOS-027.1","RPOS-027.2","RPOS-027.3","RPOS-029.1","RPOS-029.2","RPOS-029.3","RPOS-029.4","RPOS-031.1","RPOS-031.2","RPOS-031.3","RPOS-034.1","RPOS-034.2","RPOS-035.1","RPOS-035.2","RPOS-035.3","RPOS-035.4","RPOS-036.1","RPOS-036.2","RPOS-036.3","RPOS-043.1","RPOS-043.2","RPOS-043.3","RPOS-044.1","RPOS-044.2","RPOS-045.1","RPOS-045.2","RPOS-045.3","RPOS-049.1","RPOS-049.2","RPOS-049.3","RPOS-050.1","RPOS-050.2","RPOS-051.1","RPOS-051.2","RPOS-051.3","RPOS-053.1","RPOS-053.2","RPOS-055.1","RPOS-055.2","RPOS-055.3","RPOS-057.1","RPOS-057.2","RPOS-061.1","RPOS-061.2","RPOS-062.1","RPOS-062.2","RPOS-062.3","RPOS-063.1","RPOS-063.2","RPOS-063.3","RPOS-063.4","RPOS-069.1","RPOS-069.2","RPOS-071.1","RPOS-071.2","RPOS-071.3","RPOS-071.4","RPOS-073.1","RPOS-073.2","RPOS-073.3","RPOS-074.1","RPOS-074.2","RPOS-075.1","RPOS-075.2","RPOS-078.1","RPOS-078.2","RPOS-087.1","RPOS-087.2","RPOS-087.3","RPOS-087.4","RPOS-087.5","RPOS-087.6","RPOS-089.1","RPOS-089.2","RPOS-089.3"
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W11_LTR.mzML",89781.1080656653,24564.586209512,246995.498176741,259217.428495166,21907.4580760522,4298.85569222605,5580641.94268719,51023.4592062314,57509.4467392617,34271.6562431198,1830443.76940615,8920.15467951041,25809.0931988995,1377230.22747832,737744.892750413,87001.1517166289,189291.102823612,272415.966499252,766362.60498425,36327.9545262465,23045.1775023572,2655642.61648097,12164.5634923777,1403184.45262741,259639.644819929,537740.321785136,288639.083045766,1716.91671173083,1213743.49538099,54901.4983119611,331056.731274007,515703.512419862,1274793.8484365,37269.779719497,66021.4340605122,44455.247174486,14982.4711209585,130125.773588324,422648.511364792,52595.2924052694,194348.351809772,15449.280761357,130380.711621748,132854.609346442,1136226.66100525,65656.6278149125,15128.9333018534,6313076.96445324,11765.4427950337,98779.4661971397,2298963.80511733,41052.066593899,2093213.77534184,23251.8490651642,8381.18520593048,2813131.58782397,3405289.08745832,265149.350787713,1434421.8773425,82622.2209056602,1397643.45632893,5502.24426877271,11164.6682355156,55574.9513972344,4545.05060594689,479975.862481104,133857.891737073,49769.6807097767,407041.825977442,64414.2761704017,2199480.52987047,65135.583753198,940959.971009352,8428.74058333214,5998.24006312983,69311.2401877944,365741.633091825,70165.5107219687,37232.0808288883,45161.0402411427,34496.4035214287,663220.014495349,12620.5130363747,5370.21891100871,4841.10994017248,65186.0083567612,48729.3411546878,14675.2134712788,2199480.52986986,65135.0610046397,35001.4739011621,2385.6115333766,73822.0506669096,43764.0570373175,981543.971236738,273060.758615716,71367.9506785838,293384.577685892,105745.174827088,65110.1144008754,46907.4446850152,1074.63133419415,3360.75358110433
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W12_SR.mzML",93753.6819598346,33206.3156455085,513323.01805324,376789.143018088,33629.8784040863,6584.50453218616,4821906.93988505,43429.6340207777,48136.4601864171,28115.7044612675,1868199.83681723,9638.82303215238,25861.6998281545,1578611.5610555,925607.116058013,106852.882568393,237127.801937399,343801.649036068,792956.777795431,37837.1823348216,28588.6759084735,3073237.88509293,11147.9744868166,1864740.96408412,381592.60527791,965710.820358861,528854.512119061,3070.7481893777,748635.987275301,34716.0862928729,212692.834331911,736987.862305994,2060935.49906187,61955.6684137982,119053.785252311,125331.134109458,43079.5006627823,86680.4808425741,973661.096640773,120506.039697551,571228.6530563,35459.9102488994,313842.808816492,334801.183806939,1633089.0793254,92187.3258978174,22094.5082855436,6040627.7190299,8045.45139842762,87940.7889703684,1391049.86413585,23575.0127733578,2662226.52178888,23170.394128787,8274.52800418258,4213615.22916923,2511358.01046091,471412.563038448,1839583.9264605,109512.26922757,1672575.85617383,7185.98479348045,13177.0133521721,84499.9328108351,6873.97326205487,1436110.99681604,407708.179021006,149175.385511,547677.668763576,86616.7829477977,1710786.14055997,49108.8569184621,1406249.19286666,13868.7214744634,8757.96759174278,117205.507352139,357179.261542319,118762.07542532,66175.6180200545,57266.485125537,43872.4332137802,1354121.8365502,26401.0466354763,11436.7141365157,6923.39935764765,55111.1482587208,51364.1385082,11448.3828249771,1710786.14056048,49108.9295877505,60695.525530994,4265.13603463988,114756.154162916,68101.4392519136,1239573.19816874,367158.874558715,101578.20643402,411543.768421983,150149.590260433,93345.5272411236,103606.873049173,2351.59891272399,5141.61617513461
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W23_LTR.mzML",87739.8789905,20126.7358620391,232907.925305851,249465.683242899,21444.7634801612,4604.3228655021,5838676.97679705,50564.3477989452,52509.1629645935,33156.5837609676,1692105.6341108,8346.56797274433,23302.3666209629,1251318.4626509,673177.899268182,79459.6290628718,172673.771744968,249077.538839859,707441.919802046,33786.2880918866,21528.1694611717,2852022.98375782,10325.7990146121,1406759.69031225,256543.931750149,512121.06792732,268150.679474241,1703.61364699571,1139409.34760507,50722.6450669509,309140.305180212,490650.493315428,1175167.85688134,35862.9512355806,65199.3481331866,42034.7103966218,12960.1994840767,126139.542788752,394861.339408556,49915.294918821,205655.169347183,14628.2409468572,124860.25659942,124598.963924761,1079603.74196846,83430.3920095618,14489.3715317772,8492048.51375223,9177.87312266468,94366.6383458556,2186542.82234518,38196.746654617,1713148.8225299,21964.421068426,8457.83738996856,3064354.07598236,3286370.15026224,252082.401645124,1378017.59636908,79711.892554757,1376846.27787281,5352.31648717863,10666.0006500496,43791.0971028975,3320.46689787317,444247.365782713,124096.331690962,44013.8166210415,389755.241465549,61940.3194525835,2119767.54847448,62311.4534415463,906128.920955164,8495.88137195515,5819.22229547441,64104.4827269735,383216.735053074,63226.5496079321,33384.919369975,44663.8428810997,33202.8170409355,629211.333650803,12891.5941747244,5616.39153733949,3896.94823895358,59555.2764871714,53691.7461073816,13172.6694922788,2119767.5484741,62311.1705716572,33584.0733794122,2444.6189315692,77526.6454569015,43472.5498013516,939039.297609247,259235.521337757,67284.6595168716,278787.481989209,99688.0991025352,59881.5155283609,45286.349562523,733.707187343755,2383.0848903328
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W24_SR.mzML",94354.3902462206,34553.6850224936,511055.001440568,394815.123588061,35672.9122255524,6801.80529966978,5455179.09251375,49068.9486871117,62804.6602076993,31793.9188998033,1870621.1715819,9719.52324244807,25297.6795649347,1517739.29347263,933993.771109612,107756.397780721,238885.547104754,347657.214397621,782263.480854571,37136.6614297497,25889.4460539951,4355614.27095665,12063.7354876373,1857383.2569438,381103.621022321,982208.172508108,541444.473058258,3407.69830145242,727278.077162846,32815.6813838585,200074.318987977,721744.671520204,1966294.09661799,60201.8852065494,117075.748873255,122064.713748349,42581.915886826,84316.2851081014,993900.085785414,123561.221529488,560072.252963666,35534.8145639303,298921.516157744,329083.482660445,1631450.68771924,76707.1542022688,22530.3139127539,9117144.122517,8606.08302248572,85935.3282763635,1387800.02587871,24017.7888511528,2617205.15435451,22530.316578751,8251.43063043736,4074441.1884875,2394573.6760284,464099.736500077,1889698.59690069,112549.207934384,1698110.26122071,7069.29210052966,13783.1774263519,84145.4163898394,6284.63649782207,1423583.67494726,411093.157653709,149276.383320086,546229.939416589,86660.8193386121,1618703.73505547,45862.7250037456,1388440.06929476,13407.3952699632,8794.98821597181,118976.349547825,355523.338023519,119580.378003202,68229.4348645245,57303.9580115724,42762.5479427455,1344846.67667874,26123.6460009847,11639.7966428128,6811.96327767076,54824.6802879936,52404.8360068938,11522.0511903949,1618703.73505555,45862.6700247826,61008.2039887933,4435.36256732215,106174.200403501,64935.7162359327,1233572.25552262,364906.936306887,99601.9533067986,405350.195721318,149131.837680352,90394.6868054713,102719.446996625,2389.33444865859,4982.9484224407
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W35_LTR.mzML",86521.5727341448,21489.4784710468,231799.32574639,253626.534359956,21086.2651925741,4088.46328808422,6005743.23931271,55023.8649092524,60236.8772933154,36616.7422528452,1826258.81923456,9647.86326415989,24686.708509441,1280020.62017503,676575.785894912,78324.3257856727,173478.12197438,248658.244003159,723548.301666857,33929.6731297686,21315.6167330345,4541189.40502703,10553.3880411521,1439584.76278108,270255.345468437,521768.009771308,271866.164158214,1463.89118791309,1136350.4585556,49792.7759803441,313840.782786605,495305.593291161,1205096.41149295,35471.2158953245,67251.3919755154,41018.0220506682,13199.3020133886,124706.844722867,396996.075475339,48274.3589408111,206722.21864425,13275.5772157422,121328.968718021,125707.244756288,1103332.30479472,76801.597691442,15157.4338413381,5580655.10645625,8474.96994307293,104660.843774591,2233358.80267133,39000.409625922,2025713.08026219,22339.5441356213,8387.67171128218,3038107.02069945,3259917.58146564,249050.817874871,1388638.25258282,79597.2501079681,1426290.06344412,5882.88668456326,11334.8268062122,44475.6931364424,3725.4362665905,458459.299388727,126379.125300036,44984.5220771391,383597.868836805,60536.2844108676,2155997.78001825,62770.1066653216,891834.169245179,7901.08335586957,5733.13186131695,64168.6703775481,394647.242561328,64703.3440416025,34764.5592983344,42259.0784127376,31635.2484539175,610968.635964425,11229.8850733561,5261.51924456596,3383.07846973034,61393.213625512,54012.6596712048,13591.6326978157,2155997.78001863,62770.066636154,33151.4543541232,3225.09952186354,68848.504591879,39899.5421804072,968561.771047072,266838.917109875,70015.6428038682,284287.106544611,103507.26352231,62887.8413798843,46482.6381652724,816.255693462892,2616.42516709564
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W36_SR.mzML",93199.3033919985,34095.5325238681,520045.201218651,384204.671786848,34243.4746980506,6895.09377809032,6300450.10434577,55656.0842969959,62188.5756230164,34995.6493945048,1858522.49293774,9697.31506920708,25300.377390042,1611472.29453014,969424.309271498,110780.779527948,245608.191869281,354864.539577448,804518.536034883,38430.3297338396,23652.5593191223,4119599.34609498,12213.1826137152,1829723.7524494,378311.515151882,1000213.589159,546737.789243423,3146.87035056517,746475.92367966,33769.8032003259,207332.825767068,745285.842982308,2043517.45158089,62967.7281695747,116502.865720242,124230.758515421,42551.96535352,86941.4454453217,1010246.24228762,124760.561785134,567822.60937931,35354.0332820272,309057.470124785,331676.283842701,1581042.69113248,64082.2423431566,22054.303137941,5873414.72979152,8035.31951608848,87392.7232504966,1436419.88302089,24339.9448834877,2184595.80900895,23904.666261526,8443.06825108718,4277141.70213668,2210547.11881175,482367.588454394,1928236.48828955,115209.986174097,1707142.90479358,7191.06530214474,13895.8336065059,88923.5337542297,7108.21320935398,1448462.52380001,412061.812239082,148257.607472853,550867.864008416,87604.8048673603,1678720.04543414,47747.3298849498,1387972.63890517,13224.8285321924,8651.182056342,118874.609229863,362929.073745925,121844.881559303,69623.2674526504,56204.4857013162,41931.917406493,1367968.32926708,26846.9123191778,11870.1434850384,6815.07430457387,55596.3687290668,51992.1476189006,11672.861036631,1678720.04543409,47747.0846919285,61268.3880357254,5121.23878322436,109920.701147739,65406.0596314341,1263660.23468152,374167.022434328,104444.343017425,416656.165967984,153334.728375437,93260.4014142667,106207.727223785,2357.54021525482,5443.99166909949
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W47_LTR.mzML",88940.6587793622,25188.3921244179,235630.104158428,258108.043477201,21740.204498142,4353.79458308529,4917039.98321115,44098.9480977938,48265.2882622883,29638.8095948892,1709958.46115902,8670.70741153824,23173.6942901292,1269179.32068166,674824.617750998,79093.2498756579,173029.579327165,249681.177863749,736519.010708504,34919.8391861387,22385.7272011686,4473814.16301055,10770.7774972695,1461148.71218519,266302.927606335,520563.563111981,274726.192567903,1603.37291980435,1148817.20503591,52088.441414681,311114.814407231,497064.284371499,1192670.67781223,36004.5374199587,66199.5046211785,44045.0576332089,14366.2291842508,131571.827474402,416339.337400655,51483.1826692512,199896.500025712,13507.080141271,116433.852609063,121237.642586672,1142117.95696687,100181.069777769,14990.5087440079,6303253.66105013,8732.92018574517,100880.785740611,2288145.66039653,40762.1078329724,1999515.96490957,22636.647025933,8444.9272694568,3016453.22780372,3257834.03432862,251759.959048855,1420195.00258565,82887.5382766917,1377057.90647532,5571.99264639408,10725.7562510095,47028.0558654661,3560.02038701053,459262.184501834,128381.458548654,46782.7430633286,389873.912571097,61291.1829038574,2180944.37288998,64152.1387298959,888094.837362887,8156.59938275054,5672.81272416515,64368.110911749,385480.906259575,63688.1725531058,33665.7120400566,40151.0571365048,29656.4752900699,642880.741821892,13190.8157520863,5799.44986478643,3577.69304469644,62368.9963781268,55323.2519254785,14079.3229200492,2180944.37289019,64152.0087621227,34250.1108161612,3325.96968429845,69186.2760336756,40367.9564976244,974476.775222448,267663.485651125,70227.3677983341,289382.751218137,105405.670654618,63463.825903953,46772.652318881,1192.70106802268,2204.12168735557
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W48_SR.mzML",93408.0938428571,32646.3873866597,533829.199105176,399544.986486671,35559.3299113113,6682.68052970651,6195198.20097362,54979.7745487524,57484.8480152999,37334.4423089578,1976183.36691961,10315.9709079201,26660.1698108388,1523628.04114681,903422.990670438,102918.156288634,228589.043464584,335289.371471105,844568.033052526,40396.0264925218,26714.0568824061,4404030.64418965,11546.4935263137,1864146.86751832,384606.525052331,1023745.35849559,559765.155167974,3340.199432786,774113.522078045,36027.3067056562,217948.198373594,732705.186475107,2052643.97691886,64874.9342457621,118221.027723486,126515.679005771,43801.4999992188,84761.0203058046,1032090.23047745,126665.454583644,567687.146843164,35032.4961377656,312209.528913951,330256.413734787,1614161.15285692,60656.4809642937,22468.2169388695,5254523.92611795,7282.93971661066,85632.6834096521,1444100.41313495,24626.0327806284,2275440.1387719,24272.0906719475,9014.29884007116,4014123.93580627,2129302.2942453,461057.89235243,2005088.52495348,118419.461554868,1756796.74209718,7530.95248952949,14830.8107217786,89917.3630562371,7354.42548515237,1455453.18002592,421715.086972062,148824.487691725,570238.710812759,91202.3481292566,1712449.53285801,49207.5484446094,1387847.59517288,13477.0304765612,8798.19030004016,125626.631106187,356407.349174218,124508.341619011,69162.0948229465,51905.8437384642,38656.8541119801,1395633.00611062,28306.1461135419,11146.3836176373,7077.11810716798,57887.9458818321,50615.9276337822,11513.0887806781,1712449.53285867,49207.0976953537,60010.6294209774,5178.50798191287,132695.154817863,79346.3044573131,1294338.84551019,385782.818050135,105418.493923429,432789.284851163,158733.558771698,96224.3771603649,106585.923731885,2562.28137218274,4693.88793964532
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W59_LTR.mzML",90667.9832784255,24093.6159439862,241479.896449693,267111.812499896,22367.9261364672,4531.95984477726,4757526.84791428,43260.3073305756,47682.2137051696,28207.56682414,1790007.06310406,8705.74765097892,23615.7490605901,1306644.6468135,698563.420163231,77847.3817704871,178276.298660562,258596.059184382,738152.723202112,35246.033475006,21639.8479179681,2831384.50524233,10224.3405107167,1503723.16590872,269861.360936132,530107.700096166,277244.299840879,1729.29058477547,1132572.89067018,50849.3054175747,307670.809481359,501148.479728629,1227439.83086046,36956.1795070764,69604.2215532453,44008.5109699846,13897.2452599306,129920.814444213,416495.907146948,50873.1568530549,201924.595626437,13790.0100979324,118042.427356139,123014.503457168,1180743.8838424,102965.632158485,16263.836854378,8266884.02297377,8278.26164959454,100944.084991484,2336189.33133371,40565.2275704517,2326695.32675338,22669.5933741318,8242.73052504185,3031767.28211334,3334806.85065289,254472.574264035,1403921.92822158,81474.3686565512,1406614.12354539,5650.16974292729,10879.1983217924,49813.8129977659,4099.41773758211,467004.649699677,129457.675466123,46648.7545684201,397201.263736844,62899.4617178723,2116315.28800985,61083.0105955926,909859.489924676,8596.29897613454,5576.29348384737,65907.2889003578,401650.281642368,67099.8331060783,35941.4236777182,43690.9422392319,32544.9855699786,668070.970947555,12971.495134894,5832.66036656123,3795.06439053498,62470.4366680499,54893.9845415002,14265.5142231923,2116315.28801012,61083.3783332045,36348.23049481,2864.17863167788,73591.1466903343,41864.6145155841,1014645.420283,283299.231182406,75534.5859408722,305652.951603053,111931.925311421,67003.2601101321,46794.2934192437,1171.83004562524,2525.06347295745
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W60_SR.mzML",91028.5005824933,33354.3287152833,500875.616303447,382065.728562904,34942.4810387026,6890.51939412316,5443522.21147611,49619.5669980895,55892.763518905,31560.8423164399,1928653.48686797,9875.95286969634,25968.627352757,1561377.43588605,942112.983355804,110712.321099605,241866.189694059,349281.972268248,775909.660090169,37751.0701962427,26039.7959231874,2647402.53110665,12264.9868242201,1838667.77740745,375993.957966085,967489.966299088,536385.875988431,3368.13986920286,724672.910725652,34883.3371232934,201754.467510869,711094.99747296,1948175.75810905,60728.9620140642,110813.880598504,120992.851191609,41944.9280462136,84275.9515742846,967847.201533217,118432.179131873,542756.387029209,34514.715140136,291450.94166736,315333.976902944,1577906.26732817,72748.1985322256,22385.870592554,5658594.58581694,7694.90886670502,85550.7415166665,1426475.49910009,24862.605773243,2415536.42903417,22906.0933295793,8747.41631743581,4047113.35412755,2597169.94009969,450698.375671912,1884836.72511839,114226.316999586,1669510.65539285,7550.12755152813,13335.5942100594,84233.8559273749,6655.72409399271,1414755.97475631,404718.685054364,148705.345757383,519998.477772828,85207.3779734961,1639665.32678153,47263.8831319699,1379915.94485961,12648.5212717738,8297.48908851788,113530.90953698,359662.054143261,118767.848808851,66311.674898727,51474.8608512759,37789.6428607902,1349776.86967859,27222.2424697855,12086.2969629109,7149.61500753809,53297.1241249096,51751.8200532628,11222.7964176242,1639665.32678179,47263.4484251941,59958.608279102,4079.32880482819,101110.580437126,62311.8058130193,1224525.70460144,364950.888241739,102474.112070446,406408.539497897,151777.254702272,92413.3849009222,100871.243872216,2429.85851862781,5009.82146463241
