"cpdID","cpdName","Retention Time","m/z"
"RPOS-001.1","Xanthurenate",168.319371911407,206.044564364992
"RPOS-001.2","Xanthurenate ISF.1",167.014155902979,178.049571567478
"RPOS-001.3","Xanthurenate ISF.2",163.055575622782,132.04414731884
"RPOS-002.1","Urocanate",57.5895168940478,139.04977227789
"RPOS-002.2","Urocanate ISF.1",57.5980623170422,121.038879105738
"RPOS-002.3","Urocanate ISF.2",57.6147229304326,93.0444009176816
"RPOS-003.1","Urate",68.4082935930324,169.036572222572
"RPOS-003.2","Urate ISF.1",68.4207935052063,141.040179847386
"RPOS-003.3","Urate ISF.2",68.3937118521973,152.008561254422
"RPOS-003.4","Urate ISF.3",68.4186005104869,126.029228508065
"RPOS-005.1","Theobromine",145.262718971697,181.072263575523
"RPOS-005.2","Theobromine ISF.1",145.272671010742,163.060968779666
"RPOS-005.3","Theobromine ISF.2",145.258223231026,138.065448996611
"RPOS-008.1","Pseudouridine",57.2697871058353,245.077177520668
"RPOS-008.2","Pseudouridine ISF.1",57.3032390939447,209.055685360014
"RPOS-008.3","Pseudouridine ISF.2",57.3041111137321,191.044864153229
"RPOS-008.4","Pseudouridine ISF.3",57.304749378815,179.044862760494
"RPOS-008.5","Pseudouridine ISF.4",57.3050855562714,155.044727868503
"RPOS-015.1","Pantothenate",141.407760537688,220.117931205853
"RPOS-015.2","Pantothenate ISF.1",141.422692745805,202.107006905517
"RPOS-015.3","Pantothenate ISF.2",141.464090926753,184.09614580329
"RPOS-016.1","L-Acetylcarnitine",58.1446742298647,204.124471491804
"RPOS-016.2","L-Acetylcarnitine ISF.1",58.2027132983649,85.0280682835217
"RPOS-018.1","1-Methyladenosine",75.2858059888448,282.120728471146
"RPOS-018.2","1-Methyladenosine ISF.1",75.2920485451028,150.07693014043
"RPOS-026.1","N2,N2-Dimethylguanosine",143.36587615657,312.130177803486
"RPOS-026.2","N2,N2-Dimethylguanosine ISF.1",143.372531294864,180.087701116213
"RPOS-026.3","N2,N2-Dimethylguanosine ISF.2",143.406509793853,110.034980682297
"RPOS-027.1","2-Furoylglycine",142.187040421461,170.044580448288
"RPOS-027.2","2-Furoylglycine ISF.1",142.181647683529,124.038716531283
"RPOS-027.3","2-Furoylglycine ISF.2",142.197239829771,95.0124781643654
"RPOS-029.1","Tryptophan",165.100841995646,205.097095661826
"RPOS-029.2","Tryptophan ISF.1",165.073637733291,188.07059323967
"RPOS-029.3","Tryptophan ISF.2",165.069228704897,170.059432901891
"RPOS-029.4","Tryptophan ISF.3",165.08212173935,118.064946573557
"RPOS-031.1","Kynurenine",121.334444595364,209.091562445537
"RPOS-031.2","Kynurenine ISF.1",121.358894201583,192.065258756149
"RPOS-031.3","Kynurenine ISF.2",121.100828777186,146.062356833443
"RPOS-034.1","Indoleacetyl glutamine",238.695996891087,304.128996759945
"RPOS-034.2","Indoleacetyl glutamine ISF.1",238.704986273092,130.064394951643
"RPOS-035.1","Indole-3-acetic-acid-O-glucuronide",266.151576430872,374.084338313813
"RPOS-035.2","Indole-3-acetic-acid-O-glucuronide",266.159049331382,352.102001275061
"RPOS-035.3","Indole-3-acetic-acid-O-glucuronide ISF.1",266.176526077999,176.070265121036
"RPOS-035.4","Indole-3-acetic-acid-O-glucuronide ISF.2",266.183221114423,130.064666640165
"RPOS-036.1","Hypoxanthine",72.9793858124309,137.045707730967
"RPOS-036.2","Hypoxanthine",73.018822542197,159.027348309097
"RPOS-036.3","Hypoxanthine ISF.1",72.9864153421262,119.034672852061
"RPOS-043.1","2-Octenoylcarnitine",336.790467551657,286.203475579925
"RPOS-043.2","2-Octenoylcarnitine ISF.1",336.66428139105,85.0282559120813
