"","RPOS-001.1","RPOS-001.2","RPOS-001.3","RPOS-002.1","RPOS-002.2","RPOS-002.3","RPOS-003.1","RPOS-003.2","RPOS-003.3","RPOS-003.4","RPOS-005.1","RPOS-005.2","RPOS-005.3","RPOS-008.1","RPOS-008.2","RPOS-008.3","RPOS-008.4","RPOS-008.5","RPOS-015.1","RPOS-015.2","RPOS-015.3","RPOS-016.1","RPOS-016.2","RPOS-018.1","RPOS-018.2","RPOS-026.1","RPOS-026.2","RPOS-026.3","RPOS-027.1","RPOS-027.2","RPOS-027.3","RPOS-029.1","RPOS-029.2","RPOS-029.3","RPOS-029.4","RPOS-031.1","RPOS-031.2","RPOS-031.3","RPOS-034.1","RPOS-034.2","RPOS-035.1","RPOS-035.2","RPOS-035.3","RPOS-035.4","RPOS-036.1","RPOS-036.2","RPOS-036.3","RPOS-043.1","RPOS-043.2","RPOS-043.3","RPOS-044.1","RPOS-044.2","RPOS-045.1","RPOS-045.2","RPOS-045.3","RPOS-049.1","RPOS-049.2","RPOS-049.3","RPOS-050.1","RPOS-050.2","RPOS-051.1","RPOS-051.2","RPOS-051.3","RPOS-053.1","RPOS-053.2","RPOS-055.1","RPOS-055.2","RPOS-055.3","RPOS-057.1","RPOS-057.2","RPOS-061.1","RPOS-061.2","RPOS-062.1","RPOS-062.2","RPOS-062.3","RPOS-063.1","RPOS-063.2","RPOS-063.3","RPOS-063.4","RPOS-069.1","RPOS-069.2","RPOS-071.1","RPOS-071.2","RPOS-071.3","RPOS-071.4","RPOS-073.1","RPOS-073.2","RPOS-073.3","RPOS-074.1","RPOS-074.2","RPOS-075.1","RPOS-075.2","RPOS-078.1","RPOS-078.2","RPOS-087.1","RPOS-087.2","RPOS-087.3","RPOS-087.4","RPOS-087.5","RPOS-087.6","RPOS-089.1","RPOS-089.2","RPOS-089.3"
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W11_LTR.mzML",86801.6875,NA,NA,271437,24166.328125,NA,2440140,26055.15625,31984.03125,17786.34375,1780325,9224.59375,26173.75,1176545,692509,74830,175174.5,252626.375,780463.5,36372.28125,21226.40625,NA,8374.1640625,1789106,353676.75,652982.5,365127.75,2109.787109375,1030513,46214.71875,297539.25,345505.75,1072189,30397.765625,59778.8125,37599.4375,13534.4765625,127544.125,333214.25,42233.375,143698.25,10380.4375,92246,92408.3125,1192101,65106.15625,16829.4375,NA,4210.0234375,43522.3125,1851615,34972.875,NA,20071.890625,7266.87109375,2214986,2562928,233642.25,1165126,68465.5625,1763835,7199.7734375,15004.90625,55685.6875,4775.2265625,453651.25,127722.1875,47241.875,372176.75,57329.03125,2044800,65974.4375,1084712,9651.4296875,6353.890625,82818.9375,376387.5,80204.75,42068.03125,30311.015625,21619.640625,646319.5,11842.3515625,5734.9375,NA,75882.4375,55193.40625,16995.46875,2044800,65974.4375,28610.3125,NA,62518.15625,34620.375,1134176,316675.25,88240.25,351520.25,129295.6875,82130.75,44770.4375,968.00439453125,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W12_SR.mzML",87235.0625,16145.5390625,466770,394804.75,38031.40625,6630.97265625,2401656,23867.28125,27610.0625,15794.8515625,1829594,9469.96875,27585.828125,1385821,889799.5,101312,224644.875,321978.5,809705,38682.5,24976.3125,NA,7978.54296875,2202284,505226,1117700,613523,3392.404296875,656753.5,30673.140625,198024.125,468370.25,1586305,49004.1875,94892.4375,107921.875,37121.1875,78536.5,764578,95888.8125,403373.25,24061.046875,213695.625,231619.375,1511881,83051.375,22820.203125,NA,NA,42481.90625,1343483,22207.796875,NA,20354.875,7808.07421875,2752982,NA,369033.75,1442028,89305.6875,2009488,9500.421875,17062.46875,90770.5625,7128.84765625,1243471,357770.25,132996.625,497172.5,77252.0625,1711585,51089.9375,1438233,14524.34375,9255.1015625,140012.75,343503.5,134120.375,79369.5,41588.78125,29952.78125,1209643,23514.828125,10592.0703125,6441.94921875,61905.03125,56988.59375,13170.6171875,1711585,51089.9375,50603.71875,NA,94631,54705.40625,1387943,430488.5,126947.3125,498717.25,183281.875,113011.4375,89936.125,2103.630859375,4554.85546875
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W23_LTR.mzML",80732.375,9571.8671875,NA,270079.25,23335.984375,4162.54296875,2322966,24120.578125,NA,16287.671875,1700001,8198.40625,23643.65625,1107674,634253,71939.375,160292.5,226104.625,712434.5,32341.484375,20358.71875,NA,7595.8046875,1772599,341774.5,599555.5,315015.25,1814.373046875,970918.5,44503.46875,268007,333558.5,972713,28814.171875,52199.0625,34462.03125,10884.71875,126428.9375,312154.5,38900.09375,162396.375,10337.9140625,95950.5625,94733.0625,1158227,85773.0625,16475.859375,2822192,NA,42267.4375,1847598,34662.875,NA,19844.859375,8177.9140625,2278742,2435436,216531.5,1081044,62797.96875,1776767,7080.44921875,14502.6640625,45676.21875,3333.169921875,437557.5,120139.5,43323.8125,360683.25,58577.25,2035332,66648.75,951022,9083.84375,5839.34765625,73969.75,400919.75,71625.1875,38144.625,27831.59375,23315.875,629018,11931.6328125,5484.8046875,3414.865234375,67271.0625,63518.84375,16046.28125,2035332,66648.75,27735.03125,NA,65211.78125,36310.03125,1082547,308134.25,81862.5,331498.25,122580.25,70658.125,36215.25,NA,2134
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W24_SR.mzML",90771.375,16607.015625,463475.75,405733.25,38852.15625,7505.58984375,2408172,23866.703125,NA,15831.5390625,1874536,9320.03125,27479.65625,1353590,905246.5,101181.8125,232434.25,329021.5,781349,35661.90625,25303.3125,2301854,8065.57421875,2264686,518430.5,1129094,643264,4973.23046875,652193,28859.796875,195171.25,469755,1471038,43162.71875,87472.8125,107843.1875,39394.34375,81980.5,806731,98661.125,436173.25,25534.15625,239354,253107.25,1596074,74120.9375,23874.984375,2917144,NA,40822.125,1289712,23145.15625,NA,21125.265625,7321.5703125,2658690,NA,386853,1505175,91263.625,2042933,9197.7109375,16964.859375,91645.3125,6837.54296875,1468223,449575.25,165191.625,506749.75,77618.4375,1708033,52133.3125,1402329,13471.859375,9349.5546875,131046.625,337469,135826.375,79271.3125,44386.28125,33203,1292415,23722.421875,10048.2109375,6511.6328125,60919.25,60219.3125,12891.9765625,1708033,52133.3125,50952.8125,NA,97974.875,56544.15625,1341735,397854,114563.5625,462646.5,169883.375,104111,81929.625,2095.6640625,3756.626953125
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W35_LTR.mzML",76842.625,9878.46875,209671.25,269790,22304.34375,4294.31640625,2478940,25630.671875,29858.390625,18314.65625,1863605,11160.8359375,25785.125,1115566,645571,71733.6875,159960.125,236101.5,740519,33508.1875,20064.359375,2574816,6895.85546875,1811827,361466.25,649819,339901.25,2308.4765625,904234.5,38872.21875,277728,339583.5,1046871.5,30365.671875,54570.28125,34788.90625,11374.4140625,139921.5,321012.5,37129.78125,153981.125,9641.71875,87559.4375,93620.5,1220703,78611.25,17496.03125,NA,NA,NA,1816424,33227.8125,NA,20501.53125,8080.30078125,2372208,2527756,222755.5,1201980,69357.8125,1828619,8006.0078125,14426.5,44228.21875,3691.328125,496084.25,135215.5,48810.40625,325719,51315.59375,2071281,69413.0625,1003267,8840,6990.99609375,73909.75,407646.5,73209.9375,38187.25,32566.46875,22729.59375,649560,11896.6328125,5416.77734375,3573.712890625,70519.8125,64744.1875,16633.59375,2071281,69413.0625,28909,NA,58066.21875,32042.703125,1137809,320035.25,88447.4375,365317,128468.6875,78847.125,36623.03125,NA,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W36_SR.mzML",86650.3125,16626.40625,NA,403492.5,36136.875,7869.04296875,2366354,25138.515625,29767.75,15817.9921875,1821523,9500.5,25762.75,1352191,864430.5,97864.3125,223522.375,317593.75,829559.5,38747.25,25181.875,2298686,8884.1484375,2238378,518484,1170011,654293.5,3493.953125,654455,27415.96875,184352.25,482122.75,1552940,46828.53125,93788.5625,107450.25,37019.625,81569.6875,793539.5,99043.3125,413532.25,25796.4375,212124.375,243901,1727940,65702.25,26779.4375,NA,4448.640625,41611.40625,1367472,24509.53125,NA,21688.984375,8178.61328125,2851852,NA,402015.75,1500400,91319,2090429,9460.6171875,20665.40625,95839.5625,7314.46484375,1327005,386133.75,141807.25,480307.25,73120.5,1683733,52224.40625,1409992,12840.3671875,8995.2890625,132809.375,328232.25,139574.75,82181.875,38837.46875,26670.859375,1208914,24432.046875,10253.4140625,6144.43359375,62273.25,61974.4375,14248.1171875,1683733,52224.40625,52854.90625,3632.75390625,94622.75,53886.15625,1375883,417308.75,119671.625,474584.75,176384.75,105983.75,71050.875,2140.65234375,4198.7109375
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W47_LTR.mzML",83401.625,NA,220604.25,264125,21719.5625,4850.2734375,2324928,22675.9375,25968.34375,15665.6484375,1756628,8463.0625,24355.59375,1139946,629394,73042.4375,155748.625,226693.75,755412,36777.09375,20888.671875,2529488,8465.7421875,1805516,357973.75,648518.5,341703.5,2035.1259765625,936084.5,42603.4375,252017.875,341938,1035115.5,30410.390625,52416.28125,35972.28125,11947.125,139235.75,333234,42267,150150.125,9212.8359375,89385,87329.9375,1059071,87579.6875,14944.765625,NA,4337.4296875,45194.90625,1904260,36806.0625,NA,20824.109375,7360.37109375,2413066,2523572,224336.375,1158794,68308.5,1724210,7870.1796875,13323.265625,47172.15625,4331.078125,475027.25,128040.6875,48005.78125,370232.25,54406.75,2068921,65368.5625,924638,8793.6328125,6073.5703125,66152.0625,416758.75,74023.5625,38732.90625,28027.53125,20673.578125,639224.5,12946.921875,5911.75,3278.74609375,70380.625,61361.9375,15049.09375,2068921,65368.5625,28927.890625,NA,59221.6875,33948.40625,1110967,310146.75,86031.9375,345733.5,127743.5625,76273.9375,40980.46875,1234.0419921875,2135.171875
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W48_SR.mzML",88834.125,15493.2421875,NA,422371.75,38195.0625,6916.8046875,2385448,23823.484375,26668,15830.0703125,1977478,10484.7890625,29481.078125,1309928,850846.5,95748.6875,217685.25,310564,854201.5,39380.875,25103.359375,2359630,7229.8125,2293246,528003.5,1182996,657278.5,4315.81640625,690426,30759.15625,195595.625,475797,1571168,45244.3125,91679.25,109756.4375,39664.34375,82607.6875,809654,98702.3125,406182.75,23737.328125,223218,236974.75,1778994,62092.15625,26774.21875,NA,3785.712890625,41642.78125,1382907,22610.84375,NA,20997.109375,8905.5859375,2744736,NA,401816,1549544,92681.375,2137508,9828,19834.578125,100134.375,8029.3828125,1514159,461544,158625,504089.75,78387.5,1732145,54217.75,1411821,12613.1796875,8107.76953125,135891.375,308740.25,144767.75,80119.0625,40242.71875,29400.984375,1252530,25133.0625,10649.6171875,6612.72265625,65424.9375,60242.5,13983.2109375,1732145,54217.75,51561.78125,NA,120551.4375,66043.625,1416714,440216,132749.625,535482.5,195413,118471.0625,74699.125,1965.24609375,3351.23046875
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W59_LTR.mzML",81795.125,NA,NA,273020,22928.765625,5015.37890625,2418736,25627.875,30154.4375,15895.875,1787700,8986.140625,26033.390625,1151769,658594,74688.0625,166744.75,238204.5,779055.5,36013.1875,23673.296875,NA,7204.2734375,1764358,341275.25,656338.5,348810,1807.119140625,1025499.5,47426.65625,302317.5,338961,1048395,29951.578125,59915.75,37973.71875,12913.5078125,130893.5,331370,39348.34375,157308.5,10120.3984375,88124,94676,1049421,87016.8125,14611.3984375,2577384,NA,45462.15625,1873537,34613.65625,NA,19968,7368.30078125,2337680,2510656,225927,1178810,69464.25,1621075,6698.765625,12057.3515625,49405.6875,3763.474609375,487280.25,132393,46272.96875,355390.25,57173.90625,2023630,63109.96875,1066648,8483.7734375,6661.0859375,76668.75,436095.5,73661.125,43183.03125,28863.96875,23622.5625,654483.5,12565.390625,NA,3869.61328125,72551.9375,63158.4375,17058.40625,2023630,63109.96875,29690.203125,NA,59033.96875,32565.890625,1121388,324173.25,90329.5625,354677,132126,78203.875,42208.78125,1338.7763671875,2502.818359375
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W60_SR.mzML",85162.75,14869.6640625,NA,404586.25,36553.90625,7623.984375,2478346,26145.96875,32499.328125,16497.296875,1824685,8788.4296875,26853.703125,1364172,889476.5,101846.5625,223513,324778.75,761643,36445.03125,23085.46875,NA,8032.4921875,2186108,503607,1110303,627882,3606.5859375,654892.5,NA,188029.125,465311.25,1461627,45695.625,88338.9375,104642.125,38379.90625,83061.6875,741928,88418,390172.75,21797.71875,215822,226439.625,1622554,72057.6875,24277.234375,NA,4303,41222.8125,1383513,24354.578125,NA,19675.140625,7821.765625,2679332,NA,374884.5,1471330,93683.4375,2096227,11083.6328125,19432.796875,92915.5625,7637.375,1392393,414956.75,148888,480470.75,75285.0625,1656666,49511.4375,1457328,14484.2109375,9253.5078125,131071,332480,135020,75725.25,39438.96875,27142.6875,1238958,24182.25,11493.3359375,7172.5234375,59227.65625,54751.09375,12812.953125,1656666,49511.4375,49989.90625,3776.873046875,75103.5625,44874.78125,1375393,423421.75,127623.8125,497008,184188.75,113768.75,80301.75,NA,4565.21484375
