"","RPOS-001.1","RPOS-001.2","RPOS-001.3","RPOS-002.1","RPOS-002.2","RPOS-002.3","RPOS-003.1","RPOS-003.2","RPOS-003.3","RPOS-003.4","RPOS-005.1","RPOS-005.2","RPOS-005.3","RPOS-008.1","RPOS-008.2","RPOS-008.3","RPOS-008.4","RPOS-008.5","RPOS-015.1","RPOS-015.2","RPOS-015.3","RPOS-016.1","RPOS-016.2","RPOS-018.1","RPOS-018.2","RPOS-026.1","RPOS-026.2","RPOS-026.3","RPOS-027.1","RPOS-027.2","RPOS-027.3","RPOS-029.1","RPOS-029.2","RPOS-029.3","RPOS-029.4","RPOS-031.1","RPOS-031.2","RPOS-031.3","RPOS-034.1","RPOS-034.2","RPOS-035.1","RPOS-035.2","RPOS-035.3","RPOS-035.4","RPOS-036.1","RPOS-036.2","RPOS-036.3","RPOS-043.1","RPOS-043.2","RPOS-043.3","RPOS-044.1","RPOS-044.2","RPOS-045.1","RPOS-045.2","RPOS-045.3","RPOS-049.1","RPOS-049.2","RPOS-049.3","RPOS-050.1","RPOS-050.2","RPOS-051.1","RPOS-051.2","RPOS-051.3","RPOS-053.1","RPOS-053.2","RPOS-055.1","RPOS-055.2","RPOS-055.3","RPOS-057.1","RPOS-057.2","RPOS-061.1","RPOS-061.2","RPOS-062.1","RPOS-062.2","RPOS-062.3","RPOS-063.1","RPOS-063.2","RPOS-063.3","RPOS-063.4","RPOS-069.1","RPOS-069.2","RPOS-071.1","RPOS-071.2","RPOS-071.3","RPOS-071.4","RPOS-073.1","RPOS-073.2","RPOS-073.3","RPOS-074.1","RPOS-074.2","RPOS-075.1","RPOS-075.2","RPOS-078.1","RPOS-078.2","RPOS-087.1","RPOS-087.2","RPOS-087.3","RPOS-087.4","RPOS-087.5","RPOS-087.6","RPOS-089.1","RPOS-089.2","RPOS-089.3"
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W11_LTR.mzML",82080.7156412943,NA,NA,272663.525879108,23785.5114947406,NA,2549501.25649985,25540.4393335002,28843.7181421994,16464.9139592791,1831499.37638228,9153.67571001229,27163.6772239931,1220154.13533763,684969.194780538,78580.219418501,174315.173400242,249841.585112366,779079.750964288,35505.6693698136,21568.1331839862,NA,7942.16600579789,1804062.64258774,340486.418551102,636547.956683047,335196.326075688,1853.33771198902,1005201.58407494,45541.4114424248,276252.09819769,368042.348685775,1084431.68771974,30508.6911692334,54108.0093447221,34472.7877057207,12384.7169654284,126027.630724505,336854.390749571,41107.9723528094,143449.042555312,10362.5425417851,92110.5346295361,94891.0909960683,1191655.26758065,64126.995188503,15488.1045208092,NA,3952.66761938039,38632.702836843,1926053.07927642,35337.5679038197,NA,20565.4950156717,7650.43755783168,2212610.59307694,2637163.97928372,227293.463227497,1186404.63354729,66878.6752141432,1799223.19984218,7058.68257009294,14701.5006351711,56428.884885246,4465.64885321124,455444.467938404,126747.689737801,45907.3257061756,363891.016373105,57281.2388327871,2127335.16169523,67638.8994088347,1060985.10025237,8953.64799612338,6132.57939113769,78860.4185940475,365408.135475813,79340.3010322443,42988.6713070581,29481.453065572,21628.1959354971,631231.753938717,11926.6213993203,5255.32975256097,NA,73568.7298551126,52456.1432806408,16561.9377659875,2127335.16208151,67638.8993778485,27782.9266218185,NA,56183.2141300985,31412.2553467945,1145047.6062153,321819.582557604,87070.6406446388,351597.702999367,128672.386537117,79133.6848393001,42802.1189483717,900.842369881204,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W12_SR.mzML",87739.3230035426,15118.042288194,465554.167983949,393959.923774508,35803.099647929,6814.53948672102,2522710.66542094,23850.1403141682,26376.4528892101,15732.380664579,1904948.5103071,9641.82811537507,27792.1813980575,1388377.63313455,852782.524991643,96690.9311037059,216314.809664769,312208.048776044,808401.7680486,37163.6026520356,25667.3357882344,NA,7702.29150236584,2339801.59423669,508248.131658328,1123030.8652395,617490.793921009,3458.64144545682,641629.746394398,29136.2207495062,183571.041043514,501892.184991539,1596865.1485556,46716.4336639638,90921.1151571998,103316.007056447,36600.3381622385,76442.1937341656,763130.85496381,92219.4719526035,403542.772966157,23313.9507556528,210960.447476535,231022.862371861,1527104.89602473,80869.3630495149,21155.3591220495,NA,NA,36707.3258499806,1340285.94647694,22001.9265250838,NA,20843.4672860907,7556.56603312863,2830020.34051182,NA,381485.158973408,1448979.77900313,87647.5006177627,2065286.26800663,9392.11893114014,16848.7171334998,91694.3000423789,7100.74918875197,1279756.73201676,367669.158346585,131567.460055996,485950.397979791,75401.3011415341,1744683.14778114,50944.6883229487,1459936.77405311,13680.7082866185,8193.46546945345,133014.212400147,336073.633889708,134301.486124082,76084.9922311561,37512.5764142829,26987.0963594463,1185275.86807163,22495.4064781421,9780.29033923923,5707.1235931244,59128.7714456621,54991.9429187802,12851.4430070372,1744683.14701652,50944.6883105103,47681.0739354142,NA,92440.9324668193,51061.5283665401,1407034.40080941,427742.705739852,122960.116540808,495619.257248256,181180.770959971,112968.351279336,88875.6213398439,1902.22664357222,4126.58414100796
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W23_LTR.mzML",80104.1163740859,8479.71628990524,NA,262593.980816017,21781.9538987268,4162.57664501439,2491104.75464054,24131.3459548408,NA,15394.5492293808,1716777.46728114,8015.69145559238,23770.0962134143,1128266.63032603,627917.473113045,72060.9068902933,159402.833058577,230069.308635274,714756.552854201,32925.65508147,19719.2903442213,NA,7193.5888225558,1809880.93186757,343283.090531588,601992.306440396,312916.664677333,1833.14401656193,942115.088195799,41813.3848165064,257969.665452415,355653.989881883,1015272.27833316,29564.5512431262,53029.8951709777,31870.5768260693,10737.9914279991,125607.09007874,312008.943955032,38366.0864771332,151740.204149189,9654.96965811579,88946.1189529418,89765.905011824,1151117.44801116,83102.5425159757,15886.5776278989,2794624.21059962,NA,37311.4013903151,1864074.82364498,34047.6095245044,NA,19823.122226723,7536.50160988699,2406173.11144714,2588051.77824353,218309.058263864,1124446.70528697,63878.8724704116,1847307.66044585,7268.7455503552,14491.2972790199,43775.8572939199,3306.38614339368,445236.943990417,122416.559687763,43441.3732921322,351257.150132639,55465.9118966759,2061959.06863848,64483.9961964989,974488.465915308,8984.87816939418,6038.87396660743,71797.1062147391,392998.741074896,70023.0120072339,38071.200160275,27100.4661209986,20083.6930586179,613432.237155589,11567.9466026783,4875.99992560786,3283.23166579676,67074.5853053451,61339.9107429389,15190.4452254227,2061959.06974112,64483.9962276418,26362.0556587111,NA,64237.5035480371,34928.2617018608,1097526.18776934,308209.572378721,81814.8583585492,337885.596535452,122853.516529923,72243.9402223542,36141.027590333,NA,1934.16471092754
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W24_SR.mzML",89410.372653226,15620.948104305,461954.032853623,412766.583122123,38140.2494162079,6926.3717520336,2547205.69131729,23387.3714138576,NA,15790.7422186907,1909388.86289919,9092.0776079038,27277.0092036237,1355782.1896028,884657.931087174,100520.943144147,223738.468203296,322653.253913697,790656.318301842,35587.6186887004,24608.4206297652,2065373.22516956,7742.34249518621,2355153.33675451,514137.763728099,1127174.95511308,625642.977108503,4182.90850313206,640153.635540959,28995.6247296002,178826.942823348,489367.392471411,1513066.38714094,43479.7888429873,88170.4145725269,102779.820829162,37180.3313927583,81508.5412886649,778956.087375755,96215.3690828514,407160.262223727,23903.3735608046,211132.124065695,237252.666958283,1650135.85032238,72829.2186127465,23977.6102845534,3572893.12424517,NA,35234.5917174659,1314074.06073195,22559.5970332106,NA,20378.8620509857,7491.49663912489,2775194.62405087,NA,385239.095802667,1521757.73997721,91683.6827743201,2129053.21054024,9391.69759116799,17760.5091375724,92929.8667719622,6806.14636082273,1458250.45818318,431102.705314427,156934.74173789,481115.594785996,74632.350112336,1660209.81075046,48242.3813639702,1421254.56032323,13060.037408784,8483.30653769144,131873.55214139,321117.71610227,138159.267792453,79169.4234347413,39635.9515143104,28826.1327112805,1248664.74289875,23833.9519419293,10282.4642497793,6231.19109125814,58289.8093798231,57784.3042088359,12592.0391757923,1660209.80987468,48242.3813639702,49409.9388087722,NA,90348.329191193,49930.7899573731,1377026.20061889,415203.238860806,118394.304325574,473851.594872055,173819.939711667,105730.78661257,80017.8144299683,1827.84805532882,3692.48853171138
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W35_LTR.mzML",77671.9651988741,8714.26036334467,210741.930613167,266223.831817247,22517.4540321484,4502.40590044584,2537696.40881942,24782.2193339696,27386.6729835343,16550.9073375673,1882704.73539943,9797.87548818191,26038.4423720129,1147746.87348082,633715.270457024,71220.2225731193,160399.737001437,228963.050290775,745446.382411408,33985.5908644538,19481.3413740446,3033389.09492148,7038.06323949437,1885486.58614902,368252.363332758,628175.321097875,327804.308760725,1956.47061591527,919574.549511393,39436.7414044684,264001.322057883,359753.227744228,1033749.57323099,29745.5261360124,55318.4745027816,31884.8096709722,10970.4777265728,134974.24290861,310486.935854435,36643.3199083848,149955.731060527,9339.87675778017,85277.5063305371,90253.8616439137,1213895.61354202,77027.9403966435,16374.7946329946,NA,NA,NA,1883603.28693462,33694.6023810201,NA,20288.1064684863,7948.95208397178,2413584.2838405,2595246.24791239,222264.465865961,1158749.61926954,65356.0144900762,1915654.99633274,7812.36988165308,15101.3004645861,45656.577533566,3516.58316416851,478949.962814499,130468.711340047,46336.5146233474,334788.93917647,51908.741847301,2069623.19057339,65662.1855309596,972372.108218774,8168.30976339156,6130.88552140075,72932.9171859333,396775.66323408,71863.8488235205,38770.7537178673,27402.1161696481,20094.0202168999,604648.581051965,11079.187227643,4896.3931356939,3338.26628644674,69040.1539415075,61309.2493919975,15699.6811987595,2069623.19156438,65662.1854688182,26715.8739539115,NA,53370.1721886102,28391.8410026522,1140568.20648182,319634.126816592,86003.512762085,349655.618887249,126356.007522919,76729.3854288969,34370.0872147831,NA,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W36_SR.mzML",86845.0973566797,15645.3278579976,NA,398905.257921945,34911.8690239915,7502.12510464525,2622058.56956036,24706.163401812,27840.1233506278,15419.2222113725,1907772.96616848,9832.50389865924,26530.1330351794,1398407.20998091,893019.126855533,100143.572767714,225984.473554688,322346.125467969,821374.194463826,37848.9388410719,23864.1669861878,2037254.34853375,8342.24808093325,2358238.82287734,521254.903973205,1157708.29534939,630986.722257217,3323.32922059139,644143.927984748,28097.8268853002,180082.449332678,507885.749495254,1588194.29014665,46697.0724316815,91655.5088439924,103231.121973138,36215.4317438214,80620.7863210935,797128.904580979,98021.5627282416,405914.516555974,24221.4318665998,211605.016240776,234657.63876769,1760350.43430056,65532.6045580404,25152.8977020969,NA,3783.4428542404,36779.8070118387,1394723.7569138,23542.2914158813,NA,21055.8818100804,7639.65297226083,2874161.54800017,NA,390967.596064108,1546162.61564321,92999.9119504866,2219273.38556645,9395.52567808122,19329.4804422613,95152.2062891918,7313.3109494409,1372651.60816255,397006.59710535,141422.314997451,487973.13444735,75335.7645472124,1709797.83053314,50304.7931428422,1434843.78826517,12992.6076761547,8981.56105238721,133484.851386697,336443.314602771,137701.245379334,79874.6331096626,35604.6881579516,25785.5553047058,1230635.70046816,22975.1037283836,9960.79345927665,5998.76851401366,59280.8554886028,58245.0647992734,13731.5392750111,1709797.83031778,50304.793089859,48473.4645664389,3245.03483254154,88976.2554951836,47355.8916153141,1418313.95398234,423005.013434329,122818.125724404,483861.990919967,178280.246193747,109284.645830778,72555.8303417365,2021.06352110365,3724.45266710484
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W47_LTR.mzML",81128.219825968,NA,221026.093641704,268626.123101519,22084.3730808148,4754.2496105537,2539918.58911606,23863.8062909561,26337.87786129,15417.9948732758,1757190.32446745,8461.95424714351,24904.6453153481,1152421.05558306,627267.525367399,71846.8635284854,158748.810518755,227420.159193578,758807.8575394,35104.1300876204,20401.7650353798,3093359.52891282,7472.18675836709,1872736.1499946,350026.682322207,625447.28255237,325760.240133847,1910.29206646045,943295.330946337,41532.0848297012,260211.228998094,360686.815358936,1025510.4874306,29423.9007363706,52885.0399939231,33374.8250858213,11841.3903985778,135627.875585906,327191.369095535,40377.539559804,146780.346078397,9136.5553573785,83257.8311900887,87961.4115886862,1073162.21407185,87272.5768277104,14046.8175528428,NA,3728.38987458417,39585.3163837019,1955610.79461928,36195.774105581,NA,20324.5046576635,7794.44273152066,2366488.62343033,2585057.90222815,219450.938260166,1181003.30873173,68009.0104256513,1764286.9915039,7275.64836572796,13634.3266337577,47471.5597413745,3823.47941284109,482727.702384577,132014.138621602,47767.2740958305,351461.46094315,54022.4790200581,2105510.5739212,65916.5035272152,955744.88773373,8456.65040462927,6218.60069491713,69369.046791458,407078.230766599,71800.4662950027,38389.7922406734,24729.1659017871,17330.7385331947,633672.442724713,12665.0154607983,5871.89505347757,2965.12109557855,70632.9402408443,62099.4585285673,14994.4888041637,2105510.57391578,65916.5035286186,25811.7618318546,NA,53397.5468201637,29988.7097204129,1128690.33867992,316427.329896025,86829.9331011618,349957.809887042,127817.483579819,76296.9673894526,41195.0730579317,1056.21084387213,1786.5063228313
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W48_SR.mzML",87978.13122902,14944.8771032834,NA,417715.181706937,37180.6349617173,6400.27460566325,2445771.28964462,22561.6996117771,24041.7371820432,15262.9983578891,1988783.65759528,10268.7351119404,27518.7318180696,1345964.30377577,851214.975667115,95346.8100475725,215387.151177465,310447.818491491,862496.059560547,39496.0823522886,25056.7541332521,1998828.33398126,7499.02175243075,2371693.95545569,512082.346540147,1203102.21960552,659478.038857916,3936.14069282615,673597.440730973,30219.2971153112,191277.755516143,497651.50142526,1581943.65920911,45026.7803601529,90734.5654549222,105247.77046314,38643.2775851072,80714.9152509904,798167.98584364,96072.2804456429,411651.50649874,23067.7087375965,223090.383269231,238469.764526974,1762607.86953146,60440.2495496545,25338.5501057749,NA,3429.44145940402,36637.6984077396,1400072.55203779,22825.6497602618,NA,21182.1461007646,8477.18718264096,2682776.06867669,NA,379101.358187351,1588922.880785,94676.105011199,2240884.33144545,9868.19078084756,20010.2269194271,97806.1498552509,7570.46247932542,1476669.23584595,438640.099813173,152448.154062778,506956.879955833,79110.2367748986,1761181.31620948,51693.3674024237,1392467.17197491,12613.0285503355,8194.47430601144,138417.808216851,324488.429697993,141291.339261079,80564.5024173883,34632.708135107,24772.964189096,1272843.82183314,24324.1426211948,10049.1716966152,5795.29486036982,63787.290748343,55784.2251160439,12961.3134936753,1761181.31624826,51693.3674718468,47431.3458463818,NA,112472.413401807,62063.2467093223,1462367.09220858,449379.27202897,130084.854654853,525824.219370982,192483.092478468,118342.342205736,71700.938283447,1792.10546846446,3299.03171911762
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W59_LTR.mzML",82800.3136405863,NA,NA,267531.24240932,22667.7156985425,4375.51690112796,2701399.41473642,25885.1572302033,28665.1515960285,16543.164733026,1809712.07512478,8945.84660329596,24449.2524236775,1154116.46274354,640572.961947573,72080.7628396602,159866.329645976,232201.206069751,748961.602227716,34731.1250255772,20787.8981364422,NA,6666.69645641413,1784550.10017651,333934.026328196,628287.434222278,327486.396386559,1937.82558868461,956042.645254621,42489.3408102734,265312.391851302,358781.314830514,1057505.72184861,28902.3337852561,57639.4627877563,34094.3543866717,12117.0245961802,130963.861748206,325560.580758229,38989.3098495483,149376.302183956,9706.09973366391,86114.9225315772,88601.8982699582,1076379.48715674,85633.4607147593,14497.1306046256,2534134.57569781,NA,39889.2880338049,1978988.66388809,35646.6200893782,NA,19530.7253055145,7398.80027251701,2335128.32575394,2602682.90967284,221873.890996397,1172012.46058141,67907.9595813761,1687544.46418052,6794.0069113721,12104.8460660264,50689.2480552746,3822.55073826349,482040.744307133,133302.884990588,46961.8454079268,354189.405884975,56108.4841692413,2052116.05739916,62809.6090530341,1002318.49179444,8680.78356062111,5977.66629975438,72097.1594058156,419438.150803173,73597.9076878382,41411.4006820796,27182.8002504734,19816.7303052213,638313.451438034,12061.1867105538,NA,3540.49256930452,70939.2139290106,61236.1507033662,16333.44880431,2052116.05753542,62809.6090530341,28936.7667005804,NA,57635.1650277488,31317.2884306706,1150918.17411456,329493.85631976,90045.9039600408,362008.576484611,133542.648001711,79627.6311824177,41901.7329826357,1191.83134098149,2255.25502554097
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W60_SR.mzML",83827.9630827393,14827.9031321597,NA,399332.674301578,35999.4594667077,6984.23285137989,2519973.34741003,24305.5140185969,28944.645462679,15524.7052287187,1915213.27172637,9024.76525441707,26652.1574571788,1382163.90217363,873829.547706048,99943.7868309278,221907.981609941,319969.582702167,779167.621990134,36048.2188470358,22872.807059577,NA,7835.07574281459,2309329.04874439,504770.000919016,1111279.81929471,618657.012312751,3527.90296900875,632690.728444262,NA,180426.558147106,486142.442441192,1516583.70639771,44814.7705653269,85666.4336057647,102149.679433209,36698.6102457216,80080.7345938485,752673.265249782,89900.6544767789,386313.282835407,22106.7435339238,201073.742711964,223416.242766882,1636306.91890076,69845.3607342354,23642.3924287455,NA,3754.91705727447,36293.9029359954,1384578.41716817,23050.099261036,NA,20444.0489803101,7522.48633665379,2774599.56833321,NA,371015.912577539,1497349.53383824,92074.2946027546,2149504.85725947,10444.6287571392,18528.9862393024,89669.8877460428,7083.46422232216,1408880.50206395,409239.980213059,149223.45590687,454418.242042261,72084.4506239905,1666081.38625443,49243.0974091152,1448591.39526187,13445.7823043094,8668.74936697744,127057.202404566,331298.048020875,134513.759929251,75906.3601768729,33609.3803257905,23206.7312845081,1242082.62752135,23876.334505886,10301.248255824,6553.29144640809,57122.7614074287,54945.7742126757,12007.0653020573,1666081.38602078,49243.0974289198,46930.7993325915,3171.81669617408,75606.084153895,40512.1273225321,1391822.50953508,425767.709443601,125809.36807599,489834.736796058,181516.351443627,112451.762859206,79430.7719948778,NA,4343.67344448063
