"","RPOS-001.1","RPOS-001.2","RPOS-001.3","RPOS-002.1","RPOS-002.2","RPOS-002.3","RPOS-003.1","RPOS-003.2","RPOS-003.3","RPOS-003.4","RPOS-005.1","RPOS-005.2","RPOS-005.3","RPOS-008.1","RPOS-008.2","RPOS-008.3","RPOS-008.4","RPOS-008.5","RPOS-015.1","RPOS-015.2","RPOS-015.3","RPOS-016.1","RPOS-016.2","RPOS-018.1","RPOS-018.2","RPOS-026.1","RPOS-026.2","RPOS-026.3","RPOS-027.1","RPOS-027.2","RPOS-027.3","RPOS-029.1","RPOS-029.2","RPOS-029.3","RPOS-029.4","RPOS-031.1","RPOS-031.2","RPOS-031.3","RPOS-034.1","RPOS-034.2","RPOS-035.1","RPOS-035.2","RPOS-035.3","RPOS-035.4","RPOS-036.1","RPOS-036.2","RPOS-036.3","RPOS-043.1","RPOS-043.2","RPOS-043.3","RPOS-044.1","RPOS-044.2","RPOS-045.1","RPOS-045.2","RPOS-045.3","RPOS-049.1","RPOS-049.2","RPOS-049.3","RPOS-050.1","RPOS-050.2","RPOS-051.1","RPOS-051.2","RPOS-051.3","RPOS-053.1","RPOS-053.2","RPOS-055.1","RPOS-055.2","RPOS-055.3","RPOS-057.1","RPOS-057.2","RPOS-061.1","RPOS-061.2","RPOS-062.1","RPOS-062.2","RPOS-062.3","RPOS-063.1","RPOS-063.2","RPOS-063.3","RPOS-063.4","RPOS-069.1","RPOS-069.2","RPOS-071.1","RPOS-071.2","RPOS-071.3","RPOS-071.4","RPOS-073.1","RPOS-073.2","RPOS-073.3","RPOS-074.1","RPOS-074.2","RPOS-075.1","RPOS-075.2","RPOS-078.1","RPOS-078.2","RPOS-087.1","RPOS-087.2","RPOS-087.3","RPOS-087.4","RPOS-087.5","RPOS-087.6","RPOS-089.1","RPOS-089.2","RPOS-089.3"
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W11_LTR.mzML",206.042938232422,NA,NA,139.048767089844,121.038833618164,NA,169.033752441406,141.038818359375,152.006774902344,126.027305603027,181.07209777832,163.059448242188,138.064575195312,245.074432373047,209.055267333984,191.043563842773,179.042510986328,155.041809082031,220.117050170898,202.106430053711,184.095611572266,NA,85.027473449707,282.115570068359,150.076934814453,312.129577636719,180.086730957031,110.034088134766,170.044692993164,124.038414001465,95.0127944946289,205.094360351562,188.069747924805,170.059310913086,118.063972473145,209.089126586914,192.063461303711,146.062377929688,304.127166748047,130.063171386719,374.082611083984,352.098022460938,176.068359375,130.064239501953,137.045654296875,159.026947021484,119.033355712891,NA,85.0275421142578,227.125152587891,195.087707519531,138.064971923828,NA,173.080062866211,85.0278167724609,350.082946777344,152.07014465332,110.059776306152,152.07048034668,110.059013366699,166.07258605957,149.043502807617,124.048439025879,298.094848632812,136.061965942383,184.059158325195,166.047988891602,148.037460327148,190.049774169922,162.05339050293,181.072341918945,124.050010681152,183.050704956055,155.054809570312,126.029083251953,286.102294921875,308.084838867188,154.059997558594,112.04948425293,176.069732666016,130.063934326172,367.147888183594,230.078552246094,156.078689575195,NA,305.095184326172,327.075714111328,148.059692382812,181.072341918945,124.050010681152,379.208648681641,NA,192.063187201977,146.057009112,182.08024597168,165.05451965332,147.043502807617,136.074829101562,123.04313659668,119.048118591309,137.058547973633,119.047523498535,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W12_SR.mzML",206.044128417969,178.04670715332,132.041019355,139.049621582031,121.038269042969,93.0434112548828,169.033493041992,141.038284301758,152.007415771484,126.028259277344,181.071380615234,163.0595703125,138.06477355957,245.076248168945,209.055404663086,191.043426513672,179.043533325195,155.043197631836,220.116882324219,202.106246948242,184.095275878906,NA,85.0272216796875,282.115600585938,150.076705932617,312.129241943359,180.087387084961,110.034156799316,170.043365478516,124.037506103516,95.0118179321289,205.096069335938,188.069931030273,170.058135986328,118.063453674316,209.089324951172,192.062774658203,146.060195922852,304.126800537109,130.064315795898,374.082183837891,352.098846435547,176.069580078125,130.063980102539,137.045425415039,159.026657104492,119.033729553223,NA,NA,227.125350952148,195.087463378906,138.064758300781,NA,173.079483032227,85.0271377563477,350.081481933594,NA,110.059623718262,152.069290161133,110.059661865234,166.072402954102,149.044204711914,124.048736572266,298.094024658203,136.061172485352,184.058303833008,166.048156738281,148.038055419922,190.049224853516,162.053497314453,181.072052001953,124.049758911133,183.050521850586,155.055694580078,126.028961181641,286.099975585938,308.081726074219,154.060424804688,112.049362182617,176.068344116211,130.064025878906,367.148132324219,230.078521728516,156.079132080078,144.079071044922,305.094207763672,327.074981689453,148.059158325195,181.072052001953,124.049758911133,379.208343505859,NA,192.063187201977,146.057009112,182.079467773438,165.05322265625,147.042037963867,136.075271606445,123.043487548828,119.047737121582,137.059158325195,119.047355651855,91.0529403686523
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W23_LTR.mzML",206.043869018555,178.046630859375,NA,139.04948425293,121.038581848145,93.0439071655273,169.033447265625,141.038177490234,NA,126.027305603027,181.071990966797,163.059692382812,138.065292358398,245.075469970703,209.054641723633,191.042083740234,179.044525146484,155.044128417969,220.117034912109,202.106002807617,184.095275878906,NA,85.0271759033203,282.116973876953,150.076797485352,312.129516601562,180.087768554688,110.034088134766,170.044448852539,124.037506103516,95.0127716064453,205.09521484375,188.070251464844,170.057739257812,118.063323974609,209.090408325195,192.064300537109,146.062240600586,304.127563476562,130.0634765625,374.080200195312,352.099914550781,176.069595336914,130.063888549805,137.046020507812,159.026947021484,119.033630371094,286.196991797728,NA,227.124954223633,195.087509155273,138.065353393555,NA,173.079254150391,85.0277099609375,350.083953857422,152.070114135742,110.059867858887,152.069610595703,110.05931854248,166.07275390625,149.043533325195,124.048980712891,298.095001220703,136.061004638672,184.05891418457,166.04931640625,148.037948608398,190.049240112305,162.053833007812,181.072174072266,124.049842834473,183.050857543945,155.055587768555,126.029579162598,286.101531982422,308.083526611328,154.060562133789,112.050148010254,176.068862915039,130.062973022461,367.148834228516,230.078323364258,156.079376220703,144.079055786133,305.096099853516,327.074829101562,148.058227539062,181.072174072266,124.049842834473,379.208831787109,NA,192.063187201977,146.057009112,182.080093383789,165.052780151367,147.041793823242,136.075256347656,123.042068481445,119.048538208008,137.057968139648,NA,91.0530776977539
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W24_SR.mzML",206.042922973633,178.047332763672,132.041019355,139.049911499023,121.037704467773,93.0444030761719,169.033187866211,141.038101196289,NA,126.027717590332,181.072067260742,163.059860229492,138.064804077148,245.075500488281,209.055328369141,191.04296875,179.044921875,155.043365478516,220.116683959961,202.106948852539,184.095581054688,204.123199462891,85.0267944335938,282.115509033203,150.076309204102,312.129302978516,180.087356567383,110.034393310547,170.043167114258,124.037391662598,95.0121459960938,205.09521484375,188.06982421875,170.0576171875,118.063331604004,209.08903503418,192.06315612793,146.059677124023,304.127380371094,130.063659667969,374.080627441406,352.099639892578,176.069732666016,130.064376831055,137.045822143555,159.025619506836,119.034057617188,286.199554443359,NA,227.124954223633,195.087203979492,138.064880371094,NA,173.0791015625,85.0278778076172,350.083374023438,NA,110.059799194336,152.069854736328,110.058883666992,166.072525024414,149.044708251953,124.048179626465,298.094177246094,136.061080932617,184.058807373047,166.049255371094,148.038330078125,190.049392700195,162.053176879883,181.072006225586,124.049919128418,183.049880981445,155.054626464844,126.02872467041,286.102569580078,308.081909179688,154.059005737305,112.049674987793,176.068588256836,130.063568115234,367.148956298828,230.07795715332,156.078811645508,144.079055786133,305.094024658203,327.075042724609,148.059494018555,181.072006225586,124.049919128418,379.208435058594,NA,192.063187201977,146.057009112,182.079437255859,165.054672241211,147.043182373047,136.074966430664,123.042419433594,119.047500610352,137.057662963867,119.04744720459,91.0530090332031
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W35_LTR.mzML",206.043823242188,178.04753112793,132.041019355,139.049209594727,121.038017272949,93.0436019897461,169.033126831055,141.038116455078,152.007339477539,126.027122497559,181.07160949707,163.059463500977,138.064590454102,245.076583862305,209.054412841797,191.043960571289,179.044250488281,155.043243408203,220.117385864258,202.106643676758,184.095291137695,204.122573852539,85.0269317626953,282.118072509766,150.075973510742,312.129180908203,180.087692260742,110.034729003906,170.044677734375,124.037239074707,95.0125350952148,205.096282958984,188.069778442383,170.058868408203,118.063339233398,209.089904785156,192.064254760742,146.06217956543,304.126525878906,130.063552856445,374.080718994141,352.099609375,176.068435668945,130.064224243164,137.045883178711,159.027191162109,119.033721923828,NA,NA,NA,195.08740234375,138.065490722656,NA,173.079620361328,85.0268936157227,350.083984375,152.069931030273,110.059112548828,152.070083618164,110.059471130371,166.072830200195,149.044372558594,124.048614501953,298.096221923828,136.061126708984,184.058242797852,166.049377441406,148.037628173828,190.049163818359,162.05354309082,181.072128295898,124.049659729004,183.05046081543,155.055236816406,126.028739929199,286.101593017578,308.082855224609,154.05891418457,112.049659729004,176.068405151367,130.063049316406,367.148529052734,230.078002929688,156.079040527344,144.079498291016,305.094970703125,327.077697753906,148.058166503906,181.072128295898,124.049659729004,379.208587646484,NA,192.063187201977,146.057009112,182.080322265625,165.054946899414,147.043472290039,136.075485229492,123.044052124023,119.048767089844,137.057159423828,NA,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W36_SR.mzML",206.043518066406,178.047012329102,NA,139.048492431641,121.037826538086,93.0442123413086,169.033248901367,141.038955688477,152.007095336914,126.027458190918,181.071212768555,163.060028076172,138.064758300781,245.07568359375,209.054794311523,191.042282104492,179.044876098633,155.043075561523,220.117263793945,202.106521606445,184.095336914062,204.122192382812,85.02685546875,282.117736816406,150.076705932617,312.129821777344,180.087478637695,110.034202575684,170.043914794922,124.037788391113,95.0120010375977,205.096786499023,188.070602416992,170.057983398438,118.063316345215,209.089309692383,192.062255859375,146.060134887695,304.126434326172,130.064086914062,374.082580566406,352.099029541016,176.0693359375,130.06477355957,137.045547485352,159.025924682617,119.035095214844,NA,85.0275115966797,227.125381469727,195.087905883789,138.064926147461,NA,173.079345703125,85.0268173217773,350.082977294922,NA,110.059204101562,152.070343017578,110.059547424316,166.072601318359,149.04426574707,124.049446105957,298.096405029297,136.061050415039,184.058410644531,166.048385620117,148.038879394531,190.049377441406,162.053817749023,181.072525024414,124.049903869629,183.049591064453,155.054962158203,126.029083251953,286.099914550781,308.083587646484,154.060455322266,112.049125671387,176.068618774414,130.063018798828,367.147583007812,230.078979492188,156.078735351562,144.079025268555,305.094329833984,327.075866699219,148.05908203125,181.072525024414,124.049903869629,379.208221435547,361.194915771484,192.063187201977,146.057009112,182.080276489258,165.054626464844,147.043655395508,136.075439453125,123.043876647949,119.048629760742,137.058074951172,119.047241210938,91.0532836914062
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W47_LTR.mzML",206.043212890625,NA,132.041019355,139.049697875977,121.038696289062,93.0434417724609,169.033432006836,141.038284301758,152.007339477539,126.028144836426,181.072326660156,163.059478759766,138.06510925293,245.075485229492,209.054718017578,191.043594360352,179.044479370117,155.043029785156,220.116134643555,202.106353759766,184.095443725586,204.122421264648,85.026725769043,282.1171875,150.07666015625,312.129272460938,180.086944580078,110.034248352051,170.044586181641,124.038131713867,95.0123748779297,205.095336914062,188.070007324219,170.057800292969,118.063583374023,209.090148925781,192.062133789062,146.062118530273,304.125030517578,130.06428527832,374.079498291016,352.097961425781,176.068969726562,130.064163208008,137.045333862305,159.025695800781,119.034111022949,NA,85.0273361206055,227.125915527344,195.087280273438,138.065292358398,NA,173.079711914062,85.0269622802734,350.083435058594,152.06982421875,110.059310913086,152.069671630859,110.059066772461,166.072616577148,149.044876098633,124.048271179199,298.095306396484,136.061141967773,184.058547973633,166.049179077148,148.038726806641,190.049453735352,162.053680419922,181.072174072266,124.050048828125,183.049270629883,155.05549621582,126.029541015625,286.102355957031,308.084533691406,154.060394287109,112.049217224121,176.068069458008,130.06379699707,367.148376464844,230.078903198242,156.079406738281,144.080230712891,305.094207763672,327.075622558594,148.059020996094,181.072174072266,124.050048828125,379.207366943359,NA,192.063187201977,146.057009112,182.080108642578,165.054779052734,147.043029785156,136.074203491211,123.042877197266,119.047912597656,137.058609008789,119.047561645508,91.0531463623047
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W48_SR.mzML",206.044509887695,178.046737670898,NA,139.049682617188,121.038162231445,93.0435791015625,169.033386230469,141.038162231445,152.007308959961,126.027702331543,181.069488525391,163.060394287109,138.064971923828,245.075302124023,209.054992675781,191.042770385742,179.044128417969,155.043579101562,220.117446899414,202.106552124023,184.095245361328,204.122894287109,85.0267639160156,282.116333007812,150.076141357422,312.129333496094,180.086761474609,110.034767150879,170.043930053711,124.038452148438,95.0122222900391,205.095138549805,188.070571899414,170.058685302734,118.063453674316,209.08918762207,192.063339233398,146.060287475586,304.128326416016,130.06379699707,374.081817626953,352.097595214844,176.069946289062,130.064804077148,137.04573059082,159.026016235352,119.033378601074,NA,85.0272903442383,227.125442504883,195.087188720703,138.064758300781,NA,173.080108642578,85.0279159545898,350.083068847656,NA,110.059814453125,152.069976806641,110.058799743652,166.072265625,149.043685913086,124.04963684082,298.096038818359,136.061141967773,184.058029174805,166.049087524414,148.038833618164,190.047348022461,162.05419921875,181.072311401367,124.04988861084,183.048980712891,155.055053710938,126.028717041016,286.101898193359,308.081024169922,154.060760498047,112.049034118652,176.069641113281,130.063003540039,367.148376464844,230.078552246094,156.079086303711,144.079238891602,305.096130371094,327.075744628906,148.057861328125,181.072311401367,124.04988861084,379.207336425781,NA,192.063187201977,146.057009112,182.079986572266,165.054458618164,147.042129516602,136.075454711914,123.043479919434,119.048530578613,137.057266235352,119.047325134277,91.0530090332031
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W59_LTR.mzML",206.0439453125,NA,NA,139.048492431641,121.038055419922,93.0435256958008,169.03515625,141.039138793945,152.007019042969,126.027305603027,181.071914672852,163.060241699219,138.064498901367,245.076553344727,209.055160522461,191.0439453125,179.04377746582,155.044738769531,220.116058349609,202.106246948242,184.095336914062,NA,85.0268020629883,282.116760253906,150.076080322266,312.129119873047,180.086715698242,110.034454345703,170.044723510742,124.037727355957,95.0125198364258,205.095825195312,188.070159912109,170.057479858398,118.063636779785,209.089553833008,192.06233215332,146.062164306641,304.126373291016,130.063079833984,374.082153320312,352.099761962891,176.068725585938,130.064071655273,137.045593261719,159.025588989258,119.033790588379,286.196991797728,NA,227.125198364258,195.087600708008,138.065017700195,NA,173.079986572266,85.0268020629883,350.084320068359,152.070373535156,110.059020996094,152.070175170898,110.058609008789,166.072418212891,149.043914794922,124.048927307129,298.092376708984,136.061019897461,184.05876159668,166.049789428711,148.038391113281,190.048736572266,162.053436279297,181.072265625,124.049827575684,183.050659179688,155.055709838867,126.028861999512,286.102294921875,308.084533691406,154.060394287109,112.048957824707,176.068923950195,130.063064575195,367.148803710938,230.078552246094,NA,144.078979492188,305.096252441406,327.076263427734,148.058670043945,181.072265625,124.049827575684,379.209167480469,NA,192.063187201977,146.057009112,182.079208374023,165.054275512695,147.042282104492,136.075408935547,123.043144226074,119.048599243164,137.05810546875,119.047294616699,91.0531005859375
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W60_SR.mzML",206.042938232422,178.046691894531,NA,139.049774169922,121.038681030273,93.0435562133789,169.033782958984,141.037887573242,152.007080078125,126.027130126953,181.072204589844,163.059585571289,138.065200805664,245.076873779297,209.054626464844,191.042297363281,179.044082641602,155.043090820312,220.116943359375,202.105987548828,184.095352172852,NA,85.0277099609375,282.118255615234,150.076034545898,312.12939453125,180.086837768555,110.034309387207,170.044311523438,NA,95.0118713378906,205.095764160156,188.070388793945,170.058212280273,118.063247680664,209.08984375,192.062149047852,146.061584472656,304.126770019531,130.06364440918,374.082885742188,352.099365234375,176.069625854492,130.064727783203,137.045928955078,159.025955200195,119.033561706543,NA,85.02734375,227.125030517578,195.087875366211,138.064987182617,NA,173.079238891602,85.0274658203125,350.083343505859,NA,110.059783935547,152.070007324219,110.058898925781,166.07258605957,149.043441772461,124.048347473145,298.094665527344,136.061141967773,184.058441162109,166.048645019531,148.038665771484,190.048263549805,162.053771972656,181.072418212891,124.049789428711,183.049911499023,155.054809570312,126.028816223145,286.101989746094,308.084411621094,154.05989074707,112.049644470215,176.06867980957,130.062942504883,367.148223876953,230.077743530273,156.079147338867,144.079010009766,305.095428466797,327.077178955078,148.058212280273,181.072418212891,124.049789428711,379.2080078125,361.195922851562,192.063187201977,146.057009112,182.079666137695,165.053100585938,147.04231262207,136.07421875,123.043174743652,119.047340393066,137.058975219727,NA,91.0534133911133
