"","RPOS-001.1","RPOS-001.2","RPOS-001.3","RPOS-002.1","RPOS-002.2","RPOS-002.3","RPOS-003.1","RPOS-003.2","RPOS-003.3","RPOS-003.4","RPOS-005.1","RPOS-005.2","RPOS-005.3","RPOS-008.1","RPOS-008.2","RPOS-008.3","RPOS-008.4","RPOS-008.5","RPOS-015.1","RPOS-015.2","RPOS-015.3","RPOS-016.1","RPOS-016.2","RPOS-018.1","RPOS-018.2","RPOS-026.1","RPOS-026.2","RPOS-026.3","RPOS-027.1","RPOS-027.2","RPOS-027.3","RPOS-029.1","RPOS-029.2","RPOS-029.3","RPOS-029.4","RPOS-031.1","RPOS-031.2","RPOS-031.3","RPOS-034.1","RPOS-034.2","RPOS-035.1","RPOS-035.2","RPOS-035.3","RPOS-035.4","RPOS-036.1","RPOS-036.2","RPOS-036.3","RPOS-043.1","RPOS-043.2","RPOS-043.3","RPOS-044.1","RPOS-044.2","RPOS-045.1","RPOS-045.2","RPOS-045.3","RPOS-049.1","RPOS-049.2","RPOS-049.3","RPOS-050.1","RPOS-050.2","RPOS-051.1","RPOS-051.2","RPOS-051.3","RPOS-053.1","RPOS-053.2","RPOS-055.1","RPOS-055.2","RPOS-055.3","RPOS-057.1","RPOS-057.2","RPOS-061.1","RPOS-061.2","RPOS-062.1","RPOS-062.2","RPOS-062.3","RPOS-063.1","RPOS-063.2","RPOS-063.3","RPOS-063.4","RPOS-069.1","RPOS-069.2","RPOS-071.1","RPOS-071.2","RPOS-071.3","RPOS-071.4","RPOS-073.1","RPOS-073.2","RPOS-073.3","RPOS-074.1","RPOS-074.2","RPOS-075.1","RPOS-075.2","RPOS-078.1","RPOS-078.2","RPOS-087.1","RPOS-087.2","RPOS-087.3","RPOS-087.4","RPOS-087.5","RPOS-087.6","RPOS-089.1","RPOS-089.2","RPOS-089.3"
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W11_LTR.mzML",89781.4627721565,NA,NA,259220.042441233,21907.6840080466,NA,5580641.93410215,51021.2673346947,57509.3889802186,34278.7885734195,1830450.62319409,8920.19784847121,25809.2072521435,1377241.88883484,737750.27599265,87001.532809535,189292.344182859,272417.769349749,766369.37953341,36328.1829415519,23045.2519240997,NA,12164.6124915965,1403197.10499056,259640.459556437,537744.036378414,288642.354835723,1716.92320590604,1213767.04373937,54901.5569693666,331059.125995869,515705.902931359,1274793.13404664,37270.0080318723,66021.8990741893,44459.3338221447,14982.5639591022,130127.504275235,422648.213040221,52595.4012299129,194349.644999238,15449.3699909613,130381.272129986,132855.19994402,1136234.42076179,65656.4503307253,15129.0260810777,NA,8874.54695720699,98785.0212351021,2298979.59604002,41052.265292537,NA,23252.0357133707,8381.28118070047,2813145.85932501,3405294.59025565,265151.590401797,1434429.28951993,82622.705797005,1397643.35270002,5502.30926588271,11164.8598175469,55575.556803557,4545.08244677684,479981.976923217,133859.04172289,49770.0661481027,407045.834009565,64414.6031551947,2199491.01113622,65135.7364731737,940963.846083574,8428.80532473822,5998.27254859407,69312.0093135096,365745.720284202,70166.4735378675,37232.3176980104,45161.1923178796,34496.3086802404,663224.426184803,12620.643157998,5370.26490012455,NA,65186.7675569859,48729.6442230584,14675.1999838904,2199491.01081786,65135.7364929504,35001.6136446337,NA,73839.4211813562,43675.0867371888,981551.263197583,273065.232093051,71369.1987515778,293384.772271832,105746.182496239,65110.8586929012,46907.3540562855,1074.63167523099,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W12_SR.mzML",93753.8002663051,33205.3787805821,506532.342477342,376793.45030603,33630.1340895843,6584.52018622458,4821902.68420252,43429.406757952,48136.4341819313,28115.6424848339,1868216.50753283,9638.83847325201,25862.0722422003,1578617.75868791,925615.846512656,106853.664555317,237128.69974846,343802.994732301,792960.392693383,37837.5556744097,28588.8932971746,NA,11148.0677796056,1864777.18728383,381597.327393899,965710.684706612,528857.554039267,3070.78069702276,748639.880343067,34716.3296392841,212695.169718936,737073.183486607,2060944.33095615,61955.7237724942,119054.222077932,125332.147467179,43079.8292159977,86681.0357566085,973663.9898755,120506.787316699,571229.238460055,35460.1854845768,313842.69858445,334803.317001194,1633094.27572211,92187.5178166781,22094.5783457209,NA,NA,87945.4699419917,1391056.8586877,23575.1276693806,NA,23170.5018405231,8274.53683545093,4213631.37473253,NA,471415.282082358,1839594.05359298,109513.167501036,1672563.41579078,7186.0153172659,13177.1324312841,84500.9457535905,6874.01354094138,1436117.55969045,407709.63064272,149176.674171122,547679.449200327,86616.7490458238,1710796.05546241,49109.0915308236,1406257.25033505,13868.7681427031,8758.02264189642,117206.656174858,357178.986769219,118763.341714712,66176.2585524427,57266.0137536038,43871.1875962146,1354124.19795557,26401.2572857874,11436.759583825,6922.87493505761,55111.7247121965,51364.6567642291,11448.4111693072,1710796.0560774,49109.0915452484,60695.9732727724,NA,115412.349492995,67838.1172389485,1239583.96682662,367161.872574539,101579.883676389,411548.085166711,150150.577860535,93346.3662361296,103607.397661953,2351.59891692672,5141.62056786819
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W23_LTR.mzML",87740.0628586453,20125.6694527423,NA,249468.42708891,21444.9940874492,4604.42162974281,5838507.29651772,50564.2237737874,NA,33156.519701185,1692117.08413655,8346.64549265445,23302.5645383353,1251329.92413005,673185.05890888,79459.8231617994,172675.104437409,249080.280583728,707449.127195768,33786.4647451987,21528.212566544,NA,10325.8061255051,1406765.28481352,256546.977466963,512129.466530361,268154.765668094,1703.6197440507,1139411.9431117,50722.834930465,309141.404544448,490652.295903278,1175171.79644815,35863.1031029367,65199.6834619392,42037.6528746657,12960.3082026828,126140.990701787,394863.081826053,49915.4869133802,205655.906659258,14628.2778044157,124860.474070684,124599.544013673,1079607.35113786,83430.1976890027,14489.419003814,8492242.35278841,NA,94373.8612521797,2186548.12909246,38196.8303578039,NA,21964.5620251517,8457.87791918809,3064365.07811677,3286367.03752094,252083.992425361,1378026.45276394,79712.3506319124,1376834.2400304,5352.34969206602,10665.9890978918,43791.5236126241,3320.49031447185,444249.117997175,124097.755003743,44014.1789676078,389757.38292761,61940.7369381278,2119786.94064709,62311.5995706232,906137.876218308,8495.93811072811,5819.23899106544,64105.1216099689,383220.954857835,63226.6692914992,33385.3016118327,44663.7896517272,33202.5663873633,629217.178593826,12891.7000856529,5616.42929260364,3896.95639635616,59555.984806539,53691.7063219683,13172.7007249624,2119786.93970737,62311.5995470897,33584.5509054874,NA,77713.782357931,43265.6651714917,939048.745328661,259239.673260822,67285.7654092783,278787.834569369,99689.6830848915,59882.3952427995,45286.1614131714,NA,2383.09848336152
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W24_SR.mzML",94354.3835884741,34552.8245419196,521360.125360435,394819.296676405,35673.2657076597,6801.85263282901,5455120.50867311,49070.688989711,NA,31793.9291467041,1870638.71293091,9719.5742963838,25297.9724009616,1517753.60907368,934001.18484426,107756.73984918,238886.913357483,347658.02328361,782272.484210246,37137.115652497,25889.5744240924,4355811.19305761,12063.8076513801,1861142.29000948,381106.330903223,982220.643966755,541447.713921183,3407.72704753708,727286.25624725,32815.8810645523,200075.408792752,715038.191955928,1966302.10525445,60202.1373122471,117076.294861628,122065.182327851,42582.016614012,84316.5138595435,993903.217079224,123561.807154114,560075.497715057,35534.9076794867,298922.064672141,329084.608192724,1631464.5102026,76706.9609805181,22530.4016446748,9117150.13399681,NA,85942.1981233774,1387805.80051283,24017.8496310331,NA,22530.4613845718,8251.42357052447,4074455.39057004,NA,464103.068500877,1889712.49635779,112549.889473464,1698125.10562245,7088.27767960992,13783.1834335974,84146.1456576518,6285.61681439757,1423597.65398507,411098.268819345,149278.308095151,546233.765485874,86680.7393523575,1618701.24867601,45862.5996205791,1388448.70926984,13407.4871929248,8795.06055388878,118977.643884939,355525.474170221,119581.919534605,68230.1324133357,57303.5312097031,42761.2567514892,1344851.91123427,26123.791456997,11639.8557787732,6811.99696098861,54825.4935805045,52405.5415249675,11522.3123756863,1618701.24936134,45862.5996205791,61008.4998122674,NA,105727.629873168,64727.0886075284,1233583.20129895,364911.473926797,99603.570375732,405354.691452861,149133.499751945,90395.8582778636,102719.929543974,2389.33563613473,4982.94608624978
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W35_LTR.mzML",86522.2725211545,21485.5509156509,223339.394959062,253627.938761442,21086.5617543416,4088.49344020866,6005717.50582497,55023.5689914052,60226.3025802025,36618.7703921848,1826267.29036896,9647.98384285839,24686.9757669841,1280031.97667653,676581.626628909,78325.1310077894,173479.823184977,248658.725096816,723549.764922874,33930.019475708,21315.8113536572,4541210.13778692,10553.3804799136,1439606.75013007,270260.556283327,521773.678542637,271869.434415719,1463.89855113843,1136358.84526297,49792.7489938277,313840.790373619,495306.021465491,1205097.51289914,35471.2502711164,67251.5896602652,41017.6493595586,13199.4557061051,124707.741035296,396998.641283821,48274.6302821595,206722.392705957,13275.6353794657,121329.466091329,125707.948969902,1103336.76621029,76801.5288161816,15157.5360237982,NA,NA,NA,2233368.9155608,39000.4395502692,NA,22339.6105999143,8387.67776273588,3038122.71961632,3259940.41253912,249052.491483601,1388647.20725651,79597.715397345,1426292.91527149,5882.95127040157,11334.7878062171,44475.9294032981,3725.45323342523,458462.943428545,126380.115551998,44984.7261104246,383599.016927481,60536.3257722013,2156010.89776744,62770.4327242228,891835.534821492,7901.16392461206,5733.20098346027,64169.4638975845,394647.12194497,64704.1804235118,34765.1286816126,41061.575456534,31634.9981791192,610972.986350462,11229.8836566531,5261.56628399897,3383.0956054249,61393.9400001136,54013.3974230739,13591.6191597562,2156010.89692896,62770.4327751181,33151.6429703569,NA,68940.4440704801,39982.9970584156,968566.188331534,266840.083340922,70016.5516045847,284291.203679676,103508.640771664,62888.6776724152,46482.6883886147,NA,NA
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W36_SR.mzML",93200.0972861054,34095.2842272876,NA,384205.026553768,34243.7453763289,6895.0985662855,6312393.17859712,55653.3124068912,62191.8640904975,34995.8424484954,1858539.01720474,9697.38476678936,25300.7243105852,1611484.25419518,969428.593416652,110780.860941357,245610.062078742,354867.375307112,804524.218675996,38430.706082975,23652.6760013669,4119433.08746406,12213.2459438914,1833552.72926984,378316.269139393,1000223.32449656,546743.786666215,3146.88192297416,746480.737498429,33770.0391907267,207334.391736006,745287.701326438,2043522.29412513,62968.0163145749,116502.686026266,124231.385736964,42552.2123979709,86941.7913275423,1010249.33946833,124773.024090366,567825.941071274,35354.2346338628,309058.541483391,331677.861607562,1581051.10592299,64082.5018404509,22054.2759911853,NA,7820.95162047886,87394.2227372766,1436427.55694779,24340.1254365085,NA,23904.8486734347,8443.12605333843,4277152.75774952,NA,482369.315116966,1928249.97819678,115210.217443913,1707150.21671066,7191.09581072079,13895.8339278867,88924.0478286474,7108.2441796349,1448473.55450581,412065.12637746,148258.922864482,550871.641125485,87605.4383943457,1678719.82528285,47747.0075229108,1387988.57858955,13224.8875994715,8651.21122446581,118875.481795685,362930.861593016,121845.751035318,69624.2407965516,56204.4796190209,41931.0153214335,1367979.97079387,26847.0270792498,11870.2259917639,6815.08471386011,55596.6592040806,51992.7350158748,11672.8146119598,1678719.82552083,47747.0075710153,61268.7291619496,4593.18041314102,109724.321646104,65366.1111378855,1263675.15750195,374172.989531666,104445.951400853,416660.00217264,153337.062258703,93261.9931869058,106207.779222191,2357.54276840763,5443.99393751324
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W47_LTR.mzML",88940.6642343587,NA,246248.271586717,258108.591165454,21740.471989001,4353.84930101043,4917038.57141557,44098.9733165653,48265.2633229871,29638.7724966604,1709969.08687687,8670.7761862862,23173.8266450923,1269182.94517308,674831.745495617,79093.7235955653,173029.783589067,249682.944583227,736534.929588089,34920.0751811104,22385.790490975,4473838.06121581,10781.1039356903,1461160.81148937,266307.282022768,520571.827314291,274731.083287548,1603.37883107808,1148826.35887595,52088.707125624,311115.798998221,497065.585148164,1192675.57689186,36004.6375491936,66199.7680186767,44051.0360979063,14366.3079651972,131573.649524837,416338.794390727,51483.4883537946,199897.822471523,13507.1008904866,116433.973591113,121237.530387174,1142114.43655386,100181.446378422,14990.4462765069,NA,8732.92455017175,100885.28017921,2288148.92799249,40762.4717322756,NA,22636.7131851651,8444.97495747174,3016464.01612073,3257846.51413732,251761.136424148,1420204.07725951,82887.9079031509,1377065.52861092,5571.99973848916,10725.7346440996,47028.5963932301,3560.00269677356,459265.47924369,128382.626664087,46782.9465476871,389876.433283722,61291.3173243738,2180962.09852427,64152.654987609,888103.559925507,8156.65341330322,5672.8788441342,64369.0377850003,385482.648237535,63690.4702585047,33665.9630713434,40150.2753981759,29655.9524782612,642880.702431495,13190.8229326168,5799.54064863494,3577.80421224931,62372.2095912122,55323.6293674907,14079.3187278951,2180962.09892737,64152.6549793014,34250.3024656987,NA,69036.1657944861,40387.1097976921,974485.957170199,267667.519321464,70227.5200064612,289387.565542157,105406.089180125,63464.293334409,46772.4501298511,1192.69690374089,2204.13586687092
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W48_SR.mzML",93408.8231702356,32645.8670604296,NA,399547.02619059,35559.2834112477,6682.63498711201,6194761.60121024,54918.5178043417,57475.6607441461,37333.487974993,1976196.31377269,10316.0665845357,26660.4020675746,1523636.97268066,903428.382199565,102918.922903369,228590.58813265,335291.814299035,844580.265170531,40396.4611378547,26714.2525023283,4403996.78927222,11546.5204601955,1864166.1797989,384610.578601196,1023756.37878997,559766.86788834,3340.22518116103,774115.897400544,36027.3532376344,217949.281795451,732708.498295402,2052653.07136593,64875.1456893798,118221.323532255,126515.837987178,43801.5742474013,84761.8553566148,1032095.06641648,126666.014104148,567689.351620775,35032.4506666141,312211.245346605,330258.43553443,1614163.08719247,60656.3698554109,22468.1894098722,NA,7282.94260419333,85634.8847506383,1444109.17427235,24626.1546157379,NA,24272.284454323,9014.3889473232,4014139.35811437,NA,461061.484091546,2005094.2692278,118420.027939126,1756803.07309705,7530.94115748703,14831.0027992244,89918.1096202086,7354.48426576105,1455472.47645692,421718.772104981,148825.364525128,570243.276958031,91203.274975242,1712468.7088309,49207.1675392443,1387856.73147418,13477.1599433876,8526.28282809026,125627.606637573,356439.702099641,124509.540405812,69163.0406498503,51906.0105609356,38656.8822302506,1395640.69956327,28306.234152798,11146.4242161028,7077.15213007412,57888.4802270553,50616.6039290117,11513.0739174472,1712468.70880468,49207.1674833057,60010.8373460579,NA,132489.211251416,79162.3197141793,1294355.84457601,385789.039510756,105420.422134418,432796.762338379,158736.488687186,96225.1191007678,106586.102012007,2562.28252134493,4693.88004923163
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W59_LTR.mzML",90668.4549313075,NA,NA,267113.070829189,22368.0434594238,4531.99564559853,4757507.39662015,43260.0247212578,47681.9571912532,28207.4813646004,1790009.68216122,8705.83328202664,23615.9821758328,1306655.86846186,698567.053692802,81290.897257937,178276.449080059,258596.970945648,738161.565690711,35246.14729141,21639.5208771552,NA,10224.3606946577,1503733.72385684,269864.881305186,530113.245454784,277247.743171368,1729.27829394261,1132580.8853063,50849.639795097,307672.901617252,501150.502756753,1227447.10316168,36956.2696969783,69604.5260286042,44007.9324719889,13897.2578775174,129921.808480298,416499.069032393,50873.4647870863,201925.876873988,13790.0880471701,118042.8198875,123014.938413051,1180746.15378927,102965.617640353,16263.8435511268,8269276.40283113,NA,100947.784756275,2336201.05318095,40565.3043202246,NA,22669.8968238923,8242.74193788357,3031776.09059912,3334823.50808391,254473.066668498,1403924.80733408,81474.9401758023,1406621.84525979,5650.1659982999,10879.2150244117,49814.0698156308,4099.44656434129,467008.425426793,129458.372952178,46649.2674992482,397203.335103006,62899.7281736515,2116335.44673411,61083.6544911699,909864.064506186,8596.68024010434,5576.31534461014,65908.1588048483,401655.28132939,67100.7746933588,35941.6467287351,43691.0442072205,32544.8825788406,668077.310193227,12971.5491755213,NA,3795.11929547509,62471.3518690798,54894.2889094442,14265.4883338375,2116335.44663654,61083.6544911699,36348.3570649957,NA,73649.4092369351,41801.5063963323,1014660.27072331,283302.235691606,75535.7987678263,305657.345790429,111933.392354441,67004.3549046507,46794.3971418322,1171.83065935985,2525.05730362481
"../Converted/U_RPOS_mzML/ALZ_RPOS_ToF04_U4W60_SR.mzML",91029.1782907938,33354.0533924511,NA,382068.8779013,34942.9660473074,6890.59030287548,5443519.01926976,49619.4559984307,55892.5529046092,31560.6622902165,1928659.68273873,9876.01459028246,25968.8450432961,1561385.69154178,942119.212295504,110712.802948044,241867.454759184,349285.096184798,775918.20825884,37751.5095121309,26040.4162779282,NA,12265.0497519543,1838698.87581019,373771.631128292,967504.218760871,536391.408406005,3368.16483074624,724674.038725784,NA,201756.523983919,711095.457876581,1948181.59349347,60729.1193467756,110814.489639911,120993.200031778,41945.007401287,84276.3573026999,967847.260747333,118432.865851583,542757.97995973,34514.8937719864,291452.795296519,315334.988050751,1577908.30644241,72748.0177297837,22385.7473380596,NA,7694.92437332319,85552.9318660141,1426485.65494548,24862.811009788,NA,22906.1871530498,8747.51494411459,4047134.64453149,NA,450699.945661626,1884850.88156449,114226.737824489,1669506.23187022,7550.10981574414,13335.5492229379,84234.6796542032,6655.81409187191,1414763.74330335,404722.910840312,148705.539442449,520002.752275262,85207.7067150132,1639686.99888072,47263.5500883897,1379936.26138098,12648.6621870047,8297.43909528187,113531.5609044,359663.725960724,118768.378367217,66312.3052190848,51474.8521966061,37788.9429156445,1349782.23567745,27222.3744267654,12086.4040339889,7149.66423691133,53297.4181607428,51752.4420635937,11222.8300368962,1639686.99912122,47263.5500720101,59958.7920085686,4079.34600086548,100989.157112581,62663.5332797959,1224539.28869582,364952.060745043,102474.530933665,406411.67532444,151779.107344145,92415.0779348595,100871.095420607,NA,5009.83472274855
