"","ratio_peaks_found","ratio_peaks_filled","ppm_error","rt_dev_sec"
"RPOS-001.1 - Xanthurenate",1,0,1.7565458652944,0.439371911407036
"RPOS-001.2 - Xanthurenate ISF.1",0.532163742690059,0,2.43172045371442,-0.865844097021045
"RPOS-001.3 - Xanthurenate ISF.2",0.385964912280702,0,8.68897889164863,-4.82442437721796
"RPOS-002.1 - Urocanate",1,0,3.6098136422131,0.0495168940477713
"RPOS-002.2 - Urocanate ISF.1",1,0,5.20050100622379,0.0580623170422054
"RPOS-002.3 - Urocanate ISF.2",0.970760233918129,0,3.26193673939837,0.0747229304325748
"RPOS-003.1 - Urate",0.970760233918129,0,5.65412539528894,0.908293593032371
"RPOS-003.2 - Urate ISF.1",0.964912280701754,0,3.01618057536942,0.92079350520628
"RPOS-003.3 - Urate ISF.2",0.812865497076023,0,3.09307611467977,0.893711852197278
"RPOS-003.4 - Urate ISF.3",0.988304093567251,0,3.44030112139102,0.918600510486918
"RPOS-005.1 - Theobromine",0.988304093567251,0,2.22898519100901,0.122718971697455
"RPOS-005.2 - Theobromine ISF.1",0.970760233918129,0,5.09757854707714,0.132671010741777
"RPOS-005.3 - Theobromine ISF.2",0.988304093567251,0,7.61229833925172,0.118223231025893
"RPOS-008.1 - Pseudouridine",1,0,1.97059947566713,0.329787105835273
"RPOS-008.2 - Pseudouridine ISF.1",0.994152046783626,0,2.08623620274739,0.363239093944723
"RPOS-008.3 - Pseudouridine ISF.2",0.994152046783626,0,2.16499318990837,0.364111113732107
"RPOS-008.4 - Pseudouridine ISF.3",0.994152046783626,0,2.45911124585915,0.364749378815027
"RPOS-008.5 - Pseudouridine ISF.4",1,0,4.87394326850415,0.365085556271404
"RPOS-015.1 - Pantothenate",1,0,1.4576790357114,0.347760537687593
"RPOS-015.2 - Pantothenate ISF.1",0.988304093567251,0,9.86148307752343,0.362692745804519
"RPOS-015.3 - Pantothenate ISF.2",0.883040935672515,0,10.0717917083081,0.404090926753369
"RPOS-016.1 - L-Acetylcarnitine",0.760233918128655,0,7.03984637404828,-0.415325770135312
"RPOS-016.2 - L-Acetylcarnitine ISF.1",0.982456140350877,0,3.57626549276524,-0.357286701635114
"RPOS-018.1 - 1-Methyladenosine",0.994152046783626,0,3.71479984667286,-0.0141940111552055
"RPOS-018.2 - 1-Methyladenosine ISF.1",0.994152046783626,0,7.12869021755303,-0.00795145489723226
"RPOS-026.1 - N2,N2-Dimethylguanosine",1,0,0.932277740059273,0.145876156570142
"RPOS-026.2 - N2,N2-Dimethylguanosine ISF.1",1,0,7.21245487796492,0.152531294863667
"RPOS-026.3 - N2,N2-Dimethylguanosine ISF.2",0.859649122807018,0,6.5511651864152,0.186509793852964
